,INST,EN_TIME,EN_ID,EN_TT,EN_Q,EN_PRICE,EN_CODE,EN_VAR,EX_TIME,EX_ID,EX_TT,EX_Q,EX_PRICE,EX_CODE,EX_VAR,P&L,ROI,P&L %,ROI %,Equity Curve,Drawdown %
0,NSE_EQ:SBIN,2022-01-06 10:00:00+05:30,b1361cda3e694740951b205196309b96,SELL,2,487.3,INTRADAY,MARKET,2022-01-06 11:00:00+05:30,d05c65ff83ea460f8065f243a82089b9,BUY,2,490.65,INTRADAY,MARKET,-6.7,-6.7,-0.69,-0.01,49993.3,-0.01
1,NSE_EQ:SBIN,2022-01-06 11:00:00+05:30,f18b40de5e0147de88aa1e7eae27542c,BUY,2,490.65,INTRADAY,MARKET,2022-01-06 13:30:00+05:30,8966ffafc16140acad9b1d3337d61a2e,SELL,2,489.8,INTRADAY,MARKET,-1.7,-8.4,-0.17,-0.02,49991.600000000006,-0.02
2,NSE_EQ:SBIN,2022-01-06 13:30:00+05:30,b238d4866dab43a78a1e7cecf25d692d,SELL,2,489.8,INTRADAY,MARKET,2022-01-06 13:45:00+05:30,946fbbcdecc54d5086e6c5651dd27990,BUY,2,491.15,INTRADAY,MARKET,-2.7,-11.1,-0.28,-0.02,49988.90000000001,-0.02
3,NSE_EQ:SBIN,2022-01-06 13:45:00+05:30,01e40291764d468688b0f290650bc9f2,BUY,2,491.15,INTRADAY,MARKET,2022-01-06 15:30:00+05:30,fb454363e28b48ceb8ab7f13a1e27d32,SELL,2,491.35,INTRADAY,MARKET,0.4,-10.7,0.04,-0.02,49989.30000000001,-0.02
4,NSE_EQ:SBIN,2022-01-07 12:30:00+05:30,0d37b37d8e8649099fada8e246f3e4a4,SELL,2,494.75,INTRADAY,MARKET,2022-01-07 15:30:00+05:30,352b8985cd16484ea091ccf8f15dac62,BUY,2,491.25,INTRADAY,MARKET,7.0,-3.7,0.71,-0.01,49996.30000000001,-0.01
5,NSE_EQ:SBIN,2022-01-10 09:45:00+05:30,f812c6f6e8f6464dad3e2d90dbed57c5,BUY,2,497.15,INTRADAY,MARKET,2022-01-10 15:30:00+05:30,f2248e63f8ed43d98ed8c08e8472ae6b,SELL,2,504.6,INTRADAY,MARKET,14.9,11.2,1.5,0.02,50011.20000000001,0.0
6,NSE_EQ:SBIN,2022-01-12 15:15:00+05:30,cc1b324a39ba45ce80e2d96a44f358d8,SELL,2,509.95,INTRADAY,MARKET,2022-01-12 15:30:00+05:30,e73fb8c92b8d49de903692b1412f548c,BUY,2,509.95,INTRADAY,MARKET,-0.0,11.2,-0.0,0.02,50011.20000000001,0.0
7,NSE_EQ:SBIN,2022-01-13 09:45:00+05:30,645072c32d494ec29e2e8392b64436d4,BUY,2,511.9,INTRADAY,MARKET,2022-01-13 10:15:00+05:30,81d286e426574177b1b388502a55e49f,SELL,2,508.05,INTRADAY,MARKET,-7.7,3.5,-0.75,0.01,50003.500000000015,-0.02
8,NSE_EQ:SBIN,2022-01-13 10:15:00+05:30,e304662674ef461daea7e2538ae967ac,SELL,2,508.05,INTRADAY,MARKET,2022-01-13 11:15:00+05:30,e69be0eb72094c0baed6a3ad9401a5f5,BUY,2,511.5,INTRADAY,MARKET,-6.9,-3.4,-0.68,-0.01,49996.60000000001,-0.03
9,NSE_EQ:SBIN,2022-01-13 11:15:00+05:30,88b513ab0ac544398ea3dbb6a1acf501,BUY,2,511.5,INTRADAY,MARKET,2022-01-13 13:30:00+05:30,293a3b8049fd405fa0b2141a7d7c276a,SELL,2,509.7,INTRADAY,MARKET,-3.6,-7.0,-0.35,-0.01,49993.000000000015,-0.04
10,NSE_EQ:SBIN,2022-01-13 13:30:00+05:30,e0ae4dde6e4644a1a12e17f61359327a,SELL,2,509.7,INTRADAY,MARKET,2022-01-13 13:45:00+05:30,b9879b712d5f4977b552af66d3c79305,BUY,2,511.45,INTRADAY,MARKET,-3.5,-10.5,-0.34,-0.02,49989.500000000015,-0.04
11,NSE_EQ:SBIN,2022-01-13 13:45:00+05:30,758fb5d9d62d413ebba33412a2491145,BUY,2,511.45,INTRADAY,MARKET,2022-01-13 14:30:00+05:30,f9b51e9c45d6429db19fbbc3fa8bb41a,SELL,2,510.6,INTRADAY,MARKET,-1.7,-12.2,-0.17,-0.02,49987.80000000002,-0.05
12,NSE_EQ:SBIN,2022-01-13 14:30:00+05:30,70bb1ed8a03c4fd892f60f2599a8851e,SELL,2,510.6,INTRADAY,MARKET,2022-01-13 15:15:00+05:30,05043c2f23d1484198a27d69964e61e7,BUY,2,511.45,INTRADAY,MARKET,-1.7,-13.9,-0.17,-0.03,49986.10000000002,-0.05
13,NSE_EQ:SBIN,2022-01-13 15:15:00+05:30,0873d4f85eb947899ba07e7ebfed3bf5,BUY,2,511.45,INTRADAY,MARKET,2022-01-13 15:30:00+05:30,5fe8e0775644400bbd1cc97589d100c0,SELL,2,511.5,INTRADAY,MARKET,0.1,-13.8,0.01,-0.03,49986.20000000002,-0.05
14,NSE_EQ:SBIN,2022-01-14 09:30:00+05:30,c7a75d16efcd4ecbbaa802b008e728de,SELL,2,507.9,INTRADAY,MARKET,2022-01-14 15:30:00+05:30,0b9fbc10730c4eef85af3b0502ea6cc3,BUY,2,507.75,INTRADAY,MARKET,0.3,-13.5,0.03,-0.03,49986.50000000002,-0.05
