,INST,EN_TIME,EN_ID,EN_TT,EN_Q,EN_PRICE,EN_CODE,EN_VAR,EX_TIME,EX_ID,EX_TT,EX_Q,EX_PRICE,EX_CODE,EX_VAR,P&L,ROI,P&L %,ROI %,Equity Curve,Drawdown %
0,NSE_EQ:ADANIPORTS,2023-05-02 10:15:00+05:30,ebc86c9312f044fba14debd7a1c994d7,SELL,1,675.7,INTRADAY,MARKET,2023-05-02 15:10:00+05:30,ee8c032796194e5f96695ac063bd078e,BUY,1,683.75,INTRADAY,MARKET,-8.05,-8.05,-1.19,-0.02,49991.95,-0.02
1,NSE_EQ:ADANIPORTS,2023-05-03 11:15:00+05:30,945eb830d5d14edca151595b6004901a,SELL,1,677.6,INTRADAY,MARKET,2023-05-03 15:10:00+05:30,856f87cdca454f10a5a6fa61e4006557,BUY,1,669.3,INTRADAY,MARKET,8.3,0.25,1.22,0.0,50000.25,0.0
2,NSE_EQ:ADANIPORTS,2023-05-08 11:15:00+05:30,713c57974940434ea509ab2cc5d0798d,BUY,1,688.4,INTRADAY,MARKET,2023-05-08 15:10:00+05:30,59090918d0e94d87beba979c17647875,SELL,1,685.35,INTRADAY,MARKET,-3.05,-2.8,-0.44,-0.01,49997.2,-0.01
3,NSE_EQ:ADANIPORTS,2023-05-10 11:15:00+05:30,a1b988e4b0b1482c88a3397d388aa1c8,BUY,1,690.3,INTRADAY,MARKET,2023-05-10 13:15:00+05:30,e380689aac99452a95899f3363c419fd,SELL,1,689.7,INTRADAY,MARKET,-0.6,-3.4,-0.09,-0.01,49996.6,-0.01
4,NSE_EQ:ADANIPORTS,2023-05-10 13:15:00+05:30,8afcf4d943784ac2a2264270d2eb40f9,SELL,1,689.7,INTRADAY,MARKET,2023-05-10 15:10:00+05:30,d0cfc149322e4d8b836681f498830962,BUY,1,690.3,INTRADAY,MARKET,-0.6,-4.0,-0.09,-0.01,49996.0,-0.01
5,NSE_EQ:ADANIPORTS,2023-05-11 09:15:00+05:30,36df34fcd73d45a7b0264ec9f8732965,SELL,1,694.0,INTRADAY,MARKET,2023-05-11 15:10:00+05:30,7334211534d7440d9aa222210f6f39de,BUY,1,708.0,INTRADAY,MARKET,-14.0,-18.0,-2.02,-0.04,49982.0,-0.04
6,NSE_EQ:ADANIPORTS,2023-05-12 13:15:00+05:30,bafa9f837ce94b37aeaa32958ac83390,BUY,1,700.5,INTRADAY,MARKET,2023-05-12 15:10:00+05:30,b8a0b829c03c46a2926fe01a36220667,SELL,1,700.5,INTRADAY,MARKET,0.0,-18.0,0.0,-0.04,49982.0,-0.04
7,NSE_EQ:ADANIPORTS,2023-05-15 12:15:00+05:30,916d7ef1dfa24cba894e6a97c9cfe67e,BUY,1,696.2,INTRADAY,MARKET,2023-05-15 15:10:00+05:30,8ef691c298a942f2a817eb8ee43a9292,SELL,1,695.15,INTRADAY,MARKET,-1.05,-19.05,-0.15,-0.04,49980.95,-0.04
8,NSE_EQ:ADANIPORTS,2023-05-16 09:15:00+05:30,5f8be570800b49e1aa95794f18f0c439,SELL,1,694.05,INTRADAY,MARKET,2023-05-16 13:15:00+05:30,99c50439c786467d875da388e4a532ef,BUY,1,694.45,INTRADAY,MARKET,-0.4,-19.45,-0.06,-0.04,49980.549999999996,-0.04
9,NSE_EQ:ADANIPORTS,2023-05-16 13:15:00+05:30,0f80f9628fce41fd82e5faea7c24628e,BUY,1,694.45,INTRADAY,MARKET,2023-05-16 15:10:00+05:30,bbe6bad79ed7463c9041ef87ff0e762c,SELL,1,693.4,INTRADAY,MARKET,-1.05,-20.5,-0.15,-0.04,49979.49999999999,-0.04
