,INST,EN_TIME,EN_ID,EN_TT,EN_Q,EN_PRICE,EN_CODE,EN_VAR,EX_TIME,EX_ID,EX_TT,EX_Q,EX_PRICE,EX_CODE,EX_VAR,P&L,ROI,P&L %,ROI %,Equity Curve,Drawdown %
0,NSE_EQ:SBIN,2023-05-04 10:15:00+05:30,0071f321ac9e43d1a9f9d8b95bdb1ad3,SELL,1,575.25,INTRADAY,MARKET,2023-05-04 15:10:00+05:30,607e3285ddda4c5c889b9641f0f94a7a,BUY,1,577.55,INTRADAY,MARKET,-2.3,-2.3,-0.4,-0.0,49997.7,-0.0
1,NSE_EQ:SBIN,2023-05-08 12:15:00+05:30,b289569b7f6a4dc08e6d23bb2cbaa7f0,SELL,1,581.5,INTRADAY,MARKET,2023-05-08 15:10:00+05:30,2ed6f5a6f31241929ed1605f9a96fd23,BUY,1,584.3,INTRADAY,MARKET,-2.8,-5.1,-0.48,-0.01,49994.899999999994,-0.01
2,NSE_EQ:SBIN,2023-05-09 10:15:00+05:30,8a7f8dd7f9bf454c9cfc300850ab25bb,BUY,1,579.0,INTRADAY,MARKET,2023-05-09 15:10:00+05:30,51ee2a33f16f4ad796d42103cbb2a8b8,SELL,1,575.05,INTRADAY,MARKET,-3.95,-9.05,-0.68,-0.02,49990.95,-0.02
3,NSE_EQ:SBIN,2023-05-12 10:15:00+05:30,01b91906ea7341b09a2923f44a897817,SELL,1,575.0,INTRADAY,MARKET,2023-05-12 15:10:00+05:30,c56e7094271d4f798b869733d91e8b87,BUY,1,579.65,INTRADAY,MARKET,-4.65,-13.7,-0.81,-0.03,49986.299999999996,-0.03
4,NSE_EQ:SBIN,2023-05-17 12:15:00+05:30,42318fe7c141492f970bfd4e3a89b11a,BUY,1,581.65,INTRADAY,MARKET,2023-05-17 15:10:00+05:30,54394dceb86043b1855e5a43eb4561fc,SELL,1,581.6,INTRADAY,MARKET,-0.05,-13.75,-0.01,-0.03,49986.24999999999,-0.03
5,NSE_EQ:SBIN,2023-05-18 14:15:00+05:30,7cbde4795e504ced8f3a929687a33a4e,BUY,1,581.25,INTRADAY,MARKET,2023-05-18 15:10:00+05:30,6f69f355a72148d8ba069052cc3c25f6,SELL,1,581.25,INTRADAY,MARKET,0.0,-13.75,0.0,-0.03,49986.24999999999,-0.03
6,NSE_EQ:SBIN,2023-05-22 11:15:00+05:30,e5f6b42779dc4091ba5ebd4b2e4ce0dc,SELL,1,577.5,INTRADAY,MARKET,2023-05-22 15:10:00+05:30,59f0775ce17942558496f2b72f8ff81f,BUY,1,578.9,INTRADAY,MARKET,-1.4,-15.15,-0.24,-0.03,49984.84999999999,-0.03
7,NSE_EQ:SBIN,2023-05-23 10:15:00+05:30,fe6ad49858964f429d4224907d6b01b1,SELL,1,579.45,INTRADAY,MARKET,2023-05-23 15:10:00+05:30,c4bdb80f4e114d6aba75fedb6fe161cc,BUY,1,583.1,INTRADAY,MARKET,-3.65,-18.8,-0.63,-0.04,49981.19999999999,-0.04
8,NSE_EQ:SBIN,2023-05-25 09:15:00+05:30,1acea84b2185453896c3a9688546b8b0,BUY,1,582.0,INTRADAY,MARKET,2023-05-25 15:10:00+05:30,c3bc14f2b37b49c690c272cc95f9ec2c,SELL,1,580.25,INTRADAY,MARKET,-1.75,-20.55,-0.3,-0.04,49979.44999999999,-0.04
9,NSE_EQ:SBIN,2023-05-26 10:15:00+05:30,8f23900500c34d699c6edcfdfc75bd72,SELL,1,584.8,INTRADAY,MARKET,2023-05-26 15:10:00+05:30,7ad8532046b74a8f88b6612ce478340a,BUY,1,586.2,INTRADAY,MARKET,-1.4,-21.95,-0.24,-0.04,49978.04999999999,-0.04
