,INST,EN_TIME,EN_ID,EN_TT,EN_Q,EN_PRICE,EN_CODE,EN_VAR,EX_TIME,EX_ID,EX_TT,EX_Q,EX_PRICE,EX_CODE,EX_VAR,P&L,ROI,P&L %,ROI %,Equity Curve,Drawdown %
0,NSE_EQ:ICICIBANK,2023-05-03 10:15:00+05:30,36f325045f5f449a9a7cff14d7e6788a,BUY,1,912.95,INTRADAY,MARKET,2023-05-03 13:15:00+05:30,53906c2789cd45e4b5a82d22df8c1de2,SELL,1,919.4,INTRADAY,MARKET,6.45,6.45,0.71,0.01,50006.45,0.0
1,NSE_EQ:ICICIBANK,2023-05-03 13:15:00+05:30,243a226cbee445a0a5f2b437e1ff04f5,SELL,1,919.4,INTRADAY,MARKET,2023-05-03 15:10:00+05:30,959a60dfef2946a1ab64006a3f1fd230,BUY,1,921.25,INTRADAY,MARKET,-1.85,4.6,-0.2,0.01,50004.6,-0.0
2,NSE_EQ:ICICIBANK,2023-05-04 10:15:00+05:30,0d3ce57be29e416eb2edf2a308309fb8,BUY,1,916.0,INTRADAY,MARKET,2023-05-04 14:15:00+05:30,c605097a89bc41f5a219b3f98e04b81c,SELL,1,918.3,INTRADAY,MARKET,2.3,6.9,0.25,0.01,50006.9,0.0
3,NSE_EQ:ICICIBANK,2023-05-04 14:15:00+05:30,f15c1ff64bea409c8a60c0e0d96c1e6b,SELL,1,918.3,INTRADAY,MARKET,2023-05-04 15:10:00+05:30,934cbcb4ccbc4634b3054469436a4542,BUY,1,918.3,INTRADAY,MARKET,-0.0,6.9,-0.0,0.01,50006.9,0.0
4,NSE_EQ:ICICIBANK,2023-05-08 10:15:00+05:30,01dff9bf39c84a99a0e3067451b1c0cd,SELL,1,935.0,INTRADAY,MARKET,2023-05-08 15:10:00+05:30,ea14aff4440f4a43a7012b556edce5e2,BUY,1,938.45,INTRADAY,MARKET,-3.45,3.45,-0.37,0.01,50003.450000000004,-0.01
5,NSE_EQ:ICICIBANK,2023-05-09 14:15:00+05:30,3c4a6507d98a452aa25b999e376563e0,BUY,1,936.75,INTRADAY,MARKET,2023-05-09 15:10:00+05:30,deb105e45fd14a5ab42643cb40f41c84,SELL,1,936.75,INTRADAY,MARKET,0.0,3.45,0.0,0.01,50003.450000000004,-0.01
6,NSE_EQ:ICICIBANK,2023-05-10 14:15:00+05:30,10af486a37c94e53960f11e9267c3297,SELL,1,934.95,INTRADAY,MARKET,2023-05-10 15:10:00+05:30,2b86c2fb24ba41d7a2fedbb73cec1481,BUY,1,934.95,INTRADAY,MARKET,-0.0,3.45,-0.0,0.01,50003.450000000004,-0.01
7,NSE_EQ:ICICIBANK,2023-05-12 10:15:00+05:30,1febf89089234570af349f742db0ee9b,BUY,1,935.95,INTRADAY,MARKET,2023-05-12 14:15:00+05:30,87b3be3ffce14e09a5117dcc5b25948d,SELL,1,945.5,INTRADAY,MARKET,9.55,13.0,1.02,0.03,50013.00000000001,0.0
8,NSE_EQ:ICICIBANK,2023-05-12 14:15:00+05:30,3fff2fc1defc446ab9fe1252e9317db6,SELL,1,945.5,INTRADAY,MARKET,2023-05-12 15:10:00+05:30,055f985adba34b5ab93064affbc8108d,BUY,1,945.5,INTRADAY,MARKET,-0.0,13.0,-0.0,0.03,50013.00000000001,0.0
9,NSE_EQ:ICICIBANK,2023-05-18 10:15:00+05:30,96eab5b0058b4ddda75335c10c33f05b,SELL,1,944.35,INTRADAY,MARKET,2023-05-18 15:10:00+05:30,b6666b20143f4e9fbcf82d69095e2057,BUY,1,946.55,INTRADAY,MARKET,-2.2,10.8,-0.23,0.02,50010.80000000001,-0.0
10,NSE_EQ:ICICIBANK,2023-05-19 12:15:00+05:30,8a2868256360439daca72d7dd07e235f,BUY,1,944.75,INTRADAY,MARKET,2023-05-19 14:15:00+05:30,cb219c306e9943c186800247fdce3a4f,SELL,1,950.65,INTRADAY,MARKET,5.9,16.7,0.62,0.03,50016.70000000001,0.0
11,NSE_EQ:ICICIBANK,2023-05-19 14:15:00+05:30,054408f81c0140d2aa4256791e50af64,SELL,1,950.65,INTRADAY,MARKET,2023-05-19 15:10:00+05:30,b51bf91bf4644f0782aeeba61d8dc352,BUY,1,950.65,INTRADAY,MARKET,-0.0,16.7,-0.0,0.03,50016.70000000001,0.0
12,NSE_EQ:ICICIBANK,2023-05-22 14:15:00+05:30,f612c99435db42498db928deed59b919,BUY,1,950.05,INTRADAY,MARKET,2023-05-22 15:10:00+05:30,cc430895572546cda3d94ac559854ef2,SELL,1,950.05,INTRADAY,MARKET,0.0,16.7,0.0,0.03,50016.70000000001,0.0
13,NSE_EQ:ICICIBANK,2023-05-23 10:15:00+05:30,e7d279050ad344d3a6cb928c6781c9cf,SELL,1,953.7,INTRADAY,MARKET,2023-05-23 15:10:00+05:30,0240ed9af966415c8aa123a23814ad3c,BUY,1,956.55,INTRADAY,MARKET,-2.85,13.85,-0.3,0.03,50013.85000000001,-0.01
14,NSE_EQ:ICICIBANK,2023-05-24 09:15:00+05:30,d6fd2d39e0414647a13e3f2745db739b,BUY,1,946.7,INTRADAY,MARKET,2023-05-24 15:10:00+05:30,9638dc80728d44a18e74648367ce7a81,SELL,1,949.1,INTRADAY,MARKET,2.4,16.25,0.25,0.03,50016.250000000015,-0.0
15,NSE_EQ:ICICIBANK,2023-05-26 11:15:00+05:30,c0508e7a60d84df383eb11cb679c7419,SELL,1,940.0,INTRADAY,MARKET,2023-05-26 15:10:00+05:30,4cf56272ae454797a2b5a61360aadb39,BUY,1,951.35,INTRADAY,MARKET,-11.35,4.9,-1.21,0.01,50004.900000000016,-0.02
16,NSE_EQ:ICICIBANK,2023-05-31 10:15:00+05:30,e4c03cf954a4408595fc7a2eb6aa1afd,BUY,1,946.15,INTRADAY,MARKET,2023-05-31 15:10:00+05:30,fef19eea5b1a400286ebca1defd39729,SELL,1,944.65,INTRADAY,MARKET,-1.5,3.4,-0.16,0.01,50003.400000000016,-0.03
17,NSE_EQ:ICICIBANK,2023-06-01 14:15:00+05:30,b869194d24094147afbea6c00ece2956,BUY,1,945.3,INTRADAY,MARKET,2023-06-01 15:10:00+05:30,1191dcf2322a4c18b140b9f78263f5ab,SELL,1,945.3,INTRADAY,MARKET,0.0,3.4,0.0,0.01,50003.400000000016,-0.03
18,NSE_EQ:ICICIBANK,2023-06-02 13:15:00+05:30,c07e734a54874dec9444afd3dc5fcac9,SELL,1,942.25,INTRADAY,MARKET,2023-06-02 14:15:00+05:30,6cd01bb4e25f4eee8160c6093e1e3451,BUY,1,940.2,INTRADAY,MARKET,2.05,5.45,0.22,0.01,50005.45000000002,-0.02
19,NSE_EQ:ICICIBANK,2023-06-02 14:15:00+05:30,466e2cc929e24c38b03512e3eaa0382f,BUY,1,940.2,INTRADAY,MARKET,2023-06-02 15:10:00+05:30,515e9af36eed44fca59d61d1d59afbfc,SELL,1,940.2,INTRADAY,MARKET,0.0,5.45,0.0,0.01,50005.45000000002,-0.02
20,NSE_EQ:ICICIBANK,2023-06-05 10:15:00+05:30,128d2f5a80fd48dcbc33d75e8e40d73c,SELL,1,947.5,INTRADAY,MARKET,2023-06-05 15:10:00+05:30,0bc234e1b19d424fa916746e7f30e205,BUY,1,949.25,INTRADAY,MARKET,-1.75,3.7,-0.18,0.01,50003.70000000002,-0.03
21,NSE_EQ:ICICIBANK,2023-06-06 10:15:00+05:30,b1d5e5daee7c4b349f49c85c5c5de8cb,BUY,1,940.8,INTRADAY,MARKET,2023-06-06 15:10:00+05:30,3ad403b829fb4622b229f66d49a781ae,SELL,1,940.25,INTRADAY,MARKET,-0.55,3.15,-0.06,0.01,50003.150000000016,-0.03
22,NSE_EQ:ICICIBANK,2023-06-07 09:15:00+05:30,3dfec37dd80e4af182a3cc470c7cb4ed,SELL,1,944.35,INTRADAY,MARKET,2023-06-07 10:15:00+05:30,4630c015e8ab416fa3e922774321bfd7,BUY,1,940.1,INTRADAY,MARKET,4.25,7.4,0.45,0.01,50007.400000000016,-0.02
23,NSE_EQ:ICICIBANK,2023-06-07 10:15:00+05:30,96a2d5cd9c914bb3bff7b0ddf85f2570,BUY,1,940.1,INTRADAY,MARKET,2023-06-07 15:10:00+05:30,5c34f55cce00426dbb3ea436d6a061f9,SELL,1,937.1,INTRADAY,MARKET,-3.0,4.4,-0.32,0.01,50004.400000000016,-0.02
24,NSE_EQ:ICICIBANK,2023-06-08 14:15:00+05:30,53f7663d2ca940f5917ffbd70ef5ba3a,BUY,1,942.6,INTRADAY,MARKET,2023-06-08 15:10:00+05:30,1f6c8eda228e4d28aa97d7cb5d81a7b5,SELL,1,942.6,INTRADAY,MARKET,0.0,4.4,0.0,0.01,50004.400000000016,-0.02
25,NSE_EQ:ICICIBANK,2023-06-09 11:15:00+05:30,bef4699ccf844a5a9903a68ea01fedd8,SELL,1,942.1,INTRADAY,MARKET,2023-06-09 13:15:00+05:30,ab73a457af9c4ef0b0d94aa1a67fac97,BUY,1,940.75,INTRADAY,MARKET,1.35,5.75,0.14,0.01,50005.750000000015,-0.02
26,NSE_EQ:ICICIBANK,2023-06-09 13:15:00+05:30,690c1f06f36d41359d1f4157ebaf513e,BUY,1,940.75,INTRADAY,MARKET,2023-06-09 15:10:00+05:30,57d9428cc2fc44a5b24304d445277c62,SELL,1,937.85,INTRADAY,MARKET,-2.9,2.85,-0.31,0.01,50002.85000000001,-0.03
27,NSE_EQ:ICICIBANK,2023-06-12 10:15:00+05:30,fdc5804dc0894d58ba16cbf22257a5fd,SELL,1,941.8,INTRADAY,MARKET,2023-06-12 13:15:00+05:30,752dd672aac74d99aab5f07b1cadbb82,BUY,1,937.7,INTRADAY,MARKET,4.1,6.95,0.44,0.01,50006.95000000001,-0.02
28,NSE_EQ:ICICIBANK,2023-06-12 13:15:00+05:30,9a93f2386fcd477ea4b745938016a769,BUY,1,937.7,INTRADAY,MARKET,2023-06-12 15:10:00+05:30,c3fe12a0f8b94fa6bee6ab7f79340f1f,SELL,1,937.3,INTRADAY,MARKET,-0.4,6.55,-0.04,0.01,50006.55000000001,-0.02
29,NSE_EQ:ICICIBANK,2023-06-13 11:15:00+05:30,96501bcb62ad4a91bbabbce8fac336ca,SELL,1,940.0,INTRADAY,MARKET,2023-06-13 13:15:00+05:30,4d4195069a9944abb05cb44956a4e0d1,BUY,1,938.3,INTRADAY,MARKET,1.7,8.25,0.18,0.02,50008.25000000001,-0.02
30,NSE_EQ:ICICIBANK,2023-06-13 13:15:00+05:30,59cb9a7919dc4ebbaa949c54a1ffa818,BUY,1,938.3,INTRADAY,MARKET,2023-06-13 15:10:00+05:30,9f0dfd23e747420980c5d9ffea2a93f9,SELL,1,938.05,INTRADAY,MARKET,-0.25,8.0,-0.03,0.02,50008.00000000001,-0.02
