,INST,EN_TIME,EN_ID,EN_TT,EN_Q,EN_PRICE,EN_CODE,EN_VAR,EX_TIME,EX_ID,EX_TT,EX_Q,EX_PRICE,EX_CODE,EX_VAR,P&L,ROI,P&L %,ROI %,Equity Curve,Drawdown %
0,NSE_EQ:HINDALCO,2023-05-02 11:15:00+05:30,a4580523d81e4da280f2c9965560ce53,SELL,1,445.0,INTRADAY,MARKET,2023-05-02 15:10:00+05:30,68359d329b924f5586d302300d7cca53,BUY,1,447.3,INTRADAY,MARKET,-2.3,-2.3,-0.52,-0.0,49997.7,-0.0
1,NSE_EQ:HINDALCO,2023-05-08 09:15:00+05:30,d49d91474870461eb853e1b04a9baf3f,BUY,1,438.25,INTRADAY,MARKET,2023-05-08 10:15:00+05:30,732ecc4f064f42728bc6b4cb83f0318a,SELL,1,444.2,INTRADAY,MARKET,5.95,3.65,1.36,0.01,50003.649999999994,0.0
2,NSE_EQ:HINDALCO,2023-05-08 10:15:00+05:30,ea89df4af10b400fb244a9fdb2e0e4b6,BUY,1,444.2,INTRADAY,MARKET,2023-05-08 15:10:00+05:30,288ab0ee47d44e5cab706c858b3bdf38,SELL,1,443.2,INTRADAY,MARKET,-1.0,2.65,-0.23,0.01,50002.649999999994,-0.0
3,NSE_EQ:HINDALCO,2023-05-11 09:15:00+05:30,40483e683429482080c85f998a4c1dd0,BUY,1,434.0,INTRADAY,MARKET,2023-05-11 11:15:00+05:30,aded1c235d774a548029815464b65dbb,SELL,1,423.0,INTRADAY,MARKET,-11.0,-8.35,-2.53,-0.02,49991.649999999994,-0.02
4,NSE_EQ:HINDALCO,2023-05-11 11:15:00+05:30,23d36495a8f447819c54f5fe9f4960fa,BUY,1,423.0,INTRADAY,MARKET,2023-05-11 13:15:00+05:30,248579925af943f281f4a02fd1a334d8,SELL,1,421.25,INTRADAY,MARKET,-1.75,-10.1,-0.41,-0.02,49989.899999999994,-0.03
5,NSE_EQ:HINDALCO,2023-05-11 13:15:00+05:30,4c895b40a9594a968e38071d81f10490,BUY,1,421.25,INTRADAY,MARKET,2023-05-11 15:10:00+05:30,40634c19242049709dbefd3bde9e44cd,SELL,1,420.55,INTRADAY,MARKET,-0.7,-10.8,-0.17,-0.02,49989.2,-0.03
6,NSE_EQ:HINDALCO,2023-05-19 11:15:00+05:30,d5dbde0c314a4448aada85b55cbe14a0,BUY,1,403.85,INTRADAY,MARKET,2023-05-19 12:15:00+05:30,f5a58b01b7104fe1a868aeb60f8c63d4,SELL,1,404.45,INTRADAY,MARKET,0.6,-10.2,0.15,-0.02,49989.799999999996,-0.03
7,NSE_EQ:HINDALCO,2023-05-19 12:15:00+05:30,8744aa5fe3914fa58d8a35c51428b991,BUY,1,404.45,INTRADAY,MARKET,2023-05-19 15:10:00+05:30,e46e45581e05429fb56752d8fed37f9d,SELL,1,405.3,INTRADAY,MARKET,0.85,-9.35,0.21,-0.02,49990.649999999994,-0.03
8,NSE_EQ:HINDALCO,2023-05-23 13:15:00+05:30,1e763e5e509544048ecff18a0acce9c5,SELL,1,412.0,INTRADAY,MARKET,2023-05-23 15:10:00+05:30,133c8fe2a9bb49e180dd71545fa7e34e,BUY,1,412.4,INTRADAY,MARKET,-0.4,-9.75,-0.1,-0.02,49990.24999999999,-0.03
9,NSE_EQ:HINDALCO,2023-05-25 13:15:00+05:30,1eb9eecc9fc74222bdb773e549722fb3,BUY,1,401.3,INTRADAY,MARKET,2023-05-25 15:10:00+05:30,ce6002bb161a4d299c16089c87d6f935,SELL,1,402.35,INTRADAY,MARKET,1.05,-8.7,0.26,-0.02,49991.299999999996,-0.02
10,NSE_EQ:HINDALCO,2023-06-05 09:15:00+05:30,b275fb07f46a4038a29ffd5ad767d11d,SELL,1,424.85,INTRADAY,MARKET,2023-06-05 11:15:00+05:30,cbf4ecf45a71434bba0854fede8ed2f2,BUY,1,419.2,INTRADAY,MARKET,5.65,-3.05,1.33,-0.01,49996.95,-0.01
11,NSE_EQ:HINDALCO,2023-06-05 11:15:00+05:30,fb23905afb42469db9b8e1b2448f3157,SELL,1,419.2,INTRADAY,MARKET,2023-06-05 15:10:00+05:30,7b8fda9963304ce2a7e45917806baddd,BUY,1,420.7,INTRADAY,MARKET,-1.5,-4.55,-0.36,-0.01,49995.45,-0.02
12,NSE_EQ:HINDALCO,2023-06-08 09:15:00+05:30,12342fd738c14c2296c2c014c0065ffb,SELL,1,423.95,INTRADAY,MARKET,2023-06-08 12:15:00+05:30,0fc336cd92544991adb4901d887b9fab,BUY,1,419.8,INTRADAY,MARKET,4.15,-0.4,0.98,-0.0,49999.6,-0.01
13,NSE_EQ:HINDALCO,2023-06-08 12:15:00+05:30,8b25846362a34d2c9e15f7e905f117b2,SELL,1,419.8,INTRADAY,MARKET,2023-06-08 15:10:00+05:30,8039f7bbdc9c4f1fadfc7ed39b526ab2,BUY,1,420.9,INTRADAY,MARKET,-1.1,-1.5,-0.26,-0.0,49998.5,-0.01
14,NSE_EQ:HINDALCO,2023-06-13 14:15:00+05:30,2a832d1cd7764f71b45b73b9638aab24,SELL,1,421.25,INTRADAY,MARKET,2023-06-13 15:10:00+05:30,4ff1b535c0c1449f8461d96649effe7e,BUY,1,421.25,INTRADAY,MARKET,-0.0,-1.5,-0.0,-0.0,49998.5,-0.01
15,NSE_EQ:HINDALCO,2023-06-14 11:15:00+05:30,a56d4cf7393640d39605fd754f668aad,SELL,1,424.55,INTRADAY,MARKET,2023-06-14 15:10:00+05:30,6c2f9ac1eb6747cba3431d081f20d4e3,BUY,1,426.3,INTRADAY,MARKET,-1.75,-3.25,-0.41,-0.01,49996.75,-0.01
16,NSE_EQ:HINDALCO,2023-06-20 12:15:00+05:30,520d07fac25d4d2f95be91477e25185f,SELL,1,430.0,INTRADAY,MARKET,2023-06-20 15:10:00+05:30,ae80b657ee0b4230908402197adb7c07,BUY,1,429.75,INTRADAY,MARKET,0.25,-3.0,0.06,-0.01,49997.0,-0.01
17,NSE_EQ:HINDALCO,2023-06-21 13:15:00+05:30,7927c4aef14b4b4a9edb9cb280c524ba,BUY,1,421.25,INTRADAY,MARKET,2023-06-21 14:15:00+05:30,d030f4f20e7143e7b175fb2b7b4e8ce7,SELL,1,421.65,INTRADAY,MARKET,0.4,-2.6,0.09,-0.01,49997.4,-0.01
18,NSE_EQ:HINDALCO,2023-06-21 14:15:00+05:30,1605fa71ca994339a31bc3c779fc38e7,BUY,1,421.65,INTRADAY,MARKET,2023-06-21 15:10:00+05:30,005e33e8a99441c6b50cfb20f9ebc1bf,SELL,1,421.65,INTRADAY,MARKET,0.0,-2.6,0.0,-0.01,49997.4,-0.01
19,NSE_EQ:HINDALCO,2023-06-23 12:15:00+05:30,a52f35b46ae54fa0bc112733a8a35597,BUY,1,411.0,INTRADAY,MARKET,2023-06-23 15:10:00+05:30,29e827d1de1641b8be0731a4941f67ca,SELL,1,409.8,INTRADAY,MARKET,-1.2,-3.8,-0.29,-0.01,49996.200000000004,-0.01
