,INST,EN_TIME,EN_ID,EN_TT,EN_Q,EN_PRICE,EN_CODE,EN_VAR,EX_TIME,EX_ID,EX_TT,EX_Q,EX_PRICE,EX_CODE,EX_VAR,P&L,ROI,P&L %,ROI %,Equity Curve,Drawdown %
0,NSE_FO:BANKNIFTY01JUN2344200CE [LOCAL],2023-06-01 09:30:00+05:30,ebfad72c87aa468295e78aa49552fbf5,BUY,300,130.5,INTRADAY,MARKET,2023-06-01 15:10:00+05:30,8df130de0aab46d6a39c550325ff0bf7,SELL,300,15.35,INTRADAY,MARKET,-34545.0,-34545.0,-88.24,-69.09,15455.0,-69.09
1,NSE_FO:BANKNIFTY01JUN2344400CE [LOCAL],2023-06-01 09:30:00+05:30,bceb8a36c3ec4a9eb2df28287a98079a,BUY,300,49.0,INTRADAY,MARKET,2023-06-01 15:10:00+05:30,5ba96d632fb44c82bacb26fe79680b92,SELL,300,4.85,INTRADAY,MARKET,-13245.0,-47790.0,-90.1,-95.58,2210.0,-95.58
2,NSE_FO:BANKNIFTY01JUN2344400CE [LOCAL],2023-06-01 09:30:00+05:30,fe81d6efe02d4c10966f10bdd35697c2,SELL,300,49.0,INTRADAY,MARKET,2023-06-01 15:10:00+05:30,190cfe2eb0d5472689fe4d07f951f036,BUY,300,4.85,INTRADAY,MARKET,13245.0,-34545.0,90.1,-69.09,15455.0,-69.09
3,NSE_FO:BANKNIFTY08JUN2344000CE [LOCAL],2023-06-02 09:15:00+05:30,54e0998747164e19b5b7eb93e1ea83b5,BUY,300,349.35,INTRADAY,MARKET,2023-06-02 15:10:00+05:30,aef69db618224ebea603c0389e0bd377,SELL,300,274.9,INTRADAY,MARKET,-22335.0,-56880.0,-21.31,-113.76,-6880.0,-113.76
4,NSE_FO:BANKNIFTY08JUN2344200CE [LOCAL],2023-06-02 09:15:00+05:30,f3a2033a6ad6427ab232992c2ffae7b2,BUY,300,245.5,INTRADAY,MARKET,2023-06-02 15:10:00+05:30,ae0140fa95bb47918ebd7c8ebe46e124,SELL,300,179.1,INTRADAY,MARKET,-19920.0,-76800.0,-27.05,-153.6,-26800.0,-153.6
5,NSE_FO:BANKNIFTY08JUN2344200CE [LOCAL],2023-06-02 09:15:00+05:30,c104105979394034b16a266d36a0c9ce,SELL,300,245.5,INTRADAY,MARKET,2023-06-02 15:10:00+05:30,3209dd65fb0e444fadca4d24fb0072a8,BUY,300,179.1,INTRADAY,MARKET,19920.0,-56880.0,27.05,-113.76,-6880.0,-113.76
6,NSE_FO:BANKNIFTY08JUN2344100CE [LOCAL],2023-06-05 09:15:00+05:30,604375edf44f408e9d66b0a7f4db8d7d,BUY,300,295.45,INTRADAY,MARKET,2023-06-05 15:10:00+05:30,884018e2a2814168a23963a9ae761690,SELL,300,298.5,INTRADAY,MARKET,915.0,-55965.0,1.03,-111.93,-5965.0,-111.93
7,NSE_FO:BANKNIFTY08JUN2344300CE [LOCAL],2023-06-05 09:15:00+05:30,f37ce90cf7974a9b8038024fbdd73723,BUY,300,190.4,INTRADAY,MARKET,2023-06-05 15:10:00+05:30,a31a4a7b6bf2458f81f172188329a8d7,SELL,300,183.95,INTRADAY,MARKET,-1935.0,-57900.0,-3.39,-115.8,-7900.0,-115.8
8,NSE_FO:BANKNIFTY08JUN2344300CE [LOCAL],2023-06-05 09:15:00+05:30,6c52507496754f30adc968e7d634a98d,SELL,300,190.4,INTRADAY,MARKET,2023-06-05 15:10:00+05:30,64656d19c575460e9f93d4e5d1d0a704,BUY,300,183.95,INTRADAY,MARKET,1935.0,-55965.0,3.39,-111.93,-5965.0,-111.93
9,NSE_FO:BANKNIFTY08JUN2344200CE [LOCAL],2023-06-06 09:15:00+05:30,5cac3667b6144ff5ac27a9d27cc12410,BUY,300,223.45,INTRADAY,MARKET,2023-06-06 15:10:00+05:30,bcf7aeca96394c92af7af54d6e60c0f3,SELL,300,132.55,INTRADAY,MARKET,-27270.0,-83235.0,-40.68,-166.47,-33235.0,-166.47
