,INST,EN_TIME,EN_ID,EN_TT,EN_Q,EN_PRICE,EN_CODE,EN_VAR,EX_TIME,EX_ID,EX_TT,EX_Q,EX_PRICE,EX_CODE,EX_VAR,P&L,ROI,P&L %,ROI %,Equity Curve,Drawdown %
0,NSE_FO:NIFTY01JUN2318600PE [LOCAL],2023-06-01 09:30:00+05:30,7923518bafbc459bb8659c25b91e72bb,BUY,50,68.8,INTRADAY,MARKET,2023-06-01 15:10:00+05:30,9129d24cb1f84cfc8f1d8687fb2f2e19,SELL,50,76.7,INTRADAY,MARKET,395.0,395.0,11.48,0.79,50395.0,0.0
1,NSE_FO:NIFTY01JUN2318700PE [LOCAL],2023-06-01 09:30:00+05:30,435d8c33fa874b7a9e79cb0973fc065e,BUY,50,161.75,INTRADAY,MARKET,2023-06-01 15:10:00+05:30,3282d98756ee498cbcac0301bed83bb0,SELL,50,174.3,INTRADAY,MARKET,627.5,1022.5,7.76,2.04,51022.5,0.0
2,NSE_FO:NIFTY01JUN2318700PE [LOCAL],2023-06-01 09:30:00+05:30,e4264d149e4446aebebfb214fd94c9f5,SELL,50,161.75,INTRADAY,MARKET,2023-06-01 15:10:00+05:30,ff9357b0d9754fd2b1db61b193a00088,BUY,50,174.3,INTRADAY,MARKET,-627.5,395.0,-7.76,0.79,50395.0,-1.23
3,NSE_FO:NIFTY08JUN2318550PE [LOCAL],2023-06-02 09:15:00+05:30,0c4c73ed8b554304852cd1fbb99ef10d,BUY,50,85.4,INTRADAY,MARKET,2023-06-02 15:10:00+05:30,499a752237844ae1af551af4fc670448,SELL,50,75.8,INTRADAY,MARKET,-480.0,-85.0,-11.24,-0.17,49915.0,-2.17
4,NSE_FO:NIFTY08JUN2318650PE [LOCAL],2023-06-02 09:15:00+05:30,cd14e0a850544ed788b8afe7e87114e9,BUY,50,169.35,INTRADAY,MARKET,2023-06-02 15:10:00+05:30,0fc8ba72605245128abc232b4f9a32a9,SELL,50,127.5,INTRADAY,MARKET,-2092.5,-2177.5,-24.71,-4.35,47822.5,-6.27
5,NSE_FO:NIFTY08JUN2318650PE [LOCAL],2023-06-02 09:15:00+05:30,f5510e28e8c04c9190291110cb047a98,SELL,50,169.35,INTRADAY,MARKET,2023-06-02 15:10:00+05:30,04a8a2d271ea4778a5f87bb8ed23f356,BUY,50,127.5,INTRADAY,MARKET,2092.5,-85.0,24.71,-0.17,49915.0,-2.17
6,NSE_FO:NIFTY08JUN2318600PE [LOCAL],2023-06-05 09:15:00+05:30,c5e6482d76e94126938b43368adaf708,BUY,50,55.1,INTRADAY,MARKET,2023-06-05 15:10:00+05:30,c2536abb514041d487fde8d12da05df7,SELL,50,49.4,INTRADAY,MARKET,-285.0,-370.0,-10.34,-0.74,49630.0,-2.73
7,NSE_FO:NIFTY08JUN2318700PE [LOCAL],2023-06-05 09:15:00+05:30,af04880afc8849e2b18d281bee32607c,BUY,50,123.0,INTRADAY,MARKET,2023-06-05 15:10:00+05:30,b0cc9bc1d4164b2f9ed7d81b1e622d2d,SELL,50,97.7,INTRADAY,MARKET,-1265.0,-1635.0,-20.57,-3.27,48365.0,-5.21
8,NSE_FO:NIFTY08JUN2318700PE [LOCAL],2023-06-05 09:15:00+05:30,59b6780c3ebd4e3da54cbccffcd93285,SELL,50,123.0,INTRADAY,MARKET,2023-06-05 15:10:00+05:30,01d0dbc252eb4fc3b23a165867cf86ef,BUY,50,97.7,INTRADAY,MARKET,1265.0,-370.0,20.57,-0.74,49630.0,-2.73
9,NSE_FO:NIFTY08JUN2318600PE [LOCAL],2023-06-06 09:15:00+05:30,b71c11bf06454ea0994624d3dfba1ff7,BUY,50,43.45,INTRADAY,MARKET,2023-06-06 15:10:00+05:30,82f442262c674d4ea4e2f59ede42e2c9,SELL,50,77.1,INTRADAY,MARKET,1682.5,1312.5,77.45,2.62,51312.5,0.0
