,INST,EN_TIME,EN_ID,EN_TT,EN_Q,EN_PRICE,EN_CODE,EN_VAR,EX_TIME,EX_ID,EX_TT,EX_Q,EX_PRICE,EX_CODE,EX_VAR,P&L,ROI,P&L %,ROI %,Equity Curve,Drawdown %
0,NSE_FO:BANKNIFTY01JUN2344200CE [LOCAL],2023-06-01 09:30:00+05:30,faef8ca608304b83adb26f935a85d078,BUY,15,130.5,INTRADAY,MARKET,2023-06-01 15:10:00+05:30,974566d7ec1b4a7b9df52158866ac44e,SELL,15,15.35,INTRADAY,MARKET,-1727.25,-1727.25,-88.24,-3.45,48272.75,-3.45
1,NSE_FO:BANKNIFTY01JUN2344400CE [LOCAL],2023-06-01 09:30:00+05:30,f390d9b69bff439c8c1655a4e17e0bf1,BUY,15,49.0,INTRADAY,MARKET,2023-06-01 15:10:00+05:30,af8a4d3369134420aabbaedfdb2d7479,SELL,15,4.85,INTRADAY,MARKET,-662.25,-2389.5,-90.1,-4.78,47610.5,-4.78
2,NSE_FO:BANKNIFTY01JUN2344600CE [LOCAL],2023-06-01 09:30:00+05:30,74cd4fd8a5d1412db6686240ad795c9f,SELL,15,9.95,INTRADAY,MARKET,2023-06-01 15:10:00+05:30,09fc3a47468a43e69da03313b5aeeeb5,BUY,15,2.65,INTRADAY,MARKET,109.5,-2280.0,73.37,-4.56,47720.0,-4.56
3,NSE_FO:BANKNIFTY08JUN2344000CE [LOCAL],2023-06-02 09:15:00+05:30,73ef14d45004418a82c9429ec9b33c32,BUY,15,349.35,INTRADAY,MARKET,2023-06-02 15:10:00+05:30,f8736002ae434c7b9e705e17925b812b,SELL,15,274.9,INTRADAY,MARKET,-1116.75,-3396.75,-21.31,-6.79,46603.25,-6.79
4,NSE_FO:BANKNIFTY08JUN2344200CE [LOCAL],2023-06-02 09:15:00+05:30,dc5abfecfbcd42d88afd6cda20d26231,BUY,15,245.5,INTRADAY,MARKET,2023-06-02 15:10:00+05:30,666cf6a6260b43f09d6a902b2c53dc03,SELL,15,179.1,INTRADAY,MARKET,-996.0,-4392.75,-27.05,-8.79,45607.25,-8.79
5,NSE_FO:BANKNIFTY08JUN2344400CE [LOCAL],2023-06-02 09:15:00+05:30,b9356a2809f24272aa6b00471b009bb5,SELL,15,174.35,INTRADAY,MARKET,2023-06-02 15:10:00+05:30,6621198fe17e4791a7c1154c40891823,BUY,15,109.95,INTRADAY,MARKET,966.0,-3426.75,36.94,-6.85,46573.25,-6.85
6,NSE_FO:BANKNIFTY08JUN2344100CE [LOCAL],2023-06-05 09:15:00+05:30,542ce2dbb93145de834eefee97f6ea36,BUY,15,295.45,INTRADAY,MARKET,2023-06-05 15:10:00+05:30,7d7942163389483b8de3da73f9becab7,SELL,15,298.5,INTRADAY,MARKET,45.75,-3381.0,1.03,-6.76,46619.0,-6.76
7,NSE_FO:BANKNIFTY08JUN2344300CE [LOCAL],2023-06-05 09:15:00+05:30,7b86efdbe7134ebe9864953031667e1c,BUY,15,190.4,INTRADAY,MARKET,2023-06-05 15:10:00+05:30,b55d573f9cbf486fb77d5452797c2719,SELL,15,183.95,INTRADAY,MARKET,-96.75,-3477.75,-3.39,-6.96,46522.25,-6.96
8,NSE_FO:BANKNIFTY08JUN2344500CE [LOCAL],2023-06-05 09:15:00+05:30,0e41f6a1e63e488e8f592d79d4e0c58d,SELL,15,112.95,INTRADAY,MARKET,2023-06-05 15:10:00+05:30,c7089aa1b46b4f36914b24f2c0fe05e5,BUY,15,102.5,INTRADAY,MARKET,156.75,-3321.0,9.25,-6.64,46679.0,-6.64
9,NSE_FO:BANKNIFTY08JUN2344200CE [LOCAL],2023-06-06 09:15:00+05:30,cb887cce55cb49fab82472bf66245644,BUY,15,223.45,INTRADAY,MARKET,2023-06-06 15:10:00+05:30,67d6ee813f7841ccacdba99829645b61,SELL,15,132.55,INTRADAY,MARKET,-1363.5,-4684.5,-40.68,-9.37,45315.5,-9.37
10,NSE_FO:BANKNIFTY08JUN2344400CE [LOCAL],2023-06-06 09:15:00+05:30,16de7038142649618a99e629bc48a1e7,BUY,15,125.45,INTRADAY,MARKET,2023-06-06 15:10:00+05:30,5384808ac2ac46eeb7c9c9035ef140b8,SELL,15,62.6,INTRADAY,MARKET,-942.75,-5627.25,-50.1,-11.25,44372.75,-11.25
11,NSE_FO:BANKNIFTY08JUN2344600CE [LOCAL],2023-06-06 09:15:00+05:30,c8829c1615384cbf9192d5ce2bc8a1c6,SELL,15,66.95,INTRADAY,MARKET,2023-06-06 15:10:00+05:30,18a42a8a7b33496ebb2afcec9ab37d33,BUY,15,26.3,INTRADAY,MARKET,609.75,-5017.5,60.72,-10.04,44982.5,-10.04
12,NSE_FO:BANKNIFTY08JUN2344300CE [LOCAL],2023-06-07 09:15:00+05:30,871948cb5c7245289d1957a53f1af5b9,BUY,15,125.0,INTRADAY,MARKET,2023-06-07 15:10:00+05:30,1e10234d576947bd8260996cf7f9293e,SELL,15,100.25,INTRADAY,MARKET,-371.25,-5388.75,-19.8,-10.78,44611.25,-10.78
13,NSE_FO:BANKNIFTY08JUN2344500CE [LOCAL],2023-06-07 09:15:00+05:30,0d344690fb6c4d6982621a0a73cb6b5b,BUY,15,63.0,INTRADAY,MARKET,2023-06-07 15:10:00+05:30,3860070076664af5a8f60da479e14ee7,SELL,15,36.5,INTRADAY,MARKET,-397.5,-5786.25,-42.06,-11.57,44213.75,-11.57
14,NSE_FO:BANKNIFTY08JUN2344700CE [LOCAL],2023-06-07 09:15:00+05:30,f1f94d52614d4cc19e67f35007e44030,SELL,15,26.7,INTRADAY,MARKET,2023-06-07 15:10:00+05:30,fc6f1ca8741745b8b82110dddc7722c5,BUY,15,11.5,INTRADAY,MARKET,228.0,-5558.25,56.93,-11.12,44441.75,-11.12
15,NSE_FO:BANKNIFTY08JUN2344200CE [LOCAL],2023-06-08 09:15:00+05:30,c1938f3c16534b20961826f13627af9c,BUY,15,161.05,INTRADAY,MARKET,2023-06-08 15:10:00+05:30,31a192127795484b85b7afc17863adfe,SELL,15,63.1,INTRADAY,MARKET,-1469.25,-7027.5,-60.82,-14.06,42972.5,-14.05
16,NSE_FO:BANKNIFTY08JUN2344400CE [LOCAL],2023-06-08 09:15:00+05:30,ab3c3ad36877411c8632271fbaefbb8d,BUY,15,65.95,INTRADAY,MARKET,2023-06-08 15:10:00+05:30,374921a94cbc4b28910f80c448205c01,SELL,15,9.05,INTRADAY,MARKET,-853.5,-7881.0,-86.28,-15.76,42119.0,-15.76
17,NSE_FO:BANKNIFTY08JUN2344600CE [LOCAL],2023-06-08 09:15:00+05:30,170810aac26f4dcebd0aa5b2b53ddf63,SELL,15,19.7,INTRADAY,MARKET,2023-06-08 15:10:00+05:30,11398a771d404f6f90fe0285b717e5a7,BUY,15,3.05,INTRADAY,MARKET,249.75,-7631.25,84.52,-15.26,42368.75,-15.26
18,NSE_FO:BANKNIFTY15JUN2344000CE [LOCAL],2023-06-09 09:15:00+05:30,3026200cfe0546d1a2d3aa43f626877e,BUY,15,348.85,INTRADAY,MARKET,2023-06-09 15:10:00+05:30,d4def60ec9394ea799aaf9e1a24de1d0,SELL,15,275.55,INTRADAY,MARKET,-1099.5,-8730.75,-21.01,-17.46,41269.25,-17.46
19,NSE_FO:BANKNIFTY15JUN2344200CE [LOCAL],2023-06-09 09:15:00+05:30,3690a5b08aff4898b40719c6dfcc8639,BUY,15,241.8,INTRADAY,MARKET,2023-06-09 15:10:00+05:30,65c944d3d3384765ab872c3eadcff5c4,SELL,15,177.8,INTRADAY,MARKET,-960.0,-9690.75,-26.47,-19.38,40309.25,-19.38
20,NSE_FO:BANKNIFTY15JUN2344400CE [LOCAL],2023-06-09 09:15:00+05:30,18452ae55d6f4e37a59cce3c1f49c308,SELL,15,157.65,INTRADAY,MARKET,2023-06-09 15:10:00+05:30,249dfa2b64ee44d592306784dd89b0b0,BUY,15,105.3,INTRADAY,MARKET,785.25,-8905.5,33.21,-17.81,41094.5,-17.81
21,NSE_FO:BANKNIFTY15JUN2344000CE [LOCAL],2023-06-12 09:15:00+05:30,4f52b3c681b947bd8518ebe8557212a9,BUY,15,259.0,INTRADAY,MARKET,2023-06-12 15:10:00+05:30,f2fcf3f886c54bfa93b840bd67f89332,SELL,15,223.8,INTRADAY,MARKET,-528.0,-9433.5,-13.59,-18.87,40566.5,-18.87
22,NSE_FO:BANKNIFTY15JUN2344200CE [LOCAL],2023-06-12 09:15:00+05:30,5e53d572ca4b43d2a7f739ce552679b0,BUY,15,174.45,INTRADAY,MARKET,2023-06-12 15:10:00+05:30,47d280ded7324f9e9d458d6660f51899,SELL,15,132.65,INTRADAY,MARKET,-627.0,-10060.5,-23.96,-20.12,39939.5,-20.12
23,NSE_FO:BANKNIFTY15JUN2344400CE [LOCAL],2023-06-12 09:15:00+05:30,df2f20e0e52f43099fe349489f725673,SELL,15,108.85,INTRADAY,MARKET,2023-06-12 15:10:00+05:30,bd1f43a954eb40e39e8d4a91bb15b3cc,BUY,15,70.8,INTRADAY,MARKET,570.75,-9489.75,34.96,-18.98,40510.25,-18.98
24,NSE_FO:BANKNIFTY15JUN2343900CE [LOCAL],2023-06-13 09:15:00+05:30,112647a3fd554118815ef007c3ac974b,BUY,15,230.25,INTRADAY,MARKET,2023-06-13 15:10:00+05:30,56f0b354ba374c17a2ddccc259b2dc97,SELL,15,248.9,INTRADAY,MARKET,279.75,-9210.0,8.1,-18.42,40790.0,-18.42
25,NSE_FO:BANKNIFTY15JUN2344100CE [LOCAL],2023-06-13 09:15:00+05:30,d8434e0b7b054c0e89631aa63e53eb3d,BUY,15,135.7,INTRADAY,MARKET,2023-06-13 15:10:00+05:30,3713862ab61d441e93a70629523e50d9,SELL,15,138.45,INTRADAY,MARKET,41.25,-9168.75,2.03,-18.34,40831.25,-18.34
26,NSE_FO:BANKNIFTY15JUN2344300CE [LOCAL],2023-06-13 09:15:00+05:30,94516f76d74e48d89682862e216e41fc,SELL,15,76.25,INTRADAY,MARKET,2023-06-13 15:10:00+05:30,29a182c62ce445d1b235e43b9e9ccaee,BUY,15,67.3,INTRADAY,MARKET,134.25,-9034.5,11.74,-18.07,40965.5,-18.07
27,NSE_FO:BANKNIFTY15JUN2344200CE [LOCAL],2023-06-14 09:15:00+05:30,bf4bc15084544dc79ac14533b0a56f36,BUY,15,161.45,INTRADAY,MARKET,2023-06-14 15:10:00+05:30,49ca4e430e9e48e4944aea6f20da2138,SELL,15,78.5,INTRADAY,MARKET,-1244.25,-10278.75,-51.38,-20.56,39721.25,-20.56
28,NSE_FO:BANKNIFTY15JUN2344400CE [LOCAL],2023-06-14 09:15:00+05:30,24ca7fdd711344d1be3250134218a047,BUY,15,77.0,INTRADAY,MARKET,2023-06-14 15:10:00+05:30,2f28451186d048b282ceb47265900da7,SELL,15,30.45,INTRADAY,MARKET,-698.25,-10977.0,-60.45,-21.95,39023.0,-21.95
29,NSE_FO:BANKNIFTY15JUN2344600CE [LOCAL],2023-06-14 09:15:00+05:30,de03c275785a499fad30690516edfc52,SELL,15,30.0,INTRADAY,MARKET,2023-06-14 15:10:00+05:30,d83aeaa164b34abbb7fa1a3cc8f4c6c5,BUY,15,12.4,INTRADAY,MARKET,264.0,-10713.0,58.67,-21.43,39287.0,-21.43
30,NSE_FO:BANKNIFTY15JUN2344100CE [LOCAL],2023-06-15 09:15:00+05:30,49e35f1979e5412c9991a0fd407d0e3b,BUY,15,118.7,INTRADAY,MARKET,2023-06-15 15:10:00+05:30,21d0cce0c23e4c54a32bb1638e37698d,SELL,15,4.35,INTRADAY,MARKET,-1715.25,-12428.25,-96.34,-24.86,37571.75,-24.86
31,NSE_FO:BANKNIFTY15JUN2344300CE [LOCAL],2023-06-15 09:15:00+05:30,e4d4f5f64ec9462c9837fa62f9d980d3,BUY,15,43.0,INTRADAY,MARKET,2023-06-15 15:10:00+05:30,44ec3c18cc6d4fbfac2e51faf55574c5,SELL,15,3.9,INTRADAY,MARKET,-586.5,-13014.75,-90.93,-26.03,36985.25,-26.03
32,NSE_FO:BANKNIFTY15JUN2344500CE [LOCAL],2023-06-15 09:15:00+05:30,e3b9e836aae7430abcf6d6723ca35ff4,SELL,15,12.0,INTRADAY,MARKET,2023-06-15 15:10:00+05:30,662cc7aeb4cf468a8cefe71bf8223c23,BUY,15,3.7,INTRADAY,MARKET,124.5,-12890.25,69.17,-25.78,37109.75,-25.78
33,NSE_FO:BANKNIFTY22JUN2343600CE [LOCAL],2023-06-16 09:15:00+05:30,87e8b17d6fcc49f2a3b571b9a313ad45,BUY,15,292.0,INTRADAY,MARKET,2023-06-16 15:10:00+05:30,5341f44e2db34a1f87f54be7f965f42c,SELL,15,376.05,INTRADAY,MARKET,1260.75,-11629.5,28.78,-23.26,38370.5,-23.26
34,NSE_FO:BANKNIFTY22JUN2343800CE [LOCAL],2023-06-16 09:15:00+05:30,0523a011ca044bed9f08a9cf45537d30,BUY,15,210.0,INTRADAY,MARKET,2023-06-16 15:10:00+05:30,dd2c6a09f54c41d6a4f95756ee1f7aba,SELL,15,252.0,INTRADAY,MARKET,630.0,-10999.5,20.0,-22.0,39000.5,-22.0
35,NSE_FO:BANKNIFTY22JUN2344000CE [LOCAL],2023-06-16 09:15:00+05:30,c9cb210651e64407b7ad911eb5fd8bcc,SELL,15,129.8,INTRADAY,MARKET,2023-06-16 15:10:00+05:30,2e7e64487fa9400293287a9a508ee233,BUY,15,155.5,INTRADAY,MARKET,-385.5,-11385.0,-19.8,-22.77,38615.0,-22.77
36,NSE_FO:BANKNIFTY22JUN2344000CE [LOCAL],2023-06-19 09:15:00+05:30,85408b33b20b415a8cdd10826f4e0cbe,BUY,15,204.4,INTRADAY,MARKET,2023-06-19 15:10:00+05:30,690c2bfd21ec452ea5ef430aac673895,SELL,15,204.4,INTRADAY,MARKET,0.0,-11385.0,0.0,-22.77,38615.0,-22.77
37,NSE_FO:BANKNIFTY22JUN2344200CE [LOCAL],2023-06-19 09:15:00+05:30,18113cc713ff4ea797fb08f57fc334ab,BUY,15,117.35,INTRADAY,MARKET,2023-06-19 15:10:00+05:30,2a1f8a112b5f40688db8b6c614e6dadc,SELL,15,117.35,INTRADAY,MARKET,0.0,-11385.0,0.0,-22.77,38615.0,-22.77
