,INST,EN_TIME,EN_ID,EN_TT,EN_Q,EN_PRICE,EN_CODE,EN_VAR,EX_TIME,EX_ID,EX_TT,EX_Q,EX_PRICE,EX_CODE,EX_VAR,P&L,ROI,P&L %,ROI %,Equity Curve,Drawdown %
0,NSE_FO:BANKNIFTY01JUN2344200CE [LOCAL],2023-06-01 09:30:00+05:30,646db1e6543b4e938808ae9694983096,SELL,15,130.5,INTRADAY,MARKET,2023-06-01 15:10:00+05:30,955e848904654c07b062465522aae865,BUY,15,15.35,INTRADAY,MARKET,1727.25,1727.25,88.24,3.45,51727.25,0.0
1,NSE_FO:BANKNIFTY01JUN2344200PE [LOCAL],2023-06-01 09:30:00+05:30,751d64d4d75b49c9af8b02f736ab74dd,SELL,15,99.4,INTRADAY,MARKET,2023-06-01 15:10:00+05:30,cd1d11732e5a47c2aa1244d211c016aa,BUY,15,205.8,INTRADAY,MARKET,-1596.0,131.25,-107.04,0.26,50131.25,-3.09
2,NSE_FO:BANKNIFTY08JUN2344000CE [LOCAL],2023-06-02 09:15:00+05:30,0a0ef79397b641f1b0a50923f2642850,SELL,15,349.35,INTRADAY,MARKET,2023-06-02 15:10:00+05:30,ca4980aa808046a8ab039612f957f7cb,BUY,15,274.9,INTRADAY,MARKET,1116.75,1248.0,21.31,2.5,51248.0,-0.93
3,NSE_FO:BANKNIFTY08JUN2344000PE [LOCAL],2023-06-02 09:15:00+05:30,2fe5225077bc4724a478dce2fefa1e0d,SELL,15,256.9,INTRADAY,MARKET,2023-06-02 15:10:00+05:30,17e3256e274c48e58b5070361cec7f00,BUY,15,260.35,INTRADAY,MARKET,-51.75,1196.25,-1.34,2.39,51196.25,-1.03
4,NSE_FO:BANKNIFTY08JUN2344100CE [LOCAL],2023-06-05 09:15:00+05:30,96bc041f4fa84bf89fa3468d7b47a1fd,SELL,15,295.45,INTRADAY,MARKET,2023-06-05 15:10:00+05:30,0d9481465d6d4b0c938602918a0e7db0,BUY,15,298.5,INTRADAY,MARKET,-45.75,1150.5,-1.03,2.3,51150.5,-1.11
5,NSE_FO:BANKNIFTY08JUN2344100PE [LOCAL],2023-06-05 09:15:00+05:30,8f61d540d8f24618923cc72b4808c842,SELL,15,192.9,INTRADAY,MARKET,2023-06-05 15:10:00+05:30,6cda50c99379429ea019557952a01c8a,BUY,15,146.35,INTRADAY,MARKET,698.25,1848.75,24.13,3.7,51848.75,0.0
6,NSE_FO:BANKNIFTY08JUN2344200CE [LOCAL],2023-06-06 09:15:00+05:30,873d5d14bb224084a85fbeaafb5ed171,SELL,15,223.45,INTRADAY,MARKET,2023-06-06 15:10:00+05:30,6442fbf0f465486dac3a76fc9dabf050,BUY,15,132.55,INTRADAY,MARKET,1363.5,3212.25,40.68,6.42,53212.25,0.0
7,NSE_FO:BANKNIFTY08JUN2344200PE [LOCAL],2023-06-06 09:15:00+05:30,31afb005ce62444694a7656de8ae2b61,SELL,15,166.9,INTRADAY,MARKET,2023-06-06 15:10:00+05:30,65bca70f7e704123afa4d2b36c4df68d,BUY,15,214.65,INTRADAY,MARKET,-716.25,2496.0,-28.61,4.99,52496.0,-1.35
8,NSE_FO:BANKNIFTY08JUN2344300CE [LOCAL],2023-06-07 09:15:00+05:30,409c5f6f556e441f8ceffdd692744717,SELL,15,125.0,INTRADAY,MARKET,2023-06-07 15:10:00+05:30,b7fa2c56f1a743789ef230f27f078b18,BUY,15,100.25,INTRADAY,MARKET,371.25,2867.25,19.8,5.73,52867.25,-0.65
9,NSE_FO:BANKNIFTY08JUN2344300PE [LOCAL],2023-06-07 09:15:00+05:30,19928f3280cc41949eab15a4e32b2ce7,SELL,15,171.0,INTRADAY,MARKET,2023-06-07 15:10:00+05:30,69fbfb7193414eb2b5d366f145524370,BUY,15,162.4,INTRADAY,MARKET,129.0,2996.25,5.03,5.99,52996.25,-0.41
10,NSE_FO:BANKNIFTY08JUN2344200CE [LOCAL],2023-06-08 09:15:00+05:30,5f66de8cfe58421a92c2850982259434,SELL,15,161.05,INTRADAY,MARKET,2023-06-08 15:10:00+05:30,380726b867174b9c931419d048c27448,BUY,15,63.1,INTRADAY,MARKET,1469.25,4465.5,60.82,8.93,54465.5,0.0
11,NSE_FO:BANKNIFTY08JUN2344200PE [LOCAL],2023-06-08 09:15:00+05:30,2dde0fad882e458e9446fa9b01077d5a,SELL,15,74.05,INTRADAY,MARKET,2023-06-08 15:10:00+05:30,bf3a303da79a4470a545a1e557fb8fc0,BUY,15,55.25,INTRADAY,MARKET,282.0,4747.5,25.39,9.5,54747.5,0.0
12,NSE_FO:BANKNIFTY15JUN2344000CE [LOCAL],2023-06-09 09:15:00+05:30,bb8a52d0c88b48b38cd3640ee9a2ebc9,SELL,15,348.85,INTRADAY,MARKET,2023-06-09 15:10:00+05:30,d840605b3b904ce98bb0254f0685bf09,BUY,15,275.55,INTRADAY,MARKET,1099.5,5847.0,21.01,11.69,55847.0,0.0
13,NSE_FO:BANKNIFTY15JUN2344000PE [LOCAL],2023-06-09 09:15:00+05:30,623f7444dae74225a5dfa2dbefa9e925,SELL,15,226.0,INTRADAY,MARKET,2023-06-09 15:10:00+05:30,6ab4d12e71814f76be5962a75313e5d9,BUY,15,233.55,INTRADAY,MARKET,-113.25,5733.75,-3.34,11.47,55733.75,-0.2
14,NSE_FO:BANKNIFTY15JUN2344000CE [LOCAL],2023-06-12 09:15:00+05:30,e4e264b5c13f4c5a912a41aa2d8df511,SELL,15,259.0,INTRADAY,MARKET,2023-06-12 15:10:00+05:30,0fb0f693e3954121b3d4447abb1a9793,BUY,15,223.8,INTRADAY,MARKET,528.0,6261.75,13.59,12.52,56261.75,0.0
15,NSE_FO:BANKNIFTY15JUN2344000PE [LOCAL],2023-06-12 09:15:00+05:30,1e1c3ec1c0ad4273a165c04375e6f6ab,SELL,15,187.05,INTRADAY,MARKET,2023-06-12 15:10:00+05:30,eaa5845088b247cab4c1e78215c2a82e,BUY,15,190.75,INTRADAY,MARKET,-55.5,6206.25,-1.98,12.41,56206.25,-0.1
16,NSE_FO:BANKNIFTY15JUN2343900CE [LOCAL],2023-06-13 09:15:00+05:30,efa265e9deae4db0a68f4fcd056ddcbd,SELL,15,230.25,INTRADAY,MARKET,2023-06-13 15:10:00+05:30,42ca974280a04d3ebecddda93faefe00,BUY,15,248.9,INTRADAY,MARKET,-279.75,5926.5,-8.1,11.85,55926.5,-0.6
17,NSE_FO:BANKNIFTY15JUN2343900PE [LOCAL],2023-06-13 09:15:00+05:30,ba961b841c4148c297564c1b224cbf2f,SELL,15,177.0,INTRADAY,MARKET,2023-06-13 15:10:00+05:30,69201e41bc6d438482836465afc0b3ed,BUY,15,118.15,INTRADAY,MARKET,882.75,6809.25,33.25,13.62,56809.25,0.0
18,NSE_FO:BANKNIFTY15JUN2344200CE [LOCAL],2023-06-14 09:15:00+05:30,542b0bfc88eb45a1b6ba33e9880f12f2,SELL,15,161.45,INTRADAY,MARKET,2023-06-14 15:10:00+05:30,b4083f1dad844771ac31ed6e07744a42,BUY,15,78.5,INTRADAY,MARKET,1244.25,8053.5,51.38,16.11,58053.5,0.0
19,NSE_FO:BANKNIFTY15JUN2344200PE [LOCAL],2023-06-14 09:15:00+05:30,ccc63b6ca32440c181d60ab910d23c01,SELL,15,136.85,INTRADAY,MARKET,2023-06-14 15:10:00+05:30,8f2e86afd9ca47078e1ec577b8edce8b,BUY,15,218.85,INTRADAY,MARKET,-1230.0,6823.5,-59.92,13.65,56823.5,-2.12
20,NSE_FO:BANKNIFTY15JUN2344100CE [LOCAL],2023-06-15 09:15:00+05:30,0f561ba5f1e443349d10c79b5b6196d9,SELL,15,118.7,INTRADAY,MARKET,2023-06-15 15:10:00+05:30,a5b4d3619fec496b9484f79ad6821a74,BUY,15,4.35,INTRADAY,MARKET,1715.25,8538.75,96.34,17.08,58538.75,0.0
21,NSE_FO:BANKNIFTY15JUN2344100PE [LOCAL],2023-06-15 09:15:00+05:30,61db107028ca46ca968c398f24749e9e,SELL,15,105.9,INTRADAY,MARKET,2023-06-15 15:10:00+05:30,4cb72e58aef24540ab3a9b303573c0d0,BUY,15,591.9,INTRADAY,MARKET,-7290.0,1248.75,-458.92,2.5,51248.75,-12.45
22,NSE_FO:BANKNIFTY22JUN2343600CE [LOCAL],2023-06-16 09:15:00+05:30,e6d65181ff634943b307adbe3fd18543,SELL,15,292.0,INTRADAY,MARKET,2023-06-16 15:10:00+05:30,ecca2ebaae474dc6b4423269b59bb01e,BUY,15,376.05,INTRADAY,MARKET,-1260.75,-12.0,-28.78,-0.02,49988.0,-14.61
23,NSE_FO:BANKNIFTY22JUN2343600PE [LOCAL],2023-06-16 09:15:00+05:30,a5e5899ee420478a9d7125b33487e64e,SELL,15,338.0,INTRADAY,MARKET,2023-06-16 15:10:00+05:30,84e52d5fb2c545fa8a6fb0559fcfd88e,BUY,15,143.45,INTRADAY,MARKET,2918.25,2906.25,57.56,5.81,52906.25,-9.62
24,NSE_FO:BANKNIFTY22JUN2344000CE [LOCAL],2023-06-19 09:15:00+05:30,bfc8e2110d9345b0b50e439d3e6d9feb,SELL,15,204.4,INTRADAY,MARKET,2023-06-19 15:10:00+05:30,74431bcb39f741f6be4561c50920850b,BUY,15,204.4,INTRADAY,MARKET,-0.0,2906.25,-0.0,5.81,52906.25,-9.62
25,NSE_FO:BANKNIFTY22JUN2344000PE [LOCAL],2023-06-19 09:15:00+05:30,d04055335df64d0bafcee111b75f963f,SELL,15,231.25,INTRADAY,MARKET,2023-06-19 15:10:00+05:30,13a305fbb2034058983a2ea7d22bc032,BUY,15,231.25,INTRADAY,MARKET,-0.0,2906.25,-0.0,5.81,52906.25,-9.62
26,NSE_FO:BANKNIFTY22JUN2343600CE [LOCAL],2023-06-20 09:15:00+05:30,ddd16c954ffb433eb489f947f08e749a,SELL,15,275.75,INTRADAY,MARKET,2023-06-20 15:10:00+05:30,c084f09a00914144925d10ca31c0a41c,BUY,15,163.7,INTRADAY,MARKET,1680.75,4587.0,40.63,9.17,54587.0,-6.75
27,NSE_FO:BANKNIFTY22JUN2343600PE [LOCAL],2023-06-20 09:15:00+05:30,8404ecd720aa4a078f9f209a10175b97,SELL,15,161.15,INTRADAY,MARKET,2023-06-20 15:10:00+05:30,a6e794f11e7844dda889dde9f1a57b8d,BUY,15,173.4,INTRADAY,MARKET,-183.75,4403.25,-7.6,8.81,54403.25,-7.06
28,NSE_FO:BANKNIFTY22JUN2343900CE [LOCAL],2023-06-21 09:15:00+05:30,e06cb85a13d348388a1f1ead5cab0dd0,SELL,15,125.05,INTRADAY,MARKET,2023-06-21 15:10:00+05:30,1795d9f4ae3f43db82b5291de745610d,BUY,15,136.4,INTRADAY,MARKET,-170.25,4233.0,-9.08,8.47,54233.0,-7.36
29,NSE_FO:BANKNIFTY22JUN2343900PE [LOCAL],2023-06-21 09:15:00+05:30,cdd14ab1e1d0427ebd8ada438bc33640,SELL,15,160.05,INTRADAY,MARKET,2023-06-21 15:10:00+05:30,c9acbbc122fa4492ae884ee0bde9eff1,BUY,15,134.0,INTRADAY,MARKET,390.75,4623.75,16.28,9.25,54623.75,-6.69
30,NSE_FO:BANKNIFTY22JUN2343900CE [LOCAL],2023-06-22 09:15:00+05:30,109f8ca5203a42aa97c29696c49a2a34,SELL,15,88.9,INTRADAY,MARKET,2023-06-22 15:10:00+05:30,3eab207453784263b83386c2b1402cee,BUY,15,92.8,INTRADAY,MARKET,-58.5,4565.25,-4.39,9.13,54565.25,-6.79
31,NSE_FO:BANKNIFTY22JUN2343900PE [LOCAL],2023-06-22 09:15:00+05:30,bc45eef0eedf425d8018bf78810fe7ac,SELL,15,170.05,INTRADAY,MARKET,2023-06-22 15:10:00+05:30,907083db995e43bf8a764890ee7a7121,BUY,15,49.35,INTRADAY,MARKET,1810.5,6375.75,70.98,12.75,56375.75,-3.69
32,NSE_FO:BANKNIFTY29JUN2343600CE [LOCAL],2023-06-23 09:15:00+05:30,d32845defb4544f9a358bdb66ca7a570,SELL,15,340.0,INTRADAY,MARKET,2023-06-23 15:10:00+05:30,aefdfeb15be54863ac5b0e61239fb714,BUY,15,289.55,INTRADAY,MARKET,756.75,7132.5,14.84,14.26,57132.5,-2.4
33,NSE_FO:BANKNIFTY29JUN2343600PE [LOCAL],2023-06-23 09:15:00+05:30,29af4cd83e8f41209a10c77e35478279,SELL,15,223.65,INTRADAY,MARKET,2023-06-23 15:10:00+05:30,3de8afbee60d467fabd1e88806cff7f8,BUY,15,205.5,INTRADAY,MARKET,272.25,7404.75,8.12,14.81,57404.75,-1.94
34,NSE_FO:BANKNIFTY29JUN2343700CE [LOCAL],2023-06-26 09:15:00+05:30,14d696f1ab6744d8b2353d550f7dc052,SELL,15,222.05,INTRADAY,MARKET,2023-06-26 15:10:00+05:30,86e6b99171d44681aad94a46798672eb,BUY,15,162.25,INTRADAY,MARKET,897.0,8301.75,26.93,16.6,58301.75,-0.4
35,NSE_FO:BANKNIFTY29JUN2343700PE [LOCAL],2023-06-26 09:15:00+05:30,80c45a4ec47b4709b65873f777ddd1f9,SELL,15,237.6,INTRADAY,MARKET,2023-06-26 15:10:00+05:30,ebe034093ef14129958e8e0e2819ac4d,BUY,15,232.2,INTRADAY,MARKET,81.0,8382.75,2.27,16.77,58382.75,-0.27
