,INST,EN_TIME,EN_ID,EN_TT,EN_Q,EN_PRICE,EN_CODE,EN_VAR,EX_TIME,EX_ID,EX_TT,EX_Q,EX_PRICE,EX_CODE,EX_VAR,P&L,ROI,P&L %,ROI %,Equity Curve,Drawdown %
0,NSE_FO:NIFTY01JUN2318700CE [LOCAL],2023-06-01 09:30:00+05:30,af11556ed9374f43bb684162d6adb2f1,SELL,50,3.6,INTRADAY,MARKET,2023-06-01 15:10:00+05:30,3cfac7f2b420427695bda2f1cd0d65d3,BUY,50,0.95,INTRADAY,MARKET,132.5,132.5,73.61,0.27,50132.5,0.0
1,NSE_FO:NIFTY01JUN2318700PE [LOCAL],2023-06-01 09:30:00+05:30,358d08ade55844288a03d36cabe4ce6f,SELL,50,161.75,INTRADAY,MARKET,2023-06-01 15:10:00+05:30,79e6e4402b2649f8b9d773a5749bec56,BUY,50,174.3,INTRADAY,MARKET,-627.5,-495.0,-7.76,-0.99,49505.0,-1.25
2,NSE_FO:NIFTY08JUN2318650CE [LOCAL],2023-06-02 09:15:00+05:30,812c22014d6f423f8eb36bca04678724,SELL,50,55.25,INTRADAY,MARKET,2023-06-02 15:10:00+05:30,7dc2371a6cc74bcab7c2155d91b39fd7,BUY,50,50.25,INTRADAY,MARKET,250.0,-245.0,9.05,-0.49,49755.0,-0.75
3,NSE_FO:NIFTY08JUN2318650PE [LOCAL],2023-06-02 09:15:00+05:30,8cf3ee0777734f5f81434053fd77d538,SELL,50,169.35,INTRADAY,MARKET,2023-06-02 15:10:00+05:30,49351768b96649688d9d4ffdeb5a329e,BUY,50,127.5,INTRADAY,MARKET,2092.5,1847.5,24.71,3.69,51847.5,0.0
4,NSE_FO:NIFTY08JUN2318700CE [LOCAL],2023-06-05 09:15:00+05:30,14e0f752ba0a49c2b7ca95845797ce38,SELL,50,51.0,INTRADAY,MARKET,2023-06-05 15:10:00+05:30,96a3663ce0ab42a7a0d6e5b1a6afa1a3,BUY,50,42.75,INTRADAY,MARKET,412.5,2260.0,16.18,4.52,52260.0,0.0
5,NSE_FO:NIFTY08JUN2318700PE [LOCAL],2023-06-05 09:15:00+05:30,da9485e430564bb490cd32a322763c38,SELL,50,123.0,INTRADAY,MARKET,2023-06-05 15:10:00+05:30,2b4929e556134e29be52a68f089959c5,BUY,50,97.7,INTRADAY,MARKET,1265.0,3525.0,20.57,7.05,53525.0,0.0
6,NSE_FO:NIFTY08JUN2318700CE [LOCAL],2023-06-06 09:15:00+05:30,a6e419137e6e486092578aa897484a26,SELL,50,39.9,INTRADAY,MARKET,2023-06-06 15:10:00+05:30,ad3983bc6192420aa8859750f62d8fc7,BUY,50,13.3,INTRADAY,MARKET,1330.0,4855.0,66.67,9.71,54855.0,0.0
7,NSE_FO:NIFTY08JUN2318700PE [LOCAL],2023-06-06 09:15:00+05:30,b8f84f7d909342419c5b597a60c79425,SELL,50,118.95,INTRADAY,MARKET,2023-06-06 15:10:00+05:30,db31fc93312f406cb27ce032a7b93de6,BUY,50,149.15,INTRADAY,MARKET,-1510.0,3345.0,-25.39,6.69,53345.0,-2.75
8,NSE_FO:NIFTY08JUN2318750CE [LOCAL],2023-06-07 09:15:00+05:30,aa14a533299a4434a0d734565f017740,SELL,50,30.55,INTRADAY,MARKET,2023-06-07 15:10:00+05:30,eb5564078fd5409da6ceb2b172903d99,BUY,50,20.1,INTRADAY,MARKET,522.5,3867.5,34.21,7.74,53867.5,-1.8
9,NSE_FO:NIFTY08JUN2318750PE [LOCAL],2023-06-07 09:15:00+05:30,4169a456343e4c6f88fd9c82cdf1f07f,SELL,50,65.85,INTRADAY,MARKET,2023-06-07 15:10:00+05:30,334bc72cafbd4784b1550fb5e2db2acf,BUY,50,74.0,INTRADAY,MARKET,-407.5,3460.0,-12.38,6.92,53460.0,-2.54
10,NSE_FO:NIFTY08JUN2318850CE [LOCAL],2023-06-08 09:15:00+05:30,b1ca15a62c3e48ed9df9f44c8d3439b1,SELL,50,3.75,INTRADAY,MARKET,2023-06-08 15:10:00+05:30,53da404a0d794914b788efdfc1ca37a1,BUY,50,0.55,INTRADAY,MARKET,160.0,3620.0,85.33,7.24,53620.0,-2.25
11,NSE_FO:NIFTY08JUN2318850PE [LOCAL],2023-06-08 09:15:00+05:30,ed766b7a1dea409b95a106958a2a4caa,SELL,50,115.45,INTRADAY,MARKET,2023-06-08 15:10:00+05:30,7d23fb548e14465a8f37960b9240a2da,BUY,50,163.35,INTRADAY,MARKET,-2395.0,1225.0,-41.49,2.45,51225.0,-6.62
12,NSE_FO:NIFTY15JUN2318750CE [LOCAL],2023-06-09 09:15:00+05:30,47f6699c423c4bfe90b78348d5c7a6cf,SELL,50,60.25,INTRADAY,MARKET,2023-06-09 15:10:00+05:30,5089aa19bf7a4ca6b453e7188fc33c04,BUY,50,27.85,INTRADAY,MARKET,1620.0,2845.0,53.78,5.69,52845.0,-3.66
13,NSE_FO:NIFTY15JUN2318750PE [LOCAL],2023-06-09 09:15:00+05:30,7a78551fad7d4c658a5d084ecf51e9f7,SELL,50,121.9,INTRADAY,MARKET,2023-06-09 15:10:00+05:30,2e2778d235944d97aa5cb03cc7c7372d,BUY,50,180.0,INTRADAY,MARKET,-2905.0,-60.0,-47.66,-0.12,49940.0,-8.96
14,NSE_FO:NIFTY15JUN2318700CE [LOCAL],2023-06-12 09:15:00+05:30,43416aedb8ca41e8b90e60b25236ab71,SELL,50,45.0,INTRADAY,MARKET,2023-06-12 15:10:00+05:30,9172b0defacd49199f1036c0b87a8bfc,BUY,50,45.75,INTRADAY,MARKET,-37.5,-97.5,-1.67,-0.19,49902.5,-9.03
15,NSE_FO:NIFTY15JUN2318700PE [LOCAL],2023-06-12 09:15:00+05:30,1cab107928274d97a3048e70fd8af3a4,SELL,50,125.05,INTRADAY,MARKET,2023-06-12 15:10:00+05:30,cd3966950e954fd5aabab082083d29ed,BUY,50,94.45,INTRADAY,MARKET,1530.0,1432.5,24.47,2.86,51432.5,-6.24
16,NSE_FO:NIFTY15JUN2318750CE [LOCAL],2023-06-13 09:15:00+05:30,dc4f7ed650a94c51b137699622111a3c,SELL,50,27.2,INTRADAY,MARKET,2023-06-13 15:10:00+05:30,1c683859b23840d9a99e8932231b7f88,BUY,50,34.3,INTRADAY,MARKET,-355.0,1077.5,-26.1,2.15,51077.5,-6.89
