,INST,EN_TIME,EN_ID,EN_TT,EN_Q,EN_PRICE,EN_CODE,EN_VAR,EX_TIME,EX_ID,EX_TT,EX_Q,EX_PRICE,EX_CODE,EX_VAR,P&L,ROI,P&L %,ROI %,Equity Curve,Drawdown %
0,NSE_EQ:HDFCBANK,2023-05-02 11:15:00+05:30,d536510fac8944a9a0b3a23f17aab332,SELL,1,1691.4,INTRADAY,MARKET,2023-05-02 12:15:00+05:30,e430b9f0b2264d96b054b3daf03e6da5,BUY,1,1695.3,INTRADAY,MARKET,-3.9,-3.9,-0.23,-0.01,49996.1,-0.01
1,NSE_EQ:HDFCBANK,2023-05-02 13:15:00+05:30,e9d75d78dfff4db19ebfec8fa7fcb9b3,SELL,1,1691.85,INTRADAY,MARKET,2023-05-02 15:10:00+05:30,e13f21b6c4e24f03aacb5cdea59fcd83,BUY,1,1691.65,INTRADAY,MARKET,0.2,-3.7,0.01,-0.01,49996.299999999996,-0.01
2,NSE_EQ:HDFCBANK,2023-05-05 10:15:00+05:30,1713dc56e6704a0c8385ce23b5d53881,SELL,1,1650.0,INTRADAY,MARKET,2023-05-05 15:10:00+05:30,ec164ac5427a46909a10109a78a4e4b6,BUY,1,1634.6,INTRADAY,MARKET,15.4,11.7,0.93,0.02,50011.7,0.0
3,NSE_EQ:HDFCBANK,2023-05-08 10:15:00+05:30,cfc21757e2ee4d8bb2c4a4e3139c6a9a,BUY,1,1643.15,INTRADAY,MARKET,2023-05-08 15:10:00+05:30,1f529af40aa046f5a25a2beec137a09c,SELL,1,1646.35,INTRADAY,MARKET,3.2,14.9,0.19,0.03,50014.899999999994,0.0
4,NSE_EQ:HDFCBANK,2023-05-10 11:15:00+05:30,2ca4e95ab1af4b5591f14deb8fca65e0,BUY,1,1641.15,INTRADAY,MARKET,2023-05-10 15:10:00+05:30,9e578a05e435412c872a75c81e692266,SELL,1,1651.9,INTRADAY,MARKET,10.75,25.65,0.66,0.05,50025.649999999994,0.0
5,NSE_EQ:HDFCBANK,2023-05-30 09:15:00+05:30,0b4874b21d834879be4f580676f1969f,SELL,1,1633.6,INTRADAY,MARKET,2023-05-30 15:10:00+05:30,f9fbb36c974840a7b019c0d712203eb8,BUY,1,1633.55,INTRADAY,MARKET,0.05,25.7,0.0,0.05,50025.7,0.0
6,NSE_EQ:HDFCBANK,2023-05-31 10:15:00+05:30,70b01591ecd442d8b9f6959d5ca99ee1,SELL,1,1621.1,INTRADAY,MARKET,2023-05-31 15:10:00+05:30,6e55349394c748a69d305bee7a146141,BUY,1,1607.2,INTRADAY,MARKET,13.9,39.6,0.86,0.08,50039.6,0.0
7,NSE_EQ:HDFCBANK,2023-06-01 09:15:00+05:30,5be2e2f25f944a17969d95c8c495783a,BUY,1,1619.9,INTRADAY,MARKET,2023-06-01 15:10:00+05:30,9417ae212f3246a0a523bfd557425d82,SELL,1,1610.25,INTRADAY,MARKET,-9.65,29.95,-0.6,0.06,50029.95,-0.02
8,NSE_EQ:HDFCBANK,2023-06-02 10:15:00+05:30,6ece06b0498a4f228892698a8d9ece73,BUY,1,1604.65,INTRADAY,MARKET,2023-06-02 15:10:00+05:30,57d15c0896a446429fd7aa9266d85e80,SELL,1,1607.0,INTRADAY,MARKET,2.35,32.3,0.15,0.06,50032.299999999996,-0.01
9,NSE_EQ:HDFCBANK,2023-06-08 13:15:00+05:30,f90f7836850a4707865f10d4f5e937ed,SELL,1,1615.3,INTRADAY,MARKET,2023-06-08 15:10:00+05:30,8381cfddce1243d5b7ebf98802ae2647,BUY,1,1616.9,INTRADAY,MARKET,-1.6,30.7,-0.1,0.06,50030.7,-0.02
10,NSE_EQ:HDFCBANK,2023-06-12 14:15:00+05:30,bde06c2b69494b5ca60e469961211c2d,BUY,1,1603.0,INTRADAY,MARKET,2023-06-12 15:10:00+05:30,10a88fd622cd4838854123b37c5b3979,SELL,1,1603.0,INTRADAY,MARKET,0.0,30.7,0.0,0.06,50030.7,-0.02
11,NSE_EQ:HDFCBANK,2023-06-13 10:15:00+05:30,dd8d10c243eb43288e61f4cf919d4e3e,BUY,1,1604.2,INTRADAY,MARKET,2023-06-13 15:10:00+05:30,b8d843f207d048919e686047810984b1,SELL,1,1601.0,INTRADAY,MARKET,-3.2,27.5,-0.2,0.06,50027.5,-0.02
12,NSE_EQ:HDFCBANK,2023-06-16 10:15:00+05:30,a21a0d725cc74d098aced1ed342c5c9f,BUY,1,1594.8,INTRADAY,MARKET,2023-06-16 15:10:00+05:30,1878f730cfdb4be497a0bb6c33f0d2d3,SELL,1,1599.0,INTRADAY,MARKET,4.2,31.7,0.26,0.06,50031.7,-0.02
13,NSE_EQ:HDFCBANK,2023-06-19 13:15:00+05:30,0adba5c1065146a2b0b6beb3631fa422,SELL,1,1605.0,INTRADAY,MARKET,2023-06-19 15:10:00+05:30,516023fe1b60443c832c245eaa6239ed,BUY,1,1602.5,INTRADAY,MARKET,2.5,34.2,0.16,0.07,50034.2,-0.01
14,NSE_EQ:HDFCBANK,2023-06-20 12:15:00+05:30,91ecaa83862f48248b78a2ca84673590,BUY,1,1596.5,INTRADAY,MARKET,2023-06-20 15:10:00+05:30,702682473e1d46469fe1a59539ec9fba,SELL,1,1600.7,INTRADAY,MARKET,4.2,38.4,0.26,0.08,50038.399999999994,-0.0
15,NSE_EQ:HDFCBANK,2023-06-23 13:15:00+05:30,ed747ced8b414d77a252570cc59d4920,SELL,1,1652.65,INTRADAY,MARKET,2023-06-23 15:10:00+05:30,581b0825b4a14dc5bc798eb93122345b,BUY,1,1643.7,INTRADAY,MARKET,8.95,47.35,0.54,0.09,50047.34999999999,0.0
16,NSE_EQ:HDFCBANK,2023-06-30 09:15:00+05:30,e8ddf337b1204080825b96ed7a258f6e,SELL,1,1704.0,INTRADAY,MARKET,2023-06-30 10:15:00+05:30,13435fd5c4ce4dee831fdc8168bee201,BUY,1,1694.75,INTRADAY,MARKET,9.25,56.6,0.54,0.11,50056.59999999999,0.0
17,NSE_EQ:HDFCBANK,2023-07-03 11:15:00+05:30,70992525073743348865a7b70e36e9d0,SELL,1,1728.1,INTRADAY,MARKET,2023-07-03 15:10:00+05:30,b57269616eb648808d9ea30f461afcec,BUY,1,1724.5,INTRADAY,MARKET,3.6,60.2,0.21,0.12,50060.19999999999,0.0
18,NSE_EQ:HDFCBANK,2023-07-04 14:15:00+05:30,7a6508c83bc34909b0f652d1a07d1f39,SELL,1,1729.0,INTRADAY,MARKET,2023-07-04 15:10:00+05:30,88e9d951b3814dcabd327f7cde7d9010,BUY,1,1729.0,INTRADAY,MARKET,-0.0,60.2,-0.0,0.12,50060.19999999999,0.0
19,NSE_EQ:HDFCBANK,2023-07-06 11:15:00+05:30,01d7cbe7e4454230b7b56db8e0064073,BUY,1,1673.0,INTRADAY,MARKET,2023-07-06 15:10:00+05:30,f32a74cf9c5d48f1bd7bf155a6030b89,SELL,1,1676.85,INTRADAY,MARKET,3.85,64.05,0.23,0.13,50064.04999999999,0.0
20,NSE_EQ:HDFCBANK,2023-07-10 10:15:00+05:30,21487157d9c34cb7ad06776bfec9001b,BUY,1,1667.85,INTRADAY,MARKET,2023-07-10 12:15:00+05:30,43819123e3ea446d91a0080b497c05fd,SELL,1,1655.25,INTRADAY,MARKET,-12.6,51.45,-0.76,0.1,50051.44999999999,-0.03
21,NSE_EQ:HDFCBANK,2023-07-10 13:15:00+05:30,8c0dc60152b446068fc9c5c4b71791e3,BUY,1,1659.8,INTRADAY,MARKET,2023-07-10 15:10:00+05:30,89155f4ef82641b788adc9df56ecae02,SELL,1,1661.35,INTRADAY,MARKET,1.55,53.0,0.09,0.11,50052.99999999999,-0.02
22,NSE_EQ:HDFCBANK,2023-07-12 10:15:00+05:30,d4935f50dc4d4ee290067c40b6fa279a,BUY,1,1662.55,INTRADAY,MARKET,2023-07-12 14:15:00+05:30,a16448e530aa490aae977e73c6848216,SELL,1,1645.5,INTRADAY,MARKET,-17.05,35.95,-1.03,0.07,50035.94999999999,-0.06
23,NSE_EQ:HDFCBANK,2023-07-13 09:15:00+05:30,66ced3b17fa9460c8f276dcd5a551d5c,BUY,1,1656.7,INTRADAY,MARKET,2023-07-13 15:10:00+05:30,f66a2222a5c24cbd9b60e858ceba74c6,SELL,1,1648.55,INTRADAY,MARKET,-8.15,27.8,-0.49,0.06,50027.79999999999,-0.07
24,NSE_EQ:HDFCBANK,2023-07-18 12:15:00+05:30,14ec378e18cf42249fe8405323849e09,SELL,1,1680.3,INTRADAY,MARKET,2023-07-18 15:10:00+05:30,c9f7c274d1da4c5f9e1fcfb1000683c0,BUY,1,1679.35,INTRADAY,MARKET,0.95,28.75,0.06,0.06,50028.749999999985,-0.07
25,NSE_EQ:HDFCBANK,2023-07-21 09:15:00+05:30,aab0b9f993ff40488e4799e623efd915,SELL,1,1680.0,INTRADAY,MARKET,2023-07-21 15:10:00+05:30,57562c8c85b743d9bf629ccf294b5282,BUY,1,1682.3,INTRADAY,MARKET,-2.3,26.45,-0.14,0.05,50026.44999999998,-0.08
26,NSE_EQ:HDFCBANK,2023-07-24 13:15:00+05:30,f3a1967af7d54024b22bd06cbd1cad45,BUY,1,1676.7,INTRADAY,MARKET,2023-07-24 15:10:00+05:30,8b43728c64f549f99fbf9d16869fb7ad,SELL,1,1676.75,INTRADAY,MARKET,0.05,26.5,0.0,0.05,50026.499999999985,-0.08
27,NSE_EQ:HDFCBANK,2023-07-25 14:15:00+05:30,b459ea3f41514693a104a16a7e12a250,SELL,1,1689.05,INTRADAY,MARKET,2023-07-25 15:10:00+05:30,dcdeda51b40b4593a5bf14bfe714fb27,BUY,1,1689.05,INTRADAY,MARKET,-0.0,26.5,-0.0,0.05,50026.499999999985,-0.08
28,NSE_EQ:HDFCBANK,2023-07-28 09:15:00+05:30,e90b9af30e044ef5bea7ced6062f5fdb,BUY,1,1661.5,INTRADAY,MARKET,2023-07-28 10:15:00+05:30,75fd1cc12825401d9cb96e5e46a10bb2,SELL,1,1654.0,INTRADAY,MARKET,-7.5,19.0,-0.45,0.04,50018.999999999985,-0.09
29,NSE_EQ:HDFCBANK,2023-07-31 11:15:00+05:30,ab5f9f320f3d491197382f1707ae0758,BUY,1,1649.35,INTRADAY,MARKET,2023-07-31 12:15:00+05:30,ab007e09c9fb4488ad5fa6f510e91531,SELL,1,1648.35,INTRADAY,MARKET,-1.0,18.0,-0.06,0.04,50017.999999999985,-0.09
30,NSE_EQ:HDFCBANK,2023-07-31 13:15:00+05:30,1f940140c4014094b2b39483e4c1a242,BUY,1,1648.7,INTRADAY,MARKET,2023-07-31 15:10:00+05:30,539227e4f8904435875ab0ab2373f8cd,SELL,1,1650.5,INTRADAY,MARKET,1.8,19.8,0.11,0.04,50019.79999999999,-0.09
31,NSE_EQ:HDFCBANK,2023-08-04 09:15:00+05:30,f0c75f45aab54438aaee7adc28a16958,BUY,1,1635.15,INTRADAY,MARKET,2023-08-04 15:10:00+05:30,f130f341bd834bbaa3ddc648ffc8c15c,SELL,1,1642.25,INTRADAY,MARKET,7.1,26.9,0.43,0.05,50026.89999999999,-0.07
32,NSE_EQ:HDFCBANK,2023-08-07 09:15:00+05:30,e0fc9b1a30cf4f63a6a6a94f56dc6f5e,SELL,1,1663.1,INTRADAY,MARKET,2023-08-07 15:10:00+05:30,b9e9402f3ec94c31a5f197048a77fcc8,BUY,1,1654.0,INTRADAY,MARKET,9.1,36.0,0.55,0.07,50035.999999999985,-0.06
33,NSE_EQ:HDFCBANK,2023-08-09 13:15:00+05:30,7aa19a1d9ce541fca9e0dddbbd19c51a,BUY,1,1639.0,INTRADAY,MARKET,2023-08-09 15:10:00+05:30,ae43f8584baf4106821d5c3b78e6637e,SELL,1,1637.75,INTRADAY,MARKET,-1.25,34.75,-0.08,0.07,50034.749999999985,-0.06
34,NSE_EQ:HDFCBANK,2023-08-11 11:15:00+05:30,eb9c50db428c4f9190413d07bee72b32,BUY,1,1631.0,INTRADAY,MARKET,2023-08-11 14:15:00+05:30,adfb4bdf8a4c43ad8fbcf82293a2775a,SELL,1,1622.45,INTRADAY,MARKET,-8.55,26.2,-0.52,0.05,50026.19999999998,-0.08
35,NSE_EQ:HDFCBANK,2023-08-14 09:15:00+05:30,612a11a88d814919ba3d8261705a15c9,BUY,1,1611.0,INTRADAY,MARKET,2023-08-14 10:15:00+05:30,b18dcd4c3471479e979f8d4646021682,SELL,1,1604.25,INTRADAY,MARKET,-6.75,19.45,-0.42,0.04,50019.44999999998,-0.09
36,NSE_EQ:HDFCBANK,2023-08-14 12:15:00+05:30,6f370dba6b3445dcb79115ba77568066,BUY,1,1611.75,INTRADAY,MARKET,2023-08-14 15:10:00+05:30,e7bd9075a4574a66b51ab8334a61aa62,SELL,1,1611.9,INTRADAY,MARKET,0.15,19.6,0.01,0.04,50019.599999999984,-0.09
37,NSE_EQ:HDFCBANK,2023-08-16 13:15:00+05:30,c6f1f1ee65914083a23d0f14c614ec48,BUY,1,1597.0,INTRADAY,MARKET,2023-08-16 15:10:00+05:30,8f81ed1565604f9690d9f35a5549ef07,SELL,1,1601.5,INTRADAY,MARKET,4.5,24.1,0.28,0.05,50024.099999999984,-0.08
38,NSE_EQ:HDFCBANK,2023-08-18 11:15:00+05:30,c0981e8fae8c4573b1f718d4979b8cfc,BUY,1,1594.15,INTRADAY,MARKET,2023-08-18 15:10:00+05:30,af8b45643f6b48828dc69b7aa20a20b5,SELL,1,1588.35,INTRADAY,MARKET,-5.8,18.3,-0.36,0.04,50018.29999999998,-0.09
39,NSE_EQ:HDFCBANK,2023-08-23 11:15:00+05:30,4027a553c788466eb307024fe4bb81b8,BUY,1,1582.45,INTRADAY,MARKET,2023-08-23 15:10:00+05:30,0e712af0ae2e4f64a58a83413aa9e2d4,SELL,1,1587.3,INTRADAY,MARKET,4.85,23.15,0.31,0.05,50023.14999999998,-0.08
40,NSE_EQ:HDFCBANK,2023-08-28 10:15:00+05:30,a0d2abe4ddc947ff99af19fd8da4ef2c,BUY,1,1568.9,INTRADAY,MARKET,2023-08-28 15:10:00+05:30,80cd2507a3d34424bcaa243831b0fa1d,SELL,1,1579.4,INTRADAY,MARKET,10.5,33.65,0.67,0.07,50033.64999999998,-0.06
41,NSE_EQ:HDFCBANK,2023-08-29 11:15:00+05:30,d8e2bac6917942f592849b73e164865e,SELL,1,1584.85,INTRADAY,MARKET,2023-08-29 12:15:00+05:30,a5be213914354ef684cbe5a817124114,BUY,1,1588.05,INTRADAY,MARKET,-3.2,30.45,-0.2,0.06,50030.44999999998,-0.07
42,NSE_EQ:HDFCBANK,2023-08-30 12:15:00+05:30,1be4a5a1d3374700b91b0b24b1f26365,SELL,1,1592.05,INTRADAY,MARKET,2023-08-30 15:10:00+05:30,f30079e97135439899336314afcaecf5,BUY,1,1591.35,INTRADAY,MARKET,0.7,31.15,0.04,0.06,50031.14999999998,-0.07
43,NSE_EQ:HDFCBANK,2023-08-31 14:15:00+05:30,abd3129e0b01484095eb7682a2869f97,BUY,1,1570.55,INTRADAY,MARKET,2023-08-31 15:10:00+05:30,f83633cb7f58475986df4ecaedbe4b08,SELL,1,1570.55,INTRADAY,MARKET,0.0,31.15,0.0,0.06,50031.14999999998,-0.07
44,NSE_EQ:HDFCBANK,2023-09-01 13:15:00+05:30,7e46b873635b4a6ea2a18c32ddface4e,BUY,1,1567.45,INTRADAY,MARKET,2023-09-01 15:10:00+05:30,c58a0b3f319f40a8ad480112cb7fa517,SELL,1,1571.4,INTRADAY,MARKET,3.95,35.1,0.25,0.07,50035.09999999998,-0.06
45,NSE_EQ:HDFCBANK,2023-09-07 12:15:00+05:30,3178abe8d4eb4c77b7eea49cf5de0697,SELL,1,1597.3,INTRADAY,MARKET,2023-09-07 14:15:00+05:30,9afa5717dd50493693afbd16017e8e12,BUY,1,1602.65,INTRADAY,MARKET,-5.35,29.75,-0.33,0.06,50029.74999999998,-0.07
46,NSE_EQ:HDFCBANK,2023-09-12 13:15:00+05:30,0922d8d0fc374c82a4d3c9323b932a6c,SELL,1,1635.0,INTRADAY,MARKET,2023-09-12 15:10:00+05:30,0d7fc3ecc3d1466e987fc9ff8c52c6e9,BUY,1,1637.1,INTRADAY,MARKET,-2.1,27.65,-0.13,0.06,50027.64999999998,-0.07
47,NSE_EQ:HDFCBANK,2023-09-15 13:15:00+05:30,d24c27d5c202408abf8b7b6e9b89dde6,SELL,1,1655.5,INTRADAY,MARKET,2023-09-15 15:10:00+05:30,258de8a78ba247cb84511b60df703e2d,BUY,1,1656.45,INTRADAY,MARKET,-0.95,26.7,-0.06,0.05,50026.69999999998,-0.07
