,INST,EN_TIME,EN_ID,EN_TT,EN_Q,EN_PRICE,EN_CODE,EN_VAR,EX_TIME,EX_ID,EX_TT,EX_Q,EX_PRICE,EX_CODE,EX_VAR,P&L,ROI,P&L %,ROI %,Equity Curve,Drawdown %
0,NSE_EQ:HEROMOTOCO,2023-05-02 11:15:00+05:30,6265e0b8bb5e4ad3912465cff456e56a,SELL,2,2491.3,INTRADAY,MARKET,2023-05-02 15:10:00+05:30,172cdce55fa04ca8a8e7ed4b5075b9d1,BUY,2,2499.5,INTRADAY,MARKET,-16.4,-16.4,-0.33,-0.03,49983.6,-0.03
1,NSE_EQ:HEROMOTOCO,2023-05-05 09:15:00+05:30,d7eeb538b0ff423d844c489030409b58,BUY,2,2537.0,INTRADAY,MARKET,2023-05-05 15:10:00+05:30,0e602322744f42babb651b1da72566aa,SELL,2,2556.0,INTRADAY,MARKET,38.0,21.6,0.75,0.04,50021.6,0.0
2,NSE_EQ:HEROMOTOCO,2023-05-10 13:15:00+05:30,9242f3bb436f4727ad014cfbc08885d7,SELL,2,2580.0,INTRADAY,MARKET,2023-05-10 15:10:00+05:30,78b37129152c4170a8944e5df0b57972,BUY,2,2580.6,INTRADAY,MARKET,-1.2,20.4,-0.02,0.04,50020.4,-0.0
3,NSE_EQ:HEROMOTOCO,2023-05-19 09:15:00+05:30,a4bb51c8f21c4b0686a00ace47d04aca,SELL,2,2740.65,INTRADAY,MARKET,2023-05-19 13:15:00+05:30,880436bcfc9e48fba086a6b8a54283e9,BUY,2,2708.65,INTRADAY,MARKET,64.0,84.4,1.17,0.17,50084.4,0.0
4,NSE_EQ:HEROMOTOCO,2023-05-24 14:15:00+05:30,7352ed193ba840878a06733bd03279fa,BUY,2,2738.65,INTRADAY,MARKET,2023-05-24 15:10:00+05:30,90ad353e59d74087a46b26cfb9cdb2d5,SELL,2,2738.65,INTRADAY,MARKET,0.0,84.4,0.0,0.17,50084.4,0.0
5,NSE_EQ:HEROMOTOCO,2023-05-31 11:15:00+05:30,a457731d29bd4329b486d47b4b18705d,SELL,2,2770.75,INTRADAY,MARKET,2023-05-31 15:10:00+05:30,8d688ad56f6047468f08da03ff69e26b,BUY,2,2765.55,INTRADAY,MARKET,10.4,94.8,0.19,0.19,50094.8,0.0
6,NSE_EQ:HEROMOTOCO,2023-06-06 14:15:00+05:30,9ef1ec1bd15e4e228a5ed7ce8f7aa5bd,SELL,2,2897.95,INTRADAY,MARKET,2023-06-06 15:10:00+05:30,f5c7d0d1c4e34264a0c6e3ae446d1bf4,BUY,2,2897.95,INTRADAY,MARKET,-0.0,94.8,-0.0,0.19,50094.8,0.0
7,NSE_EQ:HEROMOTOCO,2023-06-09 10:15:00+05:30,8483646e63aa4f00a913129002bea1a2,SELL,2,2975.55,INTRADAY,MARKET,2023-06-09 15:10:00+05:30,ea4c5c3f6bd241d6aec0d43adf0c6dfb,BUY,2,2922.95,INTRADAY,MARKET,105.2,200.0,1.77,0.4,50200.0,0.0
8,NSE_EQ:HEROMOTOCO,2023-06-21 11:15:00+05:30,68e506d5ae31480ea33a5f64c6679b2c,BUY,2,2806.85,INTRADAY,MARKET,2023-06-21 15:10:00+05:30,532c499a6e84458ebc65a2b5a6ad9f33,SELL,2,2828.85,INTRADAY,MARKET,44.0,244.0,0.78,0.49,50244.0,0.0
9,NSE_EQ:HEROMOTOCO,2023-06-26 09:15:00+05:30,a4faf56a82b5475fb334ae530a8bd258,SELL,2,2776.4,INTRADAY,MARKET,2023-06-26 15:10:00+05:30,783fa194121d4df6b4ffaf5cc0650db0,BUY,2,2829.2,INTRADAY,MARKET,-105.6,138.4,-1.9,0.28,50138.4,-0.21
