,INST,EN_TIME,EN_ID,EN_TT,EN_Q,EN_PRICE,EN_CODE,EN_VAR,EX_TIME,EX_ID,EX_TT,EX_Q,EX_PRICE,EX_CODE,EX_VAR,P&L,ROI,P&L %,ROI %,Equity Curve,Drawdown %
0,NSE_EQ:TATAPOWER,2023-05-05 09:15:00+05:30,c8eb10b321594ea999edd1a846ddf717,BUY,1,203.9,INTRADAY,MARKET,2023-05-05 15:10:00+05:30,4e9797f22a444b7d88ca2a0f8c1cf6a6,SELL,1,201.15,INTRADAY,MARKET,-2.75,-2.75,-1.35,-0.01,49997.25,-0.01
1,NSE_EQ:TATAPOWER,2023-05-08 09:15:00+05:30,0bfd4f1fdfc64ab8b61c984c6e128eec,BUY,1,201.5,INTRADAY,MARKET,2023-05-08 15:10:00+05:30,e592d7ff67c943c88313d100cb86321e,SELL,1,202.75,INTRADAY,MARKET,1.25,-1.5,0.62,-0.0,49998.5,-0.0
2,NSE_EQ:TATAPOWER,2023-05-09 09:15:00+05:30,1990377eb6c1488ea347fb8006edb2c1,BUY,1,203.75,INTRADAY,MARKET,2023-05-09 15:10:00+05:30,a738ebdfcae742fc8eb8777bc462079b,SELL,1,203.45,INTRADAY,MARKET,-0.3,-1.8,-0.15,-0.0,49998.2,-0.0
3,NSE_EQ:TATAPOWER,2023-05-10 09:15:00+05:30,545e9925acbe4ff28e0549473e1a24b6,BUY,1,203.5,INTRADAY,MARKET,2023-05-10 15:10:00+05:30,0a61a5daae3e478a8e810fa57e4aa316,SELL,1,203.9,INTRADAY,MARKET,0.4,-1.4,0.2,-0.0,49998.6,-0.0
4,NSE_EQ:TATAPOWER,2023-05-11 09:15:00+05:30,bd68bd8e8d5847bfb6c93ba4cae0f506,BUY,1,204.5,INTRADAY,MARKET,2023-05-11 15:10:00+05:30,faf594bd7dbd43a7bb239b726284e4c3,SELL,1,206.25,INTRADAY,MARKET,1.75,0.35,0.86,0.0,50000.35,0.0
5,NSE_EQ:TATAPOWER,2023-05-12 09:15:00+05:30,db9d44ab5cbb4cb19fcee7d459aa5c22,BUY,1,206.85,INTRADAY,MARKET,2023-05-12 15:10:00+05:30,684a5ecb21aa427ea0d23b4a840faa1b,SELL,1,207.1,INTRADAY,MARKET,0.25,0.6,0.12,0.0,50000.6,0.0
6,NSE_EQ:TATAPOWER,2023-05-15 09:15:00+05:30,8a81c9c13af04b8388c1378ffe903e64,SELL,1,207.65,INTRADAY,MARKET,2023-05-15 10:15:00+05:30,bc2ea18c58234b3ebdac9eb0c3e8d36e,BUY,1,208.2,INTRADAY,MARKET,-0.55,0.05,-0.26,0.0,50000.049999999996,-0.0
7,NSE_EQ:TATAPOWER,2023-05-15 10:15:00+05:30,a2a6f3c03f7149af920a96933b469332,BUY,1,208.2,INTRADAY,MARKET,2023-05-15 14:15:00+05:30,a2c5b3a75d1a453d9026e68562416e9c,SELL,1,208.9,INTRADAY,MARKET,0.7,0.75,0.34,0.0,50000.74999999999,0.0
8,NSE_EQ:TATAPOWER,2023-05-15 14:15:00+05:30,a29f03b7539b4e91acb94607026693de,SELL,1,208.9,INTRADAY,MARKET,2023-05-15 15:10:00+05:30,ddb17cee2fd74ad8ac6abd57747dd6a4,BUY,1,208.9,INTRADAY,MARKET,-0.0,0.75,-0.0,0.0,50000.74999999999,0.0
9,NSE_EQ:TATAPOWER,2023-05-16 09:15:00+05:30,3c01207c8fc044db89b9ebed3216cd53,SELL,1,208.85,INTRADAY,MARKET,2023-05-16 10:15:00+05:30,bd27ea7520bc45b1819157eac8c7f1ca,BUY,1,210.05,INTRADAY,MARKET,-1.2,-0.45,-0.57,-0.0,49999.549999999996,-0.0
