,INST,EN_TIME,EN_ID,EN_TT,EN_Q,EN_PRICE,EN_CODE,EN_VAR,EX_TIME,EX_ID,EX_TT,EX_Q,EX_PRICE,EX_CODE,EX_VAR,P&L,ROI,P&L %,ROI %,Equity Curve,Drawdown %
0,NSE_EQ:RELIANCE,2023-05-02 10:15:00+05:30,da4993c23cb744f9b06c361205866216,SELL,50000,2436.3,INTRADAY,MARKET,2023-05-02 12:15:00+05:30,05b3da37952743df96ac181cfee3e3fd,BUY,50000,2437.05,INTRADAY,MARKET,-37500.0,-37500.0,-0.03,-75.0,12500.0,-75.0
1,NSE_EQ:RELIANCE,2023-05-02 12:15:00+05:30,dbe51bce41884e7b85a1ea42f4996cfe,BUY,50000,2437.05,INTRADAY,MARKET,2023-05-02 15:10:00+05:30,8b55efa2310d44268315c5926ccc1c6b,SELL,50000,2441.7,INTRADAY,MARKET,232500.0,195000.0,0.19,390.0,245000.0,0.0
2,NSE_EQ:RELIANCE,2023-05-03 10:15:00+05:30,5bf246bb48434264b5cfd9ca6eba5fd4,SELL,50000,2418.9,INTRADAY,MARKET,2023-05-03 15:10:00+05:30,408c20c701774bcb9bf4f1ba07d1e89c,BUY,50000,2421.85,INTRADAY,MARKET,-147500.0,47500.0,-0.12,95.0,97500.0,-60.2
3,NSE_EQ:RELIANCE,2023-05-04 10:15:00+05:30,e5c1baab8ec643c68c33a58602020c2f,BUY,50000,2433.25,INTRADAY,MARKET,2023-05-04 15:10:00+05:30,dc47ab09547b4ca895034dff3206d82e,SELL,50000,2441.95,INTRADAY,MARKET,435000.0,482500.0,0.36,965.0,532500.0,0.0
4,NSE_EQ:RELIANCE,2023-05-05 11:15:00+05:30,dc417eafe578458ea5dd9b9e8fd28de1,SELL,50000,2449.9,INTRADAY,MARKET,2023-05-05 15:10:00+05:30,36f7aad70b8c412b8c0e2e6f82aee169,BUY,50000,2448.15,INTRADAY,MARKET,87500.0,570000.0,0.07,1140.0,620000.0,0.0
5,NSE_EQ:RELIANCE,2023-05-08 10:15:00+05:30,a0177eda50f747e2ae48fb2c2e22007a,BUY,50000,2454.5,INTRADAY,MARKET,2023-05-08 15:10:00+05:30,3f87b9be3a6d4f36b16c911a61269502,SELL,50000,2480.1,INTRADAY,MARKET,1280000.0,1850000.0,1.04,3700.0,1900000.0,0.0
6,NSE_EQ:RELIANCE,2023-05-09 13:15:00+05:30,631c89d3a9c540e4b725edac24789aff,SELL,50000,2476.4,INTRADAY,MARKET,2023-05-09 14:15:00+05:30,bf5a4be5c4ec4ebdbb4cbae59dccc23f,BUY,50000,2479.95,INTRADAY,MARKET,-177500.0,1672500.0,-0.14,3345.0,1722500.0,-9.34
7,NSE_EQ:RELIANCE,2023-05-09 14:15:00+05:30,f9f9acc641fb4055a33e7a4a533eab45,BUY,50000,2479.95,INTRADAY,MARKET,2023-05-09 15:10:00+05:30,e085876603f841c183a312c9c681d966,SELL,50000,2479.95,INTRADAY,MARKET,0.0,1672500.0,0.0,3345.0,1722500.0,-9.34
8,NSE_EQ:RELIANCE,2023-05-10 09:15:00+05:30,b94e01454ca34790bb7505e4aea0c960,SELL,50000,2490.0,INTRADAY,MARKET,2023-05-10 11:15:00+05:30,85e1fff7452d40eea58a2049ef992033,BUY,50000,2491.0,INTRADAY,MARKET,-50000.0,1622500.0,-0.04,3245.0,1672500.0,-11.97
9,NSE_EQ:RELIANCE,2023-05-10 11:15:00+05:30,09c1911712c84332b7f4ba3c97bba605,BUY,50000,2491.0,INTRADAY,MARKET,2023-05-10 15:10:00+05:30,6877c68f3558441fb07179caa7cb09da,SELL,50000,2494.7,INTRADAY,MARKET,185000.0,1807500.0,0.15,3615.0,1857500.0,-2.24
10,NSE_EQ:RELIANCE,2023-05-11 09:15:00+05:30,56d4907372c74bd793fdc152a8aef22a,SELL,50000,2498.95,INTRADAY,MARKET,2023-05-11 10:15:00+05:30,f5d21ade5ed84b36958f74ba6b0e1661,BUY,50000,2502.1,INTRADAY,MARKET,-157500.0,1650000.0,-0.13,3300.0,1700000.0,-10.53
11,NSE_EQ:RELIANCE,2023-05-11 10:15:00+05:30,76f5b3f2196c48938e460d5d1a45fd3d,BUY,50000,2502.1,INTRADAY,MARKET,2023-05-11 12:15:00+05:30,c23d7131458542e5a57bc406c01f431a,SELL,50000,2498.9,INTRADAY,MARKET,-160000.0,1490000.0,-0.13,2980.0,1540000.0,-18.95
12,NSE_EQ:RELIANCE,2023-05-11 12:15:00+05:30,e600baf0e07540bbb45526c9c6d9bc8b,SELL,50000,2498.9,INTRADAY,MARKET,2023-05-11 15:10:00+05:30,8eb72c87f9664d1682a02797780efec3,BUY,50000,2486.1,INTRADAY,MARKET,640000.0,2130000.0,0.51,4260.0,2180000.0,0.0
13,NSE_EQ:RELIANCE,2023-05-12 11:15:00+05:30,4128639f6dea48ab8792c76907d90f1b,BUY,50000,2471.05,INTRADAY,MARKET,2023-05-12 15:10:00+05:30,12bc5d0128c14ded8771ae98a18f53d0,SELL,50000,2480.8,INTRADAY,MARKET,487500.0,2617500.0,0.39,5235.0,2667500.0,0.0
14,NSE_EQ:RELIANCE,2023-05-16 10:15:00+05:30,7e90b25c545c4700b497472b83d67829,BUY,50000,2493.35,INTRADAY,MARKET,2023-05-16 11:15:00+05:30,03ad80d5159049fdaabd4098d503f1d3,SELL,50000,2483.6,INTRADAY,MARKET,-487500.0,2130000.0,-0.39,4260.0,2180000.0,-18.28
15,NSE_EQ:RELIANCE,2023-05-16 11:15:00+05:30,1c3f80efb3a740c999dbdb51158d5446,SELL,50000,2483.6,INTRADAY,MARKET,2023-05-16 15:10:00+05:30,b8539ab95e4c41ac92d541dd38d1b7a0,BUY,50000,2463.8,INTRADAY,MARKET,990000.0,3120000.0,0.8,6240.0,3170000.0,0.0
16,NSE_EQ:RELIANCE,2023-05-17 10:15:00+05:30,7464c792520c451eaf2edae510487639,BUY,50000,2456.0,INTRADAY,MARKET,2023-05-17 11:15:00+05:30,77d693fb58974668895122b99e0a6c22,SELL,50000,2450.65,INTRADAY,MARKET,-267500.0,2852500.0,-0.22,5705.0,2902500.0,-8.44
17,NSE_EQ:RELIANCE,2023-05-17 11:15:00+05:30,925eac6d2a0c4ca8b86fdb2e9d728527,SELL,50000,2450.65,INTRADAY,MARKET,2023-05-17 15:10:00+05:30,7bba3f32a15a4948a53cdc2ba14c0bcb,BUY,50000,2442.0,INTRADAY,MARKET,432500.0,3285000.0,0.35,6570.0,3335000.0,0.0
18,NSE_EQ:RELIANCE,2023-05-19 12:15:00+05:30,5f9cede8c2ab486bbef5afe8667f3f89,BUY,50000,2434.0,INTRADAY,MARKET,2023-05-19 13:15:00+05:30,d6acc516e53b40cda42ff4bc1053c944,SELL,50000,2429.25,INTRADAY,MARKET,-237500.0,3047500.0,-0.2,6095.0,3097500.0,-7.12
19,NSE_EQ:RELIANCE,2023-05-19 13:15:00+05:30,b907c3caa86845cd921a8a49b59e2697,SELL,50000,2429.25,INTRADAY,MARKET,2023-05-19 14:15:00+05:30,1558502e199a497e98516ffadc7cc0fc,BUY,50000,2436.7,INTRADAY,MARKET,-372500.0,2675000.0,-0.31,5350.0,2725000.0,-18.29
