,INST,EN_TIME,EN_ID,EN_TT,EN_Q,EN_PRICE,EN_CODE,EN_VAR,EX_TIME,EX_ID,EX_TT,EX_Q,EX_PRICE,EX_CODE,EX_VAR,P&L,ROI,P&L %,ROI %,Equity Curve,Drawdown %
0,NSE_EQ:SBIN,2023-01-02 09:45:00+05:30,b48247891ae64d909f989e792f6bca25,BUY,5,617.35,INTRADAY,MARKET,2023-01-02 12:45:00+05:30,ca85354e3e954673acd6a24032627aa3,SELL,5,613.65,INTRADAY,MARKET,-18.5,-18.5,-0.6,-0.04,49981.5,-0.04
1,NSE_EQ:SBIN,2023-01-02 12:45:00+05:30,7e0e124868fe458cb0f837c15014f4c7,SELL,5,613.65,INTRADAY,MARKET,2023-01-02 15:30:00+05:30,0d78d9987bd54e999248b2951a357144,BUY,5,612.6,INTRADAY,MARKET,5.25,-13.25,0.17,-0.03,49986.75,-0.03
2,NSE_EQ:SBIN,2023-01-03 09:30:00+05:30,a5708c135800476a85a46ae87ac271a5,BUY,5,614.1,INTRADAY,MARKET,2023-01-03 12:15:00+05:30,1fa2cf14e45448b1beb7a377fe34c3e0,SELL,5,611.55,INTRADAY,MARKET,-12.75,-26.0,-0.42,-0.05,49974.0,-0.05
3,NSE_EQ:SBIN,2023-01-03 12:15:00+05:30,6e247f386af949c8b009177434b25a45,SELL,5,611.55,INTRADAY,MARKET,2023-01-03 14:00:00+05:30,383b8a5aea28403088726f2b814222b5,BUY,5,613.8,INTRADAY,MARKET,-11.25,-37.25,-0.37,-0.07,49962.75,-0.07
4,NSE_EQ:SBIN,2023-01-03 14:00:00+05:30,e01412857f7f425ab3099dc06ed08430,BUY,5,613.8,INTRADAY,MARKET,2023-01-03 15:30:00+05:30,4bbd7e6082d4497aaa1a6c4cb66f8be0,SELL,5,612.95,INTRADAY,MARKET,-4.25,-41.5,-0.14,-0.08,49958.5,-0.08
5,NSE_EQ:SBIN,2023-01-04 09:45:00+05:30,d196176e8e6847ad8fed8f391d49dae7,SELL,5,610.05,INTRADAY,MARKET,2023-01-04 14:30:00+05:30,9c5fbc228ca842bd82ab7d7b86163b7f,BUY,5,606.05,INTRADAY,MARKET,20.0,-21.5,0.66,-0.04,49978.5,-0.04
6,NSE_EQ:SBIN,2023-01-04 14:30:00+05:30,ddfcc5e94aeb4b14b8ba7b7c83db65c9,BUY,5,606.05,INTRADAY,MARKET,2023-01-04 15:00:00+05:30,188760f6601f44f683492ea6e41f94c8,SELL,5,605.35,INTRADAY,MARKET,-3.5,-25.0,-0.12,-0.05,49975.0,-0.05
7,NSE_EQ:SBIN,2023-01-04 15:00:00+05:30,a0e4453dc8c74c9ba16f472e4ac7bd68,SELL,5,605.35,INTRADAY,MARKET,2023-01-04 15:30:00+05:30,30e92d6ef688443db2f325e91e9162db,BUY,5,605.95,INTRADAY,MARKET,-3.0,-28.0,-0.1,-0.06,49972.0,-0.06
8,NSE_EQ:SBIN,2023-01-05 09:30:00+05:30,0d05f3f62812429ca8fc9cbdf45d166d,BUY,5,608.85,INTRADAY,MARKET,2023-01-05 12:30:00+05:30,c94d4909b3b84d468fae893206dbcb99,SELL,5,606.75,INTRADAY,MARKET,-10.5,-38.5,-0.34,-0.08,49961.5,-0.08
9,NSE_EQ:SBIN,2023-01-05 12:30:00+05:30,d5906a9169994d0d9004b6c331a38685,SELL,5,606.75,INTRADAY,MARKET,2023-01-05 15:30:00+05:30,0e52a23e9de54b00a36154b3315f7742,BUY,5,605.75,INTRADAY,MARKET,5.0,-33.5,0.16,-0.07,49966.5,-0.07
