,INST,EN_TIME,EN_ID,EN_TT,EN_Q,EN_PRICE,EN_CODE,EN_VAR,EX_TIME,EX_ID,EX_TT,EX_Q,EX_PRICE,EX_CODE,EX_VAR,P&L,ROI,P&L %,ROI %,Equity Curve,Drawdown %
0,NSE_EQ:ADANIPORTS,2023-01-01 09:15:00+05:30,c7e9636e0c54455388a71073ec93a873,BUY,2,819.0,INTRADAY,MARKET,2023-01-01 15:30:00+05:30,7885bd0e6ab349cea9938a5c0585e27d,SELL,2,819.0,INTRADAY,MARKET,0.0,0.0,0.0,0.0,50000.0,0.0
1,NSE_EQ:ADANIPORTS,2023-01-02 09:15:00+05:30,e3542bdb53374f9fb54d6bc70e98110b,BUY,2,823.0,INTRADAY,MARKET,2023-01-02 15:30:00+05:30,ef097388670e493592a3cec08791a89b,SELL,2,822.7,INTRADAY,MARKET,-0.6,-0.6,-0.04,-0.0,49999.4,-0.0
2,NSE_EQ:ADANIPORTS,2023-01-03 11:15:00+05:30,b3cab74f30e84f6380c953fa7cbaad05,SELL,2,823.9,INTRADAY,MARKET,2023-01-03 15:30:00+05:30,53a0d11e14df4d28a5abf1e2fa001242,BUY,2,820.4,INTRADAY,MARKET,7.0,6.4,0.42,0.01,50006.4,0.0
3,NSE_EQ:ADANIPORTS,2023-01-04 13:15:00+05:30,4663a565aa9640edbec953c3324aac15,BUY,2,815.0,INTRADAY,MARKET,2023-01-04 15:30:00+05:30,0f207189ef8a4b4ab62e3e02fec8e252,SELL,2,811.6,INTRADAY,MARKET,-6.8,-0.4,-0.42,-0.0,49999.6,-0.01
4,NSE_EQ:ADANIPORTS,2023-01-05 11:15:00+05:30,f90cc7e258ce40249cbec6a496c96ea7,BUY,2,812.15,INTRADAY,MARKET,2023-01-05 15:30:00+05:30,57286edc1db2421a9fff594a847752ae,SELL,2,820.6,INTRADAY,MARKET,16.9,16.5,1.04,0.03,50016.5,0.0
5,NSE_EQ:ADANIPORTS,2023-01-06 09:15:00+05:30,b635213b5c3345f38469441d7a151ad8,SELL,2,819.9,INTRADAY,MARKET,2023-01-06 15:30:00+05:30,b80f2933e5ad46e2bb6c463cbff81d99,BUY,2,806.0,INTRADAY,MARKET,27.8,44.3,1.7,0.09,50044.3,0.0
6,NSE_EQ:ADANIPORTS,2023-01-10 09:15:00+05:30,b0ff6350946e4056b13907f1511aea28,BUY,2,817.0,INTRADAY,MARKET,2023-01-10 12:15:00+05:30,c526ce86f39b40e88ad6f6033d995836,SELL,2,808.75,INTRADAY,MARKET,-16.5,27.8,-1.01,0.06,50027.8,-0.03
7,NSE_EQ:ADANIPORTS,2023-01-10 12:15:00+05:30,95fa7d1d65c54a218c433710ec541cd3,SELL,2,808.75,INTRADAY,MARKET,2023-01-10 15:15:00+05:30,d1bf5246dd0e4473999be3fefccf25b5,BUY,2,796.6,INTRADAY,MARKET,24.3,52.1,1.5,0.1,50052.100000000006,0.0
8,NSE_EQ:ADANIPORTS,2023-01-10 15:15:00+05:30,33e5738d6b9b4281bc724e2683d41566,BUY,2,796.6,INTRADAY,MARKET,2023-01-10 15:30:00+05:30,1b3e5a58877a45ff8e0582ad7798dbd2,SELL,2,796.6,INTRADAY,MARKET,0.0,52.1,0.0,0.1,50052.100000000006,0.0
9,NSE_EQ:ADANIPORTS,2023-01-11 12:15:00+05:30,3d39592ceb904f17812f8623fe0860d7,SELL,2,794.0,INTRADAY,MARKET,2023-01-11 13:15:00+05:30,fdd4e492185946ab854e063a0b51b3df,BUY,2,796.5,INTRADAY,MARKET,-5.0,47.1,-0.31,0.09,50047.100000000006,-0.01
