,INST,EN_TIME,EN_ID,EN_TT,EN_Q,EN_PRICE,EN_CODE,EN_VAR,EX_TIME,EX_ID,EX_TT,EX_Q,EX_PRICE,EX_CODE,EX_VAR,P&L,ROI,P&L %,ROI %,Equity Curve,Drawdown %
0,NSE_EQ:ADANIPORTS,2023-01-01 09:15:00+05:30,665245547d774609b9d437b794ab0325,BUY,2,819.0,INTRADAY,MARKET,2023-01-01 15:30:00+05:30,c8c0c9c8a2e648ee94ea4502a9a73464,SELL,2,819.0,INTRADAY,MARKET,0.0,0.0,0.0,0.0,50000.0,0.0
1,NSE_EQ:ADANIPORTS,2023-01-02 09:15:00+05:30,3a35a1cb58e64abfb1b5578c2efb15b0,BUY,2,823.0,INTRADAY,MARKET,2023-01-02 15:30:00+05:30,b78f71456092473d8cf28b75d93e4a45,SELL,2,822.7,INTRADAY,MARKET,-0.6,-0.6,-0.04,-0.0,49999.4,-0.0
2,NSE_EQ:ADANIPORTS,2023-01-03 11:15:00+05:30,f36b99ae76854872b9e0a57d71fabaf7,SELL,2,823.9,INTRADAY,MARKET,2023-01-03 15:30:00+05:30,cad5251b77c44324b33a192419b6dc19,BUY,2,820.4,INTRADAY,MARKET,7.0,6.4,0.42,0.01,50006.4,0.0
3,NSE_EQ:ADANIPORTS,2023-01-04 13:15:00+05:30,37da32ab158d45b9aff9c64e4cb83494,BUY,2,815.0,INTRADAY,MARKET,2023-01-04 15:30:00+05:30,83401c8cc5f04355951c7d1e9209e5bf,SELL,2,811.6,INTRADAY,MARKET,-6.8,-0.4,-0.42,-0.0,49999.6,-0.01
4,NSE_EQ:ADANIPORTS,2023-01-05 11:15:00+05:30,be7843576e2e49388f41036a56bcf2bf,BUY,2,812.15,INTRADAY,MARKET,2023-01-05 15:30:00+05:30,66a13263034c43e78aee2601a64f165b,SELL,2,820.6,INTRADAY,MARKET,16.9,16.5,1.04,0.03,50016.5,0.0
5,NSE_EQ:ADANIPORTS,2023-01-06 09:15:00+05:30,b0ee1b0e3d1b4c038f16a836f80d43ca,SELL,2,819.9,INTRADAY,MARKET,2023-01-06 15:30:00+05:30,c0074c965a82414db491f18118c34e81,BUY,2,806.0,INTRADAY,MARKET,27.8,44.3,1.7,0.09,50044.3,0.0
6,NSE_EQ:ADANIPORTS,2023-01-10 09:15:00+05:30,f495138b38824b39b3e15608aa102ad5,BUY,2,817.0,INTRADAY,MARKET,2023-01-10 12:15:00+05:30,e7c4e074f1fb4a1b86eb0935d6344742,SELL,2,808.75,INTRADAY,MARKET,-16.5,27.8,-1.01,0.06,50027.8,-0.03
7,NSE_EQ:ADANIPORTS,2023-01-10 12:15:00+05:30,00e9a6bbc1d0440aa6d9fa1a068b12dc,SELL,2,808.75,INTRADAY,MARKET,2023-01-10 15:15:00+05:30,5caebd8a571140c6a5cdf3cf90af69cd,BUY,2,796.6,INTRADAY,MARKET,24.3,52.1,1.5,0.1,50052.100000000006,0.0
8,NSE_EQ:ADANIPORTS,2023-01-10 15:15:00+05:30,72596e60200444b48e3be8c63be5a15e,BUY,2,796.6,INTRADAY,MARKET,2023-01-10 15:30:00+05:30,9fc8712808d241c89e3919916f552fe8,SELL,2,796.6,INTRADAY,MARKET,0.0,52.1,0.0,0.1,50052.100000000006,0.0
9,NSE_EQ:ADANIPORTS,2023-01-11 12:15:00+05:30,9ac929859638492da063f4eb30f0b4b3,SELL,2,794.0,INTRADAY,MARKET,2023-01-11 13:15:00+05:30,0a3eecd7af2145e689d5a46e9549b57c,BUY,2,796.5,INTRADAY,MARKET,-5.0,47.1,-0.31,0.09,50047.100000000006,-0.01
10,NSE_EQ:ADANIPORTS,2023-01-11 13:15:00+05:30,d264908801f644ab9f969809a3a7cd38,BUY,2,796.5,INTRADAY,MARKET,2023-01-11 15:30:00+05:30,da231b94d0eb4ba988ee27f1928f7419,SELL,2,796.25,INTRADAY,MARKET,-0.5,46.6,-0.03,0.09,50046.600000000006,-0.01
11,NSE_EQ:ADANIPORTS,2023-01-12 09:15:00+05:30,0735145a08574590a721dcc7628c01ff,SELL,2,796.7,INTRADAY,MARKET,2023-01-12 12:15:00+05:30,95501e8abce94551bd00825dd05ef5a7,BUY,2,793.55,INTRADAY,MARKET,6.3,52.9,0.4,0.11,50052.90000000001,0.0
12,NSE_EQ:ADANIPORTS,2023-01-12 12:15:00+05:30,969655f8fb2c4231839e85fce8961ffd,BUY,2,793.55,INTRADAY,MARKET,2023-01-12 15:30:00+05:30,8f6894afbe7b4ad988cf0e601f9cabaa,SELL,2,792.85,INTRADAY,MARKET,-1.4,51.5,-0.09,0.1,50051.50000000001,-0.0
13,NSE_EQ:ADANIPORTS,2023-01-13 09:15:00+05:30,ededa38864694ec99eadfc56ce3dc06b,BUY,2,795.6,INTRADAY,MARKET,2023-01-13 15:30:00+05:30,06db1f1a75ec4bf08e48c91cc0d69b48,SELL,2,795.4,INTRADAY,MARKET,-0.4,51.1,-0.03,0.1,50051.100000000006,-0.0
14,NSE_EQ:ADANIPORTS,2023-01-16 09:15:00+05:30,f481f198dfda4a63aec7ae1922fc5b81,SELL,2,797.0,INTRADAY,MARKET,2023-01-16 12:15:00+05:30,99c2c52d32834fe5a471c5cb95ebf184,BUY,2,790.9,INTRADAY,MARKET,12.2,63.3,0.77,0.13,50063.3,0.0
15,NSE_EQ:ADANIPORTS,2023-01-16 12:15:00+05:30,de911ba7d3604d5ea43df2c17c4cfb50,BUY,2,790.9,INTRADAY,MARKET,2023-01-16 15:30:00+05:30,185876f4bf0d419a9cf33c92e14f040d,SELL,2,787.15,INTRADAY,MARKET,-7.5,55.8,-0.47,0.11,50055.8,-0.01
16,NSE_EQ:ADANIPORTS,2023-01-17 09:15:00+05:30,339db043a1924d40b93ef61c01ddd431,BUY,2,788.35,INTRADAY,MARKET,2023-01-17 12:15:00+05:30,4c055444d37344ca8e2ce213297400d7,SELL,2,787.15,INTRADAY,MARKET,-2.4,53.4,-0.15,0.11,50053.4,-0.02
