,INST,EN_TIME,EN_ID,EN_TT,EN_Q,EN_PRICE,EN_CODE,EN_VAR,EX_TIME,EX_ID,EX_TT,EX_Q,EX_PRICE,EX_CODE,EX_VAR,P&L,ROI,P&L %,ROI %,Equity Curve,Drawdown %
0,NSE_EQ:SBIN,2023-01-04 12:15:00+05:30,ef42230bebcf42f1a1412d6f0bd9e44c,SELL,2,604.5,INTRADAY,MARKET,2023-01-04 15:30:00+05:30,079d822f76e243568f4ab927803b01d7,BUY,2,605.5,INTRADAY,MARKET,-2.0,-2.0,-0.17,-0.0,49998.0,-0.0
1,NSE_EQ:SBIN,2023-01-10 09:15:00+05:30,d840a5d40cd847f8b9c56d4a6de17a71,BUY,2,608.45,INTRADAY,MARKET,2023-01-10 10:15:00+05:30,e18823ebbacc42a7abbb821d23b12166,SELL,2,599.75,INTRADAY,MARKET,-17.4,-19.4,-1.43,-0.04,49980.6,-0.04
2,NSE_EQ:SBIN,2023-01-10 10:15:00+05:30,eac66dcb06d04aa5969422eb48a42eec,SELL,2,599.75,INTRADAY,MARKET,2023-01-10 15:30:00+05:30,7e4df97708b14a919eb7f641ff796346,BUY,2,595.1,INTRADAY,MARKET,9.3,-10.1,0.78,-0.02,49989.9,-0.02
3,NSE_EQ:SBIN,2023-01-13 15:15:00+05:30,99d2802d94cc4955a1a3025e9e9206d0,BUY,2,600.25,INTRADAY,MARKET,2023-01-13 15:30:00+05:30,7006da46095746d7991488ccbed70ec6,SELL,2,600.25,INTRADAY,MARKET,0.0,-10.1,0.0,-0.02,49989.9,-0.02
4,NSE_EQ:SBIN,2023-01-17 14:15:00+05:30,edfb9925001f4e22a6f6563ca4d634f4,SELL,2,590.55,INTRADAY,MARKET,2023-01-17 15:30:00+05:30,ace9613ca9de4cf88488e50e355f4fe5,BUY,2,592.9,INTRADAY,MARKET,-4.7,-14.8,-0.4,-0.03,49985.200000000004,-0.03
5,NSE_EQ:SBIN,2023-01-23 10:15:00+05:30,5e58bfbbf25c4aeda3ceaaa2c5b447ef,BUY,2,598.7,INTRADAY,MARKET,2023-01-23 15:30:00+05:30,0fb7c0c7aeba4a6ba24bba7468deb81e,SELL,2,600.2,INTRADAY,MARKET,3.0,-11.8,0.25,-0.02,49988.200000000004,-0.02
6,NSE_EQ:SBIN,2023-01-25 10:15:00+05:30,438386753f9d4c15b88d38a87ce6c7a3,SELL,2,580.35,INTRADAY,MARKET,2023-01-25 15:30:00+05:30,d8a18352513f4a8f8b2df70182c97d1e,BUY,2,569.0,INTRADAY,MARKET,22.7,10.9,1.96,0.02,50010.9,0.0
7,NSE_EQ:SBIN,2023-02-06 11:15:00+05:30,abeb0d64886d47fe9192b9fe9ebf51ba,BUY,2,542.75,INTRADAY,MARKET,2023-02-06 15:30:00+05:30,d8c9a0464fc04a449cdf9f1ea58b95b9,SELL,2,545.9,INTRADAY,MARKET,6.3,17.2,0.58,0.03,50017.200000000004,0.0
8,NSE_EQ:SBIN,2023-02-13 11:15:00+05:30,31f4db1580014f448745ce245a1feddd,SELL,2,535.95,INTRADAY,MARKET,2023-02-13 15:30:00+05:30,2742f1d1878a4267a3de312e9279c462,BUY,2,537.55,INTRADAY,MARKET,-3.2,14.0,-0.3,0.03,50014.00000000001,-0.01
9,NSE_EQ:SBIN,2023-02-16 13:15:00+05:30,1722d1c766954f5d9ba8201156450083,BUY,2,542.3,INTRADAY,MARKET,2023-02-16 15:15:00+05:30,2f520d910cf4408cbc92ae8f17b51481,SELL,2,540.35,INTRADAY,MARKET,-3.9,10.1,-0.36,0.02,50010.100000000006,-0.01
10,NSE_EQ:SBIN,2023-02-16 15:15:00+05:30,366447e4ae724c53958a8e22198e0606,SELL,2,540.35,INTRADAY,MARKET,2023-02-16 15:30:00+05:30,08c238943c124803bcc1177be260e47a,BUY,2,540.35,INTRADAY,MARKET,-0.0,10.1,-0.0,0.02,50010.100000000006,-0.01
11,NSE_EQ:SBIN,2023-02-27 12:15:00+05:30,0e104c59445940cfb83dcae231c1fb4e,BUY,2,525.1,INTRADAY,MARKET,2023-02-27 15:30:00+05:30,d921405bdb7b48158d466fc7ef70a976,SELL,2,527.75,INTRADAY,MARKET,5.3,15.4,0.5,0.03,50015.40000000001,-0.0
