,INST,EN_TIME,EN_ID,EN_TT,EN_Q,EN_PRICE,EN_CODE,EN_VAR,EX_TIME,EX_ID,EX_TT,EX_Q,EX_PRICE,EX_CODE,EX_VAR,P&L,ROI,P&L %,ROI %,Equity Curve,Drawdown %
0,NSE_EQ:SBIN,2023-01-04 12:15:00+05:30,d96aaa6eacf74f5cacf95dbc1499a3c9,SELL,2,604.5,INTRADAY,MARKET,2023-01-04 15:30:00+05:30,d53fd4a8363f4788b843294825e4bf8e,BUY,2,605.5,INTRADAY,MARKET,-2.0,-2.0,-0.17,-0.0,49998.0,-0.0
1,NSE_EQ:SBIN,2023-01-10 09:15:00+05:30,bbdb12d26bcc43899bacd8085e31fcfe,BUY,2,608.45,INTRADAY,MARKET,2023-01-10 10:15:00+05:30,8381aba5f50b451a9a8e378aab4c0d75,SELL,2,599.75,INTRADAY,MARKET,-17.4,-19.4,-1.43,-0.04,49980.6,-0.04
2,NSE_EQ:SBIN,2023-01-10 10:15:00+05:30,890e3abc8dde46e49f050e0fd7375f5e,SELL,2,599.75,INTRADAY,MARKET,2023-01-10 15:30:00+05:30,7f22302c36314b62a76185de8ab64e32,BUY,2,595.1,INTRADAY,MARKET,9.3,-10.1,0.78,-0.02,49989.9,-0.02
3,NSE_EQ:SBIN,2023-01-13 15:15:00+05:30,c12e08a0bc244a598cd2e4deaac73c87,BUY,2,600.25,INTRADAY,MARKET,2023-01-13 15:30:00+05:30,8353685bdde4435bb02b51003d3e05f7,SELL,2,600.25,INTRADAY,MARKET,0.0,-10.1,0.0,-0.02,49989.9,-0.02
4,NSE_EQ:SBIN,2023-01-17 14:15:00+05:30,3f7e4d5474dc4703bbe5c82143439d3e,SELL,2,590.55,INTRADAY,MARKET,2023-01-17 15:30:00+05:30,d3d3f8d021044060a771a1c97b2861aa,BUY,2,592.9,INTRADAY,MARKET,-4.7,-14.8,-0.4,-0.03,49985.200000000004,-0.03
5,NSE_EQ:SBIN,2023-01-23 10:15:00+05:30,9a3f884ca1ce420bb17e623cd0fff3af,BUY,2,598.7,INTRADAY,MARKET,2023-01-23 15:30:00+05:30,d643cea83b784f8fb8392b2331d76f8b,SELL,2,600.2,INTRADAY,MARKET,3.0,-11.8,0.25,-0.02,49988.200000000004,-0.02
6,NSE_EQ:SBIN,2023-01-25 10:15:00+05:30,4c03fbcf2caa4e549b080083322b3eb6,SELL,2,580.35,INTRADAY,MARKET,2023-01-25 15:30:00+05:30,ae022e6335684d56a227c46d205d897a,BUY,2,569.0,INTRADAY,MARKET,22.7,10.9,1.96,0.02,50010.9,0.0
7,NSE_EQ:SBIN,2023-02-06 11:15:00+05:30,e1ca1d82469a4dafb84d2cf966ba1bcb,BUY,2,542.75,INTRADAY,MARKET,2023-02-06 15:30:00+05:30,136b396a42cc45e4b5c2632d9aa1d366,SELL,2,545.9,INTRADAY,MARKET,6.3,17.2,0.58,0.03,50017.200000000004,0.0
8,NSE_EQ:SBIN,2023-02-13 11:15:00+05:30,7a4aec350dcd4897a29591a9b542e804,SELL,2,535.95,INTRADAY,MARKET,2023-02-13 15:30:00+05:30,aa7790095095441aa94f2acd9d0873bc,BUY,2,537.55,INTRADAY,MARKET,-3.2,14.0,-0.3,0.03,50014.00000000001,-0.01
9,NSE_EQ:SBIN,2023-02-16 13:15:00+05:30,50c76d8ba9c143a791f885736c25afd0,BUY,2,542.3,INTRADAY,MARKET,2023-02-16 15:15:00+05:30,df416896e87d45488148d46bb3b08cfd,SELL,2,540.35,INTRADAY,MARKET,-3.9,10.1,-0.36,0.02,50010.100000000006,-0.01
10,NSE_EQ:SBIN,2023-02-16 15:15:00+05:30,00ad6d98a69c4de4930c3abeee91cfa4,SELL,2,540.35,INTRADAY,MARKET,2023-02-16 15:30:00+05:30,ce383fafae2a4ee28eb018cdb9f0e63b,BUY,2,540.35,INTRADAY,MARKET,-0.0,10.1,-0.0,0.02,50010.100000000006,-0.01
11,NSE_EQ:SBIN,2023-02-27 12:15:00+05:30,5c83c584353e4a0398a387fa0a59687b,BUY,2,525.1,INTRADAY,MARKET,2023-02-27 15:30:00+05:30,762fd0e0ca3c4745b9b50e47a59925f4,SELL,2,527.75,INTRADAY,MARKET,5.3,15.4,0.5,0.03,50015.40000000001,-0.0
