,INST,EN_TIME,EN_ID,EN_TT,EN_Q,EN_PRICE,EN_CODE,EN_VAR,EX_TIME,EX_ID,EX_TT,EX_Q,EX_PRICE,EX_CODE,EX_VAR,P&L,ROI,P&L %,ROI %,Equity Curve,Drawdown %
0,NSE_EQ:ICICIBANK,2023-01-02 10:15:00+05:30,31010de3502a472192b740a903acc157,SELL,2,903.25,INTRADAY,MARKET,2023-01-02 15:30:00+05:30,e97d190d65174372b47bf42fd0ad2c2a,BUY,2,902.3,INTRADAY,MARKET,1.9,1.9,0.11,0.0,50001.9,0.0
1,NSE_EQ:ICICIBANK,2023-01-03 12:15:00+05:30,156c35ea61b449cf8636404a47ed72ea,BUY,2,899.0,INTRADAY,MARKET,2023-01-03 15:15:00+05:30,133cf2deb0a54be8826ed9205bc68ab7,SELL,2,902.3,INTRADAY,MARKET,6.6,8.5,0.37,0.02,50008.5,0.0
2,NSE_EQ:ICICIBANK,2023-01-03 15:15:00+05:30,a61528fe98ba43ea89dd42046bd0b6cd,SELL,2,902.3,INTRADAY,MARKET,2023-01-03 15:30:00+05:30,271c1f704bd14d22a75eb120fae994df,BUY,2,902.3,INTRADAY,MARKET,-0.0,8.5,-0.0,0.02,50008.5,0.0
3,NSE_EQ:ICICIBANK,2023-01-04 11:15:00+05:30,c67e072f4a1c4e339455ec693577651d,BUY,2,898.75,INTRADAY,MARKET,2023-01-04 15:15:00+05:30,228061854c344008a2400ab17ae18ba5,SELL,2,899.6,INTRADAY,MARKET,1.7,10.2,0.09,0.02,50010.2,0.0
4,NSE_EQ:ICICIBANK,2023-01-04 15:15:00+05:30,d5f4fd0dc42d4ec58b8cd59a548c9f66,SELL,2,899.6,INTRADAY,MARKET,2023-01-04 15:30:00+05:30,a594fe59b2b844bb960abf8cedc3ad79,BUY,2,899.6,INTRADAY,MARKET,-0.0,10.2,-0.0,0.02,50010.2,0.0
5,NSE_EQ:ICICIBANK,2023-01-05 09:15:00+05:30,7487844a503444caa928d825b354ac1c,BUY,2,900.9,INTRADAY,MARKET,2023-01-05 15:30:00+05:30,abef3883e2a849109053892661e16759,SELL,2,880.0,INTRADAY,MARKET,-41.8,-31.6,-2.32,-0.06,49968.399999999994,-0.08
6,NSE_EQ:ICICIBANK,2023-01-09 10:15:00+05:30,58ece674bd2b40349c0af95d23a89223,SELL,2,873.35,INTRADAY,MARKET,2023-01-09 14:15:00+05:30,a692977e19b043be940f21e0c31ca055,BUY,2,870.1,INTRADAY,MARKET,6.5,-25.1,0.37,-0.05,49974.899999999994,-0.07
7,NSE_EQ:ICICIBANK,2023-01-09 14:15:00+05:30,99af335278d1483cb4c5b85c3d124398,BUY,2,870.1,INTRADAY,MARKET,2023-01-09 15:15:00+05:30,2cde88b04d1a4557b84c1c25da7d1288,SELL,2,875.05,INTRADAY,MARKET,9.9,-15.2,0.57,-0.03,49984.799999999996,-0.05
8,NSE_EQ:ICICIBANK,2023-01-09 15:15:00+05:30,8c08b8b2b6464726afff84f78215ba78,SELL,2,875.05,INTRADAY,MARKET,2023-01-09 15:30:00+05:30,05070a33912840b3aa9ef78b2556bc33,BUY,2,875.05,INTRADAY,MARKET,-0.0,-15.2,-0.0,-0.03,49984.799999999996,-0.05
9,NSE_EQ:ICICIBANK,2023-01-10 10:15:00+05:30,aed0cf109feb47ae87b3131eb1d24fce,BUY,2,868.75,INTRADAY,MARKET,2023-01-10 15:30:00+05:30,5026a5163a2f460483e12ec7abc9416e,SELL,2,861.9,INTRADAY,MARKET,-13.7,-28.9,-0.79,-0.06,49971.1,-0.08
10,NSE_EQ:ICICIBANK,2023-01-11 12:15:00+05:30,842e10253bec433cabb7b3f816ffab2a,SELL,2,865.6,INTRADAY,MARKET,2023-01-11 14:15:00+05:30,788163d62ef643129d6bbf08aa1affa6,BUY,2,862.4,INTRADAY,MARKET,6.4,-22.5,0.37,-0.04,49977.5,-0.07
11,NSE_EQ:ICICIBANK,2023-01-11 14:15:00+05:30,4adbebc9ad87450482467604d9456042,BUY,2,862.4,INTRADAY,MARKET,2023-01-11 15:15:00+05:30,91da6358d22f4dd7ad718ab129d57be7,SELL,2,867.0,INTRADAY,MARKET,9.2,-13.3,0.53,-0.03,49986.7,-0.05
12,NSE_EQ:ICICIBANK,2023-01-11 15:15:00+05:30,c7ba14d1310845aaabb88cbb5510518d,SELL,2,867.0,INTRADAY,MARKET,2023-01-11 15:30:00+05:30,709fd564f8ff4d7c86ad7cea695e526d,BUY,2,867.0,INTRADAY,MARKET,-0.0,-13.3,-0.0,-0.03,49986.7,-0.05
13,NSE_EQ:ICICIBANK,2023-01-12 10:15:00+05:30,0b71fee662944495adfd8fe3a6e262c7,BUY,2,859.6,INTRADAY,MARKET,2023-01-12 15:30:00+05:30,165fb494bcee4f1ba73d0aa280f41d38,SELL,2,860.6,INTRADAY,MARKET,2.0,-11.3,0.12,-0.02,49988.7,-0.04
14,NSE_EQ:ICICIBANK,2023-01-13 09:15:00+05:30,f4d1f433efce421996ef11a8fcff6981,SELL,2,864.7,INTRADAY,MARKET,2023-01-13 15:30:00+05:30,613e538033a246bc98bdce5b144a47a9,BUY,2,873.9,INTRADAY,MARKET,-18.4,-29.7,-1.06,-0.06,49970.299999999996,-0.08
