,INST,EN_TIME,EN_ID,EN_TT,EN_Q,EN_PRICE,EN_CODE,EN_VAR,EX_TIME,EX_ID,EX_TT,EX_Q,EX_PRICE,EX_CODE,EX_VAR,P&L,ROI,P&L %,ROI %,Equity Curve,Drawdown %
0,NSE_FO:BANKNIFTY05JAN2343000CE [LOCAL],2023-01-01 09:20:00+05:30,ffc59848f6624e81919254f18e98c990,BUY,15,362.05,INTRADAY,MARKET,2023-01-01 15:15:00+05:30,a86e48d72f7945e6bd23ae04b56702b2,SELL,15,362.05,INTRADAY,MARKET,0.0,0.0,0.0,0.0,50000.0,0.0
1,NSE_FO:BANKNIFTY05JAN2343200CE [LOCAL],2023-01-01 09:20:00+05:30,a3b10d5bc8154392bd5923abd307ba31,BUY,15,265.2,INTRADAY,MARKET,2023-01-01 15:15:00+05:30,9f1c25e3708c450a8835403465348bcf,SELL,15,265.2,INTRADAY,MARKET,0.0,0.0,0.0,0.0,50000.0,0.0
2,NSE_FO:BANKNIFTY05JAN2343200CE [LOCAL],2023-01-01 09:20:00+05:30,0980c83643bc4722a3b6e28ea72f0e48,SELL,15,265.2,INTRADAY,MARKET,2023-01-01 15:15:00+05:30,1a13efaa4ced43b1ac753aeb75c64b7e,BUY,15,265.2,INTRADAY,MARKET,-0.0,-0.0,-0.0,-0.0,50000.0,0.0
3,NSE_FO:BANKNIFTY05JAN2343000CE [LOCAL],2023-01-02 09:15:00+05:30,4debb7f95de840caa542e26a60660fad,BUY,15,360.05,INTRADAY,MARKET,2023-01-02 15:15:00+05:30,de23e62f170c491cab9f9405ff35f1a2,SELL,15,416.0,INTRADAY,MARKET,839.25,839.25,15.54,1.68,50839.25,0.0
4,NSE_FO:BANKNIFTY05JAN2343200CE [LOCAL],2023-01-02 09:15:00+05:30,058636e8a1c64fae8853d529c375216f,BUY,15,259.45,INTRADAY,MARKET,2023-01-02 15:15:00+05:30,55b59da976e446f18d6f625792164218,SELL,15,299.0,INTRADAY,MARKET,593.25,1432.5,15.24,2.86,51432.5,0.0
5,NSE_FO:BANKNIFTY05JAN2343200CE [LOCAL],2023-01-02 09:15:00+05:30,384d2a8c8e62433b98ce31e1b1af2c13,SELL,15,259.45,INTRADAY,MARKET,2023-01-02 15:15:00+05:30,09976ae61b414537a19f13d388d5fccf,BUY,15,299.0,INTRADAY,MARKET,-593.25,839.25,-15.24,1.68,50839.25,-1.15
6,NSE_FO:BANKNIFTY05JAN2343200CE [LOCAL],2023-01-03 09:15:00+05:30,3ba7adff52e6491aafbd9a27484f686f,BUY,15,310.55,INTRADAY,MARKET,2023-01-03 15:15:00+05:30,914d0314375d4617a4fae815cc858546,SELL,15,384.1,INTRADAY,MARKET,1103.25,1942.5,23.68,3.89,51942.5,0.0
7,NSE_FO:BANKNIFTY05JAN2343400CE [LOCAL],2023-01-03 09:15:00+05:30,f67df715d903446382489591d1ffe0f0,BUY,15,216.5,INTRADAY,MARKET,2023-01-03 15:15:00+05:30,1b4e6b3f1b0e4339a75fa73fb1c1d547,SELL,15,255.6,INTRADAY,MARKET,586.5,2529.0,18.06,5.06,52529.0,0.0
8,NSE_FO:BANKNIFTY05JAN2343400CE [LOCAL],2023-01-03 09:15:00+05:30,b1d8cd407afc419e8e3b1a988c92115c,SELL,15,216.5,INTRADAY,MARKET,2023-01-03 15:15:00+05:30,659c1f4cd7dc479894c60bf37cb304f5,BUY,15,255.6,INTRADAY,MARKET,-586.5,1942.5,-18.06,3.89,51942.5,-1.12
9,NSE_FO:BANKNIFTY05JAN2343400CE [LOCAL],2023-01-04 09:15:00+05:30,3b130cd95b1b4ae09f37b6f64ef9faa8,BUY,15,255.0,INTRADAY,MARKET,2023-01-04 15:15:00+05:30,4020d6e7a877476ea0b9267b4645f123,SELL,15,60.35,INTRADAY,MARKET,-2919.75,-977.25,-76.33,-1.95,49022.75,-6.67
