,INST,EN_TIME,EN_ID,EN_TT,EN_Q,EN_PRICE,EN_CODE,EN_VAR,EX_TIME,EX_ID,EX_TT,EX_Q,EX_PRICE,EX_CODE,EX_VAR,P&L,ROI,P&L %,ROI %,Equity Curve,Drawdown %
0,NSE_FO:BANKNIFTY25JAN2343000CE [LOCAL],2023-01-01 09:20:00+05:30,10f0535c862e4844a2446a6c3963507d,BUY,15,826.05,INTRADAY,MARKET,2023-01-01 15:15:00+05:30,ec738a77d9ac43f7bb7a1774e43ea00a,SELL,15,826.05,INTRADAY,MARKET,0.0,0.0,0.0,0.0,50000.0,0.0
1,NSE_FO:BANKNIFTY25JAN2343200CE [LOCAL],2023-01-01 09:20:00+05:30,a6e24c48223947468afbbdf127963a48,BUY,15,721.25,INTRADAY,MARKET,2023-01-01 15:15:00+05:30,7aa439342ba048d0bbeb8f237d226c36,SELL,15,721.25,INTRADAY,MARKET,0.0,0.0,0.0,0.0,50000.0,0.0
2,NSE_FO:BANKNIFTY25JAN2343200CE [LOCAL],2023-01-01 09:20:00+05:30,bf0aaf96dee8417da6c7877bbaa797e6,SELL,15,721.25,INTRADAY,MARKET,2023-01-01 15:15:00+05:30,5df2eca236ba4fbf801424b8da1e56e8,BUY,15,721.25,INTRADAY,MARKET,-0.0,-0.0,-0.0,-0.0,50000.0,0.0
3,NSE_FO:BANKNIFTY25JAN2343000CE [LOCAL],2023-01-02 09:15:00+05:30,2a43e6a15b414bcaade9afd76008aa1b,BUY,15,813.25,INTRADAY,MARKET,2023-01-02 15:15:00+05:30,5ad61908a59843f7880c9260b80c593c,SELL,15,902.85,INTRADAY,MARKET,1344.0,1344.0,11.02,2.69,51344.0,0.0
4,NSE_FO:BANKNIFTY25JAN2343200CE [LOCAL],2023-01-02 09:15:00+05:30,b2fc8edfe0f9468f9a3de0f9f070a610,BUY,15,745.0,INTRADAY,MARKET,2023-01-02 15:15:00+05:30,6b35e52a5e004b6c8c652da3d0e0518f,SELL,15,786.3,INTRADAY,MARKET,619.5,1963.5,5.54,3.93,51963.5,0.0
5,NSE_FO:BANKNIFTY25JAN2343200CE [LOCAL],2023-01-02 09:15:00+05:30,ee9b100ed9d441a5afdb66aaf21bfd42,SELL,15,745.0,INTRADAY,MARKET,2023-01-02 15:15:00+05:30,94d2949256844bba83eb0c1d9ae33d05,BUY,15,786.3,INTRADAY,MARKET,-619.5,1344.0,-5.54,2.69,51344.0,-1.19
6,NSE_FO:BANKNIFTY25JAN2343200CE [LOCAL],2023-01-03 09:15:00+05:30,6b3a0bf7b34a4fe6a142780fb439ff9e,BUY,15,796.85,INTRADAY,MARKET,2023-01-03 15:15:00+05:30,cc11055d8ab247a8b2ddb618c8dfd31b,SELL,15,888.9,INTRADAY,MARKET,1380.75,2724.75,11.55,5.45,52724.75,0.0
7,NSE_FO:BANKNIFTY25JAN2343400CE [LOCAL],2023-01-03 09:15:00+05:30,2642633a868d48609f95ddca31da6f05,BUY,15,692.05,INTRADAY,MARKET,2023-01-03 15:15:00+05:30,f3c7f04093d540598131187854a95e82,SELL,15,767.55,INTRADAY,MARKET,1132.5,3857.25,10.91,7.71,53857.25,0.0
8,NSE_FO:BANKNIFTY25JAN2343400CE [LOCAL],2023-01-03 09:15:00+05:30,24433d4a07144bb1aa5c4ad55656d3e1,SELL,15,692.05,INTRADAY,MARKET,2023-01-03 15:15:00+05:30,bc9f6749c7e64b4ab10cc58374c3586b,BUY,15,767.55,INTRADAY,MARKET,-1132.5,2724.75,-10.91,5.45,52724.75,-2.1
9,NSE_FO:BANKNIFTY25JAN2343400CE [LOCAL],2023-01-04 09:15:00+05:30,6d6a69e86bc74eda99ad7182a581c757,BUY,15,784.3,INTRADAY,MARKET,2023-01-04 15:15:00+05:30,072159fc133a4138aa5694d6ad547e50,SELL,15,541.35,INTRADAY,MARKET,-3644.25,-919.5,-30.98,-1.84,49080.5,-8.87
10,NSE_FO:BANKNIFTY25JAN2343600CE [LOCAL],2023-01-04 09:15:00+05:30,4a50d15593484f30811579072d11c30b,BUY,15,583.0,INTRADAY,MARKET,2023-01-04 15:15:00+05:30,bf07c8ff3a8c4bfea8caf45658f9b6b4,SELL,15,451.35,INTRADAY,MARKET,-1974.75,-2894.25,-22.58,-5.79,47105.75,-12.54
11,NSE_FO:BANKNIFTY25JAN2343600CE [LOCAL],2023-01-04 09:15:00+05:30,c047217cea004d40ae9edae06533c1f0,SELL,15,583.0,INTRADAY,MARKET,2023-01-04 15:15:00+05:30,b2133387c9674ff9b3d82d2ebf9aff22,BUY,15,451.35,INTRADAY,MARKET,1974.75,-919.5,22.58,-1.84,49080.5,-8.87
