,INST,EN_TIME,EN_ID,EN_TT,EN_Q,EN_PRICE,EN_CODE,EN_VAR,EX_TIME,EX_ID,EX_TT,EX_Q,EX_PRICE,EX_CODE,EX_VAR,P&L,ROI,P&L %,ROI %,Equity Curve,Drawdown %
0,NSE_FO:NIFTY05JAN2318100PE [LOCAL],2023-01-01 09:20:00+05:30,55d290a4961d4f498b33062272f4773e,BUY,50,81.4,INTRADAY,MARKET,2023-01-01 15:15:00+05:30,2f69b3af92044a7382513e8ee8b5754a,SELL,50,81.4,INTRADAY,MARKET,0.0,0.0,0.0,0.0,50000.0,0.0
1,NSE_FO:NIFTY05JAN2318200PE [LOCAL],2023-01-01 09:20:00+05:30,558b5700993c4f5494cc4a3f6de6bf82,BUY,50,129.05,INTRADAY,MARKET,2023-01-01 15:15:00+05:30,b7a02607dd434461a9a8e3571034298f,SELL,50,129.05,INTRADAY,MARKET,0.0,0.0,0.0,0.0,50000.0,0.0
2,NSE_FO:NIFTY05JAN2318200PE [LOCAL],2023-01-01 09:20:00+05:30,5aaf9b88af9b401aa2f886ddcb238c0d,SELL,50,129.05,INTRADAY,MARKET,2023-01-01 15:15:00+05:30,91366307678f47c094dc528aab8443d6,BUY,50,129.05,INTRADAY,MARKET,-0.0,-0.0,-0.0,-0.0,50000.0,0.0
3,NSE_FO:NIFTY05JAN2318150PE [LOCAL],2023-01-02 09:15:00+05:30,5d88a2f4487440589644db7b2d2e34a6,BUY,50,104.05,INTRADAY,MARKET,2023-01-02 15:15:00+05:30,f9519e1272534106a3bafa76099a544a,SELL,50,67.25,INTRADAY,MARKET,-1840.0,-1840.0,-35.37,-3.68,48160.0,-3.68
4,NSE_FO:NIFTY05JAN2318250PE [LOCAL],2023-01-02 09:15:00+05:30,1462503d103449559cf3463c6f07cdd3,BUY,50,160.0,INTRADAY,MARKET,2023-01-02 15:15:00+05:30,2e429b4eb75b4f378f4c31123754dbbc,SELL,50,115.2,INTRADAY,MARKET,-2240.0,-4080.0,-28.0,-8.16,45920.0,-8.16
5,NSE_FO:NIFTY05JAN2318250PE [LOCAL],2023-01-02 09:15:00+05:30,c5c7a76836df4dd2b53baab3194dfffe,SELL,50,160.0,INTRADAY,MARKET,2023-01-02 15:15:00+05:30,c57afeb6093e4ea0831b9c34c92f1bcb,BUY,50,115.2,INTRADAY,MARKET,2240.0,-1840.0,28.0,-3.68,48160.0,-3.68
6,NSE_FO:NIFTY05JAN2318150PE [LOCAL],2023-01-03 09:15:00+05:30,11587763e7c6401b9e600f5979675d8d,BUY,50,79.85,INTRADAY,MARKET,2023-01-03 15:15:00+05:30,f80aee471cd44d55b69a24e9052e7977,SELL,50,31.35,INTRADAY,MARKET,-2425.0,-4265.0,-60.74,-8.53,45735.0,-8.53
7,NSE_FO:NIFTY05JAN2318250PE [LOCAL],2023-01-03 09:15:00+05:30,acc35f80f1cb4145ac50906ae27e2b34,BUY,50,115.0,INTRADAY,MARKET,2023-01-03 15:15:00+05:30,3f632da79fda45438cdc1c2757725e69,SELL,50,65.8,INTRADAY,MARKET,-2460.0,-6725.0,-42.78,-13.45,43275.0,-13.45
8,NSE_FO:NIFTY05JAN2318250PE [LOCAL],2023-01-03 09:15:00+05:30,320f56c6611342b4bfc49ea9dee0c3c1,SELL,50,115.0,INTRADAY,MARKET,2023-01-03 15:15:00+05:30,6288fb1eb58944ba88fad096fe1e8a92,BUY,50,65.8,INTRADAY,MARKET,2460.0,-4265.0,42.78,-8.53,45735.0,-8.53
9,NSE_FO:NIFTY05JAN2318250PE [LOCAL],2023-01-04 09:15:00+05:30,21e318edc2b246fd876c0693ad4d67b4,BUY,50,89.95,INTRADAY,MARKET,2023-01-04 15:15:00+05:30,4b676258d4c14a2090e1c3b1e68ed0b2,SELL,50,199.5,INTRADAY,MARKET,5477.5,1212.5,121.79,2.43,51212.5,0.0
10,NSE_FO:NIFTY05JAN2318350PE [LOCAL],2023-01-04 09:15:00+05:30,c3f7a840ce444e6b865b7d70ffe5c95b,BUY,50,139.95,INTRADAY,MARKET,2023-01-04 15:15:00+05:30,1db166c9df2e453ea4d890bd68b32ce9,SELL,50,294.45,INTRADAY,MARKET,7725.0,8937.5,110.4,17.88,58937.5,0.0
11,NSE_FO:NIFTY05JAN2318350PE [LOCAL],2023-01-04 09:15:00+05:30,52e687da51e84e7c8006c7a48782c3be,SELL,50,139.95,INTRADAY,MARKET,2023-01-04 15:15:00+05:30,cc61808adc2c466a989ba8d909af469f,BUY,50,294.45,INTRADAY,MARKET,-7725.0,1212.5,-110.4,2.43,51212.5,-13.11
12,NSE_FO:NIFTY05JAN2318100PE [LOCAL],2023-01-05 09:15:00+05:30,df8f8f7671af43f084751bd805afc73a,BUY,50,68.65,INTRADAY,MARKET,2023-01-05 15:15:00+05:30,834e39fc7a2a4be096cf5bffd798eab4,SELL,50,112.3,INTRADAY,MARKET,2182.5,3395.0,63.58,6.79,53395.0,-9.4
13,NSE_FO:NIFTY05JAN2318200PE [LOCAL],2023-01-05 09:15:00+05:30,e70371f040df40ce9c6de966300fe10b,BUY,50,142.0,INTRADAY,MARKET,2023-01-05 15:15:00+05:30,bdb9900e40894f29970b5fcd22fb5388,SELL,50,211.9,INTRADAY,MARKET,3495.0,6890.0,49.23,13.78,56890.0,-3.47
14,NSE_FO:NIFTY05JAN2318200PE [LOCAL],2023-01-05 09:15:00+05:30,63c5f675fa344024a4d949038534f058,SELL,50,142.0,INTRADAY,MARKET,2023-01-05 15:15:00+05:30,daf612a767c244ee8820066bcd2465f4,BUY,50,211.9,INTRADAY,MARKET,-3495.0,3395.0,-49.23,6.79,53395.0,-9.4
15,NSE_FO:NIFTY12JAN2318000PE [LOCAL],2023-01-06 09:15:00+05:30,29cad4a749fe40b9bdbab304ae6f880c,BUY,50,110.05,INTRADAY,MARKET,2023-01-06 15:15:00+05:30,de2f68841546474491628846f61c0b65,SELL,50,169.7,INTRADAY,MARKET,2982.5,6377.5,54.2,12.76,56377.5,-4.34
16,NSE_FO:NIFTY12JAN2318100PE [LOCAL],2023-01-06 09:15:00+05:30,68178beb33bb4e88aaa347aad0032a8f,BUY,50,163.3,INTRADAY,MARKET,2023-01-06 15:15:00+05:30,85f4f23a75f74988aa4cf0cb8c9f5e75,SELL,50,241.95,INTRADAY,MARKET,3932.5,10310.0,48.16,20.62,60310.0,0.0
17,NSE_FO:NIFTY12JAN2318100PE [LOCAL],2023-01-06 09:15:00+05:30,445d634c91074d46964d7239325fa4ad,SELL,50,163.3,INTRADAY,MARKET,2023-01-06 15:15:00+05:30,f49a34011aba4f448d0eb54995b6d895,BUY,50,241.95,INTRADAY,MARKET,-3932.5,6377.5,-48.16,12.76,56377.5,-6.52
18,NSE_FO:NIFTY12JAN2317950PE [LOCAL],2023-01-09 09:15:00+05:30,7f3b379559b54a57a960202357b17087,BUY,50,97.75,INTRADAY,MARKET,2023-01-09 15:15:00+05:30,0076b3f8c700406885e98a2fb3f28e11,SELL,50,28.3,INTRADAY,MARKET,-3472.5,2905.0,-71.05,5.81,52905.0,-12.28
19,NSE_FO:NIFTY12JAN2318050PE [LOCAL],2023-01-09 09:15:00+05:30,104f213edd1f4072aa268666d039f55f,BUY,50,158.95,INTRADAY,MARKET,2023-01-09 15:15:00+05:30,b9262bc78aed474ba01ce2fd724b8e5c,SELL,50,53.9,INTRADAY,MARKET,-5252.5,-2347.5,-66.09,-4.7,47652.5,-20.99
20,NSE_FO:NIFTY12JAN2318050PE [LOCAL],2023-01-09 09:15:00+05:30,e33375049e34482fa352ccc42cc0a2f6,SELL,50,158.95,INTRADAY,MARKET,2023-01-09 15:15:00+05:30,2b8cc87ffa4e4febae72f191d9f705ec,BUY,50,53.9,INTRADAY,MARKET,5252.5,2905.0,66.09,5.81,52905.0,-12.28
21,NSE_FO:NIFTY12JAN2318100PE [LOCAL],2023-01-10 09:15:00+05:30,35d000f63c034fdd965eab8100d4327b,BUY,50,74.9,INTRADAY,MARKET,2023-01-10 15:15:00+05:30,0bde845960434a6ca62facf90db1edcc,SELL,50,192.15,INTRADAY,MARKET,5862.5,8767.5,156.54,17.54,58767.5,-2.56
22,NSE_FO:NIFTY12JAN2318200PE [LOCAL],2023-01-10 09:15:00+05:30,d19f09a019f04573abee949937445c80,BUY,50,159.0,INTRADAY,MARKET,2023-01-10 15:15:00+05:30,e2a7e7a5aa674d578df4b3a9b79b7d27,SELL,50,279.25,INTRADAY,MARKET,6012.5,14780.0,75.63,29.56,64780.0,0.0
23,NSE_FO:NIFTY12JAN2318200PE [LOCAL],2023-01-10 09:15:00+05:30,0ae4bd9afba1440e90dfdc52d33c8886,SELL,50,159.0,INTRADAY,MARKET,2023-01-10 15:15:00+05:30,c6d56ca8654e47718c89e5e6099f968a,BUY,50,279.25,INTRADAY,MARKET,-6012.5,8767.5,-75.63,17.54,58767.5,-9.28
24,NSE_FO:NIFTY12JAN2317900PE [LOCAL],2023-01-11 09:15:00+05:30,18b470da27524f7ea2dcf0a91f6f8109,BUY,50,49.8,INTRADAY,MARKET,2023-01-11 15:15:00+05:30,700f020ca63d4f97bab97c5d9c75df9d,SELL,50,61.6,INTRADAY,MARKET,590.0,9357.5,23.69,18.72,59357.5,-8.37
25,NSE_FO:NIFTY12JAN2318000PE [LOCAL],2023-01-11 09:15:00+05:30,32a55f7a27a948928eb7011aa845f5cc,BUY,50,115.0,INTRADAY,MARKET,2023-01-11 15:15:00+05:30,dae8a5857dc14bbf8c236c5363f59905,SELL,50,126.55,INTRADAY,MARKET,577.5,9935.0,10.04,19.87,59935.0,-7.48
26,NSE_FO:NIFTY12JAN2318000PE [LOCAL],2023-01-11 09:15:00+05:30,65702af01f8243d48ee76114bfea66a5,SELL,50,115.0,INTRADAY,MARKET,2023-01-11 15:15:00+05:30,75672368bf3141b8819bf2ff518533a8,BUY,50,126.55,INTRADAY,MARKET,-577.5,9357.5,-10.04,18.72,59357.5,-8.37
27,NSE_FO:NIFTY12JAN2317900PE [LOCAL],2023-01-12 09:15:00+05:30,41fd3aeb6d624e1cb481311ba7b1099a,BUY,50,50.0,INTRADAY,MARKET,2023-01-12 15:15:00+05:30,4644ae28bbc247a5b916cebb76138155,SELL,50,42.3,INTRADAY,MARKET,-385.0,8972.5,-15.4,17.94,58972.5,-8.96
28,NSE_FO:NIFTY12JAN2318000PE [LOCAL],2023-01-12 09:15:00+05:30,88eab66e611d4448bbbee179bceec30d,BUY,50,120.0,INTRADAY,MARKET,2023-01-12 15:15:00+05:30,b7edf6aa2eb74c01ad608e3b27552539,SELL,50,142.0,INTRADAY,MARKET,1100.0,10072.5,18.33,20.14,60072.5,-7.27
29,NSE_FO:NIFTY12JAN2318000PE [LOCAL],2023-01-12 09:15:00+05:30,0c2023c57ef14e79a9363fb5325552c4,SELL,50,120.0,INTRADAY,MARKET,2023-01-12 15:15:00+05:30,ee07194bcb514252b983e56aed6c8fb7,BUY,50,142.0,INTRADAY,MARKET,-1100.0,8972.5,-18.33,17.94,58972.5,-8.96
30,NSE_FO:NIFTY19JAN2317850PE [LOCAL],2023-01-13 09:15:00+05:30,85ff878d618b4fcc8341b1ea18903e21,BUY,50,124.25,INTRADAY,MARKET,2023-01-13 15:15:00+05:30,f0fc1e1164e64660b97cf96f7d652754,SELL,50,59.05,INTRADAY,MARKET,-3260.0,5712.5,-52.47,11.42,55712.5,-14.0
31,NSE_FO:NIFTY19JAN2317950PE [LOCAL],2023-01-13 09:15:00+05:30,4113cabc8ff041f1a88e89ebb19dfeca,BUY,50,181.65,INTRADAY,MARKET,2023-01-13 15:15:00+05:30,6cb1c46c2be2459fb685d5a3a06950dc,SELL,50,93.3,INTRADAY,MARKET,-4417.5,1295.0,-48.64,2.59,51295.0,-20.82
32,NSE_FO:NIFTY19JAN2317950PE [LOCAL],2023-01-13 09:15:00+05:30,d0dd0f2df48a4c3ca71fe25d51c7a458,SELL,50,181.65,INTRADAY,MARKET,2023-01-13 15:15:00+05:30,1d3ab486c0fd4b2ba036982bfdae6538,BUY,50,93.3,INTRADAY,MARKET,4417.5,5712.5,48.64,11.42,55712.5,-14.0
33,NSE_FO:NIFTY19JAN2318050PE [LOCAL],2023-01-16 09:15:00+05:30,f30021ba74f94ec0995c632ab3d7df4e,BUY,50,108.4,INTRADAY,MARKET,2023-01-16 15:15:00+05:30,4d8283de59f643ad86bdec5c2e919e4d,SELL,50,179.9,INTRADAY,MARKET,3575.0,9287.5,65.96,18.58,59287.5,-8.48
