,INST,EN_TIME,EN_ID,EN_TT,EN_Q,EN_PRICE,EN_CODE,EN_VAR,EX_TIME,EX_ID,EX_TT,EX_Q,EX_PRICE,EX_CODE,EX_VAR,P&L,ROI,P&L %,ROI %,Equity Curve,Drawdown %
0,NSE_FO:BANKNIFTY05JAN2343000CE [LOCAL],2023-01-01 09:20:00+05:30,43280ec762cc4d32be852b57f8b580ca,BUY,15,362.05,INTRADAY,MARKET,2023-01-01 15:15:00+05:30,a9f3c0215bfb4d2b9055385d3946d2c0,SELL,15,362.05,INTRADAY,MARKET,0.0,0.0,0.0,0.0,50000.0,0.0
1,NSE_FO:BANKNIFTY05JAN2343200CE [LOCAL],2023-01-01 09:20:00+05:30,7e2697427bff460b92ff406b6aaf2f40,BUY,15,265.2,INTRADAY,MARKET,2023-01-01 15:15:00+05:30,114a339fed3a4d2ab3dabeb1bf5bd29a,SELL,15,265.2,INTRADAY,MARKET,0.0,0.0,0.0,0.0,50000.0,0.0
2,NSE_FO:BANKNIFTY05JAN2343400CE [LOCAL],2023-01-01 09:20:00+05:30,72cc7a71738144dd8ec7d695715b2d9a,SELL,15,194.75,INTRADAY,MARKET,2023-01-01 15:15:00+05:30,e351244a0e15411d875dd2c6bcc0cc49,BUY,15,194.75,INTRADAY,MARKET,-0.0,-0.0,-0.0,-0.0,50000.0,0.0
3,NSE_FO:BANKNIFTY05JAN2343000CE [LOCAL],2023-01-02 09:15:00+05:30,0c464c5451e241749977a8be09bee0f3,BUY,15,360.05,INTRADAY,MARKET,2023-01-02 15:15:00+05:30,4fbf6489ce6747709bbdf239fa89e09a,SELL,15,416.0,INTRADAY,MARKET,839.25,839.25,15.54,1.68,50839.25,0.0
4,NSE_FO:BANKNIFTY05JAN2343200CE [LOCAL],2023-01-02 09:15:00+05:30,5f3555f1df9e46a1b189dfb76a9d8d48,BUY,15,259.45,INTRADAY,MARKET,2023-01-02 15:15:00+05:30,3ea62ce8526c479da7082acbbab61071,SELL,15,299.0,INTRADAY,MARKET,593.25,1432.5,15.24,2.86,51432.5,0.0
5,NSE_FO:BANKNIFTY05JAN2343400CE [LOCAL],2023-01-02 09:15:00+05:30,2512a8056ea7421f944c5a9736753d82,SELL,15,187.5,INTRADAY,MARKET,2023-01-02 15:15:00+05:30,aef529a5a4a24456903d62e896cecfe1,BUY,15,206.2,INTRADAY,MARKET,-280.5,1152.0,-9.97,2.3,51152.0,-0.55
6,NSE_FO:BANKNIFTY05JAN2343200CE [LOCAL],2023-01-03 09:15:00+05:30,94f689f5152f41e581e6f2c48814be69,BUY,15,310.55,INTRADAY,MARKET,2023-01-03 15:15:00+05:30,f96c63451f084d2a9f051333db47524f,SELL,15,384.1,INTRADAY,MARKET,1103.25,2255.25,23.68,4.51,52255.25,0.0
7,NSE_FO:BANKNIFTY05JAN2343400CE [LOCAL],2023-01-03 09:15:00+05:30,0c1c1ee90285474d90d84cbcc973bb40,BUY,15,216.5,INTRADAY,MARKET,2023-01-03 15:15:00+05:30,a5a59b640d844219bc02625e436a2317,SELL,15,255.6,INTRADAY,MARKET,586.5,2841.75,18.06,5.68,52841.75,0.0
8,NSE_FO:BANKNIFTY05JAN2343600CE [LOCAL],2023-01-03 09:15:00+05:30,c9a5435fdc6d4d298eee2bed20012347,SELL,15,134.0,INTRADAY,MARKET,2023-01-03 15:15:00+05:30,e873288cff68416db7de104e0f667404,BUY,15,156.05,INTRADAY,MARKET,-330.75,2511.0,-16.46,5.02,52511.0,-0.63
9,NSE_FO:BANKNIFTY05JAN2343400CE [LOCAL],2023-01-04 09:15:00+05:30,940b4ba7fbe247a3ba1fdd65eb4771da,BUY,15,255.0,INTRADAY,MARKET,2023-01-04 15:15:00+05:30,93d116e56b384272a18f52a27ce60758,SELL,15,60.35,INTRADAY,MARKET,-2919.75,-408.75,-76.33,-0.82,49591.25,-6.15
