,INST,EN_TIME,EN_ID,EN_TT,EN_Q,EN_PRICE,EN_CODE,EN_VAR,EX_TIME,EX_ID,EX_TT,EX_Q,EX_PRICE,EX_CODE,EX_VAR,P&L,ROI,P&L %,ROI %,Equity Curve,Drawdown %
0,NSE_FO:NIFTY05JAN2318100CE [LOCAL],2023-01-01 09:20:00+05:30,be01050483a74684afd467c5fb3d564c,BUY,50,130.0,INTRADAY,MARKET,2023-01-01 15:15:00+05:30,6f69b7b61f504aa4bd28d365e642fd25,SELL,50,130.0,INTRADAY,MARKET,0.0,0.0,0.0,0.0,50000.0,0.0
1,NSE_FO:NIFTY05JAN2318200CE [LOCAL],2023-01-01 09:20:00+05:30,1419967426244493a7575f7b0093fd07,BUY,50,80.0,INTRADAY,MARKET,2023-01-01 15:15:00+05:30,5958d2e4497d4377a484fc0e62c6fbab,SELL,50,80.0,INTRADAY,MARKET,0.0,0.0,0.0,0.0,50000.0,0.0
2,NSE_FO:NIFTY05JAN2318200CE [LOCAL],2023-01-01 09:20:00+05:30,cba6a2226fba4b3b991c7da1f77832bd,SELL,50,80.0,INTRADAY,MARKET,2023-01-01 15:15:00+05:30,d730184548a44b11a6e3ad7261cc0f4d,BUY,50,80.0,INTRADAY,MARKET,-0.0,-0.0,-0.0,-0.0,50000.0,0.0
3,NSE_FO:NIFTY05JAN2318150CE [LOCAL],2023-01-02 09:15:00+05:30,43604a72e5f845f2ac3c803802fb450a,BUY,50,103.0,INTRADAY,MARKET,2023-01-02 15:15:00+05:30,5b82c9235fca4954bb32253a7adccb9e,SELL,50,123.8,INTRADAY,MARKET,1040.0,1040.0,20.19,2.08,51040.0,0.0
4,NSE_FO:NIFTY05JAN2318250CE [LOCAL],2023-01-02 09:15:00+05:30,924b0be5ac9c4431a0e765d37207310e,BUY,50,60.55,INTRADAY,MARKET,2023-01-02 15:15:00+05:30,e9db6960f1694454a9f562799d388a9c,SELL,50,71.9,INTRADAY,MARKET,567.5,1607.5,18.74,3.21,51607.5,0.0
5,NSE_FO:NIFTY05JAN2318250CE [LOCAL],2023-01-02 09:15:00+05:30,be3cd6308f0844eabfd9856fbc9044b7,SELL,50,60.55,INTRADAY,MARKET,2023-01-02 15:15:00+05:30,aacbd28462694894b2217430ec8ce65e,BUY,50,71.9,INTRADAY,MARKET,-567.5,1040.0,-18.74,2.08,51040.0,-1.1
6,NSE_FO:NIFTY05JAN2318150CE [LOCAL],2023-01-03 09:15:00+05:30,0a7a14c107c3408ca9ce6f202bf1e676,BUY,50,120.0,INTRADAY,MARKET,2023-01-03 15:15:00+05:30,1c56d0a4ddbe41e6865c2b28c79f00bf,SELL,50,143.3,INTRADAY,MARKET,1165.0,2205.0,19.42,4.41,52205.0,0.0
7,NSE_FO:NIFTY05JAN2318250CE [LOCAL],2023-01-03 09:15:00+05:30,e37a01df37914e9e883429974dddd1b5,BUY,50,64.0,INTRADAY,MARKET,2023-01-03 15:15:00+05:30,08a7e67a71014ba490161e009ceff93a,SELL,50,78.25,INTRADAY,MARKET,712.5,2917.5,22.27,5.83,52917.5,0.0
8,NSE_FO:NIFTY05JAN2318250CE [LOCAL],2023-01-03 09:15:00+05:30,281936b07efc4303af35391059cb004d,SELL,50,64.0,INTRADAY,MARKET,2023-01-03 15:15:00+05:30,ab659fdafe79467cbcbd56d45a35f833,BUY,50,78.25,INTRADAY,MARKET,-712.5,2205.0,-22.27,4.41,52205.0,-1.35
9,NSE_FO:NIFTY05JAN2318250CE [LOCAL],2023-01-04 09:15:00+05:30,7cfe2123bacd4605ad975dd99df3db92,BUY,50,60.05,INTRADAY,MARKET,2023-01-04 15:15:00+05:30,9a35e4dc46424c0586a78e7505e25062,SELL,50,10.9,INTRADAY,MARKET,-2457.5,-252.5,-81.85,-0.51,49747.5,-5.99
10,NSE_FO:NIFTY05JAN2318350CE [LOCAL],2023-01-04 09:15:00+05:30,d720d9725ef24de7b5ec6b16664868fa,BUY,50,30.0,INTRADAY,MARKET,2023-01-04 15:15:00+05:30,761c32d515f844bf8d6f8b62043bf612,SELL,50,4.55,INTRADAY,MARKET,-1272.5,-1525.0,-84.83,-3.05,48475.0,-8.4
11,NSE_FO:NIFTY05JAN2318350CE [LOCAL],2023-01-04 09:15:00+05:30,28644a7954cd4008aeaa6e34237358c2,SELL,50,30.0,INTRADAY,MARKET,2023-01-04 15:15:00+05:30,2cfccfbf0258440d949796543d409bf4,BUY,50,4.55,INTRADAY,MARKET,1272.5,-252.5,84.83,-0.51,49747.5,-5.99
12,NSE_FO:NIFTY05JAN2318100CE [LOCAL],2023-01-05 09:15:00+05:30,6f26119ffcd74158b7fd84ef0cf63fce,BUY,50,44.3,INTRADAY,MARKET,2023-01-05 15:15:00+05:30,09783452611047dd926521f1b94c7722,SELL,50,0.2,INTRADAY,MARKET,-2205.0,-2457.5,-99.55,-4.92,47542.5,-10.16
