,INST,EN_TIME,EN_ID,EN_TT,EN_Q,EN_PRICE,EN_CODE,EN_VAR,EX_TIME,EX_ID,EX_TT,EX_Q,EX_PRICE,EX_CODE,EX_VAR,P&L,ROI,P&L %,ROI %,Equity Curve,Drawdown %
0,NSE_FO:NIFTY05JAN2318100CE [LOCAL],2023-01-01 09:20:00+05:30,6f0883479e5e46238b635670f5e01a3e,BUY,50,130.0,INTRADAY,MARKET,2023-01-01 15:15:00+05:30,8da49d633ace49bcb13701af57d5de96,SELL,50,130.0,INTRADAY,MARKET,0.0,0.0,0.0,0.0,50000.0,0.0
1,NSE_FO:NIFTY05JAN2318200CE [LOCAL],2023-01-01 09:20:00+05:30,40fe23d45bbd426e909ae7410136eefc,BUY,50,80.0,INTRADAY,MARKET,2023-01-01 15:15:00+05:30,14b31417658b4cecacca2735d157110a,SELL,50,80.0,INTRADAY,MARKET,0.0,0.0,0.0,0.0,50000.0,0.0
2,NSE_FO:NIFTY05JAN2318200CE [LOCAL],2023-01-01 09:20:00+05:30,9880f481231d4e178b488b2b49622778,SELL,50,80.0,INTRADAY,MARKET,2023-01-01 15:15:00+05:30,7a5dbd5d92fc4f6caf1194bb3dae0a40,BUY,50,80.0,INTRADAY,MARKET,-0.0,-0.0,-0.0,-0.0,50000.0,0.0
3,NSE_FO:NIFTY05JAN2318150CE [LOCAL],2023-01-02 09:15:00+05:30,52d82465289d4e3db92a42215c7e05ea,BUY,50,103.0,INTRADAY,MARKET,2023-01-02 15:15:00+05:30,d9a9704e027c477eb9a5971ff87b1b08,SELL,50,123.8,INTRADAY,MARKET,1040.0,1040.0,20.19,2.08,51040.0,0.0
4,NSE_FO:NIFTY05JAN2318250CE [LOCAL],2023-01-02 09:15:00+05:30,38225af3edc746438b31c25b2da75d1b,BUY,50,60.55,INTRADAY,MARKET,2023-01-02 15:15:00+05:30,fa8d4fb2befa4c5aa167bc0ba701399e,SELL,50,71.9,INTRADAY,MARKET,567.5,1607.5,18.74,3.21,51607.5,0.0
5,NSE_FO:NIFTY05JAN2318250CE [LOCAL],2023-01-02 09:15:00+05:30,5891bb8c212148059672bd592d7dba72,SELL,50,60.55,INTRADAY,MARKET,2023-01-02 15:15:00+05:30,47a99a0cf18042809c6142f91ff8501c,BUY,50,71.9,INTRADAY,MARKET,-567.5,1040.0,-18.74,2.08,51040.0,-1.1
6,NSE_FO:NIFTY05JAN2318150CE [LOCAL],2023-01-03 09:15:00+05:30,369c2b7a220843e38245c4ec7675e8e1,BUY,50,120.0,INTRADAY,MARKET,2023-01-03 15:15:00+05:30,c3689690c6d34d6b9be6b96fbc9e1e35,SELL,50,143.3,INTRADAY,MARKET,1165.0,2205.0,19.42,4.41,52205.0,0.0
7,NSE_FO:NIFTY05JAN2318250CE [LOCAL],2023-01-03 09:15:00+05:30,fbbef8db5a3d46e68af3e73d891ac058,BUY,50,64.0,INTRADAY,MARKET,2023-01-03 15:15:00+05:30,67e1deb0b7fc4da5b0ebb5fdbeb85309,SELL,50,78.25,INTRADAY,MARKET,712.5,2917.5,22.27,5.83,52917.5,0.0
8,NSE_FO:NIFTY05JAN2318250CE [LOCAL],2023-01-03 09:15:00+05:30,3aa288b0428843d9ae40bc7f3e8782db,SELL,50,64.0,INTRADAY,MARKET,2023-01-03 15:15:00+05:30,10fbceb1844e418b959d226030a93ccd,BUY,50,78.25,INTRADAY,MARKET,-712.5,2205.0,-22.27,4.41,52205.0,-1.35
9,NSE_FO:NIFTY05JAN2318250CE [LOCAL],2023-01-04 09:15:00+05:30,26cad6363db54096b9e8e4efc0829ef6,BUY,50,60.05,INTRADAY,MARKET,2023-01-04 15:15:00+05:30,e7d772754e0b44db8bf2e97b26e1fc16,SELL,50,10.9,INTRADAY,MARKET,-2457.5,-252.5,-81.85,-0.51,49747.5,-5.99
10,NSE_FO:NIFTY05JAN2318350CE [LOCAL],2023-01-04 09:15:00+05:30,c578db5ae6f64b9db6dd92b37fca974e,BUY,50,30.0,INTRADAY,MARKET,2023-01-04 15:15:00+05:30,94a04c200ce74c5d87e5ee9f81d338e6,SELL,50,4.55,INTRADAY,MARKET,-1272.5,-1525.0,-84.83,-3.05,48475.0,-8.4
11,NSE_FO:NIFTY05JAN2318350CE [LOCAL],2023-01-04 09:15:00+05:30,d4d4ccf2fed64deeb380e9b348f3706b,SELL,50,30.0,INTRADAY,MARKET,2023-01-04 15:15:00+05:30,f5454a266f0a4e1b85ccbb077918db64,BUY,50,4.55,INTRADAY,MARKET,1272.5,-252.5,84.83,-0.51,49747.5,-5.99
12,NSE_FO:NIFTY05JAN2318100CE [LOCAL],2023-01-05 09:15:00+05:30,4224871607324c0a8b1bae247ae4859c,BUY,50,44.3,INTRADAY,MARKET,2023-01-05 15:15:00+05:30,fbe695ef4f3647b39859c6f8d5eeb466,SELL,50,0.2,INTRADAY,MARKET,-2205.0,-2457.5,-99.55,-4.92,47542.5,-10.16
13,NSE_FO:NIFTY05JAN2318200CE [LOCAL],2023-01-05 09:15:00+05:30,c84b309ed0324c74a336bad92d0d11c1,BUY,50,16.65,INTRADAY,MARKET,2023-01-05 15:15:00+05:30,af5347a9a4b1485aa70554f344f239e7,SELL,50,0.1,INTRADAY,MARKET,-827.5,-3285.0,-99.4,-6.57,46715.0,-11.72
14,NSE_FO:NIFTY05JAN2318200CE [LOCAL],2023-01-05 09:15:00+05:30,0817fa396e8a4afab57578af4df3c644,SELL,50,16.65,INTRADAY,MARKET,2023-01-05 15:15:00+05:30,931c328dada2498ca5f004c52bf17748,BUY,50,0.1,INTRADAY,MARKET,827.5,-2457.5,99.4,-4.92,47542.5,-10.16
15,NSE_FO:NIFTY12JAN2318000CE [LOCAL],2023-01-06 09:15:00+05:30,d9566e0290f54b78ae4bac19cf7fb6db,BUY,50,140.0,INTRADAY,MARKET,2023-01-06 15:15:00+05:30,980c9a7488f441faacd3d902102352b2,SELL,50,65.0,INTRADAY,MARKET,-3750.0,-6207.5,-53.57,-12.42,43792.5,-17.24
16,NSE_FO:NIFTY12JAN2318100CE [LOCAL],2023-01-06 09:15:00+05:30,515a4c2fc66d4671b048ca841758d577,BUY,50,86.45,INTRADAY,MARKET,2023-01-06 15:15:00+05:30,c01175e69a8e4f70bf79755293a32b93,SELL,50,37.15,INTRADAY,MARKET,-2465.0,-8672.5,-57.03,-17.34,41327.5,-21.9
17,NSE_FO:NIFTY12JAN2318100CE [LOCAL],2023-01-06 09:15:00+05:30,f9a48ba420f345faabb2200adbcf0ddc,SELL,50,86.45,INTRADAY,MARKET,2023-01-06 15:15:00+05:30,146f4c4c226a42c7ab6be45459a643ce,BUY,50,37.15,INTRADAY,MARKET,2465.0,-6207.5,57.03,-12.42,43792.5,-17.24
18,NSE_FO:NIFTY12JAN2317950CE [LOCAL],2023-01-09 09:15:00+05:30,0423df7f6cdc4bf89f590ffca0a8ef95,BUY,50,101.25,INTRADAY,MARKET,2023-01-09 15:15:00+05:30,8560012948fb452190d10db2b136c3d3,SELL,50,190.6,INTRADAY,MARKET,4467.5,-1740.0,88.25,-3.48,48260.0,-8.8
19,NSE_FO:NIFTY12JAN2318050CE [LOCAL],2023-01-09 09:15:00+05:30,82aede5df6ff4d0996ebe571b3085eb7,BUY,50,62.2,INTRADAY,MARKET,2023-01-09 15:15:00+05:30,7bb4964804bc4aa58eb4213585764331,SELL,50,115.85,INTRADAY,MARKET,2682.5,942.5,86.25,1.88,50942.5,-3.73
20,NSE_FO:NIFTY12JAN2318050CE [LOCAL],2023-01-09 09:15:00+05:30,475e879248794387b2c8d5eb4d5f5a5c,SELL,50,62.2,INTRADAY,MARKET,2023-01-09 15:15:00+05:30,36755e80dc034a40a7c00c01e290070d,BUY,50,115.85,INTRADAY,MARKET,-2682.5,-1740.0,-86.25,-3.48,48260.0,-8.8
21,NSE_FO:NIFTY12JAN2318100CE [LOCAL],2023-01-10 09:15:00+05:30,db8463f217024d97a34a537362ed81ef,BUY,50,86.3,INTRADAY,MARKET,2023-01-10 15:15:00+05:30,cb1c38f1f4864cfaa9f9cb975d1e7a1e,SELL,50,26.25,INTRADAY,MARKET,-3002.5,-4742.5,-69.58,-9.49,45257.5,-14.48
22,NSE_FO:NIFTY12JAN2318200CE [LOCAL],2023-01-10 09:15:00+05:30,40b27ab7972343c794d2b1ec2c4c80d1,BUY,50,41.65,INTRADAY,MARKET,2023-01-10 15:15:00+05:30,8e465bb41ea64e12944dc84059851d4f,SELL,50,12.85,INTRADAY,MARKET,-1440.0,-6182.5,-69.15,-12.36,43817.5,-17.2
23,NSE_FO:NIFTY12JAN2318200CE [LOCAL],2023-01-10 09:15:00+05:30,f92248d4664048b3bc9e7925f3c805eb,SELL,50,41.65,INTRADAY,MARKET,2023-01-10 15:15:00+05:30,717c373211a244f79b59428590be2f14,BUY,50,12.85,INTRADAY,MARKET,1440.0,-4742.5,69.15,-9.49,45257.5,-14.48
24,NSE_FO:NIFTY12JAN2317900CE [LOCAL],2023-01-11 09:15:00+05:30,85d42e3245214dbd9a764861135a1005,BUY,50,96.3,INTRADAY,MARKET,2023-01-11 15:15:00+05:30,80e940a3b5364a98ab069f2034a3360f,SELL,50,59.75,INTRADAY,MARKET,-1827.5,-6570.0,-37.95,-13.14,43430.0,-17.93
25,NSE_FO:NIFTY12JAN2318000CE [LOCAL],2023-01-11 09:15:00+05:30,de2275af6c5744d2bdb3ce8a61917d51,BUY,50,51.0,INTRADAY,MARKET,2023-01-11 15:15:00+05:30,9f961f8bdbf647cabdcd00eb37aa600f,SELL,50,24.45,INTRADAY,MARKET,-1327.5,-7897.5,-52.06,-15.8,42102.5,-20.44
26,NSE_FO:NIFTY12JAN2318000CE [LOCAL],2023-01-11 09:15:00+05:30,2aa7ee8283284b84ac56c8f585994e5e,SELL,50,51.0,INTRADAY,MARKET,2023-01-11 15:15:00+05:30,6283b7e220b34aa99161267cab13c1bd,BUY,50,24.45,INTRADAY,MARKET,1327.5,-6570.0,52.06,-13.14,43430.0,-17.93
27,NSE_FO:NIFTY12JAN2317900CE [LOCAL],2023-01-12 09:15:00+05:30,0dd42c6c16fb449d8151bc77d32ea8c7,BUY,50,70.0,INTRADAY,MARKET,2023-01-12 15:15:00+05:30,4b3d6dfee1c844c5a13a21fbb2fe782a,SELL,50,0.15,INTRADAY,MARKET,-3492.5,-10062.5,-99.79,-20.12,39937.5,-24.53
28,NSE_FO:NIFTY12JAN2318000CE [LOCAL],2023-01-12 09:15:00+05:30,26542d4f0ccc4cb8b066a9cb0843b5b3,BUY,50,22.5,INTRADAY,MARKET,2023-01-12 15:15:00+05:30,564b76f6d3794231a2183ea734bf7037,SELL,50,0.1,INTRADAY,MARKET,-1120.0,-11182.5,-99.56,-22.36,38817.5,-26.65
29,NSE_FO:NIFTY12JAN2318000CE [LOCAL],2023-01-12 09:15:00+05:30,7a71912e6c0a4480b48c928ec507e5c3,SELL,50,22.5,INTRADAY,MARKET,2023-01-12 15:15:00+05:30,4055b5b5f7aa4e6f8dd1c986dcf665ec,BUY,50,0.1,INTRADAY,MARKET,1120.0,-10062.5,99.56,-20.12,39937.5,-24.53
30,NSE_FO:NIFTY19JAN2317850CE [LOCAL],2023-01-13 09:15:00+05:30,e2d84248b2af4f9b81d17c213ab91eb2,BUY,50,154.95,INTRADAY,MARKET,2023-01-13 15:15:00+05:30,cb9cf229e5af42deb7142e1411e94a50,SELL,50,188.9,INTRADAY,MARKET,1697.5,-8365.0,21.91,-16.73,41635.0,-21.32
31,NSE_FO:NIFTY19JAN2317950CE [LOCAL],2023-01-13 09:15:00+05:30,460b1d13987f47ac9bf027fd0c956192,BUY,50,105.0,INTRADAY,MARKET,2023-01-13 15:15:00+05:30,8bc66d5e55364d5fa9588df575861d70,SELL,50,123.4,INTRADAY,MARKET,920.0,-7445.0,17.52,-14.89,42555.0,-19.58
32,NSE_FO:NIFTY19JAN2317950CE [LOCAL],2023-01-13 09:15:00+05:30,0e6c8560603b46e39f401d0833ab39f1,SELL,50,105.0,INTRADAY,MARKET,2023-01-13 15:15:00+05:30,9a90f08153a14bf589425e87aa2b1f54,BUY,50,123.4,INTRADAY,MARKET,-920.0,-8365.0,-17.52,-16.73,41635.0,-21.32
33,NSE_FO:NIFTY19JAN2318050CE [LOCAL],2023-01-16 09:15:00+05:30,c6ae4a6b3db440548fc417b776c54b59,BUY,50,82.0,INTRADAY,MARKET,2023-01-16 15:15:00+05:30,f78afc793131490da17270123efe90f8,SELL,50,40.2,INTRADAY,MARKET,-2090.0,-10455.0,-50.98,-20.91,39545.0,-25.27
34,NSE_FO:NIFTY19JAN2318150CE [LOCAL],2023-01-16 09:15:00+05:30,3b31c0561ac64fa4b89c73fe6db98746,BUY,50,51.2,INTRADAY,MARKET,2023-01-16 15:15:00+05:30,5b5b91274f65498ead13fd4f853e79a4,SELL,50,19.35,INTRADAY,MARKET,-1592.5,-12047.5,-62.21,-24.1,37952.5,-28.28
35,NSE_FO:NIFTY19JAN2318150CE [LOCAL],2023-01-16 09:15:00+05:30,9242ec4f32cb472b9de59e41dab289bc,SELL,50,51.2,INTRADAY,MARKET,2023-01-16 15:15:00+05:30,766534fd3e054b509527160e7c7d2cf9,BUY,50,19.35,INTRADAY,MARKET,1592.5,-10455.0,62.21,-20.91,39545.0,-25.27
36,NSE_FO:NIFTY19JAN2317900CE [LOCAL],2023-01-17 09:15:00+05:30,f89cd5081b7e47a999c9337777ed0f15,BUY,50,95.0,INTRADAY,MARKET,2023-01-17 15:15:00+05:30,a3be9b0a8c1f4a669b85c2b1d1b9c5f8,SELL,50,184.75,INTRADAY,MARKET,4487.5,-5967.5,94.47,-11.94,44032.5,-16.79
37,NSE_FO:NIFTY19JAN2318000CE [LOCAL],2023-01-17 09:15:00+05:30,76f35a674f294d4fb1902e9fbc157c3b,BUY,50,59.0,INTRADAY,MARKET,2023-01-17 15:15:00+05:30,322486630c3e4a048483a404f1e9a422,SELL,50,108.35,INTRADAY,MARKET,2467.5,-3500.0,83.64,-7.0,46500.0,-12.13
