,INST,EN_TIME,EN_ID,EN_TT,EN_Q,EN_PRICE,EN_CODE,EN_VAR,EX_TIME,EX_ID,EX_TT,EX_Q,EX_PRICE,EX_CODE,EX_VAR,P&L,ROI,P&L %,ROI %,Equity Curve,Drawdown %
0,NSE_FO:BANKNIFTY05JAN2343100CE [LOCAL],2023-01-01 09:20:00+05:30,bf3802aeb0244aa7999bd234b54c8778,BUY,15,310.0,INTRADAY,MARKET,2023-01-01 15:15:00+05:30,b93fc95564f247aea81fc210a603cbe6,SELL,15,310.0,INTRADAY,MARKET,0.0,0.0,0.0,0.0,50000.0,0.0
1,NSE_FO:BANKNIFTY05JAN2343200CE [LOCAL],2023-01-01 09:20:00+05:30,2d6d8eabb11b4930a596f5dc0d88f762,SELL,15,265.2,INTRADAY,MARKET,2023-01-01 15:15:00+05:30,987f06e01efe4695939d1b6a7fbf2421,BUY,15,265.2,INTRADAY,MARKET,-0.0,-0.0,-0.0,-0.0,50000.0,0.0
2,NSE_FO:BANKNIFTY05JAN2343200PE [LOCAL],2023-01-01 09:20:00+05:30,1b91dc213d9a4de89969544d2c2d0119,BUY,15,370.05,INTRADAY,MARKET,2023-01-01 15:15:00+05:30,591e39197cd849de942e1f4e759ba5bb,SELL,15,370.05,INTRADAY,MARKET,0.0,0.0,0.0,0.0,50000.0,0.0
3,NSE_FO:BANKNIFTY05JAN2343200PE [LOCAL],2023-01-01 09:20:00+05:30,8cd230d8a7664a9a9d27f09c837e6beb,SELL,15,370.05,INTRADAY,MARKET,2023-01-01 15:15:00+05:30,ae1a62842834401886544642a899634e,BUY,15,370.05,INTRADAY,MARKET,-0.0,-0.0,-0.0,-0.0,50000.0,0.0
4,NSE_FO:BANKNIFTY05JAN2343100CE [LOCAL],2023-01-02 09:15:00+05:30,9a4244ce0fbe4cbcb1d8fcf86c251a80,BUY,15,320.0,INTRADAY,MARKET,2023-01-02 15:15:00+05:30,64c2301da181478996a46de75b2262d3,SELL,15,355.0,INTRADAY,MARKET,525.0,525.0,10.94,1.05,50525.0,0.0
5,NSE_FO:BANKNIFTY05JAN2343200CE [LOCAL],2023-01-02 09:15:00+05:30,aacb60532e674370acb681696f30555b,SELL,15,259.45,INTRADAY,MARKET,2023-01-02 15:15:00+05:30,0d0017f9c78949d68b80634328a1c621,BUY,15,299.0,INTRADAY,MARKET,-593.25,-68.25,-15.24,-0.14,49931.75,-1.17
6,NSE_FO:BANKNIFTY05JAN2343200PE [LOCAL],2023-01-02 09:15:00+05:30,8f6c0490453e414cb944f5ec468db5df,BUY,15,308.45,INTRADAY,MARKET,2023-01-02 15:15:00+05:30,49aa0935ab1e44059c8413f79d69221d,SELL,15,256.2,INTRADAY,MARKET,-783.75,-852.0,-16.94,-1.7,49148.0,-2.73
7,NSE_FO:BANKNIFTY05JAN2343200PE [LOCAL],2023-01-02 09:15:00+05:30,b6f0ee1988294ab2b4c856543d9aa7a8,SELL,15,308.45,INTRADAY,MARKET,2023-01-02 15:15:00+05:30,36ac187b7f0e4956adf1b5d3c8c1034f,BUY,15,256.2,INTRADAY,MARKET,783.75,-68.25,16.94,-0.14,49931.75,-1.17
8,NSE_FO:BANKNIFTY05JAN2343300CE [LOCAL],2023-01-03 09:15:00+05:30,251f2f1a645b419d9a7b6a63d85ce596,BUY,15,260.0,INTRADAY,MARKET,2023-01-03 15:15:00+05:30,ad46ecdd8fe446eb9f523794d5684980,SELL,15,316.8,INTRADAY,MARKET,852.0,783.75,21.85,1.57,50783.75,0.0
9,NSE_FO:BANKNIFTY05JAN2343400CE [LOCAL],2023-01-03 09:15:00+05:30,eb703aaabbf64535b695fec9422bc60f,SELL,15,216.5,INTRADAY,MARKET,2023-01-03 15:15:00+05:30,dcf1175277da465fa54a17cc00b622aa,BUY,15,255.6,INTRADAY,MARKET,-586.5,197.25,-18.06,0.39,50197.25,-1.15
10,NSE_FO:BANKNIFTY05JAN2343400PE [LOCAL],2023-01-03 09:15:00+05:30,8b904f97be674fdf99df34fe1d919f24,BUY,15,391.95,INTRADAY,MARKET,2023-01-03 15:15:00+05:30,ad4616965afa499781c062ecf054c264,SELL,15,187.25,INTRADAY,MARKET,-3070.5,-2873.25,-52.23,-5.75,47126.75,-7.2
11,NSE_FO:BANKNIFTY05JAN2343400PE [LOCAL],2023-01-03 09:15:00+05:30,cb6fda23378947e9a0d41f8328dc11ca,SELL,15,391.95,INTRADAY,MARKET,2023-01-03 15:15:00+05:30,e5f7153e895d4b7aba7af8e26f24d36e,BUY,15,187.25,INTRADAY,MARKET,3070.5,197.25,52.23,0.39,50197.25,-1.15
12,NSE_FO:BANKNIFTY05JAN2343500CE [LOCAL],2023-01-04 09:15:00+05:30,a688e8e72fe54e44826ac4d6a79f5cff,BUY,15,203.6,INTRADAY,MARKET,2023-01-04 15:15:00+05:30,9fba8aebb75641e5a16e11b175ac235d,SELL,15,45.0,INTRADAY,MARKET,-2379.0,-2181.75,-77.9,-4.36,47818.25,-5.84
13,NSE_FO:BANKNIFTY05JAN2343600CE [LOCAL],2023-01-04 09:15:00+05:30,5648235ded3e423fae3fae6da2ac33e0,SELL,15,138.0,INTRADAY,MARKET,2023-01-04 15:15:00+05:30,603a1d8cd6364ad496ec6b6a79ef2817,BUY,15,31.9,INTRADAY,MARKET,1591.5,-590.25,76.88,-1.18,49409.75,-2.71
14,NSE_FO:BANKNIFTY05JAN2343600PE [LOCAL],2023-01-04 09:15:00+05:30,53863a0c85b049a2b73799060ac534fe,BUY,15,300.75,INTRADAY,MARKET,2023-01-04 15:15:00+05:30,a45f5bd1db6d434c9d9663125c3597b2,SELL,15,620.45,INTRADAY,MARKET,4795.5,4205.25,106.3,8.41,54205.25,0.0
15,NSE_FO:BANKNIFTY05JAN2343600PE [LOCAL],2023-01-04 09:15:00+05:30,8d3239168a794c1eb12eccc4d4b06dc0,SELL,15,300.75,INTRADAY,MARKET,2023-01-04 15:15:00+05:30,cb801222d42443c795da53be1d29c5f6,BUY,15,620.45,INTRADAY,MARKET,-4795.5,-590.25,-106.3,-1.18,49409.75,-8.85
16,NSE_FO:BANKNIFTY05JAN2343200CE [LOCAL],2023-01-05 09:15:00+05:30,a58df3de20174b5888504a8fb85695f5,BUY,15,108.0,INTRADAY,MARKET,2023-01-05 15:15:00+05:30,0b3113a059bf46b7a880f4cfc4fea060,SELL,15,0.25,INTRADAY,MARKET,-1616.25,-2206.5,-99.77,-4.41,47793.5,-11.83
17,NSE_FO:BANKNIFTY05JAN2343300CE [LOCAL],2023-01-05 09:15:00+05:30,a4f920d0fb5e4192a0eba80cf78b7b20,SELL,15,85.0,INTRADAY,MARKET,2023-01-05 15:15:00+05:30,5d6c8860413744b5b2704f86daad1862,BUY,15,0.3,INTRADAY,MARKET,1270.5,-936.0,99.65,-1.87,49064.0,-9.48
18,NSE_FO:BANKNIFTY05JAN2343300PE [LOCAL],2023-01-05 09:15:00+05:30,8ffe1519f5724f7ba828bc8351f13ce8,BUY,15,377.0,INTRADAY,MARKET,2023-01-05 15:15:00+05:30,e31a229b03da4691aa29cc1ba13fb4fa,SELL,15,685.05,INTRADAY,MARKET,4620.75,3684.75,81.71,7.37,53684.75,-0.96
19,NSE_FO:BANKNIFTY05JAN2343300PE [LOCAL],2023-01-05 09:15:00+05:30,e592a02da31b499e901eb140c7d3468a,SELL,15,377.0,INTRADAY,MARKET,2023-01-05 15:15:00+05:30,e77bbf7271384d81bf28d1cbab996363,BUY,15,685.05,INTRADAY,MARKET,-4620.75,-936.0,-81.71,-1.87,49064.0,-9.48
20,NSE_FO:BANKNIFTY12JAN2342700CE [LOCAL],2023-01-06 09:15:00+05:30,51869915e2cc4a58bc4ef9fca8654d3d,BUY,15,320.05,INTRADAY,MARKET,2023-01-06 15:15:00+05:30,79042fb499dd4ba68b46d15fd954610c,SELL,15,157.55,INTRADAY,MARKET,-2437.5,-3373.5,-50.77,-6.75,46626.5,-13.98
21,NSE_FO:BANKNIFTY12JAN2342800CE [LOCAL],2023-01-06 09:15:00+05:30,f7f70de3d3504467a7f7a533e79ff65e,SELL,15,288.0,INTRADAY,MARKET,2023-01-06 15:15:00+05:30,d12521c516ab4a668da3497c0d2f9471,BUY,15,130.25,INTRADAY,MARKET,2366.25,-1007.25,54.77,-2.01,48992.75,-9.62
22,NSE_FO:BANKNIFTY12JAN2342800PE [LOCAL],2023-01-06 09:15:00+05:30,5697dbd56b3d466bb1bd3bf568288e9a,BUY,15,409.95,INTRADAY,MARKET,2023-01-06 15:15:00+05:30,b6f1fbaf549240b298194634b80dda87,SELL,15,651.0,INTRADAY,MARKET,3615.75,2608.5,58.8,5.22,52608.5,-2.95
23,NSE_FO:BANKNIFTY12JAN2342800PE [LOCAL],2023-01-06 09:15:00+05:30,85934bd93fe64a2cb78386a19748f525,SELL,15,409.95,INTRADAY,MARKET,2023-01-06 15:15:00+05:30,20258c875a464805b92a2232d4bdf553,BUY,15,651.0,INTRADAY,MARKET,-3615.75,-1007.25,-58.8,-2.01,48992.75,-9.62
24,NSE_FO:BANKNIFTY12JAN2342500CE [LOCAL],2023-01-09 09:15:00+05:30,0a3f694c2dc848b89cd8b24b522b134f,BUY,15,271.35,INTRADAY,MARKET,2023-01-09 15:15:00+05:30,a592ada3971c420fbf882d90c6974348,SELL,15,334.3,INTRADAY,MARKET,944.25,-63.0,23.2,-0.13,49937.0,-7.87
25,NSE_FO:BANKNIFTY12JAN2342600CE [LOCAL],2023-01-09 09:15:00+05:30,57725b83f5354d279e50b8a8567c0d3d,SELL,15,210.0,INTRADAY,MARKET,2023-01-09 15:15:00+05:30,eb4c3ed97e954eb880e82dcf6f9db75b,BUY,15,278.35,INTRADAY,MARKET,-1025.25,-1088.25,-32.55,-2.18,48911.75,-9.77
26,NSE_FO:BANKNIFTY12JAN2342600PE [LOCAL],2023-01-09 09:15:00+05:30,3f015093b5f848e49c7f268d7cabc62f,BUY,15,306.25,INTRADAY,MARKET,2023-01-09 15:15:00+05:30,5a1eb07619e74211adb31a246bddb83b,SELL,15,229.2,INTRADAY,MARKET,-1155.75,-2244.0,-25.16,-4.49,47756.0,-11.9
27,NSE_FO:BANKNIFTY12JAN2342600PE [LOCAL],2023-01-09 09:15:00+05:30,27a03020f0e04852872180c6582e7ff3,SELL,15,306.25,INTRADAY,MARKET,2023-01-09 15:15:00+05:30,1bfa8dcc476a4008b0cbe5d5d2e2d75b,BUY,15,229.2,INTRADAY,MARKET,1155.75,-1088.25,25.16,-2.18,48911.75,-9.77
28,NSE_FO:BANKNIFTY12JAN2342700CE [LOCAL],2023-01-10 09:15:00+05:30,564363c9622f4ec1871b329605c723b1,BUY,15,225.0,INTRADAY,MARKET,2023-01-10 15:15:00+05:30,d3db4e9a980548efbd6d6df569035871,SELL,15,65.2,INTRADAY,MARKET,-2397.0,-3485.25,-71.02,-6.97,46514.75,-14.19
