,INST,EN_TIME,EN_ID,EN_TT,EN_Q,EN_PRICE,EN_CODE,EN_VAR,EX_TIME,EX_ID,EX_TT,EX_Q,EX_PRICE,EX_CODE,EX_VAR,P&L,ROI,P&L %,ROI %,Equity Curve,Drawdown %
0,NSE_FO:BANKNIFTY05JAN2343100CE [LOCAL],2023-01-01 09:20:00+05:30,df59238a949e425b9aaf78f6518464a2,BUY,15,310.0,INTRADAY,MARKET,2023-01-01 15:15:00+05:30,6f4059c5b8f042f992ea8caa8591679e,SELL,15,310.0,INTRADAY,MARKET,0.0,0.0,0.0,0.0,50000.0,0.0
1,NSE_FO:BANKNIFTY05JAN2343200CE [LOCAL],2023-01-01 09:20:00+05:30,3c17609579594012b641b248b487620c,SELL,15,265.2,INTRADAY,MARKET,2023-01-01 15:15:00+05:30,a1258d81ed704af387cb5e458a2c3471,BUY,15,265.2,INTRADAY,MARKET,-0.0,-0.0,-0.0,-0.0,50000.0,0.0
2,NSE_FO:BANKNIFTY05JAN2343200PE [LOCAL],2023-01-01 09:20:00+05:30,3d9c1e4fe57e41dbac2ad48436890722,BUY,15,370.05,INTRADAY,MARKET,2023-01-01 15:15:00+05:30,a8b41491d81446e7b84ef534b3568d8a,SELL,15,370.05,INTRADAY,MARKET,0.0,0.0,0.0,0.0,50000.0,0.0
3,NSE_FO:BANKNIFTY05JAN2343200PE [LOCAL],2023-01-01 09:20:00+05:30,dfa7ab6cc3cf4a2e9c8dc53538d64c31,SELL,15,370.05,INTRADAY,MARKET,2023-01-01 15:15:00+05:30,3af1f7e4a9a24071bc23011f97b55d34,BUY,15,370.05,INTRADAY,MARKET,-0.0,-0.0,-0.0,-0.0,50000.0,0.0
4,NSE_FO:BANKNIFTY05JAN2343100CE [LOCAL],2023-01-02 09:15:00+05:30,72ef9353d8f349f5beb21e41831909f9,BUY,15,320.0,INTRADAY,MARKET,2023-01-02 15:15:00+05:30,4587d6c5472e4f33b72513313d998c6d,SELL,15,355.0,INTRADAY,MARKET,525.0,525.0,10.94,1.05,50525.0,0.0
5,NSE_FO:BANKNIFTY05JAN2343200CE [LOCAL],2023-01-02 09:15:00+05:30,4ed7687121ab4b36b5a6dcf34c5d1d8c,SELL,15,259.45,INTRADAY,MARKET,2023-01-02 15:15:00+05:30,b8002e7f7c2e42daa4f013e3ac8d80b4,BUY,15,299.0,INTRADAY,MARKET,-593.25,-68.25,-15.24,-0.14,49931.75,-1.17
6,NSE_FO:BANKNIFTY05JAN2343200PE [LOCAL],2023-01-02 09:15:00+05:30,5fc1f28c3bc048529af1e11f31f5544d,BUY,15,308.45,INTRADAY,MARKET,2023-01-02 15:15:00+05:30,03e88d4ea63a4ee4b1b4bb2e15a62b12,SELL,15,256.2,INTRADAY,MARKET,-783.75,-852.0,-16.94,-1.7,49148.0,-2.73
7,NSE_FO:BANKNIFTY05JAN2343200PE [LOCAL],2023-01-02 09:15:00+05:30,355a602030194a96b26b0d89071ad7d1,SELL,15,308.45,INTRADAY,MARKET,2023-01-02 15:15:00+05:30,34eb2682e30d4b2a926fc295ea693102,BUY,15,256.2,INTRADAY,MARKET,783.75,-68.25,16.94,-0.14,49931.75,-1.17
8,NSE_FO:BANKNIFTY05JAN2343300CE [LOCAL],2023-01-03 09:15:00+05:30,4f740741c0a34df2b779701ef31ef8cf,BUY,15,260.0,INTRADAY,MARKET,2023-01-03 15:15:00+05:30,b0f24b82ff5e4bf99eb72e5489ee5f53,SELL,15,316.8,INTRADAY,MARKET,852.0,783.75,21.85,1.57,50783.75,0.0
9,NSE_FO:BANKNIFTY05JAN2343400CE [LOCAL],2023-01-03 09:15:00+05:30,070dcbe129b5475dab67f6fefe7d72f9,SELL,15,216.5,INTRADAY,MARKET,2023-01-03 15:15:00+05:30,70c4471dfc824591951c68dcf9ea00ea,BUY,15,255.6,INTRADAY,MARKET,-586.5,197.25,-18.06,0.39,50197.25,-1.15
10,NSE_FO:BANKNIFTY05JAN2343400PE [LOCAL],2023-01-03 09:15:00+05:30,12c21686372c42288c45445f5efb577b,BUY,15,391.95,INTRADAY,MARKET,2023-01-03 15:15:00+05:30,15d9fc737cd843daaf2a0a6fa02508a6,SELL,15,187.25,INTRADAY,MARKET,-3070.5,-2873.25,-52.23,-5.75,47126.75,-7.2
11,NSE_FO:BANKNIFTY05JAN2343400PE [LOCAL],2023-01-03 09:15:00+05:30,6c39b9f9bd3849d9bdf689da8b447b07,SELL,15,391.95,INTRADAY,MARKET,2023-01-03 15:15:00+05:30,690e661796964ca6bfefd00374b9bd8b,BUY,15,187.25,INTRADAY,MARKET,3070.5,197.25,52.23,0.39,50197.25,-1.15
12,NSE_FO:BANKNIFTY05JAN2343500CE [LOCAL],2023-01-04 09:15:00+05:30,fdd80d0caeb6445cb75e01fc164ce358,BUY,15,203.6,INTRADAY,MARKET,2023-01-04 15:15:00+05:30,adbab527227e481fbfecc344533fa1e1,SELL,15,45.0,INTRADAY,MARKET,-2379.0,-2181.75,-77.9,-4.36,47818.25,-5.84
13,NSE_FO:BANKNIFTY05JAN2343600CE [LOCAL],2023-01-04 09:15:00+05:30,e00cff09a1c74cc6bd45931f01a521bd,SELL,15,138.0,INTRADAY,MARKET,2023-01-04 15:15:00+05:30,da2b846bebb443dc8f7611819e74d38a,BUY,15,31.9,INTRADAY,MARKET,1591.5,-590.25,76.88,-1.18,49409.75,-2.71
14,NSE_FO:BANKNIFTY05JAN2343600PE [LOCAL],2023-01-04 09:15:00+05:30,cb1c1a6c687b458998bbfc8c08376d79,BUY,15,300.75,INTRADAY,MARKET,2023-01-04 15:15:00+05:30,a9432c9baa294e3d8878a0e0d3f33812,SELL,15,620.45,INTRADAY,MARKET,4795.5,4205.25,106.3,8.41,54205.25,0.0
15,NSE_FO:BANKNIFTY05JAN2343600PE [LOCAL],2023-01-04 09:15:00+05:30,de9cf94d2e4e45f6a07e4735fc3d94ac,SELL,15,300.75,INTRADAY,MARKET,2023-01-04 15:15:00+05:30,be8b073d51ba4c4688ed0d2236dcd0cc,BUY,15,620.45,INTRADAY,MARKET,-4795.5,-590.25,-106.3,-1.18,49409.75,-8.85
16,NSE_FO:BANKNIFTY05JAN2343200CE [LOCAL],2023-01-05 09:15:00+05:30,352589fb237f4812ababd8d734f5990d,BUY,15,108.0,INTRADAY,MARKET,2023-01-05 15:15:00+05:30,2cc99a85d8b74574a872c6145c010811,SELL,15,0.25,INTRADAY,MARKET,-1616.25,-2206.5,-99.77,-4.41,47793.5,-11.83
17,NSE_FO:BANKNIFTY05JAN2343300CE [LOCAL],2023-01-05 09:15:00+05:30,94ca79d558a74d09b657ab893d0f775c,SELL,15,85.0,INTRADAY,MARKET,2023-01-05 15:15:00+05:30,9ce9fb9ced684e1b80c3c76b359472cd,BUY,15,0.3,INTRADAY,MARKET,1270.5,-936.0,99.65,-1.87,49064.0,-9.48
18,NSE_FO:BANKNIFTY05JAN2343300PE [LOCAL],2023-01-05 09:15:00+05:30,9ebaa91256e14c9b95bdff9bdfddefb1,BUY,15,377.0,INTRADAY,MARKET,2023-01-05 15:15:00+05:30,6c037e63982e4806aa3441376cc92964,SELL,15,685.05,INTRADAY,MARKET,4620.75,3684.75,81.71,7.37,53684.75,-0.96
19,NSE_FO:BANKNIFTY05JAN2343300PE [LOCAL],2023-01-05 09:15:00+05:30,ae25c8386b5b4af6a972bfd43fd7d8af,SELL,15,377.0,INTRADAY,MARKET,2023-01-05 15:15:00+05:30,ecfac8eebb184d2a977d72f236b311e2,BUY,15,685.05,INTRADAY,MARKET,-4620.75,-936.0,-81.71,-1.87,49064.0,-9.48
20,NSE_FO:BANKNIFTY12JAN2342700CE [LOCAL],2023-01-06 09:15:00+05:30,97af41b6b11c4290bc6503863e6f7eb5,BUY,15,320.05,INTRADAY,MARKET,2023-01-06 15:15:00+05:30,e9705615028143af8096c9472a07f918,SELL,15,157.55,INTRADAY,MARKET,-2437.5,-3373.5,-50.77,-6.75,46626.5,-13.98
21,NSE_FO:BANKNIFTY12JAN2342800CE [LOCAL],2023-01-06 09:15:00+05:30,075836d7a1944051a6172ec284a4be0d,SELL,15,288.0,INTRADAY,MARKET,2023-01-06 15:15:00+05:30,6b08706a56c44e1bb1edd2aa5c8d3a43,BUY,15,130.25,INTRADAY,MARKET,2366.25,-1007.25,54.77,-2.01,48992.75,-9.62
22,NSE_FO:BANKNIFTY12JAN2342800PE [LOCAL],2023-01-06 09:15:00+05:30,6042c83716024fa8adea803335ad1d63,BUY,15,409.95,INTRADAY,MARKET,2023-01-06 15:15:00+05:30,af38715b89a34c5b929ac61cd7440c5a,SELL,15,651.0,INTRADAY,MARKET,3615.75,2608.5,58.8,5.22,52608.5,-2.95
23,NSE_FO:BANKNIFTY12JAN2342800PE [LOCAL],2023-01-06 09:15:00+05:30,defde1e94afb4b0cb7469ebc5b78ea52,SELL,15,409.95,INTRADAY,MARKET,2023-01-06 15:15:00+05:30,f10d1cf5766c4baa91240df2a617d6bd,BUY,15,651.0,INTRADAY,MARKET,-3615.75,-1007.25,-58.8,-2.01,48992.75,-9.62
24,NSE_FO:BANKNIFTY12JAN2342500CE [LOCAL],2023-01-09 09:15:00+05:30,27d93d39ad5049228e3cc7e6179c8a0c,BUY,15,271.35,INTRADAY,MARKET,2023-01-09 15:15:00+05:30,869c55bcd2134d3781f07c7bf1ec240e,SELL,15,334.3,INTRADAY,MARKET,944.25,-63.0,23.2,-0.13,49937.0,-7.87
25,NSE_FO:BANKNIFTY12JAN2342600CE [LOCAL],2023-01-09 09:15:00+05:30,8e25c8b187974efd882ef79a120b9e9c,SELL,15,210.0,INTRADAY,MARKET,2023-01-09 15:15:00+05:30,73893c604fed492eb49c01ef063e06e5,BUY,15,278.35,INTRADAY,MARKET,-1025.25,-1088.25,-32.55,-2.18,48911.75,-9.77
26,NSE_FO:BANKNIFTY12JAN2342600PE [LOCAL],2023-01-09 09:15:00+05:30,29ddf82605c1450b87c6e0a0551049c8,BUY,15,306.25,INTRADAY,MARKET,2023-01-09 15:15:00+05:30,a325d3df0f50470493ae970cac35b39f,SELL,15,229.2,INTRADAY,MARKET,-1155.75,-2244.0,-25.16,-4.49,47756.0,-11.9
27,NSE_FO:BANKNIFTY12JAN2342600PE [LOCAL],2023-01-09 09:15:00+05:30,db04eb58400347cea51eda712ec3138b,SELL,15,306.25,INTRADAY,MARKET,2023-01-09 15:15:00+05:30,12a7aba19c8c49609656f8d23e0e0813,BUY,15,229.2,INTRADAY,MARKET,1155.75,-1088.25,25.16,-2.18,48911.75,-9.77
28,NSE_FO:BANKNIFTY12JAN2342700CE [LOCAL],2023-01-10 09:15:00+05:30,d8e2515894d845d98170058563d68922,BUY,15,225.0,INTRADAY,MARKET,2023-01-10 15:15:00+05:30,eaf29913f21446f2af8a6814ebba94f7,SELL,15,65.2,INTRADAY,MARKET,-2397.0,-3485.25,-71.02,-6.97,46514.75,-14.19
29,NSE_FO:BANKNIFTY12JAN2342800CE [LOCAL],2023-01-10 09:15:00+05:30,89e1eeab9109406c849c94d4c2e0b551,SELL,15,170.0,INTRADAY,MARKET,2023-01-10 15:15:00+05:30,e33a9081800d4498b4b3b1368d867190,BUY,15,51.9,INTRADAY,MARKET,1771.5,-1713.75,69.47,-3.43,48286.25,-10.92
30,NSE_FO:BANKNIFTY12JAN2342800PE [LOCAL],2023-01-10 09:15:00+05:30,813ca636eb4e4173a8c9c4bccff9d329,BUY,15,332.7,INTRADAY,MARKET,2023-01-10 15:15:00+05:30,35d0e4aeb29444d48a2e4971229fbec9,SELL,15,727.15,INTRADAY,MARKET,5916.75,4203.0,118.56,8.41,54203.0,-0.0
31,NSE_FO:BANKNIFTY12JAN2342800PE [LOCAL],2023-01-10 09:15:00+05:30,b82c7dbc60a549ccbf85f611f64b7634,SELL,15,332.7,INTRADAY,MARKET,2023-01-10 15:15:00+05:30,6005cacbbe4b4a69a499918167a05461,BUY,15,727.15,INTRADAY,MARKET,-5916.75,-1713.75,-118.56,-3.43,48286.25,-10.92
32,NSE_FO:BANKNIFTY12JAN2342200CE [LOCAL],2023-01-11 09:15:00+05:30,ddf38ee365a34736a16a5fb1ccd215df,BUY,15,194.5,INTRADAY,MARKET,2023-01-11 15:15:00+05:30,221aa6dc8754428a8878f65f8666da78,SELL,15,208.35,INTRADAY,MARKET,207.75,-1506.0,7.12,-3.01,48494.0,-10.54
33,NSE_FO:BANKNIFTY12JAN2342300CE [LOCAL],2023-01-11 09:15:00+05:30,53de72e67a664abdafe5f6eaa54c5019,SELL,15,154.95,INTRADAY,MARKET,2023-01-11 15:15:00+05:30,82984cb485284615b173ce25ee7321fb,BUY,15,154.2,INTRADAY,MARKET,11.25,-1494.75,0.48,-2.99,48505.25,-10.52
34,NSE_FO:BANKNIFTY12JAN2342300PE [LOCAL],2023-01-11 09:15:00+05:30,d8f0e91a03c24916a89bfac07c7e9b36,BUY,15,349.5,INTRADAY,MARKET,2023-01-11 15:15:00+05:30,5f43f80d13b347e393e5d63089f736b2,SELL,15,180.3,INTRADAY,MARKET,-2538.0,-4032.75,-48.41,-8.07,45967.25,-15.2
35,NSE_FO:BANKNIFTY12JAN2342300PE [LOCAL],2023-01-11 09:15:00+05:30,4b18e88903664a63a180bea100733204,SELL,15,349.5,INTRADAY,MARKET,2023-01-11 15:15:00+05:30,1d9c6edee5ba49648da8212bea1b5cc4,BUY,15,180.3,INTRADAY,MARKET,2538.0,-1494.75,48.41,-2.99,48505.25,-10.52
36,NSE_FO:BANKNIFTY12JAN2342300CE [LOCAL],2023-01-12 09:15:00+05:30,1fc215dd42d8406bb8c9bd400a534b35,BUY,15,135.45,INTRADAY,MARKET,2023-01-12 15:15:00+05:30,fc69747c4acd42e689e6cfdb6704ab2a,SELL,15,0.3,INTRADAY,MARKET,-2027.25,-3522.0,-99.78,-7.04,46478.0,-14.26
37,NSE_FO:BANKNIFTY12JAN2342400CE [LOCAL],2023-01-12 09:15:00+05:30,fc55a52647234f04bfcdf2b17cc9894f,SELL,15,90.0,INTRADAY,MARKET,2023-01-12 15:15:00+05:30,fa5750275a2f41429891579c7eae6a85,BUY,15,0.2,INTRADAY,MARKET,1347.0,-2175.0,99.78,-4.35,47825.0,-11.77
38,NSE_FO:BANKNIFTY12JAN2342400PE [LOCAL],2023-01-12 09:15:00+05:30,803565f9c34f413fa2443d5b2f7770bc,BUY,15,249.95,INTRADAY,MARKET,2023-01-12 15:15:00+05:30,d72359d8321d4b3191519da706402680,SELL,15,325.6,INTRADAY,MARKET,1134.75,-1040.25,30.27,-2.08,48959.75,-9.68
39,NSE_FO:BANKNIFTY12JAN2342400PE [LOCAL],2023-01-12 09:15:00+05:30,94c2e7d1fe4f4b8d8123402bb093c5c7,SELL,15,249.95,INTRADAY,MARKET,2023-01-12 15:15:00+05:30,de08abb6a1bf467383bef87590d52b8e,BUY,15,325.6,INTRADAY,MARKET,-1134.75,-2175.0,-30.27,-4.35,47825.0,-11.77
40,NSE_FO:BANKNIFTY19JAN2342300CE [LOCAL],2023-01-13 09:15:00+05:30,61d9ed28e9a44c588b3de5ec5375d1d6,BUY,15,320.25,INTRADAY,MARKET,2023-01-13 15:15:00+05:30,42600eee1042426689a40966d7b2faf2,SELL,15,382.25,INTRADAY,MARKET,930.0,-1245.0,19.36,-2.49,48755.0,-10.05
41,NSE_FO:BANKNIFTY19JAN2342400CE [LOCAL],2023-01-13 09:15:00+05:30,267d96a9712e4fd3bb57c001f02a32d8,SELL,15,299.0,INTRADAY,MARKET,2023-01-13 15:15:00+05:30,93b1ae0e9f70434fb2c294f0e322315c,BUY,15,323.6,INTRADAY,MARKET,-369.0,-1614.0,-8.23,-3.23,48386.0,-10.74
42,NSE_FO:BANKNIFTY19JAN2342400PE [LOCAL],2023-01-13 09:15:00+05:30,de1c7aa63cca48cbb10b0d22c1c5ba9c,BUY,15,499.3,INTRADAY,MARKET,2023-01-13 15:15:00+05:30,2b095fdd655a46fcbcdc26a6030bab17,SELL,15,311.9,INTRADAY,MARKET,-2811.0,-4425.0,-37.53,-8.85,45575.0,-15.92
43,NSE_FO:BANKNIFTY19JAN2342400PE [LOCAL],2023-01-13 09:15:00+05:30,ab23151c9d7949b89bc4bde59a6739c6,SELL,15,499.3,INTRADAY,MARKET,2023-01-13 15:15:00+05:30,15ee8c6cc9a54fe6b26df5a1a77778e6,BUY,15,311.9,INTRADAY,MARKET,2811.0,-1614.0,37.53,-3.23,48386.0,-10.74
44,NSE_FO:BANKNIFTY19JAN2342700CE [LOCAL],2023-01-16 09:15:00+05:30,431eb76f4a2d4b599b3fed4648c481e3,BUY,15,220.0,INTRADAY,MARKET,2023-01-16 15:15:00+05:30,c7e751c0ed814a41a4ed5331b404e63f,SELL,15,100.85,INTRADAY,MARKET,-1787.25,-3401.25,-54.16,-6.8,46598.75,-14.03
45,NSE_FO:BANKNIFTY19JAN2342800CE [LOCAL],2023-01-16 09:15:00+05:30,c6492c7a1a9a4e74bbb586258733ae8c,SELL,15,182.05,INTRADAY,MARKET,2023-01-16 15:15:00+05:30,c8397b09a0754bc19ea3e724c2bec8d0,BUY,15,78.85,INTRADAY,MARKET,1548.0,-1853.25,56.69,-3.71,48146.75,-11.18
46,NSE_FO:BANKNIFTY19JAN2342800PE [LOCAL],2023-01-16 09:15:00+05:30,5ec780af3991443681d517bfc08b5b86,BUY,15,423.25,INTRADAY,MARKET,2023-01-16 15:15:00+05:30,06bf4a203d2a4be9b5762a490e7af2a3,SELL,15,664.0,INTRADAY,MARKET,3611.25,1758.0,56.88,3.52,51758.0,-4.51
47,NSE_FO:BANKNIFTY19JAN2342800PE [LOCAL],2023-01-16 09:15:00+05:30,950a1fb864ba4ee69bc154ce1d0d0178,SELL,15,423.25,INTRADAY,MARKET,2023-01-16 15:15:00+05:30,90aa223dc6fe4ed0a051170f5a897848,BUY,15,664.0,INTRADAY,MARKET,-3611.25,-1853.25,-56.88,-3.71,48146.75,-11.18
48,NSE_FO:BANKNIFTY19JAN2342300CE [LOCAL],2023-01-17 09:15:00+05:30,516111b1ebde401985c377bb0dd4dd59,BUY,15,235.0,INTRADAY,MARKET,2023-01-17 15:15:00+05:30,d7b346ddfc0845a990918a9c69f97ab5,SELL,15,209.75,INTRADAY,MARKET,-378.75,-2232.0,-10.74,-4.46,47768.0,-11.88
49,NSE_FO:BANKNIFTY19JAN2342400CE [LOCAL],2023-01-17 09:15:00+05:30,f21ff2feaab94c7f9a53e2848b5a558f,SELL,15,195.5,INTRADAY,MARKET,2023-01-17 15:15:00+05:30,78aacebe30404fc5ab2d3028ed68c2f2,BUY,15,166.0,INTRADAY,MARKET,442.5,-1789.5,15.09,-3.58,48210.5,-11.06
50,NSE_FO:BANKNIFTY19JAN2342400PE [LOCAL],2023-01-17 09:15:00+05:30,58af20c89615490ab476d73fb77ca29b,BUY,15,350.1,INTRADAY,MARKET,2023-01-17 15:15:00+05:30,881b97588f4c4a73b382521f96dc1997,SELL,15,276.4,INTRADAY,MARKET,-1105.5,-2895.0,-21.05,-5.79,47105.0,-13.1
51,NSE_FO:BANKNIFTY19JAN2342400PE [LOCAL],2023-01-17 09:15:00+05:30,c3b6f49da369491498fcf45c155ead48,SELL,15,350.1,INTRADAY,MARKET,2023-01-17 15:15:00+05:30,38bc9cb456384aebbf4340bcc080bc4f,BUY,15,276.4,INTRADAY,MARKET,1105.5,-1789.5,21.05,-3.58,48210.5,-11.06
