,INST,EN_TIME,EN_ID,EN_TT,EN_Q,EN_PRICE,EN_CODE,EN_VAR,EX_TIME,EX_ID,EX_TT,EX_Q,EX_PRICE,EX_CODE,EX_VAR,P&L,ROI,P&L %,ROI %,Equity Curve,Drawdown %
0,NSE_FO:BANKNIFTY05JAN2343000CE [LOCAL],2023-01-01 09:20:00+05:30,1c1bb06fd6e44951a946a337c5b45685,SELL,15,362.05,INTRADAY,MARKET,2023-01-01 15:15:00+05:30,794b398b73254c2ba77b90d81d73d9c7,BUY,15,362.05,INTRADAY,MARKET,-0.0,-0.0,-0.0,-0.0,50000.0,0.0
1,NSE_FO:BANKNIFTY05JAN2343000PE [LOCAL],2023-01-01 09:20:00+05:30,f32b6dee23554535ac4c59736b23331c,SELL,15,287.0,INTRADAY,MARKET,2023-01-01 15:15:00+05:30,cbae585af3a14c448fbf46167ea923fe,BUY,15,287.0,INTRADAY,MARKET,-0.0,-0.0,-0.0,-0.0,50000.0,0.0
2,NSE_FO:BANKNIFTY05JAN2343000CE [LOCAL],2023-01-02 09:15:00+05:30,70a717dcefeb4da9b75b6ac20cfda278,SELL,15,360.05,INTRADAY,MARKET,2023-01-02 15:15:00+05:30,c612d386e9ca4a95860bab62199f327d,BUY,15,416.0,INTRADAY,MARKET,-839.25,-839.25,-15.54,-1.68,49160.75,-1.68
3,NSE_FO:BANKNIFTY05JAN2343000PE [LOCAL],2023-01-02 09:15:00+05:30,58ff1851cb9c4700ad6ac3d95ba7075d,SELL,15,284.0,INTRADAY,MARKET,2023-01-02 15:15:00+05:30,9e04eb6e1a9c4af7829e55073516c13d,BUY,15,175.15,INTRADAY,MARKET,1632.75,793.5,38.33,1.59,50793.5,0.0
4,NSE_FO:BANKNIFTY05JAN2343200CE [LOCAL],2023-01-03 09:15:00+05:30,4af947a98c7d44349c2395e2e1f6b240,SELL,15,310.55,INTRADAY,MARKET,2023-01-03 15:15:00+05:30,02df0fd2cd094185afb6f59db61814eb,BUY,15,384.1,INTRADAY,MARKET,-1103.25,-309.75,-23.68,-0.62,49690.25,-2.17
5,NSE_FO:BANKNIFTY05JAN2343200PE [LOCAL],2023-01-03 09:15:00+05:30,2af1576bd57e492c932508a348dff8e9,SELL,15,274.45,INTRADAY,MARKET,2023-01-03 15:15:00+05:30,0ebf54613d6b4cbe8171891998709d3d,BUY,15,116.05,INTRADAY,MARKET,2376.0,2066.25,57.72,4.13,52066.25,0.0
6,NSE_FO:BANKNIFTY05JAN2343400CE [LOCAL],2023-01-04 09:15:00+05:30,5d34396aa8354e90960c69747cd9a866,SELL,15,255.0,INTRADAY,MARKET,2023-01-04 15:15:00+05:30,794eb223752f4eb387a032b25dec2872,BUY,15,60.35,INTRADAY,MARKET,2919.75,4986.0,76.33,9.97,54986.0,0.0
7,NSE_FO:BANKNIFTY05JAN2343400PE [LOCAL],2023-01-04 09:15:00+05:30,bccf471f42c8495ab924dd3bc398f6f7,SELL,15,199.9,INTRADAY,MARKET,2023-01-04 15:15:00+05:30,2b599f44ef7249e9918310034401c9cd,BUY,15,449.05,INTRADAY,MARKET,-3737.25,1248.75,-124.64,2.5,51248.75,-6.8
8,NSE_FO:BANKNIFTY05JAN2343100CE [LOCAL],2023-01-05 09:15:00+05:30,051336095e644fe6ac0b08c5c6b72d7b,SELL,15,178.4,INTRADAY,MARKET,2023-01-05 15:15:00+05:30,7c9f493b437642dba5db24cdd414ac56,BUY,15,0.35,INTRADAY,MARKET,2670.75,3919.5,99.8,7.84,53919.5,-1.94
9,NSE_FO:BANKNIFTY05JAN2343100PE [LOCAL],2023-01-05 09:15:00+05:30,60e171ae38134012ba583cbade4803be,SELL,15,219.0,INTRADAY,MARKET,2023-01-05 15:15:00+05:30,81a056ab691a450c9fd5e87953402831,BUY,15,484.6,INTRADAY,MARKET,-3984.0,-64.5,-121.28,-0.13,49935.5,-9.19
