,INST,EN_TIME,EN_ID,EN_TT,EN_Q,EN_PRICE,EN_CODE,EN_VAR,EX_TIME,EX_ID,EX_TT,EX_Q,EX_PRICE,EX_CODE,EX_VAR,P&L,ROI,P&L %,ROI %,Equity Curve,Drawdown %
0,NSE_FO:BANKNIFTY05JAN2343000CE [LOCAL],2023-01-01 09:20:00+05:30,fc47d58691de47d28c1a0e0ad79d7783,SELL,15,362.05,INTRADAY,MARKET,2023-01-01 15:15:00+05:30,810d3bf95482403eaa928eb33af1e75c,BUY,15,362.05,INTRADAY,MARKET,-0.0,-0.0,-0.0,-0.0,50000.0,0.0
1,NSE_FO:BANKNIFTY05JAN2343000PE [LOCAL],2023-01-01 09:20:00+05:30,18c7b60887c94a9aa50cf14f6d48eb7f,SELL,15,287.0,INTRADAY,MARKET,2023-01-01 15:15:00+05:30,a9c27ce1769944a2ab6c761e327e51fa,BUY,15,287.0,INTRADAY,MARKET,-0.0,-0.0,-0.0,-0.0,50000.0,0.0
2,NSE_FO:BANKNIFTY05JAN2343000CE [LOCAL],2023-01-02 09:15:00+05:30,fe664b5d8a1b4c42b622a67b743c2385,SELL,15,360.05,INTRADAY,MARKET,2023-01-02 15:15:00+05:30,90bf4c50375246bb86f04ce993a687b9,BUY,15,416.0,INTRADAY,MARKET,-839.25,-839.25,-15.54,-1.68,49160.75,-1.68
3,NSE_FO:BANKNIFTY05JAN2343000PE [LOCAL],2023-01-02 09:15:00+05:30,b1f3e3ec55fe4ff593766c3ab913c49d,SELL,15,284.0,INTRADAY,MARKET,2023-01-02 15:15:00+05:30,8aaf1346cf054b799f6be1e438264f4b,BUY,15,175.15,INTRADAY,MARKET,1632.75,793.5,38.33,1.59,50793.5,0.0
4,NSE_FO:BANKNIFTY05JAN2343200CE [LOCAL],2023-01-03 09:15:00+05:30,30162b201107400d9beac3799eaf5916,SELL,15,310.55,INTRADAY,MARKET,2023-01-03 15:15:00+05:30,efea70da5f384a2aa6af875d2cffe34d,BUY,15,384.1,INTRADAY,MARKET,-1103.25,-309.75,-23.68,-0.62,49690.25,-2.17
5,NSE_FO:BANKNIFTY05JAN2343200PE [LOCAL],2023-01-03 09:15:00+05:30,5ca0a3175a8f4579845b8b1a036c2826,SELL,15,274.45,INTRADAY,MARKET,2023-01-03 15:15:00+05:30,17380c4d3fdf4c949ca689146dfab52c,BUY,15,116.05,INTRADAY,MARKET,2376.0,2066.25,57.72,4.13,52066.25,0.0
6,NSE_FO:BANKNIFTY05JAN2343400CE [LOCAL],2023-01-04 09:15:00+05:30,aaed3a1c62b4452b9f7ab63afd70eae7,SELL,15,255.0,INTRADAY,MARKET,2023-01-04 15:15:00+05:30,a5a745b58d0d44ea9c3b66ff131b2a63,BUY,15,60.35,INTRADAY,MARKET,2919.75,4986.0,76.33,9.97,54986.0,0.0
7,NSE_FO:BANKNIFTY05JAN2343400PE [LOCAL],2023-01-04 09:15:00+05:30,56366d1e6b8943149abefada2ab00e01,SELL,15,199.9,INTRADAY,MARKET,2023-01-04 15:15:00+05:30,1df80494aba344dabd325dc8767fe7b8,BUY,15,449.05,INTRADAY,MARKET,-3737.25,1248.75,-124.64,2.5,51248.75,-6.8
8,NSE_FO:BANKNIFTY05JAN2343100CE [LOCAL],2023-01-05 09:15:00+05:30,08beff5c939243f8a42bf41d87913cca,SELL,15,178.4,INTRADAY,MARKET,2023-01-05 15:15:00+05:30,6bc27067a9bc4d1d96d7e3ebf5b465c7,BUY,15,0.35,INTRADAY,MARKET,2670.75,3919.5,99.8,7.84,53919.5,-1.94
9,NSE_FO:BANKNIFTY05JAN2343100PE [LOCAL],2023-01-05 09:15:00+05:30,cc63655a74ce4746a6258ce597319354,SELL,15,219.0,INTRADAY,MARKET,2023-01-05 15:15:00+05:30,66a75b6df6a64eef94bbf91981ca9ffb,BUY,15,484.6,INTRADAY,MARKET,-3984.0,-64.5,-121.28,-0.13,49935.5,-9.19
10,NSE_FO:BANKNIFTY12JAN2342600CE [LOCAL],2023-01-06 09:15:00+05:30,015e0d5291db4c7c91884702c043adae,SELL,15,393.7,INTRADAY,MARKET,2023-01-06 15:15:00+05:30,d7a8c148b7bf40f889dcbb25cc164485,BUY,15,188.9,INTRADAY,MARKET,3072.0,3007.5,52.02,6.02,53007.5,-3.6
11,NSE_FO:BANKNIFTY12JAN2342600PE [LOCAL],2023-01-06 09:15:00+05:30,3a3e964d3e404d85898d1825cecac731,SELL,15,360.0,INTRADAY,MARKET,2023-01-06 15:15:00+05:30,7ab94e2d8f7d4d1c8bdae6cc28452375,BUY,15,511.4,INTRADAY,MARKET,-2271.0,736.5,-42.06,1.47,50736.5,-7.73
12,NSE_FO:BANKNIFTY12JAN2342400CE [LOCAL],2023-01-09 09:15:00+05:30,eb607ea361994a048d64f06a77da66b4,SELL,15,295.15,INTRADAY,MARKET,2023-01-09 15:15:00+05:30,153f374fca0441f5a8011a5d50855a76,BUY,15,397.5,INTRADAY,MARKET,-1535.25,-798.75,-34.68,-1.6,49201.25,-10.52
13,NSE_FO:BANKNIFTY12JAN2342400PE [LOCAL],2023-01-09 09:15:00+05:30,f535ed8088ed47418639ea5393734ee7,SELL,15,278.05,INTRADAY,MARKET,2023-01-09 15:15:00+05:30,c864631fa7074e24bb2566c316ac80dd,BUY,15,149.0,INTRADAY,MARKET,1935.75,1137.0,46.41,2.27,51137.0,-7.0
14,NSE_FO:BANKNIFTY12JAN2342600CE [LOCAL],2023-01-10 09:15:00+05:30,a5551b8fccf843bb9a2e6d955e8c7234,SELL,15,272.2,INTRADAY,MARKET,2023-01-10 15:15:00+05:30,be75e4c63c40441bbfbda3b01fd07546,BUY,15,82.25,INTRADAY,MARKET,2849.25,3986.25,69.78,7.97,53986.25,-1.82
15,NSE_FO:BANKNIFTY12JAN2342600PE [LOCAL],2023-01-10 09:15:00+05:30,7430288659cd47bc9018ecb1c99b33ad,SELL,15,232.55,INTRADAY,MARKET,2023-01-10 15:15:00+05:30,d7dd18ea8cae41df8243c66657aa02af,BUY,15,558.1,INTRADAY,MARKET,-4883.25,-897.0,-139.99,-1.79,49103.0,-10.7
16,NSE_FO:BANKNIFTY12JAN2342100CE [LOCAL],2023-01-11 09:15:00+05:30,cec9e31846c44787a7541142b7d3ed6d,SELL,15,251.0,INTRADAY,MARKET,2023-01-11 15:15:00+05:30,ee31ac94d67b4c8d888e8a8f181f12a7,BUY,15,274.1,INTRADAY,MARKET,-346.5,-1243.5,-9.2,-2.49,48756.5,-11.33
17,NSE_FO:BANKNIFTY12JAN2342100PE [LOCAL],2023-01-11 09:15:00+05:30,5bf8f1dafedf484d9f16ecb670a8b750,SELL,15,235.0,INTRADAY,MARKET,2023-01-11 15:15:00+05:30,d206745814894f8494a2a548dbd33bd0,BUY,15,101.55,INTRADAY,MARKET,2001.75,758.25,56.79,1.52,50758.25,-7.69
18,NSE_FO:BANKNIFTY12JAN2342200CE [LOCAL],2023-01-12 09:15:00+05:30,3ecbb00dc31d4ae9a9cf38a3bca0be62,SELL,15,204.1,INTRADAY,MARKET,2023-01-12 15:15:00+05:30,074e03b1f8714df1bbef95aa8b94fd79,BUY,15,0.45,INTRADAY,MARKET,3054.75,3813.0,99.78,7.63,53813.0,-2.13
