,INST,EN_TIME,EN_ID,EN_TT,EN_Q,EN_PRICE,EN_CODE,EN_VAR,EX_TIME,EX_ID,EX_TT,EX_Q,EX_PRICE,EX_CODE,EX_VAR,P&L,ROI,P&L %,ROI %,Equity Curve,Drawdown %
0,NSE_FO:NIFTY05JAN2318200CE [LOCAL],2023-01-01 09:20:00+05:30,a737021ce8e34dae862bfa2a6d4c399f,SELL,50,80.0,INTRADAY,MARKET,2023-01-01 15:15:00+05:30,7c9faac2642f455693cb3243adf52b79,BUY,50,80.0,INTRADAY,MARKET,-0.0,-0.0,-0.0,-0.0,50000.0,0.0
1,NSE_FO:NIFTY05JAN2318200PE [LOCAL],2023-01-01 09:20:00+05:30,7c275e8b3e4542ceb548c455aa5a4ae2,SELL,50,129.05,INTRADAY,MARKET,2023-01-01 15:15:00+05:30,0d9f7d0b7dcd466bae9769c4215fc38e,BUY,50,129.05,INTRADAY,MARKET,-0.0,-0.0,-0.0,-0.0,50000.0,0.0
2,NSE_FO:NIFTY05JAN2318250CE [LOCAL],2023-01-02 09:15:00+05:30,d0c040976bc5478287b655cd4ab1d818,SELL,50,60.55,INTRADAY,MARKET,2023-01-02 15:15:00+05:30,b4a84584f1c348fea510ea46c15d9535,BUY,50,71.9,INTRADAY,MARKET,-567.5,-567.5,-18.74,-1.14,49432.5,-1.13
3,NSE_FO:NIFTY05JAN2318250PE [LOCAL],2023-01-02 09:15:00+05:30,a40f1333a6524a8192fe9d10b792c003,SELL,50,160.0,INTRADAY,MARKET,2023-01-02 15:15:00+05:30,8ab5e24d37ba4cb39380a9cb657d22ac,BUY,50,115.2,INTRADAY,MARKET,2240.0,1672.5,28.0,3.35,51672.5,0.0
4,NSE_FO:NIFTY05JAN2318250CE [LOCAL],2023-01-03 09:15:00+05:30,79e5f3256ca74e8386debbcfc94efac8,SELL,50,64.0,INTRADAY,MARKET,2023-01-03 15:15:00+05:30,986d5337140a4e33aa88dabe02372d5e,BUY,50,78.25,INTRADAY,MARKET,-712.5,960.0,-22.27,1.92,50960.0,-1.38
5,NSE_FO:NIFTY05JAN2318250PE [LOCAL],2023-01-03 09:15:00+05:30,2a27569eeda34f12b70da45c1c3ed95b,SELL,50,115.0,INTRADAY,MARKET,2023-01-03 15:15:00+05:30,ef8fcffeff214e67865d67e9d5d7e3ad,BUY,50,65.8,INTRADAY,MARKET,2460.0,3420.0,42.78,6.84,53420.0,0.0
6,NSE_FO:NIFTY05JAN2318350CE [LOCAL],2023-01-04 09:15:00+05:30,7b2fd13ee89d43fdae24ff65088b85e8,SELL,50,30.0,INTRADAY,MARKET,2023-01-04 15:15:00+05:30,c202f72c6c4948569cd332ec934809a0,BUY,50,4.55,INTRADAY,MARKET,1272.5,4692.5,84.83,9.38,54692.5,0.0
7,NSE_FO:NIFTY05JAN2318350PE [LOCAL],2023-01-04 09:15:00+05:30,6b2898aad8ae4657a55ae7d8d3e65db0,SELL,50,139.95,INTRADAY,MARKET,2023-01-04 15:15:00+05:30,3a72d569727f4dbc9e280f3501a518b4,BUY,50,294.45,INTRADAY,MARKET,-7725.0,-3032.5,-110.4,-6.07,46967.5,-14.12
8,NSE_FO:NIFTY05JAN2318200CE [LOCAL],2023-01-05 09:15:00+05:30,79ccd3c2e84942be8744177c964ba3a1,SELL,50,16.65,INTRADAY,MARKET,2023-01-05 15:15:00+05:30,ca4c3718a5c34b51a5dfd872b7a82f3f,BUY,50,0.1,INTRADAY,MARKET,827.5,-2205.0,99.4,-4.41,47795.0,-12.61
9,NSE_FO:NIFTY05JAN2318200PE [LOCAL],2023-01-05 09:15:00+05:30,ef6d4c37600d4c5f9377257b1afd1b3d,SELL,50,142.0,INTRADAY,MARKET,2023-01-05 15:15:00+05:30,a57dbc964c604f76891f8dc9f8f036f7,BUY,50,211.9,INTRADAY,MARKET,-3495.0,-5700.0,-49.23,-11.4,44300.0,-19.0
