,INST,EN_TIME,EN_ID,EN_TT,EN_Q,EN_PRICE,EN_CODE,EN_VAR,EX_TIME,EX_ID,EX_TT,EX_Q,EX_PRICE,EX_CODE,EX_VAR,P&L,ROI,P&L %,ROI %,Equity Curve,Drawdown %
0,NSE_FO:NIFTY05JAN2318200CE [LOCAL],2023-01-01 09:20:00+05:30,df742a3a6b2c4ce380b543b957da536d,SELL,50,80.0,INTRADAY,MARKET,2023-01-01 15:15:00+05:30,bbe362a0db494e40bbd4ace461ed6ce7,BUY,50,80.0,INTRADAY,MARKET,-0.0,-0.0,-0.0,-0.0,50000.0,0.0
1,NSE_FO:NIFTY05JAN2318200PE [LOCAL],2023-01-01 09:20:00+05:30,f92e9a7700df48728dcce16682b8c61b,SELL,50,129.05,INTRADAY,MARKET,2023-01-01 15:15:00+05:30,4bd53800246547b5823afe415ff9f897,BUY,50,129.05,INTRADAY,MARKET,-0.0,-0.0,-0.0,-0.0,50000.0,0.0
2,NSE_FO:NIFTY05JAN2318250CE [LOCAL],2023-01-02 09:15:00+05:30,b5fee3e5e1aa45358a423b555404e9b0,SELL,50,60.55,INTRADAY,MARKET,2023-01-02 15:15:00+05:30,ca5f42fbdd0d4cb2bbee0e33c0d42347,BUY,50,71.9,INTRADAY,MARKET,-567.5,-567.5,-18.74,-1.14,49432.5,-1.13
3,NSE_FO:NIFTY05JAN2318250PE [LOCAL],2023-01-02 09:15:00+05:30,5c12ab5ecbff4a18b4dfd0349bcb2bec,SELL,50,160.0,INTRADAY,MARKET,2023-01-02 15:15:00+05:30,cfecca0b72904157844f743aa5feee77,BUY,50,115.2,INTRADAY,MARKET,2240.0,1672.5,28.0,3.35,51672.5,0.0
4,NSE_FO:NIFTY05JAN2318250CE [LOCAL],2023-01-03 09:15:00+05:30,d934fe2b3494425a9324482f0f6d617d,SELL,50,64.0,INTRADAY,MARKET,2023-01-03 15:15:00+05:30,e1a7ab102974492eb09323f68d4367ff,BUY,50,78.25,INTRADAY,MARKET,-712.5,960.0,-22.27,1.92,50960.0,-1.38
5,NSE_FO:NIFTY05JAN2318250PE [LOCAL],2023-01-03 09:15:00+05:30,11e321712d02474194db505920fcb15d,SELL,50,115.0,INTRADAY,MARKET,2023-01-03 15:15:00+05:30,0c3557de6b764365a3623d7d187bc390,BUY,50,65.8,INTRADAY,MARKET,2460.0,3420.0,42.78,6.84,53420.0,0.0
6,NSE_FO:NIFTY05JAN2318350CE [LOCAL],2023-01-04 09:15:00+05:30,a0a5750619b84666a9fa8e9deb88562d,SELL,50,30.0,INTRADAY,MARKET,2023-01-04 15:15:00+05:30,344dcc1f3a2648b89f1c484d89864d23,BUY,50,4.55,INTRADAY,MARKET,1272.5,4692.5,84.83,9.38,54692.5,0.0
7,NSE_FO:NIFTY05JAN2318350PE [LOCAL],2023-01-04 09:15:00+05:30,9ccca35cf3f3497181dca77e17aceae3,SELL,50,139.95,INTRADAY,MARKET,2023-01-04 15:15:00+05:30,3291ea4354614359b35f266fb30d58cd,BUY,50,294.45,INTRADAY,MARKET,-7725.0,-3032.5,-110.4,-6.07,46967.5,-14.12
8,NSE_FO:NIFTY05JAN2318200CE [LOCAL],2023-01-05 09:15:00+05:30,23a6d75fe4eb4882ac187f01511ea435,SELL,50,16.65,INTRADAY,MARKET,2023-01-05 15:15:00+05:30,0469c9fbff9146e7b52f6a110cdf77d6,BUY,50,0.1,INTRADAY,MARKET,827.5,-2205.0,99.4,-4.41,47795.0,-12.61
9,NSE_FO:NIFTY05JAN2318200PE [LOCAL],2023-01-05 09:15:00+05:30,8ab0c74f90854c11903c0724622f7716,SELL,50,142.0,INTRADAY,MARKET,2023-01-05 15:15:00+05:30,ec962bab00874bf9b73642faa519645e,BUY,50,211.9,INTRADAY,MARKET,-3495.0,-5700.0,-49.23,-11.4,44300.0,-19.0
