,INST,EN_TIME,EN_ID,EN_TT,EN_Q,EN_PRICE,EN_CODE,EN_VAR,EX_TIME,EX_ID,EX_TT,EX_Q,EX_PRICE,EX_CODE,EX_VAR,P&L,ROI,P&L %,ROI %,Equity Curve,Drawdown %
0,NSE_EQ:HDFCBANK,2023-01-04 13:15:00+05:30,cded8546354e41f5b1e3399ddedf0d86,BUY,2,1616.9,INTRADAY,MARKET,2023-01-04 15:15:00+05:30,e879ab448bb5427c87edf77c6739932a,SELL,2,1610.5,INTRADAY,MARKET,-12.8,-12.8,-0.4,-0.03,49987.2,-0.03
1,NSE_EQ:HDFCBANK,2023-01-05 09:15:00+05:30,8978d7a6f55c48cdbc437bdeeeb8bd73,BUY,2,1615.0,INTRADAY,MARKET,2023-01-05 10:15:00+05:30,25fb3ede14ec4287bb27ce32d0c7d097,SELL,2,1606.9,INTRADAY,MARKET,-16.2,-29.0,-0.5,-0.06,49971.0,-0.06
2,NSE_EQ:HDFCBANK,2023-01-06 12:15:00+05:30,cd961a33189b4b00aa0030ff91f8b845,BUY,2,1595.75,INTRADAY,MARKET,2023-01-06 13:15:00+05:30,7be5ba14a8bb453285f2948958f69fe7,SELL,2,1587.4,INTRADAY,MARKET,-16.7,-45.7,-0.52,-0.09,49954.3,-0.09
3,NSE_EQ:HDFCBANK,2023-01-10 14:15:00+05:30,8228d10ba21948af86e0a7ba597c3542,BUY,2,1572.0,INTRADAY,MARKET,2023-01-10 15:15:00+05:30,43a3ed25d7c44371b8093c74b5e2416e,SELL,2,1570.0,INTRADAY,MARKET,-4.0,-49.7,-0.13,-0.1,49950.3,-0.1
4,NSE_EQ:HDFCBANK,2023-01-17 09:15:00+05:30,ec2fb0baf73b40abbc3b516c4cdcf700,BUY,2,1589.8,INTRADAY,MARKET,2023-01-17 15:15:00+05:30,2b6ceea840a9452cb1fab651fbf2931e,SELL,2,1609.4,INTRADAY,MARKET,39.2,-10.5,1.23,-0.02,49989.5,-0.02
5,NSE_EQ:HDFCBANK,2023-01-23 13:15:00+05:30,74da931d189a4369aeecefcffe38ec55,SELL,2,1671.9,INTRADAY,MARKET,2023-01-23 15:15:00+05:30,9c438566a26a444a92ed1d96a9a18724,BUY,2,1674.2,INTRADAY,MARKET,-4.6,-15.1,-0.14,-0.03,49984.9,-0.03
6,NSE_EQ:HDFCBANK,2023-01-25 09:15:00+05:30,123776424aef4e94bd298f198c1d10c6,SELL,2,1691.4,INTRADAY,MARKET,2023-01-25 15:15:00+05:30,1d3e6f8b0a864d918dd971dd911dfe02,BUY,2,1649.25,INTRADAY,MARKET,84.3,69.2,2.49,0.14,50069.200000000004,0.0
7,NSE_EQ:HDFCBANK,2023-01-27 12:15:00+05:30,92661542a5bb4098bc86e259b474fde1,BUY,2,1623.1,INTRADAY,MARKET,2023-01-27 13:15:00+05:30,853c18439d62487482e9ace28e81a221,SELL,2,1616.2,INTRADAY,MARKET,-13.8,55.4,-0.43,0.11,50055.4,-0.03
8,NSE_EQ:HDFCBANK,2023-01-30 14:15:00+05:30,3b4372f5e11242d08df70d438bc39949,BUY,2,1597.4,INTRADAY,MARKET,2023-01-30 15:15:00+05:30,8882ac6bf1eb47189f78907616df7007,SELL,2,1615.35,INTRADAY,MARKET,35.9,91.3,1.12,0.18,50091.3,0.0
9,NSE_EQ:HDFCBANK,2023-02-01 14:15:00+05:30,742b71878df94b858fc9cd193bd36f8e,SELL,2,1633.0,INTRADAY,MARKET,2023-02-01 15:15:00+05:30,71f38628aa4442ec86de2f47f7d6c7ec,BUY,2,1626.5,INTRADAY,MARKET,13.0,104.3,0.4,0.21,50104.3,0.0
10,NSE_EQ:HDFCBANK,2023-02-02 14:15:00+05:30,9d9ecd23d82a4408989f27fafaa186a9,BUY,2,1597.75,INTRADAY,MARKET,2023-02-02 15:15:00+05:30,a3f02e49e3ed451c8028bdb8ea7d9e9c,SELL,2,1603.35,INTRADAY,MARKET,11.2,115.5,0.35,0.23,50115.5,0.0
11,NSE_EQ:HDFCBANK,2023-02-03 12:15:00+05:30,a5e3d53fe672457695a172d88f414eb8,SELL,2,1636.95,INTRADAY,MARKET,2023-02-03 13:15:00+05:30,4f8b7a143c6943aaad928658e23e75e2,BUY,2,1647.6,INTRADAY,MARKET,-21.3,94.2,-0.65,0.19,50094.2,-0.04
