,INST,EN_TIME,EN_ID,EN_TT,EN_Q,EN_PRICE,EN_CODE,EN_VAR,EX_TIME,EX_ID,EX_TT,EX_Q,EX_PRICE,EX_CODE,EX_VAR,P&L,ROI,P&L %,ROI %,Equity Curve,Drawdown %
0,NSE_EQ:HDFCBANK,2023-01-05 09:15:00+05:30,de4342edd655473fb30e14bdf63f93bd,BUY,2,1616.9,DELIVERY_T1,LIMIT,2023-01-05 10:15:00+05:30,d52cccbb4e804be38a69adb8463c4c51,SELL,2.0,1606.9,DELIVERY_T0,MARKET,-20.0,-20.0,-0.62,-0.04,49980.0,-0.04
1,NSE_EQ:HDFCBANK,2023-01-06 12:15:00+05:30,b2caeca628184809b34f522be4a38caa,BUY,2,1595.75,DELIVERY_T0,MARKET,2023-01-06 13:15:00+05:30,36aa0194feb4446e8af838d48c8b09e8,SELL,2.0,1587.4,DELIVERY_T0,MARKET,-16.7,-36.7,-0.52,-0.07,49963.3,-0.07
2,NSE_EQ:HDFCBANK,2023-01-25 09:15:00+05:30,4913aa8050b049fc819bed990fa6cbb5,BUY,2,1572.0,DELIVERY_T2,LIMIT,2023-01-25 12:15:00+05:30,7adaceda4bf44af7a2ddb4288df29d14,SELL,2.0,1656.0,DELIVERY_T0,MARKET,168.0,131.3,5.34,0.26,50131.3,0.0
3,NSE_EQ:HDFCBANK,2023-01-27 09:15:00+05:30,a1ff7ab4cd284a2ea68125fa9dc10e19,BUY,2,1655.05,DELIVERY_T2,LIMIT,2023-01-27 13:15:00+05:30,35b539e208374b2f90c77a8297445bec,SELL,2.0,1616.2,DELIVERY_T0,MARKET,-77.7,53.6,-2.35,0.11,50053.600000000006,-0.15
4,NSE_EQ:HDFCBANK,2023-02-02 09:15:00+05:30,959b9a4af5784f04adf02df1f759aea2,BUY,2,1597.4,DELIVERY_T2,LIMIT,2023-02-02 13:15:00+05:30,bdae2dfd4bde4e7f88068635203ab724,SELL,2.0,1594.15,DELIVERY_T0,MARKET,-6.5,47.1,-0.2,0.09,50047.100000000006,-0.17
5,NSE_EQ:HDFCBANK,2023-02-09 09:15:00+05:30,0fa9fe938c70496f813f6f1552411b50,BUY,2,1597.75,DELIVERY_T2,LIMIT,2023-02-09 12:15:00+05:30,443633c50b854fec88f00b2a9a9b6dc0,SELL,2.0,1641.0,DELIVERY_T0,MARKET,86.5,133.6,2.71,0.27,50133.600000000006,0.0
6,NSE_EQ:HDFCBANK,2023-02-17 09:15:00+05:30,da7f5defebb14fc58111388ec32b014e,BUY,2,1645.0,DELIVERY_T2,LIMIT,2023-02-17 10:15:00+05:30,94f93bfd62ca4b6d91c1a7ad0387dc9b,SELL,2.0,1655.5,DELIVERY_T0,MARKET,21.0,154.6,0.64,0.31,50154.600000000006,0.0
7,NSE_EQ:HDFCBANK,2023-02-17 11:15:00+05:30,acf68438394d446ab26d612d0da32459,BUY,2,1658.55,DELIVERY_T0,MARKET,2023-02-17 13:15:00+05:30,f5ec8a68c22f4a64abfd4f6e130d125e,SELL,2.0,1647.55,DELIVERY_T0,MARKET,-22.0,132.6,-0.66,0.27,50132.600000000006,-0.04
8,NSE_EQ:HDFCBANK,2023-02-22 09:15:00+05:30,62d21d937633420cac53c746d698dc9c,BUY,2,1652.65,DELIVERY_T1,LIMIT,2023-02-22 11:15:00+05:30,87192b2fad41474582d84a8a9aa956ee,SELL,2.0,1629.0,DELIVERY_T0,MARKET,-47.3,85.3,-1.43,0.17,50085.3,-0.14
9,NSE_EQ:HDFCBANK,2023-02-24 09:15:00+05:30,87ffc43335f04c4e98ab55fe3427f14e,BUY,2,1605.0,DELIVERY_T1,LIMIT,2023-02-24 10:15:00+05:30,3ea5fd560d08471690341dd7fdec29ca,SELL,2.0,1600.55,DELIVERY_T0,MARKET,-8.9,76.4,-0.28,0.15,50076.4,-0.16
10,NSE_EQ:HDFCBANK,2023-01-04 13:15:00+05:30,d62fe78a12ec4c0aa6392f3e82d78927,BUY,2,1616.9,DELIVERY_T0,MARKET,,,,,,,,,,,,,
11,NSE_EQ:HDFCBANK,2023-01-10 14:15:00+05:30,cd4a4cf1f3474abfb64fc61e2744649c,BUY,2,1572.0,DELIVERY_T0,MARKET,,,,,,,,,,,,,
12,NSE_EQ:HDFCBANK,2023-01-11 09:15:00+05:30,2152b69c97814472b67be6c64a958bc4,BUY,2,1572.0,DELIVERY_T1,LIMIT,,,,,,,,,,,,,
13,NSE_EQ:HDFCBANK,2023-01-12 09:15:00+05:30,088643c4fa7545d89ce01d456b25b3ec,BUY,2,1572.0,DELIVERY_T2,LIMIT,,,,,,,,,,,,,
14,NSE_EQ:HDFCBANK,2023-01-13 09:15:00+05:30,d581e7a51f9e4b77bdbc6c85b0635e5f,BUY,2,1572.0,DELIVERY_T2,LIMIT,,,,,,,,,,,,,
