,INST,EN_TIME,EN_ID,EN_TT,EN_Q,EN_PRICE,EN_CODE,EN_VAR,EX_TIME,EX_ID,EX_TT,EX_Q,EX_PRICE,EX_CODE,EX_VAR,P&L,ROI,P&L %,ROI %,Equity Curve,Drawdown %
0,NSE_EQ:HDFCBANK,2023-01-04 13:15:00+05:30,a747de914ee94daf95740d39060c54f7,BUY,2,1616.9,INTRADAY,MARKET,2023-01-04 15:15:00+05:30,07399ec4c1954b218363f0a9263e97b2,SELL,2,1610.5,INTRADAY,MARKET,-12.8,-12.8,-0.4,-0.03,49987.2,-0.03
1,NSE_EQ:HDFCBANK,2023-01-05 09:15:00+05:30,7c15a470befc44558f6973df4fa99af0,BUY,2,1615.0,INTRADAY,MARKET,2023-01-05 10:15:00+05:30,907346a32e2c4d609cb8f35081e7747e,SELL,2,1606.9,INTRADAY,MARKET,-16.2,-29.0,-0.5,-0.06,49971.0,-0.06
2,NSE_EQ:HDFCBANK,2023-01-06 12:15:00+05:30,84e97c2dcccf4bc18bf3d2baea3e2063,BUY,2,1595.75,INTRADAY,MARKET,2023-01-06 13:15:00+05:30,9daec40a7515463eb84d7f9822b1366a,SELL,2,1587.4,INTRADAY,MARKET,-16.7,-45.7,-0.52,-0.09,49954.3,-0.09
3,NSE_EQ:HDFCBANK,2023-01-10 14:15:00+05:30,00a479d6cac94604a6d7c3fee6a74e77,BUY,2,1572.0,INTRADAY,MARKET,2023-01-10 15:15:00+05:30,397dd67f16204c83926ce71d18c5e7ce,SELL,2,1570.0,INTRADAY,MARKET,-4.0,-49.7,-0.13,-0.1,49950.3,-0.1
4,NSE_EQ:HDFCBANK,2023-01-17 09:15:00+05:30,cdf5628cef0a4e7c9969ad448333be73,BUY,2,1589.8,INTRADAY,MARKET,2023-01-17 15:15:00+05:30,b9b672ad6d044f82a8b3700c549a2c16,SELL,2,1609.4,INTRADAY,MARKET,39.2,-10.5,1.23,-0.02,49989.5,-0.02
5,NSE_EQ:HDFCBANK,2023-01-23 13:15:00+05:30,f1e5d9a590ac492cb2a1297c34e94bbd,SELL,2,1671.9,INTRADAY,MARKET,2023-01-23 15:15:00+05:30,5be24e3c4e71468db7501dbb3de37d77,BUY,2,1674.2,INTRADAY,MARKET,-4.6,-15.1,-0.14,-0.03,49984.9,-0.03
6,NSE_EQ:HDFCBANK,2023-01-25 09:15:00+05:30,b0dffb1cae6e40e28d9c913f3f7466a1,SELL,2,1691.4,INTRADAY,MARKET,2023-01-25 15:15:00+05:30,e212c83131fa4bbf93ab60938d82a83d,BUY,2,1649.25,INTRADAY,MARKET,84.3,69.2,2.49,0.14,50069.200000000004,0.0
7,NSE_EQ:HDFCBANK,2023-01-27 12:15:00+05:30,1af39b59a27747c8baf9e35f88185f13,BUY,2,1623.1,INTRADAY,MARKET,2023-01-27 13:15:00+05:30,24ed45a5097b45838f82825b12d9714f,SELL,2,1616.2,INTRADAY,MARKET,-13.8,55.4,-0.43,0.11,50055.4,-0.03
8,NSE_EQ:HDFCBANK,2023-01-30 14:15:00+05:30,f047d8fbe7614baaab8847d53e8b568f,BUY,2,1597.4,INTRADAY,MARKET,2023-01-30 15:15:00+05:30,7ec851f274d24a3c96d53acb9179f397,SELL,2,1615.35,INTRADAY,MARKET,35.9,91.3,1.12,0.18,50091.3,0.0
9,NSE_EQ:HDFCBANK,2023-02-01 14:15:00+05:30,a8d542cfbf9d40959305619fe9dc74ad,SELL,2,1633.0,INTRADAY,MARKET,2023-02-01 15:15:00+05:30,bb3a4448d9574fca887665b199762ca4,BUY,2,1626.5,INTRADAY,MARKET,13.0,104.3,0.4,0.21,50104.3,0.0
