,INST,EN_TIME,EN_ID,EN_TT,EN_Q,EN_PRICE,EN_CODE,EN_VAR,EX_TIME,EX_ID,EX_TT,EX_Q,EX_PRICE,EX_CODE,EX_VAR,P&L,ROI,P&L %,ROI %,Equity Curve,Drawdown %
0,NSE_EQ:HEROMOTOCO,2023-01-02 12:15:00+05:30,6542991d2f164bb39b5a5cd6127a82d4,SELL,2,2721.9,INTRADAY,MARKET,2023-01-02 15:30:00+05:30,269406f973e0470182d4335b0abfe53a,BUY,2,2715.55,INTRADAY,MARKET,12.7,12.7,0.23,0.03,50012.7,0.0
1,NSE_EQ:HEROMOTOCO,2023-01-05 10:15:00+05:30,c1f31d32add5499fbccf09006fa706c0,BUY,2,2740.55,INTRADAY,MARKET,2023-01-05 13:15:00+05:30,2e6adf837f1d4cb3931250cfac737135,SELL,2,2738.7,INTRADAY,MARKET,-3.7,9.0,-0.07,0.02,50009.0,-0.01
2,NSE_EQ:HEROMOTOCO,2023-01-09 09:15:00+05:30,2ea992959c1448a792c12795faf76178,SELL,2,2757.0,INTRADAY,MARKET,2023-01-09 15:30:00+05:30,a3b4575cd5014a66947a3703bb32bdb9,BUY,2,2753.35,INTRADAY,MARKET,7.3,16.3,0.13,0.03,50016.3,0.0
3,NSE_EQ:HEROMOTOCO,2023-01-13 09:15:00+05:30,3963b7fdaa384db1b522f82d62cd40f9,BUY,2,2683.3,INTRADAY,MARKET,2023-01-13 12:15:00+05:30,4fd3c58b86f045489be787258688fd15,SELL,2,2719.95,INTRADAY,MARKET,73.3,89.6,1.37,0.18,50089.600000000006,0.0
4,NSE_EQ:HEROMOTOCO,2023-01-18 14:15:00+05:30,ce00ee79ee4e4a198beea260103e6ca6,SELL,2,2759.95,INTRADAY,MARKET,2023-01-18 15:30:00+05:30,29bd740b3e7c474b992cac3724ff8c8c,BUY,2,2771.95,INTRADAY,MARKET,-24.0,65.6,-0.43,0.13,50065.600000000006,-0.05
5,NSE_EQ:HEROMOTOCO,2023-01-23 11:15:00+05:30,e7a79c80cd2a411a9ee5392c8147a726,BUY,2,2780.0,INTRADAY,MARKET,2023-01-23 15:30:00+05:30,bbe3f77a9f0b4650a3cd2333b5efb9aa,SELL,2,2772.9,INTRADAY,MARKET,-14.2,51.4,-0.26,0.1,50051.40000000001,-0.08
6,NSE_EQ:HEROMOTOCO,2023-01-24 11:15:00+05:30,34104d140ad645c79e8fa6822c12b36b,SELL,2,2769.15,INTRADAY,MARKET,2023-01-24 15:30:00+05:30,3aa232223fc3492b918766ab878e7db0,BUY,2,2773.9,INTRADAY,MARKET,-9.5,41.9,-0.17,0.08,50041.90000000001,-0.1
7,NSE_EQ:HEROMOTOCO,2023-01-25 14:15:00+05:30,2171c683085049eab4d0c01b951ebb0a,BUY,2,2790.45,INTRADAY,MARKET,2023-01-25 15:30:00+05:30,0e4ede4db3e14cb59ed8965271817488,SELL,2,2785.55,INTRADAY,MARKET,-9.8,32.1,-0.18,0.06,50032.100000000006,-0.11
8,NSE_EQ:HEROMOTOCO,2023-01-31 14:15:00+05:30,7236d1bace97471e96d5c6a70eb2d337,BUY,2,2738.6,INTRADAY,MARKET,2023-01-31 15:30:00+05:30,e2e57d8b249741e78306464ffe2b79be,SELL,2,2765.6,INTRADAY,MARKET,54.0,86.1,0.99,0.17,50086.100000000006,-0.01
9,NSE_EQ:HEROMOTOCO,2023-02-02 10:15:00+05:30,2147b6f183cf406a8cc201c4944de97b,SELL,2,2686.7,INTRADAY,MARKET,2023-02-02 13:15:00+05:30,86f612a054d44f398f267b9bdd1d94eb,BUY,2,2654.15,INTRADAY,MARKET,65.1,151.2,1.21,0.3,50151.200000000004,0.0
10,NSE_EQ:HEROMOTOCO,2023-02-06 10:15:00+05:30,a94d45cd7aa74b7fb59e569302dd06e8,BUY,2,2686.5,INTRADAY,MARKET,2023-02-06 14:15:00+05:30,33fc900202204379b9a5c19b13088ca7,SELL,2,2695.5,INTRADAY,MARKET,18.0,169.2,0.34,0.34,50169.200000000004,0.0
11,NSE_EQ:HEROMOTOCO,2023-02-07 13:15:00+05:30,dca3fdf631994868a34937c7e01ae43f,SELL,2,2617.05,INTRADAY,MARKET,2023-02-07 15:30:00+05:30,0d2264c7efee4790aef0a9629da2a10b,BUY,2,2655.05,INTRADAY,MARKET,-76.0,93.2,-1.45,0.19,50093.200000000004,-0.15
12,NSE_EQ:HEROMOTOCO,2023-02-10 12:15:00+05:30,4ad4e3a9ad954dc0aa9ebab7e14c68cc,BUY,2,2579.9,INTRADAY,MARKET,2023-02-10 15:15:00+05:30,5aa604d2c6034e7ca3770df5f9b34152,SELL,2,2583.15,INTRADAY,MARKET,6.5,99.7,0.13,0.2,50099.700000000004,-0.14
13,NSE_EQ:HEROMOTOCO,2023-02-17 10:15:00+05:30,29d72d26edf4420193f0c24365696ee1,SELL,2,2511.0,INTRADAY,MARKET,2023-02-17 14:15:00+05:30,4a0f931cc2804ae9be1e17b3b0e9db73,BUY,2,2529.25,INTRADAY,MARKET,-36.5,63.2,-0.73,0.13,50063.200000000004,-0.21
14,NSE_EQ:HEROMOTOCO,2023-02-20 12:15:00+05:30,d5d6cde47c9b4af4a8dc9a593ac7af06,BUY,2,2532.2,INTRADAY,MARKET,2023-02-20 15:30:00+05:30,1872b892edf746d39c6d30da2b611f7a,SELL,2,2527.8,INTRADAY,MARKET,-8.8,54.4,-0.17,0.11,50054.4,-0.23
15,NSE_EQ:HEROMOTOCO,2023-02-22 11:15:00+05:30,5ce87ed27d024694a2f0d954aaff36c0,SELL,2,2518.65,INTRADAY,MARKET,2023-02-22 15:30:00+05:30,728966b3312a4e6ebf4b3c9856a87397,BUY,2,2499.85,INTRADAY,MARKET,37.6,92.0,0.75,0.18,50092.0,-0.15
16,NSE_EQ:HEROMOTOCO,2023-02-24 12:15:00+05:30,021be302e28e4e229f08d29291c4be53,BUY,2,2492.1,INTRADAY,MARKET,2023-02-24 15:30:00+05:30,2c8284a5cdc14d91ba0299077c2e819c,SELL,2,2485.5,INTRADAY,MARKET,-13.2,78.8,-0.26,0.16,50078.8,-0.18
