,INST,EN_TIME,EN_ID,EN_TT,EN_Q,EN_PRICE,EN_CODE,EN_VAR,EX_TIME,EX_ID,EX_TT,EX_Q,EX_PRICE,EX_CODE,EX_VAR,P&L,ROI,P&L %,ROI %,Equity Curve,Drawdown %
0,NSE_EQ:DLF,2023-01-02 10:15:00+05:30,02a8fcd933d441009022a02a45a3dc10,BUY,10,378.05,DELIVERY_T0,MARKET,2023-01-02 13:15:00+05:30,240d985328d54cc89c1117ca5f694826,SELL,10.0,380.1,DELIVERY_T0,MARKET,20.5,20.5,0.54,0.04,50020.5,0.0
1,NSE_EQ:DLF,2023-01-03 09:15:00+05:30,fd1df670a5a0444fa509be918483005e,BUY,10,380.75,DELIVERY_T0,MARKET,2023-01-03 11:15:00+05:30,fb912ede0a9d476cbc667fd08e419ad1,SELL,10.0,381.15,DELIVERY_T0,MARKET,4.0,24.5,0.11,0.05,50024.5,0.0
2,NSE_EQ:DLF,2023-01-05 09:15:00+05:30,6b0ab80ccf4d4d3782031c37e26403c6,BUY,10,372.95,DELIVERY_T1,LIMIT,2023-01-05 10:15:00+05:30,4718a0ccaa284e69b7b8dfca198cfc67,SELL,10.0,372.1,DELIVERY_T0,MARKET,-8.5,16.0,-0.23,0.03,50016.0,-0.02
3,NSE_EQ:DLF,2023-01-05 10:15:00+05:30,989e0db5da224c8db8b5147201539019,BUY,10,372.1,DELIVERY_T0,MARKET,2023-01-05 12:15:00+05:30,95726fbc505e435094f0acebfaaf2f27,SELL,10.0,371.35,DELIVERY_T0,MARKET,-7.5,8.5,-0.2,0.02,50008.5,-0.03
4,NSE_EQ:DLF,2023-01-10 09:15:00+05:30,a49c3f9fb9264e16ac5fe1ee4b41681b,BUY,10,373.9,DELIVERY_T0,MARKET,2023-01-10 10:15:00+05:30,41eeb46ce35943c89321958ad5ca3032,SELL,10.0,374.05,DELIVERY_T0,MARKET,1.5,10.0,0.04,0.02,50010.0,-0.03
5,NSE_EQ:DLF,2023-01-12 09:15:00+05:30,21ecdb43e1d24241ac432d8c4afce22f,BUY,10,372.9,DELIVERY_T0,MARKET,2023-01-12 14:15:00+05:30,c819224d335c4ba5adf22f12f00a9790,SELL,10.0,373.0,DELIVERY_T0,MARKET,1.0,11.0,0.03,0.02,50011.0,-0.03
6,NSE_EQ:DLF,2023-01-17 09:15:00+05:30,aa8a8eab8d9d4efcabb3873a66387961,BUY,10,372.7,DELIVERY_T1,LIMIT,2023-01-17 09:15:00+05:30,21ff811ef850493f903ae9974ffbdea5,SELL,10.0,373.95,DELIVERY_T0,MARKET,12.5,23.5,0.34,0.05,50023.5,-0.0
7,NSE_EQ:DLF,2023-01-17 09:15:00+05:30,50f310004a324f3c8adca72478a6676a,BUY,10,373.95,DELIVERY_T0,MARKET,2023-01-17 13:15:00+05:30,80846c55831e4cfa991b18ed98073315,SELL,10.0,370.35,DELIVERY_T0,MARKET,-36.0,-12.5,-0.96,-0.03,49987.5,-0.07
8,NSE_EQ:DLF,2023-01-24 09:15:00+05:30,665a961267fd4d0d9d8018d3b7874292,BUY,10,369.0,DELIVERY_T1,LIMIT,2023-01-24 09:15:00+05:30,1e64e7937ef24a10bcff7f1c73ef926b,SELL,10.0,370.5,DELIVERY_T0,MARKET,15.0,2.5,0.41,0.01,50002.5,-0.04
9,NSE_EQ:DLF,2023-02-01 10:15:00+05:30,4bda4394ff7f42a992ed830ac38a7944,BUY,10,357.15,DELIVERY_T0,MARKET,2023-02-01 12:15:00+05:30,b805ae780f054bd09a83c95499b5348d,SELL,10.0,356.3,DELIVERY_T0,MARKET,-8.5,-6.0,-0.24,-0.01,49994.0,-0.06
