,INST,EN_TIME,EN_ID,EN_TT,EN_Q,EN_PRICE,EN_CODE,EN_VAR,EX_TIME,EX_ID,EX_TT,EX_Q,EX_PRICE,EX_CODE,EX_VAR,P&L,ROI,P&L %,ROI %,Equity Curve,Drawdown %
0,NSE_EQ:DLF,2023-01-02 10:15:00+05:30,3ca09c946ede469687281d2a2c734522,BUY,10,378.05,INTRADAY,MARKET,2023-01-02 13:15:00+05:30,30327cca779e48068dcf7168234fbc99,SELL,10,380.1,INTRADAY,MARKET,20.5,20.5,0.54,0.04,50020.5,0.0
1,NSE_EQ:DLF,2023-01-02 13:15:00+05:30,e5048ca8b2d84fffaf10ec84467b70dc,SELL,10,380.1,INTRADAY,MARKET,2023-01-02 15:15:00+05:30,da1841e363a2421a80245c14b2dee608,BUY,10,380.6,INTRADAY,MARKET,-5.0,15.5,-0.13,0.03,50015.5,-0.01
2,NSE_EQ:DLF,2023-01-03 09:15:00+05:30,529a7641bff441039bd87e6b3a55ff2c,BUY,10,380.75,INTRADAY,MARKET,2023-01-03 11:15:00+05:30,0ccb78b193bc4c18b56e6b98bb51fa17,SELL,10,381.15,INTRADAY,MARKET,4.0,19.5,0.11,0.04,50019.5,-0.0
3,NSE_EQ:DLF,2023-01-03 11:15:00+05:30,6a9b85a6afe04ad6969c6aa25d19f9bc,SELL,10,381.15,INTRADAY,MARKET,2023-01-03 14:15:00+05:30,164bfa8de5a545fdbf153bb11e7e24e4,BUY,10,380.25,INTRADAY,MARKET,9.0,28.5,0.24,0.06,50028.5,0.0
4,NSE_EQ:DLF,2023-01-03 14:15:00+05:30,29065d791b174e428bec54438557e323,BUY,10,380.25,INTRADAY,MARKET,2023-01-03 15:15:00+05:30,7d4b032a5bcb43ed88dd4c1ad2b4f029,SELL,10,380.1,INTRADAY,MARKET,-1.5,27.0,-0.04,0.05,50027.0,-0.0
5,NSE_EQ:DLF,2023-01-04 13:15:00+05:30,7f0a55aefb3c4962b085f11942368035,BUY,10,372.95,INTRADAY,MARKET,2023-01-04 15:15:00+05:30,5a10ce56b787426f9735fafc9504d0d8,SELL,10,371.5,INTRADAY,MARKET,-14.5,12.5,-0.39,0.03,50012.5,-0.03
6,NSE_EQ:DLF,2023-01-05 10:15:00+05:30,7369daeb1af74794b344e8a664b0bbf1,BUY,10,372.1,INTRADAY,MARKET,2023-01-05 12:15:00+05:30,17f32f13225f475c9397d80865d0ec3c,SELL,10,371.35,INTRADAY,MARKET,-7.5,5.0,-0.2,0.01,50005.0,-0.05
7,NSE_EQ:DLF,2023-01-05 12:15:00+05:30,1f640f86165e49d9aa2b8cd771f87fd5,SELL,10,371.35,INTRADAY,MARKET,2023-01-05 15:15:00+05:30,8b42718d12a340239a8d163ab328f9a8,BUY,10,373.0,INTRADAY,MARKET,-16.5,-11.5,-0.44,-0.02,49988.5,-0.08
8,NSE_EQ:DLF,2023-01-06 10:15:00+05:30,a035404895d841ccb7b3170b3aceb055,SELL,10,372.05,INTRADAY,MARKET,2023-01-06 11:15:00+05:30,87bcffe9c6fb43659fa27429adfbddd7,BUY,10,373.2,INTRADAY,MARKET,-11.5,-23.0,-0.31,-0.05,49977.0,-0.1
9,NSE_EQ:DLF,2023-01-06 11:15:00+05:30,804f8cba8efb4fc28bc0b1ab3648fd24,BUY,10,373.2,INTRADAY,MARKET,2023-01-06 13:15:00+05:30,ae58c5584fbe45a18eb58f371869bb17,SELL,10,368.55,INTRADAY,MARKET,-46.5,-69.5,-1.25,-0.14,49930.5,-0.2
10,NSE_EQ:DLF,2023-01-06 13:15:00+05:30,4a4ee99c889c4ee99fd6d51a04ab902e,SELL,10,368.55,INTRADAY,MARKET,2023-01-06 15:15:00+05:30,aac19b3c9a03467c870bab19d419d1df,BUY,10,370.35,INTRADAY,MARKET,-18.0,-87.5,-0.49,-0.18,49912.5,-0.23
11,NSE_EQ:DLF,2023-01-09 09:15:00+05:30,63df9ce0c19f43639644edcfc23cbf9a,SELL,10,373.0,INTRADAY,MARKET,2023-01-09 10:15:00+05:30,59ba7ea703824ada8aa62f2b5b7a114c,BUY,10,374.6,INTRADAY,MARKET,-16.0,-103.5,-0.43,-0.21,49896.5,-0.26
12,NSE_EQ:DLF,2023-01-09 10:15:00+05:30,c3286d1462a54ebea60e5b8b18cf7bfd,BUY,10,374.6,INTRADAY,MARKET,2023-01-09 12:15:00+05:30,da2de99dc78b4ee3a95b603e60a32978,SELL,10,374.4,INTRADAY,MARKET,-2.0,-105.5,-0.05,-0.21,49894.5,-0.27
13,NSE_EQ:DLF,2023-01-09 12:15:00+05:30,6c3375358d2e4792ab7f7cb2d74d34a0,SELL,10,374.4,INTRADAY,MARKET,2023-01-09 15:15:00+05:30,6031e01602084aeaab3109cf8191009c,BUY,10,374.0,INTRADAY,MARKET,4.0,-101.5,0.11,-0.2,49898.5,-0.26
14,NSE_EQ:DLF,2023-01-10 09:15:00+05:30,ed27caacbba94ef187cf6685116c8fa8,BUY,10,373.9,INTRADAY,MARKET,2023-01-10 10:15:00+05:30,2ca233ad41494301907d977ab3b55e72,SELL,10,374.05,INTRADAY,MARKET,1.5,-100.0,0.04,-0.2,49900.0,-0.26
15,NSE_EQ:DLF,2023-01-10 10:15:00+05:30,b903e98e7e4f4059b12adfe898838c7c,SELL,10,374.05,INTRADAY,MARKET,2023-01-10 14:15:00+05:30,47677e2415b84d78a0c1fd4a95341b6e,BUY,10,372.35,INTRADAY,MARKET,17.0,-83.0,0.45,-0.17,49917.0,-0.22
16,NSE_EQ:DLF,2023-01-10 14:15:00+05:30,bcbfe0f8f26e42ae8307e03ea0abc6b9,BUY,10,372.35,INTRADAY,MARKET,2023-01-10 15:15:00+05:30,6f2abae0c35f4279a264886973e7c448,SELL,10,373.45,INTRADAY,MARKET,11.0,-72.0,0.3,-0.14,49928.0,-0.2
17,NSE_EQ:DLF,2023-01-11 12:15:00+05:30,9fc63bbd311842a7b444a7b60b6c53fe,SELL,10,372.75,INTRADAY,MARKET,2023-01-11 15:15:00+05:30,7fce795c732642e48096afada3e93f27,BUY,10,372.45,INTRADAY,MARKET,3.0,-69.0,0.08,-0.14,49931.0,-0.19
18,NSE_EQ:DLF,2023-01-12 09:15:00+05:30,5bd06716cfa645cbba24bbf758d0beaf,BUY,10,372.9,INTRADAY,MARKET,2023-01-12 14:15:00+05:30,3be6e96579874753a6ca4fbffe79020b,SELL,10,373.0,INTRADAY,MARKET,1.0,-68.0,0.03,-0.14,49932.0,-0.19
19,NSE_EQ:DLF,2023-01-12 14:15:00+05:30,2a77a5d7018142519e32f79ac1dbdf18,SELL,10,373.0,INTRADAY,MARKET,2023-01-12 15:15:00+05:30,e5498343d28446f084502868e6208014,BUY,10,374.65,INTRADAY,MARKET,-16.5,-84.5,-0.44,-0.17,49915.5,-0.23
20,NSE_EQ:DLF,2023-01-13 10:15:00+05:30,2276faba7ccf4c3e8ceb1a5e2dd2a577,SELL,10,373.3,INTRADAY,MARKET,2023-01-13 12:15:00+05:30,6f0f7f70a9a0449eb0faeec87626b2be,BUY,10,375.1,INTRADAY,MARKET,-18.0,-102.5,-0.48,-0.21,49897.5,-0.26
21,NSE_EQ:DLF,2023-01-13 12:15:00+05:30,ef51f5a410d14f4b981f82c8ad183966,BUY,10,375.1,INTRADAY,MARKET,2023-01-13 15:15:00+05:30,0f4d89084a9e41dbadfb86d5633ca110,SELL,10,376.45,INTRADAY,MARKET,13.5,-89.0,0.36,-0.18,49911.0,-0.23
22,NSE_EQ:DLF,2023-01-16 14:15:00+05:30,4a94bfc5918c4e1898b1ad9820cbd0ee,BUY,10,372.7,INTRADAY,MARKET,2023-01-16 15:15:00+05:30,894753d474f94f5ab6c81b001a4b1b8f,SELL,10,373.7,INTRADAY,MARKET,10.0,-79.0,0.27,-0.16,49921.0,-0.21
