,INST,EN_TIME,EN_ID,EN_TT,EN_Q,EN_PRICE,EN_CODE,EN_VAR,EX_TIME,EX_ID,EX_TT,EX_Q,EX_PRICE,EX_CODE,EX_VAR,P&L,ROI,P&L %,ROI %,Equity Curve,Drawdown %
0,NSE_EQ:SBIN,2023-01-02 09:45:00+05:30,f7c99121f9f4409293844e15aea19f27,BUY,5,617.35,INTRADAY,MARKET,2023-01-02 12:45:00+05:30,d786da922e0a43289fda020595dd85f7,SELL,5,613.65,INTRADAY,MARKET,-18.5,-18.5,-0.6,-0.04,49981.5,-0.04
1,NSE_EQ:SBIN,2023-01-02 12:45:00+05:30,6ff6550ede024a8fa7a35976a32cc0c1,SELL,5,613.65,INTRADAY,MARKET,2023-01-02 15:30:00+05:30,62bb300a6c94499794f0179cfaeadb14,BUY,5,612.6,INTRADAY,MARKET,5.25,-13.25,0.17,-0.03,49986.75,-0.03
2,NSE_EQ:SBIN,2023-01-03 09:30:00+05:30,7d3af22a1b3c4266ac501dad93561ec6,BUY,5,614.1,INTRADAY,MARKET,2023-01-03 12:15:00+05:30,ad9dddaf095f4f8bb1bbd56d9215f747,SELL,5,611.55,INTRADAY,MARKET,-12.75,-26.0,-0.42,-0.05,49974.0,-0.05
3,NSE_EQ:SBIN,2023-01-03 12:15:00+05:30,712c305199514dd7ad7c0b7bd3295d93,SELL,5,611.55,INTRADAY,MARKET,2023-01-03 14:00:00+05:30,175e29ee64cc4c578edbf41177855ce6,BUY,5,613.8,INTRADAY,MARKET,-11.25,-37.25,-0.37,-0.07,49962.75,-0.07
4,NSE_EQ:SBIN,2023-01-03 14:00:00+05:30,048ff57f8e01453f8dab11d10a587190,BUY,5,613.8,INTRADAY,MARKET,2023-01-03 15:30:00+05:30,1fd6b413e0cb4e7693547c9ae27028d7,SELL,5,612.95,INTRADAY,MARKET,-4.25,-41.5,-0.14,-0.08,49958.5,-0.08
5,NSE_EQ:SBIN,2023-01-04 09:45:00+05:30,ac60e52801dc451d9c1c2d5f183dfa00,SELL,5,610.05,INTRADAY,MARKET,2023-01-04 14:30:00+05:30,056edcc063d04978a060f893c4e783f1,BUY,5,606.05,INTRADAY,MARKET,20.0,-21.5,0.66,-0.04,49978.5,-0.04
6,NSE_EQ:SBIN,2023-01-04 14:30:00+05:30,b9dbcfafceea48d6942d9e5ada90a2fd,BUY,5,606.05,INTRADAY,MARKET,2023-01-04 15:00:00+05:30,9ff8076860c645d685ced44fe11022f8,SELL,5,605.35,INTRADAY,MARKET,-3.5,-25.0,-0.12,-0.05,49975.0,-0.05
7,NSE_EQ:SBIN,2023-01-04 15:00:00+05:30,877bc17cd73e45ef914b5cb31570b31c,SELL,5,605.35,INTRADAY,MARKET,2023-01-04 15:30:00+05:30,505bd16bc4bf4077840a7940525f4ce7,BUY,5,605.95,INTRADAY,MARKET,-3.0,-28.0,-0.1,-0.06,49972.0,-0.06
8,NSE_EQ:SBIN,2023-01-05 09:30:00+05:30,34f2fb232bb84fc0aa775ae0c29f14aa,BUY,5,608.85,INTRADAY,MARKET,2023-01-05 12:30:00+05:30,5630911cf03d433393bf4c4ff2bbf84a,SELL,5,606.75,INTRADAY,MARKET,-10.5,-38.5,-0.34,-0.08,49961.5,-0.08
9,NSE_EQ:SBIN,2023-01-05 12:30:00+05:30,dfc27a8a1163433d984b8a6f73596347,SELL,5,606.75,INTRADAY,MARKET,2023-01-05 15:30:00+05:30,1e57c9b5bb94403ea4f7c20587e208f2,BUY,5,605.75,INTRADAY,MARKET,5.0,-33.5,0.16,-0.07,49966.5,-0.07
10,NSE_EQ:SBIN,2023-01-06 09:30:00+05:30,3d14dcebb10c4affa7d67e75861ad131,BUY,5,604.9,INTRADAY,MARKET,2023-01-06 10:45:00+05:30,8603cd6f8f504aef8a4b5c7275c22a77,SELL,5,603.6,INTRADAY,MARKET,-6.5,-40.0,-0.21,-0.08,49960.0,-0.08
11,NSE_EQ:SBIN,2023-01-06 10:45:00+05:30,7d152f855c454104b73bfc045b99d3d0,SELL,5,603.6,INTRADAY,MARKET,2023-01-06 15:30:00+05:30,49fbea1e04c64996af2c83f73f37f5b3,BUY,5,601.8,INTRADAY,MARKET,9.0,-31.0,0.3,-0.06,49969.0,-0.06
12,NSE_EQ:SBIN,2023-01-09 09:30:00+05:30,fa393663274f48cd8de6fcc613993aa7,BUY,5,602.75,INTRADAY,MARKET,2023-01-09 14:00:00+05:30,797df1d7c8a4443b8321b30b1aa25af3,SELL,5,606.35,INTRADAY,MARKET,18.0,-13.0,0.6,-0.03,49987.0,-0.03
13,NSE_EQ:SBIN,2023-01-09 14:00:00+05:30,8c3a1edba1a24c26b00d1b294676944a,SELL,5,606.35,INTRADAY,MARKET,2023-01-09 15:15:00+05:30,600d598c6cf54d04ac73e7bc91c69b90,BUY,5,608.05,INTRADAY,MARKET,-8.5,-21.5,-0.28,-0.04,49978.5,-0.04
14,NSE_EQ:SBIN,2023-01-09 15:15:00+05:30,077ca27c82a0459581945f6a7491d305,BUY,5,608.05,INTRADAY,MARKET,2023-01-09 15:30:00+05:30,19811022f609447c868e93d8c135a037,SELL,5,608.3,INTRADAY,MARKET,1.25,-20.25,0.04,-0.04,49979.75,-0.04
15,NSE_EQ:SBIN,2023-01-10 09:45:00+05:30,f16f0d3b483a4540a476b3d9b33c1333,SELL,5,602.9,INTRADAY,MARKET,2023-01-10 14:30:00+05:30,6ac302bb54404e87a7e7f983fa692e3b,BUY,5,593.7,INTRADAY,MARKET,46.0,25.75,1.53,0.05,50025.75,0.0
16,NSE_EQ:SBIN,2023-01-10 14:30:00+05:30,72bd964df87e4737bbbc03507300c684,BUY,5,593.7,INTRADAY,MARKET,2023-01-10 15:30:00+05:30,cff8d0ce0bd24ce09fbc8cb918d48370,SELL,5,595.5,INTRADAY,MARKET,9.0,34.75,0.3,0.07,50034.75,0.0
17,NSE_EQ:SBIN,2023-01-11 13:15:00+05:30,9aba5d6b220240faa771328bdae73ce8,SELL,5,596.3,INTRADAY,MARKET,2023-01-11 15:30:00+05:30,e4cc448c1a4a4bb1b52099b17fbc3319,BUY,5,597.0,INTRADAY,MARKET,-3.5,31.25,-0.12,0.06,50031.25,-0.01
18,NSE_EQ:SBIN,2023-01-12 09:15:00+05:30,56e345545cfe4dcdb3c9c72c81173148,BUY,5,597.9,INTRADAY,MARKET,2023-01-12 09:30:00+05:30,64b0ccec2a5844338f6d41aaf496e327,SELL,5,595.15,INTRADAY,MARKET,-13.75,17.5,-0.46,0.03,50017.5,-0.03
19,NSE_EQ:SBIN,2023-01-12 09:30:00+05:30,4ddf5ad6736d48c981ccfa1eb09de557,SELL,5,595.15,INTRADAY,MARKET,2023-01-12 14:30:00+05:30,8f5c645991524f82a435d410ecf6e759,BUY,5,594.5,INTRADAY,MARKET,3.25,20.75,0.11,0.04,50020.75,-0.03
20,NSE_EQ:SBIN,2023-01-12 14:30:00+05:30,069ed56b5cc84d1ca5a72aa10c1c03a1,BUY,5,594.5,INTRADAY,MARKET,2023-01-12 15:30:00+05:30,c0f91796a34e4a65bae63ffe3eec92fb,SELL,5,594.95,INTRADAY,MARKET,2.25,23.0,0.08,0.05,50023.0,-0.02
21,NSE_EQ:SBIN,2023-01-13 12:00:00+05:30,1df40faf33964148b8609e9f2fbd1b27,SELL,5,595.3,INTRADAY,MARKET,2023-01-13 13:00:00+05:30,f4655649d7a4477fab4ae1c05edd22f2,BUY,5,600.4,INTRADAY,MARKET,-25.5,-2.5,-0.86,-0.0,49997.5,-0.07
22,NSE_EQ:SBIN,2023-01-13 13:00:00+05:30,41193a1672fe48f4905710575975aeb7,BUY,5,600.4,INTRADAY,MARKET,2023-01-13 15:30:00+05:30,21fba49b814f42b9b65c7fbeb13cb4f8,SELL,5,600.7,INTRADAY,MARKET,1.5,-1.0,0.05,-0.0,49999.0,-0.07
23,NSE_EQ:SBIN,2023-01-16 12:45:00+05:30,9b7a7eeb23464c2cbf6651deeca534c9,SELL,5,601.65,INTRADAY,MARKET,2023-01-16 13:30:00+05:30,463a225950374572b87f385b520f73d7,BUY,5,604.95,INTRADAY,MARKET,-16.5,-17.5,-0.55,-0.03,49982.5,-0.1
24,NSE_EQ:SBIN,2023-01-16 13:30:00+05:30,0594bb171e164f95abf35d5c22943e55,BUY,5,604.95,INTRADAY,MARKET,2023-01-16 15:30:00+05:30,05646935b14549c9abad3bd0836e8b53,SELL,5,603.05,INTRADAY,MARKET,-9.5,-27.0,-0.31,-0.05,49973.0,-0.12
25,NSE_EQ:SBIN,2023-01-17 09:30:00+05:30,636bd5f607c0471ba6673122048d953c,SELL,5,603.65,INTRADAY,MARKET,2023-01-17 10:15:00+05:30,c2299aafcdd14b3099f68e7f54881a22,BUY,5,605.35,INTRADAY,MARKET,-8.5,-35.5,-0.28,-0.07,49964.5,-0.14
26,NSE_EQ:SBIN,2023-01-17 10:15:00+05:30,1d14f628ed5a4014a8e627c8a6e7c715,BUY,5,605.35,INTRADAY,MARKET,2023-01-17 12:15:00+05:30,03c2858deec04e09a6915511e3d031f0,SELL,5,597.95,INTRADAY,MARKET,-37.0,-72.5,-1.22,-0.14,49927.5,-0.21
27,NSE_EQ:SBIN,2023-01-17 12:15:00+05:30,609915dedac347b281f8cc034f69e0ce,SELL,5,597.95,INTRADAY,MARKET,2023-01-17 15:30:00+05:30,d5ad021381d2447a96b8a229b5265d68,BUY,5,593.45,INTRADAY,MARKET,22.5,-50.0,0.75,-0.1,49950.0,-0.17
28,NSE_EQ:SBIN,2023-01-18 09:30:00+05:30,118ebdb9958f47c1afd137910e294953,BUY,5,589.5,INTRADAY,MARKET,2023-01-18 10:45:00+05:30,814b1638ace7463bb1cf681b672ed468,SELL,5,590.4,INTRADAY,MARKET,4.5,-45.5,0.15,-0.09,49954.5,-0.16
29,NSE_EQ:SBIN,2023-01-18 10:45:00+05:30,30bbf22d271d4d6aaa92dc20b5b62a82,SELL,5,590.4,INTRADAY,MARKET,2023-01-18 12:45:00+05:30,7936516c8d5449cbb8442d7d5375ab03,BUY,5,590.5,INTRADAY,MARKET,-0.5,-46.0,-0.02,-0.09,49954.0,-0.16
30,NSE_EQ:SBIN,2023-01-18 12:45:00+05:30,6fce5e4ce60145e3adfeda9efa66936e,BUY,5,590.5,INTRADAY,MARKET,2023-01-18 13:00:00+05:30,c13525f5393644e6b9f25bbf8dac6029,SELL,5,589.2,INTRADAY,MARKET,-6.5,-52.5,-0.22,-0.1,49947.5,-0.17
