,INST,EN_TIME,EN_ID,EN_TT,EN_Q,EN_PRICE,EN_CODE,EN_VAR,EX_TIME,EX_ID,EX_TT,EX_Q,EX_PRICE,EX_CODE,EX_VAR,P&L,ROI,P&L %,ROI %,Equity Curve,Drawdown %
0,NSE_EQ:SBIN,2023-01-02 09:45:00+05:30,10f89af4e39f44b4af43680b50065286,BUY,5,617.35,INTRADAY,MARKET,2023-01-02 12:45:00+05:30,3059bf420b3c443991171d825f25858c,SELL,5,613.65,INTRADAY,MARKET,-18.5,-18.5,-0.6,-0.04,49981.5,-0.04
1,NSE_EQ:SBIN,2023-01-02 12:45:00+05:30,d9a4d7cc862a4528984ee71786580185,SELL,5,613.65,INTRADAY,MARKET,2023-01-02 15:30:00+05:30,dd889123861b406aa3af3cd0db01b864,BUY,5,612.6,INTRADAY,MARKET,5.25,-13.25,0.17,-0.03,49986.75,-0.03
2,NSE_EQ:SBIN,2023-01-03 09:30:00+05:30,a623933ff0fc4cedb30b8ffd26acdc43,BUY,5,614.1,INTRADAY,MARKET,2023-01-03 12:15:00+05:30,e7747e62567e456a9776054aed3d1a98,SELL,5,611.55,INTRADAY,MARKET,-12.75,-26.0,-0.42,-0.05,49974.0,-0.05
3,NSE_EQ:SBIN,2023-01-03 12:15:00+05:30,1159ad678b384e1884e10f8c3340773d,SELL,5,611.55,INTRADAY,MARKET,2023-01-03 14:00:00+05:30,ea784bbdb4ad4a76ac86100e046b8262,BUY,5,613.8,INTRADAY,MARKET,-11.25,-37.25,-0.37,-0.07,49962.75,-0.07
4,NSE_EQ:SBIN,2023-01-03 14:00:00+05:30,4dba3714cabc4098a2d956e579314c0f,BUY,5,613.8,INTRADAY,MARKET,2023-01-03 15:30:00+05:30,2aa308d4820c4486b6f142671c3e4929,SELL,5,612.95,INTRADAY,MARKET,-4.25,-41.5,-0.14,-0.08,49958.5,-0.08
5,NSE_EQ:SBIN,2023-01-04 09:45:00+05:30,430f7230191b4e4f80ee50f13eb40759,SELL,5,610.05,INTRADAY,MARKET,2023-01-04 14:30:00+05:30,aa5b0915a34a49d9bf69c0bab8a56486,BUY,5,606.05,INTRADAY,MARKET,20.0,-21.5,0.66,-0.04,49978.5,-0.04
6,NSE_EQ:SBIN,2023-01-04 14:30:00+05:30,0dfa265afa14467ba5c286d260093db7,BUY,5,606.05,INTRADAY,MARKET,2023-01-04 15:00:00+05:30,d55daf1fa9584a2ba871e8e995ae286d,SELL,5,605.35,INTRADAY,MARKET,-3.5,-25.0,-0.12,-0.05,49975.0,-0.05
7,NSE_EQ:SBIN,2023-01-04 15:00:00+05:30,f15fc16fe35647bd9bf475d1eb05c519,SELL,5,605.35,INTRADAY,MARKET,2023-01-04 15:30:00+05:30,d9847c6cc7b1499187b0ac0554eeee7e,BUY,5,605.95,INTRADAY,MARKET,-3.0,-28.0,-0.1,-0.06,49972.0,-0.06
8,NSE_EQ:SBIN,2023-01-05 09:30:00+05:30,c1e20f0d20e843b18332190136e0778b,BUY,5,608.85,INTRADAY,MARKET,2023-01-05 12:30:00+05:30,adb4a835b93747c9af75e9f8915577e4,SELL,5,606.75,INTRADAY,MARKET,-10.5,-38.5,-0.34,-0.08,49961.5,-0.08
9,NSE_EQ:SBIN,2023-01-05 12:30:00+05:30,82d8a3e77cd64eedace74d0cd2148c21,SELL,5,606.75,INTRADAY,MARKET,2023-01-05 15:30:00+05:30,d5cf442316204972964d6e6082ce12e9,BUY,5,605.75,INTRADAY,MARKET,5.0,-33.5,0.16,-0.07,49966.5,-0.07
10,NSE_EQ:SBIN,2023-01-06 09:30:00+05:30,19a62d6289b04b1fa274ebc046296b01,BUY,5,604.9,INTRADAY,MARKET,2023-01-06 10:45:00+05:30,236d96579b3242f8a1b13955aa3f7667,SELL,5,603.6,INTRADAY,MARKET,-6.5,-40.0,-0.21,-0.08,49960.0,-0.08
