,INST,EN_TIME,EN_ID,EN_TT,EN_Q,EN_PRICE,EN_CODE,EN_VAR,EX_TIME,EX_ID,EX_TT,EX_Q,EX_PRICE,EX_CODE,EX_VAR,P&L,ROI,P&L %,ROI %,Equity Curve,Drawdown %
0,NSE_EQ:SBIN,2023-01-04 12:15:00+05:30,c534ebdbc2e04a87867ec9efa317d338,SELL,2,604.5,INTRADAY,MARKET,2023-01-04 15:30:00+05:30,4b28e0c7f9454c4d8f7ddaac6990ff16,BUY,2,605.5,INTRADAY,MARKET,-2.0,-2.0,-0.17,-0.0,49998.0,-0.0
1,NSE_EQ:SBIN,2023-01-10 09:15:00+05:30,fdbd2ee92b594cd1aa6e5213f0d66868,BUY,2,608.45,INTRADAY,MARKET,2023-01-10 10:15:00+05:30,49b2ec87e42d43339202d481e369f789,SELL,2,599.75,INTRADAY,MARKET,-17.4,-19.4,-1.43,-0.04,49980.6,-0.04
2,NSE_EQ:SBIN,2023-01-10 10:15:00+05:30,b5d6e8a814cf4840a17e8579f67faa05,SELL,2,599.75,INTRADAY,MARKET,2023-01-10 15:30:00+05:30,c6be9e4f59c24562bd8a27f1fdd31379,BUY,2,595.1,INTRADAY,MARKET,9.3,-10.1,0.78,-0.02,49989.9,-0.02
3,NSE_EQ:SBIN,2023-01-13 15:15:00+05:30,02cf71aeabb44e69a463af08f6804617,BUY,2,600.25,INTRADAY,MARKET,2023-01-13 15:30:00+05:30,df1508cadc414736bb6abf155b48faab,SELL,2,600.25,INTRADAY,MARKET,0.0,-10.1,0.0,-0.02,49989.9,-0.02
4,NSE_EQ:SBIN,2023-01-17 14:15:00+05:30,a1a46883004a471cac5bebaabff99913,SELL,2,590.55,INTRADAY,MARKET,2023-01-17 15:30:00+05:30,747d83cdf863455fa8183e5f5ab72222,BUY,2,592.9,INTRADAY,MARKET,-4.7,-14.8,-0.4,-0.03,49985.200000000004,-0.03
5,NSE_EQ:SBIN,2023-01-23 10:15:00+05:30,f88a1afccc8141ab8a2de0e9db743dc1,BUY,2,598.7,INTRADAY,MARKET,2023-01-23 15:30:00+05:30,3b804db2fe7a407697b66efa4809cbea,SELL,2,600.2,INTRADAY,MARKET,3.0,-11.8,0.25,-0.02,49988.200000000004,-0.02
6,NSE_EQ:SBIN,2023-01-25 10:15:00+05:30,f7da8324508b42e496ef49c3019cde74,SELL,2,580.35,INTRADAY,MARKET,2023-01-25 15:30:00+05:30,de5e19101305495d8ffbc75fd806ab04,BUY,2,569.0,INTRADAY,MARKET,22.7,10.9,1.96,0.02,50010.9,0.0
7,NSE_EQ:SBIN,2023-02-06 11:15:00+05:30,a7018994135d4d0c95100b75933f2d66,BUY,2,542.75,INTRADAY,MARKET,2023-02-06 15:30:00+05:30,e3e7636b8c394793bcbf4d725cfdd47b,SELL,2,545.9,INTRADAY,MARKET,6.3,17.2,0.58,0.03,50017.200000000004,0.0
8,NSE_EQ:SBIN,2023-02-13 11:15:00+05:30,bb2de2efeebd43399e6036e51a34c381,SELL,2,535.95,INTRADAY,MARKET,2023-02-13 15:30:00+05:30,5633080d4fd04cc9a619b2de5275b9c1,BUY,2,537.55,INTRADAY,MARKET,-3.2,14.0,-0.3,0.03,50014.00000000001,-0.01
9,NSE_EQ:SBIN,2023-02-16 13:15:00+05:30,d623117cfc7f4bb3b175026b2e2bc39c,BUY,2,542.3,INTRADAY,MARKET,2023-02-16 15:15:00+05:30,f2de043e7e5542e899136dac889c8fb7,SELL,2,540.35,INTRADAY,MARKET,-3.9,10.1,-0.36,0.02,50010.100000000006,-0.01
10,NSE_EQ:SBIN,2023-02-16 15:15:00+05:30,5c88dbcdd5034bfbb51570150b3c5759,SELL,2,540.35,INTRADAY,MARKET,2023-02-16 15:30:00+05:30,b01660866bcc470597d09a1967bb0aae,BUY,2,540.35,INTRADAY,MARKET,-0.0,10.1,-0.0,0.02,50010.100000000006,-0.01
11,NSE_EQ:SBIN,2023-02-27 12:15:00+05:30,5c1656c874134937a6c49d991a07e363,BUY,2,525.1,INTRADAY,MARKET,2023-02-27 15:30:00+05:30,326462431b594bb488bb0086041aa29d,SELL,2,527.75,INTRADAY,MARKET,5.3,15.4,0.5,0.03,50015.40000000001,-0.0
12,NSE_EQ:SBIN,2023-03-10 11:15:00+05:30,e2686a567a2a448692a065327ac07d59,SELL,2,549.15,INTRADAY,MARKET,2023-03-10 15:30:00+05:30,de45a2aad0da4403a42b093e5604419b,BUY,2,546.9,INTRADAY,MARKET,4.5,19.9,0.41,0.04,50019.90000000001,0.0
13,NSE_EQ:SBIN,2023-03-22 13:15:00+05:30,ecb761f80ede48edb0f4b88e36de1ec0,BUY,2,524.1,INTRADAY,MARKET,2023-03-22 15:30:00+05:30,e62a35a4aae746e8984105901334308a,SELL,2,522.05,INTRADAY,MARKET,-4.1,15.8,-0.39,0.03,50015.80000000001,-0.01
14,NSE_EQ:SBIN,2023-03-23 10:15:00+05:30,11f9ac157c7e4c638160005002060d30,SELL,2,519.35,INTRADAY,MARKET,2023-03-23 15:30:00+05:30,69d90e3861584314bc4a66da4c7fe19d,BUY,2,512.7,INTRADAY,MARKET,13.3,29.1,1.28,0.06,50029.10000000001,0.0
15,NSE_EQ:SBIN,2023-03-29 15:15:00+05:30,cd92563bded24c6e81b5c6bcbbd3a278,BUY,2,517.05,INTRADAY,MARKET,2023-03-29 15:30:00+05:30,9bdc768ee4ae4add89567a70b1570eb9,SELL,2,517.05,INTRADAY,MARKET,0.0,29.1,0.0,0.06,50029.10000000001,0.0
