,INST,EN_TIME,EN_ID,EN_TT,EN_Q,EN_PRICE,EN_CODE,EN_VAR,EX_TIME,EX_ID,EX_TT,EX_Q,EX_PRICE,EX_CODE,EX_VAR,P&L,ROI,P&L %,ROI %,Equity Curve,Drawdown %
0,NSE_EQ:ICICIBANK,2023-01-02 10:15:00+05:30,d3c81efda05f469c9fa5f9cba1e5c375,SELL,2,903.25,INTRADAY,MARKET,2023-01-02 15:30:00+05:30,7fc7366dcd7044e5997c4c2923065337,BUY,2,902.3,INTRADAY,MARKET,1.9,1.9,0.11,0.0,50001.9,0.0
1,NSE_EQ:ICICIBANK,2023-01-03 12:15:00+05:30,24c6c015c60540749d82e516974e8e0b,BUY,2,899.0,INTRADAY,MARKET,2023-01-03 15:15:00+05:30,48f70d5c1ecf48228bad31200ba9b59a,SELL,2,902.3,INTRADAY,MARKET,6.6,8.5,0.37,0.02,50008.5,0.0
2,NSE_EQ:ICICIBANK,2023-01-03 15:15:00+05:30,cf3562e797c34c27bbb0cbfe523985a0,SELL,2,902.3,INTRADAY,MARKET,2023-01-03 15:30:00+05:30,687639c56c9f4510a8dd2ad21914d252,BUY,2,902.3,INTRADAY,MARKET,-0.0,8.5,-0.0,0.02,50008.5,0.0
3,NSE_EQ:ICICIBANK,2023-01-04 11:15:00+05:30,dd2eb39d70d842fea6e1f1d8dc5a5e22,BUY,2,898.75,INTRADAY,MARKET,2023-01-04 15:15:00+05:30,9969a9231c344cbea91680420c258519,SELL,2,899.6,INTRADAY,MARKET,1.7,10.2,0.09,0.02,50010.2,0.0
4,NSE_EQ:ICICIBANK,2023-01-04 15:15:00+05:30,acb59eea324c409281c8acf700180146,SELL,2,899.6,INTRADAY,MARKET,2023-01-04 15:30:00+05:30,50ab84efff6542a8a8eec3c821842242,BUY,2,899.6,INTRADAY,MARKET,-0.0,10.2,-0.0,0.02,50010.2,0.0
5,NSE_EQ:ICICIBANK,2023-01-05 09:15:00+05:30,ba4b2d9b9d4f40a79e995e175933c616,BUY,2,900.9,INTRADAY,MARKET,2023-01-05 15:30:00+05:30,6f73b81fd294430c89bb140cda5a6924,SELL,2,880.0,INTRADAY,MARKET,-41.8,-31.6,-2.32,-0.06,49968.399999999994,-0.08
6,NSE_EQ:ICICIBANK,2023-01-09 10:15:00+05:30,be5623a322fb4500bc3ab22b6f45bb2a,SELL,2,873.35,INTRADAY,MARKET,2023-01-09 14:15:00+05:30,b96e3b2f4f2e4b22b9e4bd1fff81060a,BUY,2,870.1,INTRADAY,MARKET,6.5,-25.1,0.37,-0.05,49974.899999999994,-0.07
7,NSE_EQ:ICICIBANK,2023-01-09 14:15:00+05:30,45407058f3d44ecbb496c1dfc943a019,BUY,2,870.1,INTRADAY,MARKET,2023-01-09 15:15:00+05:30,4d567003ccf84f10964dcd6f4f942010,SELL,2,875.05,INTRADAY,MARKET,9.9,-15.2,0.57,-0.03,49984.799999999996,-0.05
8,NSE_EQ:ICICIBANK,2023-01-09 15:15:00+05:30,8822a087420d414381821b29762fffe7,SELL,2,875.05,INTRADAY,MARKET,2023-01-09 15:30:00+05:30,7cdeecf7485a46e681f0c0caa7a12b42,BUY,2,875.05,INTRADAY,MARKET,-0.0,-15.2,-0.0,-0.03,49984.799999999996,-0.05
9,NSE_EQ:ICICIBANK,2023-01-10 10:15:00+05:30,0b35178fe3694e9a897ac6d697f0d98c,BUY,2,868.75,INTRADAY,MARKET,2023-01-10 15:30:00+05:30,4dc6820a75504a989b76ef721bfc82f2,SELL,2,861.9,INTRADAY,MARKET,-13.7,-28.9,-0.79,-0.06,49971.1,-0.08
10,NSE_EQ:ICICIBANK,2023-01-11 12:15:00+05:30,b969d87be1824b6e839d5bb10f9a33ba,SELL,2,865.6,INTRADAY,MARKET,2023-01-11 14:15:00+05:30,fe89b1f1aeea4db3b97cc50af67225e6,BUY,2,862.4,INTRADAY,MARKET,6.4,-22.5,0.37,-0.04,49977.5,-0.07
11,NSE_EQ:ICICIBANK,2023-01-11 14:15:00+05:30,d8464e469afd466ca8a5c52991c9c8d8,BUY,2,862.4,INTRADAY,MARKET,2023-01-11 15:15:00+05:30,ad1e587899f143be96367c4ec37a86d2,SELL,2,867.0,INTRADAY,MARKET,9.2,-13.3,0.53,-0.03,49986.7,-0.05
12,NSE_EQ:ICICIBANK,2023-01-11 15:15:00+05:30,ed72efa2c2fa4fe4b63d1a80871a59e9,SELL,2,867.0,INTRADAY,MARKET,2023-01-11 15:30:00+05:30,da3d2d165d6e46c2a5ba6c78fdbb01c5,BUY,2,867.0,INTRADAY,MARKET,-0.0,-13.3,-0.0,-0.03,49986.7,-0.05
13,NSE_EQ:ICICIBANK,2023-01-12 10:15:00+05:30,b8dd9bbef1354121a07453ccb80410fc,BUY,2,859.6,INTRADAY,MARKET,2023-01-12 15:30:00+05:30,5216a40d03884b8ba1e0dbb830004939,SELL,2,860.6,INTRADAY,MARKET,2.0,-11.3,0.12,-0.02,49988.7,-0.04
14,NSE_EQ:ICICIBANK,2023-01-13 09:15:00+05:30,b3493ebfd1d84e488014f0169df72a35,SELL,2,864.7,INTRADAY,MARKET,2023-01-13 15:30:00+05:30,bd1feacf56d940e0a38c95dca25b516b,BUY,2,873.9,INTRADAY,MARKET,-18.4,-29.7,-1.06,-0.06,49970.299999999996,-0.08
15,NSE_EQ:ICICIBANK,2023-01-16 12:15:00+05:30,89eb8d72f18f4a7f90e3226a8259fcb9,BUY,2,868.45,INTRADAY,MARKET,2023-01-16 15:30:00+05:30,6f94b1b515e44f1d8e7f37692b37c602,SELL,2,865.35,INTRADAY,MARKET,-6.2,-35.9,-0.36,-0.07,49964.1,-0.09
16,NSE_EQ:ICICIBANK,2023-01-17 15:15:00+05:30,757582ec67e647069af86815ebb786f8,SELL,2,866.0,INTRADAY,MARKET,2023-01-17 15:30:00+05:30,4bcac80e8fc24592874dbc6914350fc3,BUY,2,866.0,INTRADAY,MARKET,-0.0,-35.9,-0.0,-0.07,49964.1,-0.09
17,NSE_EQ:ICICIBANK,2023-01-18 10:15:00+05:30,fa318c8decc2468988900597193ab139,BUY,2,862.35,INTRADAY,MARKET,2023-01-18 11:15:00+05:30,537a49895d56471d8c9774db88665349,SELL,2,866.5,INTRADAY,MARKET,8.3,-27.6,0.48,-0.06,49972.4,-0.08
18,NSE_EQ:ICICIBANK,2023-01-18 11:15:00+05:30,df229c0a585a4cf1b6096fbed842913d,SELL,2,866.5,INTRADAY,MARKET,2023-01-18 15:30:00+05:30,7d57c83c79874509b3ccb9542cd3552b,BUY,2,868.2,INTRADAY,MARKET,-3.4,-31.0,-0.2,-0.06,49969.0,-0.08
19,NSE_EQ:ICICIBANK,2023-01-19 11:15:00+05:30,382b4badaf9a4a06af72a51a67dba73b,BUY,2,863.4,INTRADAY,MARKET,2023-01-19 14:15:00+05:30,daf439b6b2f04a4392855ad379fdd853,SELL,2,866.7,INTRADAY,MARKET,6.6,-24.4,0.38,-0.05,49975.6,-0.07
20,NSE_EQ:ICICIBANK,2023-01-19 14:15:00+05:30,499278a476c047fd85712566c6bb3318,SELL,2,866.7,INTRADAY,MARKET,2023-01-19 15:15:00+05:30,6584df457d994abebcae85f32548cfd1,BUY,2,865.2,INTRADAY,MARKET,3.0,-21.4,0.17,-0.04,49978.6,-0.06
21,NSE_EQ:ICICIBANK,2023-01-19 15:15:00+05:30,3e34efeab9b345ceb72004969dfc23dc,BUY,2,865.2,INTRADAY,MARKET,2023-01-19 15:30:00+05:30,ca499c1cc05643f6ad85c340de8acd89,SELL,2,865.2,INTRADAY,MARKET,0.0,-21.4,0.0,-0.04,49978.6,-0.06
22,NSE_EQ:ICICIBANK,2023-01-20 10:15:00+05:30,1e8103dadad5487db90909e628021afa,SELL,2,873.3,INTRADAY,MARKET,2023-01-20 15:30:00+05:30,2e227f94219448fa95b3217a59cd5868,BUY,2,870.1,INTRADAY,MARKET,6.4,-15.0,0.37,-0.03,49985.0,-0.05
23,NSE_EQ:ICICIBANK,2023-01-23 13:15:00+05:30,6b6953b2693f4e8e8d40c23192037b39,BUY,2,869.0,INTRADAY,MARKET,2023-01-23 15:30:00+05:30,fdb77de236c644a48c8ead3a70a78c55,SELL,2,871.65,INTRADAY,MARKET,5.3,-9.7,0.3,-0.02,49990.3,-0.04
24,NSE_EQ:ICICIBANK,2023-01-24 11:15:00+05:30,ccf055af2e7d4e89b95effa04a479dd9,SELL,2,874.05,INTRADAY,MARKET,2023-01-24 14:15:00+05:30,fd28e85abd0d4ba1a05d8926e1deaf47,BUY,2,870.7,INTRADAY,MARKET,6.7,-3.0,0.38,-0.01,49997.0,-0.03
25,NSE_EQ:ICICIBANK,2023-01-24 14:15:00+05:30,ee20afc0b3a44f07b88d8fcd8607778b,BUY,2,870.7,INTRADAY,MARKET,2023-01-24 15:30:00+05:30,6a3682848e074e8bb5d20a45a7568dc9,SELL,2,871.0,INTRADAY,MARKET,0.6,-2.4,0.03,-0.0,49997.6,-0.03
26,NSE_EQ:ICICIBANK,2023-01-30 15:15:00+05:30,4b334fc57281450c93cf0b24777804e3,SELL,2,825.5,INTRADAY,MARKET,2023-01-30 15:30:00+05:30,e7514a36aa234ac589caf739bef22dfa,BUY,2,825.5,INTRADAY,MARKET,-0.0,-2.4,-0.0,-0.0,49997.6,-0.03
27,NSE_EQ:ICICIBANK,2023-02-02 09:15:00+05:30,113cccbffe94479d9adc56e68119aa9f,BUY,2,828.4,INTRADAY,MARKET,2023-02-02 12:15:00+05:30,fb5e14df04e7473093a29707595c8848,SELL,2,853.6,INTRADAY,MARKET,50.4,48.0,3.04,0.1,50048.0,0.0
28,NSE_EQ:ICICIBANK,2023-02-02 12:15:00+05:30,d98605c57bfa4c89a640ee6029d35afd,SELL,2,853.6,INTRADAY,MARKET,2023-02-02 13:15:00+05:30,83fa418e206a4e268aa6271380927c71,BUY,2,849.5,INTRADAY,MARKET,8.2,56.2,0.48,0.11,50056.2,0.0
29,NSE_EQ:ICICIBANK,2023-02-02 13:15:00+05:30,18b408c80bb84e61bc7d12c6e0f7fd20,BUY,2,849.5,INTRADAY,MARKET,2023-02-02 15:15:00+05:30,10ee9354e4ea4ab3b4b2e6ddfe79fefb,SELL,2,856.8,INTRADAY,MARKET,14.6,70.8,0.86,0.14,50070.799999999996,0.0
30,NSE_EQ:ICICIBANK,2023-02-02 15:15:00+05:30,c8836eb73f554e89a574f0e9a3ed698e,SELL,2,856.8,INTRADAY,MARKET,2023-02-02 15:30:00+05:30,33837e7a58a3466e876dae727c7dd041,BUY,2,856.8,INTRADAY,MARKET,-0.0,70.8,-0.0,0.14,50070.799999999996,0.0
31,NSE_EQ:ICICIBANK,2023-02-03 13:15:00+05:30,214c95654fda44ad85f672fbd1350dda,BUY,2,855.0,INTRADAY,MARKET,2023-02-03 15:15:00+05:30,4fd2a1c5be854b4d919229731329fb6a,SELL,2,863.8,INTRADAY,MARKET,17.6,88.4,1.03,0.18,50088.399999999994,0.0
32,NSE_EQ:ICICIBANK,2023-02-03 15:15:00+05:30,f7c3f3c667dd45409caea542dd729705,SELL,2,863.8,INTRADAY,MARKET,2023-02-03 15:30:00+05:30,f09a1ab472e64be5957d6971e826cfe4,BUY,2,863.8,INTRADAY,MARKET,-0.0,88.4,-0.0,0.18,50088.399999999994,0.0
33,NSE_EQ:ICICIBANK,2023-02-06 11:15:00+05:30,0a404b8f947b4bfeac9fdec45f6e065c,BUY,2,855.2,INTRADAY,MARKET,2023-02-06 15:30:00+05:30,c36c2b1821cb4b56861ed081ab7b3508,SELL,2,852.25,INTRADAY,MARKET,-5.9,82.5,-0.34,0.17,50082.49999999999,-0.01
34,NSE_EQ:ICICIBANK,2023-02-08 10:15:00+05:30,23de59ffdd4f46428685de9f8adfc96e,SELL,2,856.5,INTRADAY,MARKET,2023-02-08 15:30:00+05:30,b3332acf85524958b864ed18bd6cc212,BUY,2,859.5,INTRADAY,MARKET,-6.0,76.5,-0.35,0.15,50076.49999999999,-0.02
35,NSE_EQ:ICICIBANK,2023-02-10 10:15:00+05:30,a95dfd5e7df04f5ea9473100c1697f52,BUY,2,858.0,INTRADAY,MARKET,2023-02-10 11:15:00+05:30,a4cd788810204895a53a659613a31ad1,SELL,2,860.95,INTRADAY,MARKET,5.9,82.4,0.34,0.16,50082.399999999994,-0.01
36,NSE_EQ:ICICIBANK,2023-02-10 11:15:00+05:30,222bc11696684a91ba57247c556cc689,SELL,2,860.95,INTRADAY,MARKET,2023-02-10 12:15:00+05:30,b388b2c3f95649198862f8c2d34b6db4,BUY,2,857.65,INTRADAY,MARKET,6.6,89.0,0.38,0.18,50088.99999999999,0.0
37,NSE_EQ:ICICIBANK,2023-02-10 12:15:00+05:30,dc5f98de4624493a8f7fa25a8fa54cc8,BUY,2,857.65,INTRADAY,MARKET,2023-02-10 15:30:00+05:30,a7be960af19043039ef6d754f728847d,SELL,2,853.4,INTRADAY,MARKET,-8.5,80.5,-0.5,0.16,50080.49999999999,-0.02
38,NSE_EQ:ICICIBANK,2023-02-13 11:15:00+05:30,6c98905acc3e4b94aa2d25ce1766d15d,SELL,2,858.1,INTRADAY,MARKET,2023-02-13 12:15:00+05:30,6fe6896de1954616a3534529c0d26d6d,BUY,2,853.95,INTRADAY,MARKET,8.3,88.8,0.48,0.18,50088.799999999996,-0.0
39,NSE_EQ:ICICIBANK,2023-02-13 12:15:00+05:30,9084f95b500d41ccb1e28ce9fcbf786e,BUY,2,853.95,INTRADAY,MARKET,2023-02-13 15:30:00+05:30,bc06025df40b413ba2a374647b636e7f,SELL,2,850.05,INTRADAY,MARKET,-7.8,81.0,-0.46,0.16,50080.99999999999,-0.02
40,NSE_EQ:ICICIBANK,2023-02-14 10:15:00+05:30,e3e7add567b6477fbf6f9f4a8aeefe18,SELL,2,856.5,INTRADAY,MARKET,2023-02-14 15:30:00+05:30,c9560caae65941b0a941b1228ca7d87c,BUY,2,864.9,INTRADAY,MARKET,-16.8,64.2,-0.98,0.13,50064.19999999999,-0.05
41,NSE_EQ:ICICIBANK,2023-02-17 09:15:00+05:30,c6d3cd7b7de34684b3ac64021845a2a3,BUY,2,867.55,INTRADAY,MARKET,2023-02-17 15:30:00+05:30,5e948def063642e7aa54f67220aafb5c,SELL,2,862.9,INTRADAY,MARKET,-9.3,54.9,-0.54,0.11,50054.89999999999,-0.07
42,NSE_EQ:ICICIBANK,2023-02-20 10:15:00+05:30,edb40fa8f5bc4d1686d385c56984030c,SELL,2,862.7,INTRADAY,MARKET,2023-02-20 11:15:00+05:30,4b1f7f28efe2416a8fdc4ff7010f1a98,BUY,2,859.95,INTRADAY,MARKET,5.5,60.4,0.32,0.12,50060.39999999999,-0.06
43,NSE_EQ:ICICIBANK,2023-02-20 11:15:00+05:30,c1b15565f5d34c3494db96195507ab48,BUY,2,859.95,INTRADAY,MARKET,2023-02-20 15:30:00+05:30,c70dd321b7e84429b765d30d3418c245,SELL,2,851.0,INTRADAY,MARKET,-17.9,42.5,-1.04,0.08,50042.499999999985,-0.09
44,NSE_EQ:ICICIBANK,2023-02-21 14:15:00+05:30,6e365fabca244b92a9a8a23a0cfecf1b,SELL,2,856.05,INTRADAY,MARKET,2023-02-21 15:15:00+05:30,755c4695c8284710911c3f3645458088,BUY,2,853.9,INTRADAY,MARKET,4.3,46.8,0.25,0.09,50046.79999999999,-0.08
45,NSE_EQ:ICICIBANK,2023-02-21 15:15:00+05:30,94695d3aa246441e878f685022c90126,BUY,2,853.9,INTRADAY,MARKET,2023-02-21 15:30:00+05:30,d79d7bd0aeca44ab8ff629748b815d5b,SELL,2,853.9,INTRADAY,MARKET,0.0,46.8,0.0,0.09,50046.79999999999,-0.08
46,NSE_EQ:ICICIBANK,2023-02-22 09:15:00+05:30,5b9eff803b20437f87a497e4a47c4e5a,SELL,2,851.25,INTRADAY,MARKET,2023-02-22 10:15:00+05:30,a846effe04a14240942eab3ee5374276,BUY,2,850.9,INTRADAY,MARKET,0.7,47.5,0.04,0.1,50047.499999999985,-0.08
47,NSE_EQ:ICICIBANK,2023-02-22 10:15:00+05:30,a643d6e0230f4cca9f19b7272cce66c6,BUY,2,850.9,INTRADAY,MARKET,2023-02-22 15:30:00+05:30,e105d13051d3479a9aa7462364454195,SELL,2,839.85,INTRADAY,MARKET,-22.1,25.4,-1.3,0.05,50025.39999999999,-0.13
48,NSE_EQ:ICICIBANK,2023-02-23 14:15:00+05:30,ed41eb3236bc4e7abf8d706c8a6fde4c,SELL,2,842.7,INTRADAY,MARKET,2023-02-23 15:30:00+05:30,9484343fb45843d4a12fcdd5b30d225f,BUY,2,839.9,INTRADAY,MARKET,5.6,31.0,0.33,0.06,50030.999999999985,-0.12
