,INST,EN_TIME,EN_ID,EN_TT,EN_Q,EN_PRICE,EN_CODE,EN_VAR,EX_TIME,EX_ID,EX_TT,EX_Q,EX_PRICE,EX_CODE,EX_VAR,P&L,ROI,P&L %,ROI %,Equity Curve,Drawdown %
0,NSE_EQ:CDSL,2023-01-04 10:15:00+05:30,ed36bec3fdc4446299ef9e4946fc2da4,SELL,2,1139.55,INTRADAY,MARKET,2023-01-04 15:30:00+05:30,20b4f755768b4cbaabf1ba1664806e24,BUY,2,1133.95,INTRADAY,MARKET,11.2,11.2,0.49,0.02,50011.2,0.0
1,NSE_EQ:CDSL,2023-01-11 14:15:00+05:30,5dc7cb9398e440d3bb186902217f0673,BUY,2,1098.45,INTRADAY,MARKET,2023-01-11 15:30:00+05:30,ff4c1825cc614cab8eef588faddcceca,SELL,2,1096.85,INTRADAY,MARKET,-3.2,8.0,-0.15,0.02,50008.0,-0.01
2,NSE_EQ:CDSL,2023-01-12 10:15:00+05:30,320e6f4a9e5d429c82d8ca0e427437d8,SELL,2,1083.55,INTRADAY,MARKET,2023-01-12 15:30:00+05:30,c5b80a97a5804de8a2d5a8ec3d8b1b01,BUY,2,1078.05,INTRADAY,MARKET,11.0,19.0,0.51,0.04,50019.0,0.0
3,NSE_EQ:CDSL,2023-01-13 13:15:00+05:30,49861ff2e8d64954bb43f6f46957bc2f,BUY,2,1079.0,INTRADAY,MARKET,2023-01-13 15:30:00+05:30,10651b8ea3384ae7905a42094a1e8ad6,SELL,2,1077.5,INTRADAY,MARKET,-3.0,16.0,-0.14,0.03,50016.0,-0.01
4,NSE_EQ:CDSL,2023-01-17 11:15:00+05:30,de6c6e7132ef46479902481dcee6d4c4,SELL,2,1061.1,INTRADAY,MARKET,2023-01-17 15:30:00+05:30,9b002bacf8204120b4b2a4462db8976f,BUY,2,1062.1,INTRADAY,MARKET,-2.0,14.0,-0.09,0.03,50014.0,-0.01
5,NSE_EQ:CDSL,2023-01-18 09:15:00+05:30,944522bde35c4a9b9758f2db60b35c11,BUY,2,1061.2,INTRADAY,MARKET,2023-01-18 15:30:00+05:30,d1897c33ad8242cdb0f180016ec904d1,SELL,2,1057.0,INTRADAY,MARKET,-8.4,5.6,-0.4,0.01,50005.6,-0.03
6,NSE_EQ:CDSL,2023-01-24 12:15:00+05:30,7317fea8b5fe40479df726b41795a619,SELL,2,1051.0,INTRADAY,MARKET,2023-01-24 15:30:00+05:30,f32ecba9f2a24f418635e5ce532fff56,BUY,2,1047.6,INTRADAY,MARKET,6.8,12.4,0.32,0.02,50012.4,-0.01
7,NSE_EQ:CDSL,2023-01-30 11:15:00+05:30,a3901bf4412a455cb7c9a0789ad45f31,BUY,2,1017.35,INTRADAY,MARKET,2023-01-30 15:30:00+05:30,dda8ecb53390409ead7a4fda7a9ef381,SELL,2,1017.7,INTRADAY,MARKET,0.7,13.1,0.03,0.03,50013.1,-0.01
8,NSE_EQ:CDSL,2023-02-02 09:15:00+05:30,014f907278134af69cdb21fc664f7de4,SELL,2,999.9,INTRADAY,MARKET,2023-02-02 15:30:00+05:30,aa50693933b94b2eb33596c61502572a,BUY,2,1010.85,INTRADAY,MARKET,-21.9,-8.8,-1.1,-0.02,49991.2,-0.06
9,NSE_EQ:CDSL,2023-02-06 12:15:00+05:30,681e1e7ac5a44ab18191c3f4f1c97e39,BUY,2,1012.65,INTRADAY,MARKET,2023-02-06 15:30:00+05:30,be9dc62f48994ab6a03bca8cc4fa2dca,SELL,2,1010.9,INTRADAY,MARKET,-3.5,-12.3,-0.17,-0.02,49987.7,-0.06
10,NSE_EQ:CDSL,2023-02-07 13:15:00+05:30,f94acd5ad0344585a15a8f5b504b95e7,SELL,2,1001.0,INTRADAY,MARKET,2023-02-07 15:30:00+05:30,c0674d6004e142a581342e01b819eccd,BUY,2,1002.5,INTRADAY,MARKET,-3.0,-15.3,-0.15,-0.03,49984.7,-0.07
11,NSE_EQ:CDSL,2023-02-09 15:15:00+05:30,3d9548feb9174a329ba9510d3b62f1b7,BUY,2,1000.4,INTRADAY,MARKET,2023-02-09 15:30:00+05:30,66db2b3ea614415abe079cb089f86a8a,SELL,2,1000.4,INTRADAY,MARKET,0.0,-15.3,0.0,-0.03,49984.7,-0.07
12,NSE_EQ:CDSL,2023-02-13 11:15:00+05:30,38bd7929c1fd4fab89c32b08901fbf14,SELL,2,989.75,INTRADAY,MARKET,2023-02-13 15:30:00+05:30,2ae736ec6a294d79aeb17e1b41fcbb70,BUY,2,990.85,INTRADAY,MARKET,-2.2,-17.5,-0.11,-0.03,49982.5,-0.07
13,NSE_EQ:CDSL,2023-02-15 10:15:00+05:30,813ae60b15214f2a94974a807d2a2403,BUY,2,989.1,INTRADAY,MARKET,2023-02-15 15:30:00+05:30,d50d0d1942ed4a0cb2d1f14bb929964c,SELL,2,989.4,INTRADAY,MARKET,0.6,-16.9,0.03,-0.03,49983.1,-0.07
14,NSE_EQ:CDSL,2023-02-20 11:15:00+05:30,87d9fe8e3f374b1bada30c7ff701163f,SELL,2,999.65,INTRADAY,MARKET,2023-02-20 15:30:00+05:30,7b631a206880482a92c6df8213581af2,BUY,2,996.0,INTRADAY,MARKET,7.3,-9.6,0.37,-0.02,49990.4,-0.06
15,NSE_EQ:CDSL,2023-02-24 09:15:00+05:30,251f8543589740f0839ad4e413b30a83,BUY,2,998.9,INTRADAY,MARKET,2023-02-24 15:15:00+05:30,e255f7d8686a453c83b1eabcf22d9be8,SELL,2,991.0,INTRADAY,MARKET,-15.8,-25.4,-0.79,-0.05,49974.6,-0.09
16,NSE_EQ:CDSL,2023-02-24 15:15:00+05:30,df543b1c06c141ff881e40346b9db885,SELL,2,991.0,INTRADAY,MARKET,2023-02-24 15:30:00+05:30,b3d85146193e40e1a4035963fa672c4b,BUY,2,991.0,INTRADAY,MARKET,-0.0,-25.4,-0.0,-0.05,49974.6,-0.09
17,NSE_EQ:CDSL,2023-02-28 15:15:00+05:30,3fdccc430dcd4d96b72294c87c57d1f2,BUY,2,989.95,INTRADAY,MARKET,2023-02-28 15:30:00+05:30,7d7a717605184191b1ec5eff97e5a5bf,SELL,2,989.95,INTRADAY,MARKET,0.0,-25.4,0.0,-0.05,49974.6,-0.09
