,INST,EN_TIME,EN_ID,EN_TT,EN_Q,EN_PRICE,EN_CODE,EN_VAR,EX_TIME,EX_ID,EX_TT,EX_Q,EX_PRICE,EX_CODE,EX_VAR,P&L,ROI,P&L %,ROI %,Equity Curve,Drawdown %
0,NSE_EQ:HINDALCO,2023-01-03 11:15:00+05:30,a44d8a11918e44ee94f8cc57c66cf0af,SELL,2,483.65,INTRADAY,MARKET,2023-01-03 15:30:00+05:30,30741511664044539ac68c6a79e292ab,BUY,2,479.65,INTRADAY,MARKET,8.0,8.0,0.83,0.02,50008.0,0.0
1,NSE_EQ:HINDALCO,2023-01-06 15:15:00+05:30,5b060e425c354b19bf8c4f3dc98096e4,SELL,2,463.0,INTRADAY,MARKET,2023-01-06 15:30:00+05:30,939ed846aab74a5c9c7bb01e5a982d97,BUY,2,463.0,INTRADAY,MARKET,-0.0,8.0,-0.0,0.02,50008.0,0.0
2,NSE_EQ:HINDALCO,2023-01-11 11:15:00+05:30,4af349ffb72a4791ae3f47f8f4bde950,BUY,2,487.8,INTRADAY,MARKET,2023-01-11 15:30:00+05:30,b8b2345846b641669ccd2646475a57b4,SELL,2,490.45,INTRADAY,MARKET,5.3,13.3,0.54,0.03,50013.3,0.0
3,NSE_EQ:HINDALCO,2023-01-13 15:15:00+05:30,f7cdcdf8a0c74087b1901ada4145f2c8,BUY,2,488.8,INTRADAY,MARKET,2023-01-13 15:30:00+05:30,7ee7216a172e42b28a168d0cc060781b,SELL,2,488.8,INTRADAY,MARKET,0.0,13.3,0.0,0.03,50013.3,0.0
4,NSE_EQ:HINDALCO,2023-01-19 14:15:00+05:30,8373060aa22b4c91a08eab993162eb5b,BUY,2,501.9,INTRADAY,MARKET,2023-01-19 15:30:00+05:30,d0ebe0f6b5a14380b32354b94b28ffb5,SELL,2,498.25,INTRADAY,MARKET,-7.3,6.0,-0.73,0.01,50006.0,-0.01
5,NSE_EQ:HINDALCO,2023-01-24 11:15:00+05:30,c38393be916a4d709b6b4ade6e92ee58,SELL,2,491.1,INTRADAY,MARKET,2023-01-24 15:30:00+05:30,a6e7b670651f4953b7c1b22780d5cf41,BUY,2,484.05,INTRADAY,MARKET,14.1,20.1,1.44,0.04,50020.1,0.0
6,NSE_EQ:HINDALCO,2023-01-27 09:15:00+05:30,c53f305792584e7e9b4af41cc65b5ffa,BUY,2,493.5,INTRADAY,MARKET,2023-01-27 11:15:00+05:30,71ab6fcba679480389ce0063f542cb4b,SELL,2,483.2,INTRADAY,MARKET,-20.6,-0.5,-2.09,-0.0,49999.5,-0.04
7,NSE_EQ:HINDALCO,2023-01-27 11:15:00+05:30,4e809a0ad124466da9b3a6ef8a28588c,SELL,2,483.2,INTRADAY,MARKET,2023-01-27 15:30:00+05:30,c5fc210ca5854737a0a011c32b94191b,BUY,2,479.8,INTRADAY,MARKET,6.8,6.3,0.7,0.01,50006.3,-0.03
8,NSE_EQ:HINDALCO,2023-01-30 11:15:00+05:30,8c95467ea8cb4516acdffa5b77ce0e4b,SELL,2,469.6,INTRADAY,MARKET,2023-01-30 15:30:00+05:30,35bf4fa62d004891a04c561a1b70b9c3,BUY,2,471.05,INTRADAY,MARKET,-2.9,3.4,-0.31,0.01,50003.4,-0.03
9,NSE_EQ:HINDALCO,2023-01-31 11:15:00+05:30,88fed4e63025453b94ea2ffc3100e7ef,SELL,2,472.35,INTRADAY,MARKET,2023-01-31 15:15:00+05:30,e740eb02dae543db8c3b4cdd67859930,BUY,2,469.55,INTRADAY,MARKET,5.6,9.0,0.59,0.02,50009.0,-0.02
