,INST,EN_TIME,EN_ID,EN_TT,EN_Q,EN_PRICE,EN_CODE,EN_VAR,EX_TIME,EX_ID,EX_TT,EX_Q,EX_PRICE,EX_CODE,EX_VAR,P&L,ROI,P&L %,ROI %,Equity Curve,Drawdown %
0,NSE_FO:BANKNIFTY25JAN2343000CE [LOCAL],2023-01-01 09:15:00+05:30,4e27781df25c4834b4f03fa443492c6c,BUY,15,826.05,INTRADAY,MARKET,2023-01-01 15:30:00+05:30,0dc51ea55b7946e49d6d0c04e83a92f3,SELL,15,826.05,INTRADAY,MARKET,0.0,0.0,0.0,0.0,50000.0,0.0
1,NSE_FO:BANKNIFTY25JAN2343200CE [LOCAL],2023-01-01 09:15:00+05:30,f1bc46fe3357460ab51e9a0b4d3d812c,BUY,15,721.25,INTRADAY,MARKET,2023-01-01 15:30:00+05:30,fcf7998fcadb4adcb370c11a265a2dcb,SELL,15,721.25,INTRADAY,MARKET,0.0,0.0,0.0,0.0,50000.0,0.0
2,NSE_FO:BANKNIFTY25JAN2343200CE [LOCAL],2023-01-01 09:15:00+05:30,0b3dafe8c1a74ba9b5d13058182b34e6,SELL,15,721.25,INTRADAY,MARKET,2023-01-01 15:30:00+05:30,8a7ba51d668340569e5c9b3642e616b5,BUY,15,721.25,INTRADAY,MARKET,-0.0,-0.0,-0.0,-0.0,50000.0,0.0
3,NSE_FO:BANKNIFTY25JAN2343000CE [LOCAL],2023-01-02 09:15:00+05:30,313e508648b047498294db59519a2d6f,BUY,15,813.25,INTRADAY,MARKET,2023-01-02 15:30:00+05:30,e77f5296673f4dc3a86ef6a87a5e1e95,SELL,15,902.85,INTRADAY,MARKET,1344.0,1344.0,11.02,2.69,51344.0,0.0
4,NSE_FO:BANKNIFTY25JAN2343200CE [LOCAL],2023-01-02 09:15:00+05:30,55080691b8184b3991a508a636b260f3,BUY,15,745.0,INTRADAY,MARKET,2023-01-02 15:30:00+05:30,b73dc45728de4a7fa904df1469ea1a6e,SELL,15,786.3,INTRADAY,MARKET,619.5,1963.5,5.54,3.93,51963.5,0.0
5,NSE_FO:BANKNIFTY25JAN2343200CE [LOCAL],2023-01-02 09:15:00+05:30,7cc7441cfbe549dfacdebcf6cbb7722f,SELL,15,745.0,INTRADAY,MARKET,2023-01-02 15:30:00+05:30,b235b6f5207b403c9f950de81ee99bb2,BUY,15,786.3,INTRADAY,MARKET,-619.5,1344.0,-5.54,2.69,51344.0,-1.19
6,NSE_FO:BANKNIFTY25JAN2343200CE [LOCAL],2023-01-03 09:15:00+05:30,8a317dbe4bdf453ab8c02b6b7b55f59a,BUY,15,796.85,INTRADAY,MARKET,2023-01-03 15:30:00+05:30,1db352e912734df7a37299bb71007d56,SELL,15,888.9,INTRADAY,MARKET,1380.75,2724.75,11.55,5.45,52724.75,0.0
7,NSE_FO:BANKNIFTY25JAN2343400CE [LOCAL],2023-01-03 09:15:00+05:30,0ef9da932f9e4c75bfbf717a4f6da19e,BUY,15,692.05,INTRADAY,MARKET,2023-01-03 15:30:00+05:30,ed9014e432404ea29077890f7b388bc4,SELL,15,767.55,INTRADAY,MARKET,1132.5,3857.25,10.91,7.71,53857.25,0.0
8,NSE_FO:BANKNIFTY25JAN2343400CE [LOCAL],2023-01-03 09:15:00+05:30,daeb2896f6be42d2970eb756f84196f3,SELL,15,692.05,INTRADAY,MARKET,2023-01-03 15:30:00+05:30,1deb3b932cc14c889766999c9b1916ff,BUY,15,767.55,INTRADAY,MARKET,-1132.5,2724.75,-10.91,5.45,52724.75,-2.1
9,NSE_FO:BANKNIFTY25JAN2343400CE [LOCAL],2023-01-04 09:15:00+05:30,5cc14029e0f2409ca0d693724ad4a154,BUY,15,784.3,INTRADAY,MARKET,2023-01-04 15:30:00+05:30,ca789185f58e4281b18620ab55169969,SELL,15,541.35,INTRADAY,MARKET,-3644.25,-919.5,-30.98,-1.84,49080.5,-8.87
10,NSE_FO:BANKNIFTY25JAN2343600CE [LOCAL],2023-01-04 09:15:00+05:30,786958954e7645aaaf95520938e9c79d,BUY,15,583.0,INTRADAY,MARKET,2023-01-04 15:30:00+05:30,fe758e46ce174a50a343285895ad74a2,SELL,15,451.35,INTRADAY,MARKET,-1974.75,-2894.25,-22.58,-5.79,47105.75,-12.54
11,NSE_FO:BANKNIFTY25JAN2343600CE [LOCAL],2023-01-04 09:15:00+05:30,7202b65a202a47fdb2be1e062b6f1ec5,SELL,15,583.0,INTRADAY,MARKET,2023-01-04 15:30:00+05:30,743e22898d264cb585fe33556c5c1715,BUY,15,451.35,INTRADAY,MARKET,1974.75,-919.5,22.58,-1.84,49080.5,-8.87
12,NSE_FO:BANKNIFTY25JAN2343100CE [LOCAL],2023-01-05 09:15:00+05:30,ec89a168d74344459b99b9ea38254d96,BUY,15,725.05,INTRADAY,MARKET,2023-01-05 15:30:00+05:30,7adcd45af2eb460c88d55de0623815f5,SELL,15,475.25,INTRADAY,MARKET,-3747.0,-4666.5,-34.45,-9.33,45333.5,-15.83
13,NSE_FO:BANKNIFTY25JAN2343300CE [LOCAL],2023-01-05 09:15:00+05:30,30ce726bdd70441a9cf44c132bb8a0a7,BUY,15,611.8,INTRADAY,MARKET,2023-01-05 15:30:00+05:30,60f3e5da0242418282a3d5872dd5a83c,SELL,15,391.4,INTRADAY,MARKET,-3306.0,-7972.5,-36.02,-15.95,42027.5,-21.97
14,NSE_FO:BANKNIFTY25JAN2343300CE [LOCAL],2023-01-05 09:15:00+05:30,e5b3c65a0ede41b2b442629d53a7eb0a,SELL,15,611.8,INTRADAY,MARKET,2023-01-05 15:30:00+05:30,c7b9346cf0ec4b7e92ef505e9c1f589a,BUY,15,391.4,INTRADAY,MARKET,3306.0,-4666.5,36.02,-9.33,45333.5,-15.83
15,NSE_FO:BANKNIFTY25JAN2342600CE [LOCAL],2023-01-06 09:15:00+05:30,ed2747c639374eb7bb38ed90a0bf3c76,BUY,15,699.05,INTRADAY,MARKET,2023-01-06 15:30:00+05:30,c3a9aed669784d9a879723379577b14d,SELL,15,511.55,INTRADAY,MARKET,-2812.5,-7479.0,-26.82,-14.96,42521.0,-21.05
16,NSE_FO:BANKNIFTY25JAN2342800CE [LOCAL],2023-01-06 09:15:00+05:30,12937a43e3a4415c8f6bcc60523955e4,BUY,15,602.7,INTRADAY,MARKET,2023-01-06 15:30:00+05:30,0a94127bd1454eeaafe238bce2b12c02,SELL,15,422.9,INTRADAY,MARKET,-2697.0,-10176.0,-29.83,-20.35,39824.0,-26.06
17,NSE_FO:BANKNIFTY25JAN2342800CE [LOCAL],2023-01-06 09:15:00+05:30,6c48647b0acd4e2d821c94d1d6fe338c,SELL,15,602.7,INTRADAY,MARKET,2023-01-06 15:30:00+05:30,4603b0862925429d9cb192528636eb35,BUY,15,422.9,INTRADAY,MARKET,2697.0,-7479.0,29.83,-14.96,42521.0,-21.05
18,NSE_FO:BANKNIFTY25JAN2342400CE [LOCAL],2023-01-09 09:15:00+05:30,29125dbc44f84053b852cb4130330e6c,BUY,15,710.0,INTRADAY,MARKET,2023-01-09 15:30:00+05:30,b73a37cbdfd34bbbacbcdbf7f04ecd2f,SELL,15,771.0,INTRADAY,MARKET,915.0,-6564.0,8.59,-13.13,43436.0,-19.35
19,NSE_FO:BANKNIFTY25JAN2342600CE [LOCAL],2023-01-09 09:15:00+05:30,5424c062eade4acbbe2c4996d0cd5e69,BUY,15,547.7,INTRADAY,MARKET,2023-01-09 15:30:00+05:30,03ca7b97829d45cc8ee0eac07e5954a1,SELL,15,655.75,INTRADAY,MARKET,1620.75,-4943.25,19.73,-9.89,45056.75,-16.34
20,NSE_FO:BANKNIFTY25JAN2342600CE [LOCAL],2023-01-09 09:15:00+05:30,9b1fde29f0624422b9a069e7b12356cb,SELL,15,547.7,INTRADAY,MARKET,2023-01-09 15:30:00+05:30,dff6b1f79949450ba0ed9d433cf27640,BUY,15,655.75,INTRADAY,MARKET,-1620.75,-6564.0,-19.73,-13.13,43436.0,-19.35
21,NSE_FO:BANKNIFTY25JAN2342600CE [LOCAL],2023-01-10 09:15:00+05:30,dfce601fd5844a938edb84a4e28b008c,BUY,15,672.0,INTRADAY,MARKET,2023-01-10 15:30:00+05:30,2efe2347fc5c4d0dab94655577861556,SELL,15,404.4,INTRADAY,MARKET,-4014.0,-10578.0,-39.82,-21.16,39422.0,-26.8
22,NSE_FO:BANKNIFTY25JAN2342800CE [LOCAL],2023-01-10 09:15:00+05:30,86d127f5830541939f52a670ba2fd8c6,BUY,15,535.4,INTRADAY,MARKET,2023-01-10 15:30:00+05:30,b88955b850e94448ad7749f8e8f652f4,SELL,15,322.4,INTRADAY,MARKET,-3195.0,-13773.0,-39.78,-27.55,36227.0,-32.74
23,NSE_FO:BANKNIFTY25JAN2342800CE [LOCAL],2023-01-10 09:15:00+05:30,f337d0185df444b5a8575753898a02ff,SELL,15,535.4,INTRADAY,MARKET,2023-01-10 15:30:00+05:30,86c86ee0f0574722887143b9cfc36c55,BUY,15,322.4,INTRADAY,MARKET,3195.0,-10578.0,39.78,-21.16,39422.0,-26.8
24,NSE_FO:BANKNIFTY25JAN2342100CE [LOCAL],2023-01-11 09:15:00+05:30,08c4b13e22de41df8e72ffba09cdbb7f,BUY,15,636.05,INTRADAY,MARKET,2023-01-11 15:30:00+05:30,e13df46dadbd477ba3867dfadf18caf7,SELL,15,724.45,INTRADAY,MARKET,1326.0,-9252.0,13.9,-18.5,40748.0,-24.34
25,NSE_FO:BANKNIFTY25JAN2342300CE [LOCAL],2023-01-11 09:15:00+05:30,7e8041edba354a8fa8115f12bda11785,BUY,15,534.95,INTRADAY,MARKET,2023-01-11 15:30:00+05:30,904dbb9fed0d48f6b47acd26f912abf5,SELL,15,609.4,INTRADAY,MARKET,1116.75,-8135.25,13.92,-16.27,41864.75,-22.27
26,NSE_FO:BANKNIFTY25JAN2342300CE [LOCAL],2023-01-11 09:15:00+05:30,51a37402da9f4fa781a9c87dacc2a2cf,SELL,15,534.95,INTRADAY,MARKET,2023-01-11 15:30:00+05:30,ae5baf7315244d2b91ae21cd2a79a89d,BUY,15,609.4,INTRADAY,MARKET,-1116.75,-9252.0,-13.92,-18.5,40748.0,-24.34
27,NSE_FO:BANKNIFTY25JAN2342200CE [LOCAL],2023-01-12 09:15:00+05:30,7bccae27d12c4be38fc5b7edef0bef70,BUY,15,649.7,INTRADAY,MARKET,2023-01-12 15:30:00+05:30,edb9660e9eb147c7bdf3772e4d3d37e6,SELL,15,514.9,INTRADAY,MARKET,-2022.0,-11274.0,-20.75,-22.55,38726.0,-28.1
28,NSE_FO:BANKNIFTY25JAN2342400CE [LOCAL],2023-01-12 09:15:00+05:30,e6793aa812c84bc39e2bd544647b6a4e,BUY,15,541.05,INTRADAY,MARKET,2023-01-12 15:30:00+05:30,fe541fb6bd2f45c997a26100dd7d567a,SELL,15,416.5,INTRADAY,MARKET,-1868.25,-13142.25,-23.02,-26.28,36857.75,-31.56
29,NSE_FO:BANKNIFTY25JAN2342400CE [LOCAL],2023-01-12 09:15:00+05:30,75c8251f83bb46679dac9e1d9cdc21f1,SELL,15,541.05,INTRADAY,MARKET,2023-01-12 15:30:00+05:30,b9d2fc00b37c4415b9e6197ae24e6f99,BUY,15,416.5,INTRADAY,MARKET,1868.25,-11274.0,23.02,-22.55,38726.0,-28.1
30,NSE_FO:BANKNIFTY25JAN2342200CE [LOCAL],2023-01-13 09:15:00+05:30,3d9b5221211d4400b397867fbcfd9b10,BUY,15,546.4,INTRADAY,MARKET,2023-01-13 15:30:00+05:30,4825a72a4bc24cfcbe9e8048c0f3ccf2,SELL,15,645.6,INTRADAY,MARKET,1488.0,-9786.0,18.16,-19.57,40214.0,-25.33
31,NSE_FO:BANKNIFTY25JAN2342400CE [LOCAL],2023-01-13 09:15:00+05:30,298292e4271542788e76ed63f09f5a37,BUY,15,433.7,INTRADAY,MARKET,2023-01-13 15:30:00+05:30,60a51817385a45a8a33ad58fb2e8ed8e,SELL,15,527.35,INTRADAY,MARKET,1404.75,-8381.25,21.59,-16.76,41618.75,-22.72
