,INST,EN_TIME,EN_ID,EN_TT,EN_Q,EN_PRICE,EN_CODE,EN_VAR,EX_TIME,EX_ID,EX_TT,EX_Q,EX_PRICE,EX_CODE,EX_VAR,P&L,ROI,P&L %,ROI %,Equity Curve,Drawdown %
0,NSE_FO:NIFTY05JAN2318100PE [LOCAL],2023-01-01 09:15:00+05:30,61b9fb7b731b4f1591e4fc804bebe312,BUY,50,81.4,INTRADAY,MARKET,2023-01-01 15:30:00+05:30,72291ea09dfb4662bda1b15b86777e8a,SELL,50,81.4,INTRADAY,MARKET,0.0,0.0,0.0,0.0,50000.0,0.0
1,NSE_FO:NIFTY05JAN2318200PE [LOCAL],2023-01-01 09:15:00+05:30,cfd777ccb88548ea826a9e12c3b7b929,BUY,50,129.05,INTRADAY,MARKET,2023-01-01 15:30:00+05:30,9ab81cad09cf4c289fdd14b83bb55bd0,SELL,50,129.05,INTRADAY,MARKET,0.0,0.0,0.0,0.0,50000.0,0.0
2,NSE_FO:NIFTY05JAN2318200PE [LOCAL],2023-01-01 09:15:00+05:30,3b7efed4a8904f58be541be503ae898c,SELL,50,129.05,INTRADAY,MARKET,2023-01-01 15:30:00+05:30,d1db3a32961c45cf908b3f92913e1dfc,BUY,50,129.05,INTRADAY,MARKET,-0.0,-0.0,-0.0,-0.0,50000.0,0.0
3,NSE_FO:NIFTY05JAN2318150PE [LOCAL],2023-01-02 09:15:00+05:30,9ab521a15d444f5abb4bcfb1b8a5c4e1,BUY,50,104.05,INTRADAY,MARKET,2023-01-02 15:30:00+05:30,ff2c9df6950248939c0e530ea5e5b190,SELL,50,67.25,INTRADAY,MARKET,-1840.0,-1840.0,-35.37,-3.68,48160.0,-3.68
4,NSE_FO:NIFTY05JAN2318250PE [LOCAL],2023-01-02 09:15:00+05:30,79443af1c67d40948caca257f8d97ada,BUY,50,160.0,INTRADAY,MARKET,2023-01-02 15:30:00+05:30,398c98fd061f4807a30b3bc5e49facfd,SELL,50,115.2,INTRADAY,MARKET,-2240.0,-4080.0,-28.0,-8.16,45920.0,-8.16
5,NSE_FO:NIFTY05JAN2318250PE [LOCAL],2023-01-02 09:15:00+05:30,947086708acf4ae4a540fb67ac86965e,SELL,50,160.0,INTRADAY,MARKET,2023-01-02 15:30:00+05:30,6c60c56fd59347829030d7c31201ae13,BUY,50,115.2,INTRADAY,MARKET,2240.0,-1840.0,28.0,-3.68,48160.0,-3.68
6,NSE_FO:NIFTY05JAN2318150PE [LOCAL],2023-01-03 09:15:00+05:30,680d43d11d5448b6b8ec97cf202df643,BUY,50,79.85,INTRADAY,MARKET,2023-01-03 15:30:00+05:30,ecec6e0c8b174044b12dd4414b02635b,SELL,50,31.35,INTRADAY,MARKET,-2425.0,-4265.0,-60.74,-8.53,45735.0,-8.53
7,NSE_FO:NIFTY05JAN2318250PE [LOCAL],2023-01-03 09:15:00+05:30,8500c9feea454637a578188c4a038942,BUY,50,115.0,INTRADAY,MARKET,2023-01-03 15:30:00+05:30,9395a0b994324595be4e37bcb849aefd,SELL,50,65.8,INTRADAY,MARKET,-2460.0,-6725.0,-42.78,-13.45,43275.0,-13.45
8,NSE_FO:NIFTY05JAN2318250PE [LOCAL],2023-01-03 09:15:00+05:30,0d4e0070073d47c6844372f3fe5d2078,SELL,50,115.0,INTRADAY,MARKET,2023-01-03 15:30:00+05:30,4f70aaa1d7c24df3a79e78d7281075df,BUY,50,65.8,INTRADAY,MARKET,2460.0,-4265.0,42.78,-8.53,45735.0,-8.53
9,NSE_FO:NIFTY05JAN2318250PE [LOCAL],2023-01-04 09:15:00+05:30,2939a3582c544d2ea9fbed3ff88c97d5,BUY,50,89.95,INTRADAY,MARKET,2023-01-04 15:30:00+05:30,7b541ae62434404b9a707478f92d32f7,SELL,50,199.5,INTRADAY,MARKET,5477.5,1212.5,121.79,2.43,51212.5,0.0
