,INST,EN_TIME,EN_ID,EN_TT,EN_Q,EN_PRICE,EN_CODE,EN_VAR,EX_TIME,EX_ID,EX_TT,EX_Q,EX_PRICE,EX_CODE,EX_VAR,P&L,ROI,P&L %,ROI %,Equity Curve,Drawdown %
0,NSE_FO:BANKNIFTY05JAN2343000CE [LOCAL],2023-01-01 09:20:00+05:30,e6952f8c58a94984bcea8c3e48cd1691,BUY,15,362.05,INTRADAY,MARKET,2023-01-01 15:15:00+05:30,ad148c55f68b4d4aa4e1b3ea7ef30f87,SELL,15,362.05,INTRADAY,MARKET,0.0,0.0,0.0,0.0,50000.0,0.0
1,NSE_FO:BANKNIFTY05JAN2343200CE [LOCAL],2023-01-01 09:20:00+05:30,3c412a49909a44eca2f6fc41e2edebe3,BUY,15,265.2,INTRADAY,MARKET,2023-01-01 15:15:00+05:30,14b535a0087f4fb0927edfa1b583747d,SELL,15,265.2,INTRADAY,MARKET,0.0,0.0,0.0,0.0,50000.0,0.0
2,NSE_FO:BANKNIFTY05JAN2343400CE [LOCAL],2023-01-01 09:20:00+05:30,bbbceb7f610944d9acf83a9faade9d8b,SELL,15,194.75,INTRADAY,MARKET,2023-01-01 15:15:00+05:30,b23d01650b734d97ba46df37a12d9441,BUY,15,194.75,INTRADAY,MARKET,-0.0,-0.0,-0.0,-0.0,50000.0,0.0
3,NSE_FO:BANKNIFTY05JAN2343000CE [LOCAL],2023-01-02 09:15:00+05:30,1388f3d621b0416695f3425b3136dab6,BUY,15,360.05,INTRADAY,MARKET,2023-01-02 15:15:00+05:30,b86d0518aae0400a8bf4a8c33114d024,SELL,15,416.0,INTRADAY,MARKET,839.25,839.25,15.54,1.68,50839.25,0.0
4,NSE_FO:BANKNIFTY05JAN2343200CE [LOCAL],2023-01-02 09:15:00+05:30,efe802342a1543e389f1e35238b4826f,BUY,15,259.45,INTRADAY,MARKET,2023-01-02 15:15:00+05:30,3d6422e22c9349b3a87459d540dd0d6c,SELL,15,299.0,INTRADAY,MARKET,593.25,1432.5,15.24,2.86,51432.5,0.0
5,NSE_FO:BANKNIFTY05JAN2343400CE [LOCAL],2023-01-02 09:15:00+05:30,866603e6097c4ecca18033dc24f6c685,SELL,15,187.5,INTRADAY,MARKET,2023-01-02 15:15:00+05:30,bd144708284649bb9e9fb828be507edf,BUY,15,206.2,INTRADAY,MARKET,-280.5,1152.0,-9.97,2.3,51152.0,-0.55
6,NSE_FO:BANKNIFTY05JAN2343200CE [LOCAL],2023-01-03 09:15:00+05:30,50cddb72ae4a4a08815f866ee10fe239,BUY,15,310.55,INTRADAY,MARKET,2023-01-03 15:15:00+05:30,260c69b4261140c4809584b79ca48e04,SELL,15,384.1,INTRADAY,MARKET,1103.25,2255.25,23.68,4.51,52255.25,0.0
7,NSE_FO:BANKNIFTY05JAN2343400CE [LOCAL],2023-01-03 09:15:00+05:30,ae6f9d7951f84b109dad6da2dcd5c775,BUY,15,216.5,INTRADAY,MARKET,2023-01-03 15:15:00+05:30,c1c59d80cf554f8191ed675a8d8c3b7f,SELL,15,255.6,INTRADAY,MARKET,586.5,2841.75,18.06,5.68,52841.75,0.0
8,NSE_FO:BANKNIFTY05JAN2343600CE [LOCAL],2023-01-03 09:15:00+05:30,1ba2433d1717479e9543164f3284402b,SELL,15,134.0,INTRADAY,MARKET,2023-01-03 15:15:00+05:30,562d3b01a4214869b9833243a242b196,BUY,15,156.05,INTRADAY,MARKET,-330.75,2511.0,-16.46,5.02,52511.0,-0.63
9,NSE_FO:BANKNIFTY05JAN2343400CE [LOCAL],2023-01-04 09:15:00+05:30,065a851ca3b14273ba37c608d38ec87b,BUY,15,255.0,INTRADAY,MARKET,2023-01-04 15:15:00+05:30,25460cb9a71c4f5ab03e25b05252e200,SELL,15,60.35,INTRADAY,MARKET,-2919.75,-408.75,-76.33,-0.82,49591.25,-6.15
