,INST,EN_TIME,EN_ID,EN_TT,EN_Q,EN_PRICE,EN_CODE,EN_VAR,EX_TIME,EX_ID,EX_TT,EX_Q,EX_PRICE,EX_CODE,EX_VAR,P&L,ROI,P&L %,ROI %,Equity Curve,Drawdown %
0,NSE_FO:NIFTY05JAN2318100CE [LOCAL],2023-01-01 09:15:00+05:30,eef62d8d0a8743be98e8140630102e1f,BUY,50,130.0,INTRADAY,MARKET,2023-01-01 15:30:00+05:30,17d32b2c8fc94a13a625079719d3047a,SELL,50,130.0,INTRADAY,MARKET,0.0,0.0,0.0,0.0,50000.0,0.0
1,NSE_FO:NIFTY05JAN2318200CE [LOCAL],2023-01-01 09:15:00+05:30,1fedbf1e5c70450883308e75dd380eae,BUY,50,80.0,INTRADAY,MARKET,2023-01-01 15:30:00+05:30,253c3cfc4b514c6398a5c91506ee91ea,SELL,50,80.0,INTRADAY,MARKET,0.0,0.0,0.0,0.0,50000.0,0.0
2,NSE_FO:NIFTY05JAN2318200CE [LOCAL],2023-01-01 09:15:00+05:30,76fc61978bb748e9936ab5be2a2025cb,SELL,50,80.0,INTRADAY,MARKET,2023-01-01 15:30:00+05:30,0f854f80e21a45029762cf84dc3ac1b2,BUY,50,80.0,INTRADAY,MARKET,-0.0,-0.0,-0.0,-0.0,50000.0,0.0
3,NSE_FO:NIFTY05JAN2318150CE [LOCAL],2023-01-02 09:15:00+05:30,e5fc552517204627b30fa89c6c81a27c,BUY,50,103.0,INTRADAY,MARKET,2023-01-02 15:30:00+05:30,d64ec966691f4ec8a4655e603296ddec,SELL,50,123.8,INTRADAY,MARKET,1040.0,1040.0,20.19,2.08,51040.0,0.0
4,NSE_FO:NIFTY05JAN2318250CE [LOCAL],2023-01-02 09:15:00+05:30,528d643325a64aaf9046a48e48e0495f,BUY,50,60.55,INTRADAY,MARKET,2023-01-02 15:30:00+05:30,893b71c57a8442a485b74531ccc5160a,SELL,50,71.9,INTRADAY,MARKET,567.5,1607.5,18.74,3.21,51607.5,0.0
5,NSE_FO:NIFTY05JAN2318250CE [LOCAL],2023-01-02 09:15:00+05:30,47a60c677d63419baeb7e9e24bbc81f4,SELL,50,60.55,INTRADAY,MARKET,2023-01-02 15:30:00+05:30,b72ed8f6b8b644599c87027f8da38b93,BUY,50,71.9,INTRADAY,MARKET,-567.5,1040.0,-18.74,2.08,51040.0,-1.1
6,NSE_FO:NIFTY05JAN2318150CE [LOCAL],2023-01-03 09:15:00+05:30,9abdd06fd73f4a4fabaa7c4cb9b8de1f,BUY,50,120.0,INTRADAY,MARKET,2023-01-03 15:30:00+05:30,e23fc19360c14ab0a4ad2c09dfa7e16c,SELL,50,143.3,INTRADAY,MARKET,1165.0,2205.0,19.42,4.41,52205.0,0.0
7,NSE_FO:NIFTY05JAN2318250CE [LOCAL],2023-01-03 09:15:00+05:30,c41d66a2aa4e44b3bcdba35a2c1ef769,BUY,50,64.0,INTRADAY,MARKET,2023-01-03 15:30:00+05:30,272ef437d7474ca48bb727cbff9e2315,SELL,50,78.25,INTRADAY,MARKET,712.5,2917.5,22.27,5.83,52917.5,0.0
8,NSE_FO:NIFTY05JAN2318250CE [LOCAL],2023-01-03 09:15:00+05:30,88a36c59047f441d8aa5663bcf589f37,SELL,50,64.0,INTRADAY,MARKET,2023-01-03 15:30:00+05:30,b99c3c5afd9a4bbd9af1bcba26a127d8,BUY,50,78.25,INTRADAY,MARKET,-712.5,2205.0,-22.27,4.41,52205.0,-1.35
9,NSE_FO:NIFTY05JAN2318250CE [LOCAL],2023-01-04 09:15:00+05:30,34d2c51314d645269060da834d6a6834,BUY,50,60.05,INTRADAY,MARKET,2023-01-04 15:30:00+05:30,3f05523f2c8b4aac8ee86e0d5fbd002f,SELL,50,10.9,INTRADAY,MARKET,-2457.5,-252.5,-81.85,-0.51,49747.5,-5.99
10,NSE_FO:NIFTY05JAN2318350CE [LOCAL],2023-01-04 09:15:00+05:30,cc98ecc1f75b4e8c975cffd61af1456e,BUY,50,30.0,INTRADAY,MARKET,2023-01-04 15:30:00+05:30,91cf947a3cc747edb1dd7f9bc9e3c2d1,SELL,50,4.55,INTRADAY,MARKET,-1272.5,-1525.0,-84.83,-3.05,48475.0,-8.4
11,NSE_FO:NIFTY05JAN2318350CE [LOCAL],2023-01-04 09:15:00+05:30,99a3ccfd3026494f8271091e242e1dca,SELL,50,30.0,INTRADAY,MARKET,2023-01-04 15:30:00+05:30,bcae4de8d9094785856bd61145278c3c,BUY,50,4.55,INTRADAY,MARKET,1272.5,-252.5,84.83,-0.51,49747.5,-5.99
12,NSE_FO:NIFTY05JAN2318100CE [LOCAL],2023-01-05 09:15:00+05:30,aec84c66350c41c09e126fde8f08c115,BUY,50,44.3,INTRADAY,MARKET,2023-01-05 15:30:00+05:30,35003b43e8054290bfc435cf0212ecb8,SELL,50,0.2,INTRADAY,MARKET,-2205.0,-2457.5,-99.55,-4.92,47542.5,-10.16
13,NSE_FO:NIFTY05JAN2318200CE [LOCAL],2023-01-05 09:15:00+05:30,31ef52fbc6734b179a638a11ef2715f6,BUY,50,16.65,INTRADAY,MARKET,2023-01-05 15:30:00+05:30,621ba58fcad7461983f75fc059a27f5d,SELL,50,0.1,INTRADAY,MARKET,-827.5,-3285.0,-99.4,-6.57,46715.0,-11.72
14,NSE_FO:NIFTY05JAN2318200CE [LOCAL],2023-01-05 09:15:00+05:30,5adfe88f79ec446d878883b28ca28168,SELL,50,16.65,INTRADAY,MARKET,2023-01-05 15:30:00+05:30,12cbfb572b454baabe6a356310bf07d4,BUY,50,0.1,INTRADAY,MARKET,827.5,-2457.5,99.4,-4.92,47542.5,-10.16
15,NSE_FO:NIFTY12JAN2318000CE [LOCAL],2023-01-06 09:15:00+05:30,cb0a193d444b4426a756b2c5583aa37c,BUY,50,140.0,INTRADAY,MARKET,2023-01-06 15:30:00+05:30,a73f428c773043d3a1d61880e349aee5,SELL,50,65.0,INTRADAY,MARKET,-3750.0,-6207.5,-53.57,-12.42,43792.5,-17.24
16,NSE_FO:NIFTY12JAN2318100CE [LOCAL],2023-01-06 09:15:00+05:30,fe5b369b0d92474b99feeac3868d2568,BUY,50,86.45,INTRADAY,MARKET,2023-01-06 15:30:00+05:30,95c0f18e3a7343f6a335626e05968847,SELL,50,37.15,INTRADAY,MARKET,-2465.0,-8672.5,-57.03,-17.34,41327.5,-21.9
17,NSE_FO:NIFTY12JAN2318100CE [LOCAL],2023-01-06 09:15:00+05:30,233bb3f2fb2b475cb366f9dba59ae0cf,SELL,50,86.45,INTRADAY,MARKET,2023-01-06 15:30:00+05:30,9b24027a94f54ed899d68629e83a514e,BUY,50,37.15,INTRADAY,MARKET,2465.0,-6207.5,57.03,-12.42,43792.5,-17.24
18,NSE_FO:NIFTY12JAN2317950CE [LOCAL],2023-01-09 09:15:00+05:30,98b8d08abade4f1e8f421ce80a36b1ac,BUY,50,101.25,INTRADAY,MARKET,2023-01-09 15:30:00+05:30,f6f2fd7e35024313822755acf9b15f2f,SELL,50,190.6,INTRADAY,MARKET,4467.5,-1740.0,88.25,-3.48,48260.0,-8.8
19,NSE_FO:NIFTY12JAN2318050CE [LOCAL],2023-01-09 09:15:00+05:30,b3419c2bf17e475b87b968290b505f58,BUY,50,62.2,INTRADAY,MARKET,2023-01-09 15:30:00+05:30,07c073fbcd8647ca8f68689d8935dd2f,SELL,50,115.85,INTRADAY,MARKET,2682.5,942.5,86.25,1.88,50942.5,-3.73
20,NSE_FO:NIFTY12JAN2318050CE [LOCAL],2023-01-09 09:15:00+05:30,dbd62ddbf6c541578215bbe2c4db7c42,SELL,50,62.2,INTRADAY,MARKET,2023-01-09 15:30:00+05:30,9286e903d7e04e5fb836caf7a7e80c33,BUY,50,115.85,INTRADAY,MARKET,-2682.5,-1740.0,-86.25,-3.48,48260.0,-8.8
21,NSE_FO:NIFTY12JAN2318100CE [LOCAL],2023-01-10 09:15:00+05:30,b6bb0b4568ea42b29092b05724e60744,BUY,50,86.3,INTRADAY,MARKET,2023-01-10 15:30:00+05:30,4f1eac8bce85468593418ef6974af4ed,SELL,50,26.25,INTRADAY,MARKET,-3002.5,-4742.5,-69.58,-9.49,45257.5,-14.48
22,NSE_FO:NIFTY12JAN2318200CE [LOCAL],2023-01-10 09:15:00+05:30,bb1680053fb0456cab4c4619c28c0949,BUY,50,41.65,INTRADAY,MARKET,2023-01-10 15:30:00+05:30,a9e550704399404ab33660d1851722e9,SELL,50,12.85,INTRADAY,MARKET,-1440.0,-6182.5,-69.15,-12.36,43817.5,-17.2
23,NSE_FO:NIFTY12JAN2318200CE [LOCAL],2023-01-10 09:15:00+05:30,0d5b8da688124bd3b403d2d684ddd1b2,SELL,50,41.65,INTRADAY,MARKET,2023-01-10 15:30:00+05:30,5f92a537f51c402fbbe1f2de3266a4c8,BUY,50,12.85,INTRADAY,MARKET,1440.0,-4742.5,69.15,-9.49,45257.5,-14.48
24,NSE_FO:NIFTY12JAN2317900CE [LOCAL],2023-01-11 09:15:00+05:30,5fab04793e054cdda92721bd768d56e1,BUY,50,96.3,INTRADAY,MARKET,2023-01-11 15:30:00+05:30,50a0a734931f489c8ef125768206d8f0,SELL,50,59.75,INTRADAY,MARKET,-1827.5,-6570.0,-37.95,-13.14,43430.0,-17.93
25,NSE_FO:NIFTY12JAN2318000CE [LOCAL],2023-01-11 09:15:00+05:30,d4b414c3540f453bb24acbdbb603f19a,BUY,50,51.0,INTRADAY,MARKET,2023-01-11 15:30:00+05:30,254647d2691c4bdbb6320ced0965ba8f,SELL,50,24.45,INTRADAY,MARKET,-1327.5,-7897.5,-52.06,-15.8,42102.5,-20.44
26,NSE_FO:NIFTY12JAN2318000CE [LOCAL],2023-01-11 09:15:00+05:30,6ccbce7eacd6456ba13749c2daa4a603,SELL,50,51.0,INTRADAY,MARKET,2023-01-11 15:30:00+05:30,e5b8a448924c4ec6a12dcfe79c97421d,BUY,50,24.45,INTRADAY,MARKET,1327.5,-6570.0,52.06,-13.14,43430.0,-17.93
27,NSE_FO:NIFTY12JAN2317900CE [LOCAL],2023-01-12 09:15:00+05:30,5bb7dac8c0ed4768aae1dba87ceaae73,BUY,50,70.0,INTRADAY,MARKET,2023-01-12 15:30:00+05:30,327fe0066b2d45448f8f7de8d83d94d4,SELL,50,0.15,INTRADAY,MARKET,-3492.5,-10062.5,-99.79,-20.12,39937.5,-24.53
28,NSE_FO:NIFTY12JAN2318000CE [LOCAL],2023-01-12 09:15:00+05:30,805ae48d28d540d7b11d9ca7f48de544,BUY,50,22.5,INTRADAY,MARKET,2023-01-12 15:30:00+05:30,b64b510146654edb9701bd08c7992042,SELL,50,0.1,INTRADAY,MARKET,-1120.0,-11182.5,-99.56,-22.36,38817.5,-26.65
29,NSE_FO:NIFTY12JAN2318000CE [LOCAL],2023-01-12 09:15:00+05:30,bb531f990886481e86934ec694933151,SELL,50,22.5,INTRADAY,MARKET,2023-01-12 15:30:00+05:30,8f38f7a141a640b4abdd3f432c2e7a54,BUY,50,0.1,INTRADAY,MARKET,1120.0,-10062.5,99.56,-20.12,39937.5,-24.53
30,NSE_FO:NIFTY19JAN2317850CE [LOCAL],2023-01-13 09:15:00+05:30,7b49aea5783a478489a987b35b215a27,BUY,50,154.95,INTRADAY,MARKET,2023-01-13 15:30:00+05:30,c79dee12e9f34b1aabc2cc0873b183e4,SELL,50,188.9,INTRADAY,MARKET,1697.5,-8365.0,21.91,-16.73,41635.0,-21.32
31,NSE_FO:NIFTY19JAN2317950CE [LOCAL],2023-01-13 09:15:00+05:30,05d43c3c42cb40639359c5f3152e2109,BUY,50,105.0,INTRADAY,MARKET,2023-01-13 15:30:00+05:30,9b4721e666d84e16b74a43b1963ebbe2,SELL,50,123.4,INTRADAY,MARKET,920.0,-7445.0,17.52,-14.89,42555.0,-19.58
32,NSE_FO:NIFTY19JAN2317950CE [LOCAL],2023-01-13 09:15:00+05:30,4fafaf574dbb41f3b3cd21f0a0b8d31c,SELL,50,105.0,INTRADAY,MARKET,2023-01-13 15:30:00+05:30,1541af57868140b28fa2eb6eab37db5f,BUY,50,123.4,INTRADAY,MARKET,-920.0,-8365.0,-17.52,-16.73,41635.0,-21.32
