,INST,EN_TIME,EN_ID,EN_TT,EN_Q,EN_PRICE,EN_CODE,EN_VAR,EX_TIME,EX_ID,EX_TT,EX_Q,EX_PRICE,EX_CODE,EX_VAR,P&L,ROI,P&L %,ROI %,Equity Curve,Drawdown %
0,NSE_FO:BANKNIFTY25JAN2343100CE [LOCAL],2023-01-01 09:15:00+05:30,37d342fc21ce4e7ba096c6d84b3ce654,BUY,15,794.9,INTRADAY,MARKET,2023-01-01 15:30:00+05:30,0fc73ac58a3e4ae28cb19334833ba0f3,SELL,15,794.9,INTRADAY,MARKET,0.0,0.0,0.0,0.0,50000.0,0.0
1,NSE_FO:BANKNIFTY25JAN2343200CE [LOCAL],2023-01-01 09:15:00+05:30,5cc9d13870be497b9dad7ae1126f7d42,SELL,15,721.25,INTRADAY,MARKET,2023-01-01 15:30:00+05:30,8e5ab603bfc64cbd81efc5895a63e7c2,BUY,15,721.25,INTRADAY,MARKET,-0.0,-0.0,-0.0,-0.0,50000.0,0.0
2,NSE_FO:BANKNIFTY25JAN2343200PE [LOCAL],2023-01-01 09:15:00+05:30,231b0074e120472d9610987b999b4f9a,BUY,15,694.55,INTRADAY,MARKET,2023-01-01 15:30:00+05:30,cd8d42bcef964559a83ca961b6196671,SELL,15,694.55,INTRADAY,MARKET,0.0,0.0,0.0,0.0,50000.0,0.0
3,NSE_FO:BANKNIFTY25JAN2343200PE [LOCAL],2023-01-01 09:15:00+05:30,a8728957ae9d488ea93fc09399113c0d,SELL,15,694.55,INTRADAY,MARKET,2023-01-01 15:30:00+05:30,d4971b530edf451ca7d3dd234202f046,BUY,15,694.55,INTRADAY,MARKET,-0.0,-0.0,-0.0,-0.0,50000.0,0.0
4,NSE_FO:BANKNIFTY25JAN2343100CE [LOCAL],2023-01-02 09:15:00+05:30,a2a025eb909942d89ec184b66818959f,BUY,15,794.9,INTRADAY,MARKET,2023-01-02 15:30:00+05:30,868186bb80e242e1b9bbe287362e1713,SELL,15,840.2,INTRADAY,MARKET,679.5,679.5,5.7,1.36,50679.5,0.0
5,NSE_FO:BANKNIFTY25JAN2343200CE [LOCAL],2023-01-02 09:15:00+05:30,5b53b42d1d8b48d1adf327717a34519b,SELL,15,745.0,INTRADAY,MARKET,2023-01-02 15:30:00+05:30,6ccbb7dedc5048e08209121697e6e993,BUY,15,786.3,INTRADAY,MARKET,-619.5,60.0,-5.54,0.12,50060.0,-1.22
6,NSE_FO:BANKNIFTY25JAN2343200PE [LOCAL],2023-01-02 09:15:00+05:30,27e2056ceb3a49df818bd02abb5a3b4b,BUY,15,688.05,INTRADAY,MARKET,2023-01-02 15:30:00+05:30,09b7955c95ff44d1af860bf394bf4b93,SELL,15,603.9,INTRADAY,MARKET,-1262.25,-1202.25,-12.23,-2.4,48797.75,-3.71
7,NSE_FO:BANKNIFTY25JAN2343200PE [LOCAL],2023-01-02 09:15:00+05:30,e729a084ccd14b25a42819c8152ef2b8,SELL,15,688.05,INTRADAY,MARKET,2023-01-02 15:30:00+05:30,233e7dcb5e8a48a5a6b65d59842d56f7,BUY,15,603.9,INTRADAY,MARKET,1262.25,60.0,12.23,0.12,50060.0,-1.22
8,NSE_FO:BANKNIFTY25JAN2343300CE [LOCAL],2023-01-03 09:15:00+05:30,f78fd2fbbf244992a5745830b1380671,BUY,15,740.0,INTRADAY,MARKET,2023-01-03 15:30:00+05:30,533cf6aeb8bd4ff9bd731dccfb92ee79,SELL,15,827.3,INTRADAY,MARKET,1309.5,1369.5,11.8,2.74,51369.5,0.0
9,NSE_FO:BANKNIFTY25JAN2343400CE [LOCAL],2023-01-03 09:15:00+05:30,c54b802546e54c8fa6c0522ecb694863,SELL,15,692.05,INTRADAY,MARKET,2023-01-03 15:30:00+05:30,20e1bc88c66447559dac5e2e12aa3f00,BUY,15,767.55,INTRADAY,MARKET,-1132.5,237.0,-10.91,0.47,50237.0,-2.2
