,INST,EN_TIME,EN_ID,EN_TT,EN_Q,EN_PRICE,EN_CODE,EN_VAR,EX_TIME,EX_ID,EX_TT,EX_Q,EX_PRICE,EX_CODE,EX_VAR,P&L,ROI,P&L %,ROI %,Equity Curve,Drawdown %
0,NSE_FO:BANKNIFTY25JAN2343000CE [LOCAL],2023-01-01 09:15:00+05:30,fe6f2f70450c4804aa2ba8c240b483b2,SELL,15,826.05,INTRADAY,MARKET,2023-01-01 15:30:00+05:30,172897fccfa04db29db0ef19803b3980,BUY,15,826.05,INTRADAY,MARKET,-0.0,-0.0,-0.0,-0.0,50000.0,0.0
1,NSE_FO:BANKNIFTY25JAN2343000PE [LOCAL],2023-01-01 09:15:00+05:30,baf069fe7e8748d6b0fe0e2bdef9feb2,SELL,15,596.6,INTRADAY,MARKET,2023-01-01 15:30:00+05:30,65bdc9f3ad9d4e548669b8f32358526a,BUY,15,596.6,INTRADAY,MARKET,-0.0,-0.0,-0.0,-0.0,50000.0,0.0
2,NSE_FO:BANKNIFTY25JAN2343000CE [LOCAL],2023-01-02 09:15:00+05:30,cc4ff5655c6242a2950bd43582edcf52,SELL,15,813.25,INTRADAY,MARKET,2023-01-02 15:30:00+05:30,3ab56859a06d4537ba2c3dfeee521bf8,BUY,15,902.85,INTRADAY,MARKET,-1344.0,-1344.0,-11.02,-2.69,48656.0,-2.69
3,NSE_FO:BANKNIFTY25JAN2343000PE [LOCAL],2023-01-02 09:15:00+05:30,87f90f3c507141c0bf2608dd8d036ead,SELL,15,673.0,INTRADAY,MARKET,2023-01-02 15:30:00+05:30,4a95074558cb4b6d87008169fdcc2d30,BUY,15,524.55,INTRADAY,MARKET,2226.75,882.75,22.06,1.77,50882.75,0.0
4,NSE_FO:BANKNIFTY25JAN2343200CE [LOCAL],2023-01-03 09:15:00+05:30,12579f40f1bb4716b748f215added82d,SELL,15,796.85,INTRADAY,MARKET,2023-01-03 15:30:00+05:30,9594095a8f0b47e58bb4f55632e589fa,BUY,15,888.9,INTRADAY,MARKET,-1380.75,-498.0,-11.55,-1.0,49502.0,-2.71
5,NSE_FO:BANKNIFTY25JAN2343200PE [LOCAL],2023-01-03 09:15:00+05:30,8c2e90c00c694b978fdef11c2f34b1dd,SELL,15,604.95,INTRADAY,MARKET,2023-01-03 15:30:00+05:30,364a8cdfc03a4baf840ee1d59c7ce655,BUY,15,480.75,INTRADAY,MARKET,1863.0,1365.0,20.53,2.73,51365.0,0.0
6,NSE_FO:BANKNIFTY25JAN2343400CE [LOCAL],2023-01-04 09:15:00+05:30,cff0279988424651bd4079d9ec18ec7b,SELL,15,784.3,INTRADAY,MARKET,2023-01-04 15:30:00+05:30,d3016d64f8014b919333695551474b36,BUY,15,541.35,INTRADAY,MARKET,3644.25,5009.25,30.98,10.02,55009.25,0.0
7,NSE_FO:BANKNIFTY25JAN2343400PE [LOCAL],2023-01-04 09:15:00+05:30,11b723e83ba64738b86ae8041dd9f0d4,SELL,15,570.0,INTRADAY,MARKET,2023-01-04 15:30:00+05:30,d1772f9fe70d40509c2ca0bc463bf82f,BUY,15,792.35,INTRADAY,MARKET,-3335.25,1674.0,-39.01,3.35,51674.0,-6.06
8,NSE_FO:BANKNIFTY25JAN2343100CE [LOCAL],2023-01-05 09:15:00+05:30,f219347a66a74a22995892f90f206afb,SELL,15,725.05,INTRADAY,MARKET,2023-01-05 15:30:00+05:30,28e9d1294520433d833e8a21f6cb8490,BUY,15,475.25,INTRADAY,MARKET,3747.0,5421.0,34.45,10.84,55421.0,0.0
9,NSE_FO:BANKNIFTY25JAN2343100PE [LOCAL],2023-01-05 09:15:00+05:30,c5f90991e0764378ac60e87da8c13e2b,SELL,15,630.0,INTRADAY,MARKET,2023-01-05 15:30:00+05:30,695afc964d6143e6b970b313200ffb4e,BUY,15,809.6,INTRADAY,MARKET,-2694.0,2727.0,-28.51,5.45,52727.0,-4.86
