,INST,EN_TIME,EN_ID,EN_TT,EN_Q,EN_PRICE,EN_CODE,EN_VAR,EX_TIME,EX_ID,EX_TT,EX_Q,EX_PRICE,EX_CODE,EX_VAR,P&L,ROI,P&L %,ROI %,Equity Curve,Drawdown %
0,NSE_FO:NIFTY25JAN2318200CE [LOCAL],2023-01-01 09:15:00+05:30,59190048f89a44bf8cea7d414dddd803,SELL,50,267.45,INTRADAY,MARKET,2023-01-01 15:30:00+05:30,c60a2802717c46fea0fe457de73b3d7c,BUY,50,267.45,INTRADAY,MARKET,-0.0,-0.0,-0.0,-0.0,50000.0,0.0
1,NSE_FO:NIFTY25JAN2318200PE [LOCAL],2023-01-01 09:15:00+05:30,f273121d24664b47865bab1ecb43bf62,SELL,50,255.65,INTRADAY,MARKET,2023-01-01 15:30:00+05:30,c634d214159e4cbb9ef4b5af603ea4ca,BUY,50,255.65,INTRADAY,MARKET,-0.0,-0.0,-0.0,-0.0,50000.0,0.0
2,NSE_FO:NIFTY25JAN2318250CE [LOCAL],2023-01-02 09:15:00+05:30,bfabd158d4604d77a8c87bf47ba53b35,SELL,50,237.5,INTRADAY,MARKET,2023-01-02 15:30:00+05:30,d459a71de75a4b4abb4e81844e650b7e,BUY,50,259.8,INTRADAY,MARKET,-1115.0,-1115.0,-9.39,-2.23,48885.0,-2.23
3,NSE_FO:NIFTY25JAN2318250PE [LOCAL],2023-01-02 09:15:00+05:30,ce4f65783554445abd158a17a61519df,SELL,50,277.0,INTRADAY,MARKET,2023-01-02 15:30:00+05:30,926f0da964964c3f9902765234ba167d,BUY,50,239.05,INTRADAY,MARKET,1897.5,782.5,13.7,1.57,50782.5,0.0
4,NSE_FO:NIFTY25JAN2318250CE [LOCAL],2023-01-03 09:15:00+05:30,53066760429d4ce5a59118e626202ac4,SELL,50,240.0,INTRADAY,MARKET,2023-01-03 15:30:00+05:30,5773196c3dc54d28b183360c7f1ddf3a,BUY,50,275.4,INTRADAY,MARKET,-1770.0,-987.5,-14.75,-1.98,49012.5,-3.49
5,NSE_FO:NIFTY25JAN2318250PE [LOCAL],2023-01-03 09:15:00+05:30,316297fca87e47649646a5174c3e3cc8,SELL,50,250.0,INTRADAY,MARKET,2023-01-03 15:30:00+05:30,f76a706359d947809a32248e29424442,BUY,50,198.2,INTRADAY,MARKET,2590.0,1602.5,20.72,3.21,51602.5,0.0
6,NSE_FO:NIFTY25JAN2318350CE [LOCAL],2023-01-04 09:15:00+05:30,75178f473f334c0e9e56e30bbbe2f78f,SELL,50,198.0,INTRADAY,MARKET,2023-01-04 15:30:00+05:30,0ae2002621fa4dd3903399b030dd5ea0,BUY,50,131.2,INTRADAY,MARKET,3340.0,4942.5,33.74,9.88,54942.5,0.0
7,NSE_FO:NIFTY25JAN2318350PE [LOCAL],2023-01-04 09:15:00+05:30,fc17f4cfcf2b4fd5b0a9b23c9b461472,SELL,50,265.15,INTRADAY,MARKET,2023-01-04 15:30:00+05:30,dde12e9d30a347eabe22fd4e5f174723,BUY,50,368.0,INTRADAY,MARKET,-5142.5,-200.0,-38.79,-0.4,49800.0,-9.36
8,NSE_FO:NIFTY25JAN2318200CE [LOCAL],2023-01-05 09:15:00+05:30,114f05cc2b004b28bff84f02a755500c,SELL,50,209.9,INTRADAY,MARKET,2023-01-05 15:30:00+05:30,da5df676603947a49098e96440f73aa1,BUY,50,157.7,INTRADAY,MARKET,2610.0,2410.0,24.87,4.82,52410.0,-4.61
9,NSE_FO:NIFTY25JAN2318200PE [LOCAL],2023-01-05 09:15:00+05:30,091f4b23ecd642f69d1d771698e36e60,SELL,50,274.2,INTRADAY,MARKET,2023-01-05 15:30:00+05:30,ba1c8a118a874f92b8703f645a862bd7,BUY,50,300.05,INTRADAY,MARKET,-1292.5,1117.5,-9.43,2.23,51117.5,-6.96
