,INST,EN_TIME,EN_ID,EN_TT,EN_Q,EN_PRICE,EN_CODE,EN_VAR,EX_TIME,EX_ID,EX_TT,EX_Q,EX_PRICE,EX_CODE,EX_VAR,P&L,ROI,P&L %,ROI %,Equity Curve,Drawdown %
0,NSE_EQ:HEROMOTOCO,2023-01-05 10:15:00+05:30,1ca9bd5ef0f0416f8ec145a40373cf4f,BUY,2,2740.55,DELIVERY_T0,MARKET,2023-01-05 13:15:00+05:30,3b285bf81cfc4ca0a0fbf9ac0ecd3079,SELL,2.0,2738.7,DELIVERY_T0,MARKET,-3.7,-3.7,-0.07,-0.01,49996.3,-0.01
1,NSE_EQ:HEROMOTOCO,2023-01-13 09:15:00+05:30,dcd42b3f6fc74b56abba71a99faa99c1,BUY,2,2683.3,DELIVERY_T0,MARKET,2023-01-13 12:15:00+05:30,1be92ad733324e06b4121b37e5369a39,SELL,2.0,2719.95,DELIVERY_T0,MARKET,73.3,69.6,1.37,0.14,50069.600000000006,0.0
2,NSE_EQ:HEROMOTOCO,2023-01-24 09:15:00+05:30,91fbb7bc74944c489fbdd789b8ba7db8,BUY,2,2780.0,DELIVERY_T1,LIMIT,2023-01-24 09:15:00+05:30,c5be0eb8868f44f694f9ee7518a5dc71,SELL,2.0,2777.0,DELIVERY_T0,MARKET,-6.0,63.6,-0.11,0.13,50063.600000000006,-0.01
3,NSE_EQ:HEROMOTOCO,2023-02-01 09:15:00+05:30,83bf8d75fc804d76b185714992a41350,BUY,2,2790.45,DELIVERY_T2,LIMIT,2023-02-01 10:15:00+05:30,6117e180689a49399a445de2653b21a2,SELL,2.0,2806.05,DELIVERY_T0,MARKET,31.2,94.8,0.56,0.19,50094.8,0.0
4,NSE_EQ:HEROMOTOCO,2023-02-06 10:15:00+05:30,d4eceb67c9004decb6a6619f3b799d1e,BUY,2,2686.5,DELIVERY_T0,MARKET,2023-02-06 13:15:00+05:30,07c7267046814a598308213318816f9d,SELL,2.0,2691.7,DELIVERY_T0,MARKET,10.4,105.2,0.19,0.21,50105.200000000004,0.0
5,NSE_EQ:HEROMOTOCO,2023-02-10 12:15:00+05:30,b2bbd7d90ecb44ff8f1a2b43ac979dc9,BUY,2,2579.9,DELIVERY_T0,MARKET,2023-02-10 15:15:00+05:30,e9f1fe67e6a646f49bcc9012c062641c,SELL,2.0,2583.15,DELIVERY_T0,MARKET,6.5,111.7,0.13,0.22,50111.700000000004,0.0
6,NSE_EQ:HEROMOTOCO,2023-02-21 09:15:00+05:30,52e08073f58e48829b3014e93fe4b5a6,BUY,2,2533.8,DELIVERY_T1,LIMIT,2023-02-21 09:15:00+05:30,5b06628a7ba741e6bb1f9c941cb3c26f,SELL,2.0,2540.0,DELIVERY_T0,MARKET,12.4,124.1,0.24,0.25,50124.100000000006,0.0
7,NSE_EQ:HEROMOTOCO,2023-01-23 11:15:00+05:30,f7b48dc16528484ea0b4d55f83dd262e,BUY,2,2780.0,DELIVERY_T0,MARKET,,,,,,,,,,,,,
8,NSE_EQ:HEROMOTOCO,2023-01-25 14:15:00+05:30,e2cc9eede1c24a21afde2427cb7046a3,BUY,2,2790.45,DELIVERY_T0,MARKET,,,,,,,,,,,,,
9,NSE_EQ:HEROMOTOCO,2023-01-27 09:15:00+05:30,872cf9f58ef64942a768b8457d338ae4,BUY,2,2790.45,DELIVERY_T2,LIMIT,,,,,,,,,,,,,
10,NSE_EQ:HEROMOTOCO,2023-01-30 09:15:00+05:30,7932f0e7eb4d49449035dd392a364110,BUY,2,2790.45,DELIVERY_T2,LIMIT,,,,,,,,,,,,,
11,NSE_EQ:HEROMOTOCO,2023-01-31 09:15:00+05:30,c20f2073b2754691ac61750408ad9cef,BUY,2,2790.45,DELIVERY_T2,LIMIT,,,,,,,,,,,,,
12,NSE_EQ:HEROMOTOCO,2023-02-20 11:15:00+05:30,05e9414c30bd4524937b83fbce77859e,BUY,2,2533.8,DELIVERY_T0,MARKET,,,,,,,,,,,,,
13,NSE_EQ:HEROMOTOCO,2023-02-24 12:15:00+05:30,c3865a4c5f3a452d8ef362ed3633491b,BUY,2,2492.1,DELIVERY_T0,MARKET,,,,,,,,,,,,,
