,INST,EN_TIME,EN_ID,EN_TT,EN_Q,EN_PRICE,EN_CODE,EN_VAR,EX_TIME,EX_ID,EX_TT,EX_Q,EX_PRICE,EX_CODE,EX_VAR,P&L,ROI,P&L %,ROI %,Equity Curve,Drawdown %
0,NSE_EQ:HEROMOTOCO,2023-01-02 12:15:00+05:30,dd02e1efd5db495084be8e4f72c16af9,SELL,2,2721.9,INTRADAY,MARKET,2023-01-02 15:30:00+05:30,c412e199f97142c7affbf26a23be909b,BUY,2,2715.55,INTRADAY,MARKET,12.7,12.7,0.23,0.03,50012.7,0.0
1,NSE_EQ:HEROMOTOCO,2023-01-05 10:15:00+05:30,6623d39936c94fba9716e0240b6dac56,BUY,2,2740.55,INTRADAY,MARKET,2023-01-05 13:15:00+05:30,7217e349adf843329f55d51844d94ab4,SELL,2,2738.7,INTRADAY,MARKET,-3.7,9.0,-0.07,0.02,50009.0,-0.01
2,NSE_EQ:HEROMOTOCO,2023-01-09 09:15:00+05:30,6c86375131a040b680534cde77de8a52,SELL,2,2757.0,INTRADAY,MARKET,2023-01-09 15:30:00+05:30,46c61dfbfa794f858270529ba98f0c30,BUY,2,2753.35,INTRADAY,MARKET,7.3,16.3,0.13,0.03,50016.3,0.0
3,NSE_EQ:HEROMOTOCO,2023-01-13 09:15:00+05:30,e687cabbb331455daa3a5a0db5fa9714,BUY,2,2683.3,INTRADAY,MARKET,2023-01-13 12:15:00+05:30,afecbc6449bd4b80be7ad621f209379f,SELL,2,2719.95,INTRADAY,MARKET,73.3,89.6,1.37,0.18,50089.600000000006,0.0
4,NSE_EQ:HEROMOTOCO,2023-01-18 14:15:00+05:30,7960516e845d412f9782d07be8427058,SELL,2,2759.95,INTRADAY,MARKET,2023-01-18 15:30:00+05:30,695f7a219dcc47a499553ec409d7a4fd,BUY,2,2771.95,INTRADAY,MARKET,-24.0,65.6,-0.43,0.13,50065.600000000006,-0.05
5,NSE_EQ:HEROMOTOCO,2023-01-23 11:15:00+05:30,ab1368ce160743cdb89a44807db0fd1d,BUY,2,2780.0,INTRADAY,MARKET,2023-01-23 15:30:00+05:30,ed4a542410f245578e64e0dc598dcfe9,SELL,2,2772.9,INTRADAY,MARKET,-14.2,51.4,-0.26,0.1,50051.40000000001,-0.08
6,NSE_EQ:HEROMOTOCO,2023-01-24 11:15:00+05:30,591203b4ae8e4bc28fc3400c7729f31b,SELL,2,2769.15,INTRADAY,MARKET,2023-01-24 15:30:00+05:30,a9c39c7985954b1cb1ec480248eb5cea,BUY,2,2773.9,INTRADAY,MARKET,-9.5,41.9,-0.17,0.08,50041.90000000001,-0.1
7,NSE_EQ:HEROMOTOCO,2023-01-25 14:15:00+05:30,14acb3b4e9004c9599a5e7d0f9cb209d,BUY,2,2790.45,INTRADAY,MARKET,2023-01-25 15:30:00+05:30,8665e4d02daa40ea8c2eaf9df7994202,SELL,2,2785.55,INTRADAY,MARKET,-9.8,32.1,-0.18,0.06,50032.100000000006,-0.11
8,NSE_EQ:HEROMOTOCO,2023-01-31 14:15:00+05:30,96c5ee5bca0f4dee865eaf9a46f781b4,BUY,2,2738.6,INTRADAY,MARKET,2023-01-31 15:30:00+05:30,765b339dc2ba48ff8e79d3b263325f70,SELL,2,2765.6,INTRADAY,MARKET,54.0,86.1,0.99,0.17,50086.100000000006,-0.01
9,NSE_EQ:HEROMOTOCO,2023-02-02 10:15:00+05:30,c04ce379e57e462b8da45fbc79835cdc,SELL,2,2686.7,INTRADAY,MARKET,2023-02-02 13:15:00+05:30,3a3dcbda01f644649b89191400d2fc71,BUY,2,2654.15,INTRADAY,MARKET,65.1,151.2,1.21,0.3,50151.200000000004,0.0
10,NSE_EQ:HEROMOTOCO,2023-02-06 10:15:00+05:30,698a6bd0988942d397f0aed01811d489,BUY,2,2686.5,INTRADAY,MARKET,2023-02-06 13:15:00+05:30,0f7897696462472a9975d94139aa95a9,SELL,2,2691.7,INTRADAY,MARKET,10.4,161.6,0.19,0.32,50161.600000000006,0.0
11,NSE_EQ:HEROMOTOCO,2023-02-07 13:15:00+05:30,49f9b40feb5b407780648e444e198034,SELL,2,2617.05,INTRADAY,MARKET,2023-02-07 15:30:00+05:30,5c0a0f1eb09c498081a7e5f4cedeb1ea,BUY,2,2655.05,INTRADAY,MARKET,-76.0,85.6,-1.45,0.17,50085.600000000006,-0.15
12,NSE_EQ:HEROMOTOCO,2023-02-10 12:15:00+05:30,7f341b47949b40d7ad42f91faed71413,BUY,2,2579.9,INTRADAY,MARKET,2023-02-10 15:15:00+05:30,b45509ed6e6345c781e9669655eaa9b8,SELL,2,2583.15,INTRADAY,MARKET,6.5,92.1,0.13,0.18,50092.100000000006,-0.14
13,NSE_EQ:HEROMOTOCO,2023-02-17 10:15:00+05:30,98f7fc5c18414c80a3b810f93ea130ae,SELL,2,2511.0,INTRADAY,MARKET,2023-02-17 14:15:00+05:30,fe27fa99ce5541eba632a85a1d237a93,BUY,2,2529.25,INTRADAY,MARKET,-36.5,55.6,-0.73,0.11,50055.600000000006,-0.21
14,NSE_EQ:HEROMOTOCO,2023-02-20 11:15:00+05:30,f098a719487644d3aab311dc8854d384,BUY,2,2533.8,INTRADAY,MARKET,2023-02-20 15:30:00+05:30,ffa9b6d6b8234f2ab21d051763e102b3,SELL,2,2527.8,INTRADAY,MARKET,-12.0,43.6,-0.24,0.09,50043.600000000006,-0.24
15,NSE_EQ:HEROMOTOCO,2023-02-22 11:15:00+05:30,b5bb51f23f514a899d545d6c9fb531bc,SELL,2,2518.65,INTRADAY,MARKET,2023-02-22 15:30:00+05:30,bc56ec443be34babb4aa16ca57d17434,BUY,2,2499.85,INTRADAY,MARKET,37.6,81.2,0.75,0.16,50081.200000000004,-0.16
16,NSE_EQ:HEROMOTOCO,2023-02-24 12:15:00+05:30,57420496594841169bcd03328db6bd72,BUY,2,2492.1,INTRADAY,MARKET,2023-02-24 15:30:00+05:30,61e35b0f4c1a4a8fbbb7f3605dc1dcd6,SELL,2,2485.2,INTRADAY,MARKET,-13.8,67.4,-0.28,0.13,50067.4,-0.19
