,INST,EN_TIME,EN_ID,EN_TT,EN_Q,EN_PRICE,EN_CODE,EN_VAR,EX_TIME,EX_ID,EX_TT,EX_Q,EX_PRICE,EX_CODE,EX_VAR,P&L,ROI,P&L %,ROI %,Equity Curve,Drawdown %
0,NSE_EQ:DLF,2023-01-02 10:15:00+05:30,9e62357ca09246ad8b868df2650f0a6d,BUY,10,378.05,INTRADAY,MARKET,2023-01-02 13:15:00+05:30,1e4fd96ae4c442b7b1124c2c2f336116,SELL,10,380.1,INTRADAY,MARKET,20.5,20.5,0.54,0.04,50020.5,0.0
1,NSE_EQ:DLF,2023-01-02 13:15:00+05:30,97101cf472e246cca1a2a3daaa28faa1,SELL,10,380.1,INTRADAY,MARKET,2023-01-02 15:30:00+05:30,c7db85b950f942598e66fa215c397a85,BUY,10,380.6,INTRADAY,MARKET,-5.0,15.5,-0.13,0.03,50015.5,-0.01
2,NSE_EQ:DLF,2023-01-03 09:15:00+05:30,317e5cc84fed4cc4befe14e524c20a92,BUY,10,380.75,INTRADAY,MARKET,2023-01-03 11:15:00+05:30,cd189d2cdf62432f9ee3bc288b48d4d4,SELL,10,381.15,INTRADAY,MARKET,4.0,19.5,0.11,0.04,50019.5,-0.0
3,NSE_EQ:DLF,2023-01-03 11:15:00+05:30,0d948122556f4ecd9ba899dd3a605b89,SELL,10,381.15,INTRADAY,MARKET,2023-01-03 14:15:00+05:30,10cbbbba5de9447fb1fab58909fde5a9,BUY,10,380.25,INTRADAY,MARKET,9.0,28.5,0.24,0.06,50028.5,0.0
4,NSE_EQ:DLF,2023-01-03 14:15:00+05:30,f66eb7a92b2743559d2f7ba4eb91f923,BUY,10,380.25,INTRADAY,MARKET,2023-01-03 15:15:00+05:30,c4cf7576e4bd454f889a09fba78105cd,SELL,10,380.1,INTRADAY,MARKET,-1.5,27.0,-0.04,0.05,50027.0,-0.0
5,NSE_EQ:DLF,2023-01-03 15:15:00+05:30,4a896b5003f44e529ac36bfbfbcfe8d7,SELL,10,380.1,INTRADAY,MARKET,2023-01-03 15:30:00+05:30,e94ca253d518441aa1481142f5839fe3,BUY,10,380.1,INTRADAY,MARKET,-0.0,27.0,-0.0,0.05,50027.0,-0.0
6,NSE_EQ:DLF,2023-01-04 13:15:00+05:30,7d725b19776e48a28fa15d28c477ff9a,BUY,10,372.95,INTRADAY,MARKET,2023-01-04 15:15:00+05:30,85021dfd6ee348808d0f2c6d20d81e93,SELL,10,371.5,INTRADAY,MARKET,-14.5,12.5,-0.39,0.03,50012.5,-0.03
7,NSE_EQ:DLF,2023-01-04 15:15:00+05:30,295e6fd63e714c6a8728d2ec91373c91,SELL,10,371.5,INTRADAY,MARKET,2023-01-04 15:30:00+05:30,c08752fa63604d5fb7f864bfa53290e7,BUY,10,371.5,INTRADAY,MARKET,-0.0,12.5,-0.0,0.03,50012.5,-0.03
8,NSE_EQ:DLF,2023-01-05 10:15:00+05:30,bdf7710ff8364e7bad20b3c0f135829c,BUY,10,372.1,INTRADAY,MARKET,2023-01-05 12:15:00+05:30,1724744912f44642a01e7728737dbbb6,SELL,10,371.35,INTRADAY,MARKET,-7.5,5.0,-0.2,0.01,50005.0,-0.05
9,NSE_EQ:DLF,2023-01-05 12:15:00+05:30,fa05fbc2d2ed4d4985d28c863477bfbb,SELL,10,371.35,INTRADAY,MARKET,2023-01-05 15:15:00+05:30,57b780e3d9284cda966f30b7e58eaade,BUY,10,373.0,INTRADAY,MARKET,-16.5,-11.5,-0.44,-0.02,49988.5,-0.08
10,NSE_EQ:DLF,2023-01-05 15:15:00+05:30,bd99adee968a49e692cbcf1b07b5d448,BUY,10,373.0,INTRADAY,MARKET,2023-01-05 15:30:00+05:30,b63969530955410e8671561181025b1b,SELL,10,373.0,INTRADAY,MARKET,0.0,-11.5,0.0,-0.02,49988.5,-0.08
11,NSE_EQ:DLF,2023-01-06 10:15:00+05:30,67ef757daa544dcb8e05c86856a068c0,SELL,10,372.05,INTRADAY,MARKET,2023-01-06 11:15:00+05:30,3cd567cf5175432ab9418a211559f080,BUY,10,373.2,INTRADAY,MARKET,-11.5,-23.0,-0.31,-0.05,49977.0,-0.1
12,NSE_EQ:DLF,2023-01-06 11:15:00+05:30,d499dfbcfabe45c4be4f4132fb7032cd,BUY,10,373.2,INTRADAY,MARKET,2023-01-06 13:15:00+05:30,4025403ab59445daa71f810fd0c232d9,SELL,10,368.55,INTRADAY,MARKET,-46.5,-69.5,-1.25,-0.14,49930.5,-0.2
13,NSE_EQ:DLF,2023-01-06 13:15:00+05:30,1d8dde43b4964c69b33978cfbc796614,SELL,10,368.55,INTRADAY,MARKET,2023-01-06 15:15:00+05:30,ee05e3de84014d918f391767cb5e3b11,BUY,10,370.35,INTRADAY,MARKET,-18.0,-87.5,-0.49,-0.18,49912.5,-0.23
14,NSE_EQ:DLF,2023-01-06 15:15:00+05:30,d9f27d3da7b3427b9275fff8e1d9aa40,BUY,10,370.35,INTRADAY,MARKET,2023-01-06 15:30:00+05:30,4089c3c3986c4150a22141bbf96c2676,SELL,10,370.35,INTRADAY,MARKET,0.0,-87.5,0.0,-0.18,49912.5,-0.23
15,NSE_EQ:DLF,2023-01-09 09:15:00+05:30,47a20c4492b6401fab37dd6b9ae3b3e5,SELL,10,373.0,INTRADAY,MARKET,2023-01-09 10:15:00+05:30,cf7af30957a741f6b2695c5d501ea83d,BUY,10,374.6,INTRADAY,MARKET,-16.0,-103.5,-0.43,-0.21,49896.5,-0.26
16,NSE_EQ:DLF,2023-01-09 10:15:00+05:30,0605564e271d4adba1da7f2eb3a8c539,BUY,10,374.6,INTRADAY,MARKET,2023-01-09 12:15:00+05:30,94c75e836d144160b4f4a2493dd8d296,SELL,10,374.4,INTRADAY,MARKET,-2.0,-105.5,-0.05,-0.21,49894.5,-0.27
17,NSE_EQ:DLF,2023-01-09 12:15:00+05:30,9187a665d2b8480bb989de39279f20c8,SELL,10,374.4,INTRADAY,MARKET,2023-01-09 15:30:00+05:30,47fe6299364b4e1487b5976e65e0edee,BUY,10,374.0,INTRADAY,MARKET,4.0,-101.5,0.11,-0.2,49898.5,-0.26
18,NSE_EQ:DLF,2023-01-10 09:15:00+05:30,95297053a3a647429efd071f90ed415f,BUY,10,373.9,INTRADAY,MARKET,2023-01-10 10:15:00+05:30,e90a57ebc3834e629e8459bfa240d1be,SELL,10,374.05,INTRADAY,MARKET,1.5,-100.0,0.04,-0.2,49900.0,-0.26
19,NSE_EQ:DLF,2023-01-10 10:15:00+05:30,d12994df95244057ba99775c9b44ea7c,SELL,10,374.05,INTRADAY,MARKET,2023-01-10 14:15:00+05:30,2dc7e6e4c4154aa1ae8d29c244dab11e,BUY,10,372.35,INTRADAY,MARKET,17.0,-83.0,0.45,-0.17,49917.0,-0.22
20,NSE_EQ:DLF,2023-01-10 14:15:00+05:30,f0ee3ce667654e778dcd9bed33835dba,BUY,10,372.35,INTRADAY,MARKET,2023-01-10 15:30:00+05:30,4c3d8b21bb3e4d098475e01f3d7c3c0f,SELL,10,373.45,INTRADAY,MARKET,11.0,-72.0,0.3,-0.14,49928.0,-0.2
21,NSE_EQ:DLF,2023-01-11 12:15:00+05:30,dd12342429084ed5b266890c15a4ca10,SELL,10,372.75,INTRADAY,MARKET,2023-01-11 15:30:00+05:30,8fccce56a32144d39bcb109148051b23,BUY,10,372.45,INTRADAY,MARKET,3.0,-69.0,0.08,-0.14,49931.0,-0.19
22,NSE_EQ:DLF,2023-01-12 09:15:00+05:30,3d12019da607410397af02db8554c1e2,BUY,10,372.9,INTRADAY,MARKET,2023-01-12 14:15:00+05:30,ae98c7b6b15c4de3a63c415526b8aebb,SELL,10,373.0,INTRADAY,MARKET,1.0,-68.0,0.03,-0.14,49932.0,-0.19
23,NSE_EQ:DLF,2023-01-12 14:15:00+05:30,fd6573f4632449bf94dd5db7588c9273,SELL,10,373.0,INTRADAY,MARKET,2023-01-12 15:15:00+05:30,4516f6d0a5264dce9cc4f0995dea318a,BUY,10,374.65,INTRADAY,MARKET,-16.5,-84.5,-0.44,-0.17,49915.5,-0.23
24,NSE_EQ:DLF,2023-01-12 15:15:00+05:30,a2b7b6e6702b4c95b88442d747fe3ac7,BUY,10,374.65,INTRADAY,MARKET,2023-01-12 15:30:00+05:30,8025903ed9134bb7a31df022e7da036e,SELL,10,374.65,INTRADAY,MARKET,0.0,-84.5,0.0,-0.17,49915.5,-0.23
25,NSE_EQ:DLF,2023-01-13 10:15:00+05:30,843b1f8348a94848b8f175af43ec32c9,SELL,10,373.3,INTRADAY,MARKET,2023-01-13 12:15:00+05:30,4a6a89b208d84dfba34ed535a1bbe48c,BUY,10,375.1,INTRADAY,MARKET,-18.0,-102.5,-0.48,-0.21,49897.5,-0.26
26,NSE_EQ:DLF,2023-01-13 12:15:00+05:30,052b5590180f409aade4e95eee3016de,BUY,10,375.1,INTRADAY,MARKET,2023-01-13 15:15:00+05:30,53dbca024fb44ed99694c47b5abdccea,SELL,10,376.45,INTRADAY,MARKET,13.5,-89.0,0.36,-0.18,49911.0,-0.23
27,NSE_EQ:DLF,2023-01-13 15:15:00+05:30,21e474b5d6a14bce88c56dbc965f4a7f,SELL,10,376.45,INTRADAY,MARKET,2023-01-13 15:30:00+05:30,0a48d5b12c0d4b5cbaeee82398ae2022,BUY,10,376.45,INTRADAY,MARKET,-0.0,-89.0,-0.0,-0.18,49911.0,-0.23
28,NSE_EQ:DLF,2023-01-16 14:15:00+05:30,7b2c34bc2c454449b65735e353747283,BUY,10,372.7,INTRADAY,MARKET,2023-01-16 15:15:00+05:30,5cabce23d96e464f9281dc1b84b0a17e,SELL,10,373.7,INTRADAY,MARKET,10.0,-79.0,0.27,-0.16,49921.0,-0.21
29,NSE_EQ:DLF,2023-01-16 15:15:00+05:30,a6eaed17c0d942a5ba68522cd9dd4c3f,SELL,10,373.7,INTRADAY,MARKET,2023-01-16 15:30:00+05:30,7125c492019c44abbc4b4aea613c2f33,BUY,10,373.7,INTRADAY,MARKET,-0.0,-79.0,-0.0,-0.16,49921.0,-0.21
30,NSE_EQ:DLF,2023-01-17 09:15:00+05:30,6870b398129e4248908364fd1caf9c36,BUY,10,373.95,INTRADAY,MARKET,2023-01-17 13:15:00+05:30,35955881af654f0cba171084dad83eb2,SELL,10,370.35,INTRADAY,MARKET,-36.0,-115.0,-0.96,-0.23,49885.0,-0.29
31,NSE_EQ:DLF,2023-01-17 13:15:00+05:30,a0fe263a0f84401784353f11a36af8f5,SELL,10,370.35,INTRADAY,MARKET,2023-01-17 15:15:00+05:30,dc71ea6034cb4fa3bc9b691b9e0c2d87,BUY,10,375.75,INTRADAY,MARKET,-54.0,-169.0,-1.46,-0.34,49831.0,-0.39
32,NSE_EQ:DLF,2023-01-17 15:15:00+05:30,0dd8b86372e14017a071238ea85c3fd3,BUY,10,375.75,INTRADAY,MARKET,2023-01-17 15:30:00+05:30,61e564670ecb4f3f82b06a05e75631b1,SELL,10,375.75,INTRADAY,MARKET,0.0,-169.0,0.0,-0.34,49831.0,-0.39
33,NSE_EQ:DLF,2023-01-18 10:15:00+05:30,efcbb273e4044b999f0862a47541d5b2,SELL,10,375.8,INTRADAY,MARKET,2023-01-18 13:15:00+05:30,0e9d2a6807254c188505673fd0e2fdba,BUY,10,374.95,INTRADAY,MARKET,8.5,-160.5,0.23,-0.32,49839.5,-0.38
34,NSE_EQ:DLF,2023-01-18 13:15:00+05:30,4a8556d3691f4493892565fa21d5d5db,BUY,10,374.95,INTRADAY,MARKET,2023-01-18 15:30:00+05:30,b1a81f34286c4630a585d7433cc0ba47,SELL,10,376.45,INTRADAY,MARKET,15.0,-145.5,0.4,-0.29,49854.5,-0.35
35,NSE_EQ:DLF,2023-01-19 09:15:00+05:30,3731f0850c6b4814b0345deb7cc93933,SELL,10,375.0,INTRADAY,MARKET,2023-01-19 14:15:00+05:30,9730a537577c428bae481d3c4507562f,BUY,10,374.55,INTRADAY,MARKET,4.5,-141.0,0.12,-0.28,49859.0,-0.34
36,NSE_EQ:DLF,2023-01-19 14:15:00+05:30,8265408585ed4d8dbb96bbf33516c29a,BUY,10,374.55,INTRADAY,MARKET,2023-01-19 15:30:00+05:30,cceb6146d53b4a6cb12258de0a894b0c,SELL,10,375.7,INTRADAY,MARKET,11.5,-129.5,0.31,-0.26,49870.5,-0.32
37,NSE_EQ:DLF,2023-01-20 10:15:00+05:30,64f9fee57e90480f9b12c6b89286aef8,SELL,10,373.55,INTRADAY,MARKET,2023-01-20 12:15:00+05:30,51679dab76f54cb587916ba393d2030e,BUY,10,372.5,INTRADAY,MARKET,10.5,-119.0,0.28,-0.24,49881.0,-0.29
38,NSE_EQ:DLF,2023-01-20 12:15:00+05:30,c9c81815b9d84e6ba757742909faec74,BUY,10,372.5,INTRADAY,MARKET,2023-01-20 14:15:00+05:30,17f039922b624e7cb54df526f5cf9c9e,SELL,10,371.8,INTRADAY,MARKET,-7.0,-126.0,-0.19,-0.25,49874.0,-0.31
39,NSE_EQ:DLF,2023-01-20 14:15:00+05:30,a605d153217145f0a7c7e8ee74bb4acd,SELL,10,371.8,INTRADAY,MARKET,2023-01-20 15:30:00+05:30,6bf1070a8d6a4172aacadfe840547268,BUY,10,369.7,INTRADAY,MARKET,21.0,-105.0,0.56,-0.21,49895.0,-0.27
40,NSE_EQ:DLF,2023-01-23 10:15:00+05:30,c8d3ba2378b8485ab15e4fa3ccdf47c1,BUY,10,369.0,INTRADAY,MARKET,2023-01-23 15:30:00+05:30,044f49a3372e4642bf574263d3211a53,SELL,10,369.3,INTRADAY,MARKET,3.0,-102.0,0.08,-0.2,49898.0,-0.26
41,NSE_EQ:DLF,2023-01-24 09:15:00+05:30,d749dad9ecc240329d5d49396f757053,SELL,10,370.5,INTRADAY,MARKET,2023-01-24 10:15:00+05:30,1204b50ec9474a8aa1cbff000359815c,BUY,10,369.5,INTRADAY,MARKET,10.0,-92.0,0.27,-0.18,49908.0,-0.24
42,NSE_EQ:DLF,2023-01-24 10:15:00+05:30,3d79dc090d594e51829a8e5fb53d5213,BUY,10,369.5,INTRADAY,MARKET,2023-01-24 12:15:00+05:30,1ff5d787ffc3470780f23875fae8d19d,SELL,10,365.4,INTRADAY,MARKET,-41.0,-133.0,-1.11,-0.27,49867.0,-0.32
43,NSE_EQ:DLF,2023-01-24 12:15:00+05:30,5aaf17e420ef46109bab2fa9a90a22a2,SELL,10,365.4,INTRADAY,MARKET,2023-01-24 15:15:00+05:30,5c1650337c06406d8a0acf996414c18d,BUY,10,365.9,INTRADAY,MARKET,-5.0,-138.0,-0.14,-0.28,49862.0,-0.33
44,NSE_EQ:DLF,2023-01-24 15:15:00+05:30,fc1d2720f1dd4bfbbff13ab907dc1357,BUY,10,365.9,INTRADAY,MARKET,2023-01-24 15:30:00+05:30,df426fcff860413dbd6129eea9c5c2d8,SELL,10,365.9,INTRADAY,MARKET,0.0,-138.0,0.0,-0.28,49862.0,-0.33
45,NSE_EQ:DLF,2023-01-25 10:15:00+05:30,3b787e79b57747419eebbd816808911e,SELL,10,357.0,INTRADAY,MARKET,2023-01-25 11:15:00+05:30,33262f78060e4f23bb3a60e581392c77,BUY,10,358.0,INTRADAY,MARKET,-10.0,-148.0,-0.28,-0.3,49852.0,-0.35
46,NSE_EQ:DLF,2023-01-25 11:15:00+05:30,7867d6c5006b47e8a3be055542e6fb2c,BUY,10,358.0,INTRADAY,MARKET,2023-01-25 12:15:00+05:30,224ed21bf9b14e029ee6e1db0bcfd3fc,SELL,10,352.25,INTRADAY,MARKET,-57.5,-205.5,-1.61,-0.41,49794.5,-0.47
47,NSE_EQ:DLF,2023-01-25 12:15:00+05:30,0eddb33218f34d9e889cc934598c936d,SELL,10,352.25,INTRADAY,MARKET,2023-01-25 14:15:00+05:30,e4bc2d8994c7442a95bd6e3b9d3a182f,BUY,10,354.3,INTRADAY,MARKET,-20.5,-226.0,-0.58,-0.45,49774.0,-0.51
