,INST,EN_TIME,EN_ID,EN_TT,EN_Q,EN_PRICE,EN_CODE,EN_VAR,EX_TIME,EX_ID,EX_TT,EX_Q,EX_PRICE,EX_CODE,EX_VAR,P&L,ROI,P&L %,ROI %,Equity Curve,Drawdown %
0,NSE_EQ:TATAPOWER,2023-01-30 09:15:00+05:30,04f1a848ef7147cca4c460b145684686,BUY,2,202.5,DELIVERY_T2,LIMIT,2023-01-30 09:15:00+05:30,4bb7eb404e454e77acc3396d5e621653,SELL,2.0,203.45,DELIVERY_T0,MARKET,1.9,1.9,0.47,0.0,50001.9,0.0
1,NSE_EQ:TATAPOWER,2023-01-31 09:15:00+05:30,7db6a90979544c488e05569a1b36824e,BUY,2,203.45,DELIVERY_T1,LIMIT,2023-01-31 09:15:00+05:30,90ba724147d14d21b9b99a3eecdc9ce2,SELL,2.0,205.5,DELIVERY_T0,MARKET,4.1,6.0,1.01,0.01,50006.0,0.0
2,NSE_EQ:TATAPOWER,2023-02-01 09:15:00+05:30,ce76eed58f9541fe8b6d8da80fabcce2,BUY,2,205.5,DELIVERY_T1,LIMIT,2023-02-01 09:15:00+05:30,209669d412f44731b98e87b257fef3eb,SELL,2.0,214.9,DELIVERY_T0,MARKET,18.8,24.8,4.57,0.05,50024.8,0.0
3,NSE_EQ:TATAPOWER,2023-02-02 09:15:00+05:30,e7bec39417b44b2baa314f96118d07a9,BUY,2,214.9,DELIVERY_T1,LIMIT,2023-02-02 09:15:00+05:30,f024cc408c8f4acd8ef7b758b1459f00,SELL,2.0,204.95,DELIVERY_T0,MARKET,-19.9,4.9,-4.63,0.01,50004.9,-0.04
4,NSE_EQ:TATAPOWER,2023-02-03 09:15:00+05:30,3d887eb2d8a549119c87a2b94b589b1c,BUY,2,204.95,DELIVERY_T1,LIMIT,2023-02-03 09:15:00+05:30,c388a47e0b08434998d5c4edc5c528c5,SELL,2.0,207.5,DELIVERY_T0,MARKET,5.1,10.0,1.24,0.02,50010.0,-0.03
5,NSE_EQ:TATAPOWER,2023-02-06 09:15:00+05:30,d46affcfe3ec403983716b40b835d799,BUY,2,207.5,DELIVERY_T2,LIMIT,2023-02-06 09:15:00+05:30,c46985de5c594c1a95efc9ffab5ab668,SELL,2.0,209.0,DELIVERY_T0,MARKET,3.0,13.0,0.72,0.03,50013.0,-0.02
6,NSE_EQ:TATAPOWER,2023-02-07 09:15:00+05:30,1eec078d843741d58517b34a44c6a524,BUY,2,209.0,DELIVERY_T1,LIMIT,2023-02-07 09:15:00+05:30,72bd963f303749018ca52f02a42a98ec,SELL,2.0,209.5,DELIVERY_T0,MARKET,1.0,14.0,0.24,0.03,50014.0,-0.02
7,NSE_EQ:TATAPOWER,2023-02-07 09:15:00+05:30,338557c410334bb9a929dcb6335b3635,BUY,2,209.5,DELIVERY_T0,MARKET,2023-02-07 15:15:00+05:30,99a64e3536814571a2af3e04c66c2794,SELL,2.0,206.25,DELIVERY_T0,MARKET,-6.5,7.5,-1.55,0.01,50007.5,-0.03
8,NSE_EQ:TATAPOWER,2023-02-23 09:15:00+05:30,c8ecce595dea44e5b4fe453a00c86a70,BUY,2,207.55,DELIVERY_T1,LIMIT,2023-02-23 09:15:00+05:30,50a9ce3de3c8480e8cf37e574199d6de,SELL,2.0,202.8,DELIVERY_T0,MARKET,-9.5,-2.0,-2.29,-0.0,49998.0,-0.05
9,NSE_EQ:TATAPOWER,2023-02-24 09:15:00+05:30,733e905bba7b4080a842e7cf2962643c,BUY,2,202.8,DELIVERY_T1,LIMIT,2023-02-24 09:15:00+05:30,026a566a39d84080b5182d0cb7655621,SELL,2.0,201.9,DELIVERY_T0,MARKET,-1.8,-3.8,-0.44,-0.01,49996.2,-0.06
10,NSE_EQ:TATAPOWER,2023-01-27 09:15:00+05:30,ed75398464d34ce4a671d59d019b6d20,BUY,2,202.5,DELIVERY_T0,MARKET,,,,,,,,,,,,,
11,NSE_EQ:TATAPOWER,2023-01-30 09:15:00+05:30,ac32d91ac0e34734b8839c36c774769f,BUY,2,203.45,DELIVERY_T0,MARKET,,,,,,,,,,,,,
12,NSE_EQ:TATAPOWER,2023-01-31 09:15:00+05:30,d554a0cf7c6143068103ccc1b52a5c48,BUY,2,205.5,DELIVERY_T0,MARKET,,,,,,,,,,,,,
13,NSE_EQ:TATAPOWER,2023-02-01 09:15:00+05:30,bd76a0eb86414448bebc01097c8067ef,BUY,2,214.9,DELIVERY_T0,MARKET,,,,,,,,,,,,,
14,NSE_EQ:TATAPOWER,2023-02-02 09:15:00+05:30,448321fc22ae48d9a2039b3a2010b23d,BUY,2,204.95,DELIVERY_T0,MARKET,,,,,,,,,,,,,
15,NSE_EQ:TATAPOWER,2023-02-03 09:15:00+05:30,d002ad96f6f341acbc5bedf40112b292,BUY,2,207.5,DELIVERY_T0,MARKET,,,,,,,,,,,,,
16,NSE_EQ:TATAPOWER,2023-02-06 09:15:00+05:30,6de29c6e1aa6433d931651b6e8aa5636,BUY,2,209.0,DELIVERY_T0,MARKET,,,,,,,,,,,,,
17,NSE_EQ:TATAPOWER,2023-02-22 09:15:00+05:30,a540dcf82c414adeb2ba1eebf2a1085a,BUY,2,207.55,DELIVERY_T0,MARKET,,,,,,,,,,,,,
18,NSE_EQ:TATAPOWER,2023-02-23 09:15:00+05:30,4416a30b99b54f6f991519181fd57ab0,BUY,2,202.8,DELIVERY_T0,MARKET,,,,,,,,,,,,,
19,NSE_EQ:TATAPOWER,2023-02-24 09:15:00+05:30,5e25784753254147ad4787509ae3fb8c,BUY,2,201.9,DELIVERY_T0,MARKET,,,,,,,,,,,,,
