,INST,EN_TIME,EN_ID,EN_TT,EN_Q,EN_PRICE,EN_CODE,EN_VAR,EX_TIME,EX_ID,EX_TT,EX_Q,EX_PRICE,EX_CODE,EX_VAR,P&L,ROI,P&L %,ROI %,Equity Curve,Drawdown %
0,NSE_EQ:RELIANCE,2023-01-03 09:15:00+05:30,bdb02e7572b24a90b532b3c9d76a3fea,BUY,2,2562.0,DELIVERY_T1,LIMIT,2023-01-03 12:15:00+05:30,247fb49d2a434840a5ef3a9156e511e5,SELL,2.0,2553.15,DELIVERY_T0,MARKET,-17.7,-17.7,-0.35,-0.04,49982.3,-0.04
1,NSE_EQ:RELIANCE,2023-01-05 10:15:00+05:30,f8369dae80d5435eb782046d29c96845,BUY,2,2532.9,DELIVERY_T0,MARKET,2023-01-05 11:15:00+05:30,9e9d6b83adfd4c988556cc93d316944b,SELL,2.0,2521.35,DELIVERY_T0,MARKET,-23.1,-40.8,-0.46,-0.08,49959.200000000004,-0.08
2,NSE_EQ:RELIANCE,2023-01-06 09:15:00+05:30,ea93ee70ef2f4871918dbe488a1ac2ca,BUY,2,2526.65,DELIVERY_T0,MARKET,2023-01-06 10:15:00+05:30,e9f2fe35bc6b4831a58c2f15aa8e1c42,SELL,2.0,2534.6,DELIVERY_T0,MARKET,15.9,-24.9,0.31,-0.05,49975.100000000006,-0.05
3,NSE_EQ:RELIANCE,2023-01-11 10:15:00+05:30,691c4f228ef34b80b13805e97f6a1ce9,BUY,2,2544.95,DELIVERY_T0,MARKET,2023-01-11 11:15:00+05:30,80f9bfd2f90047d0bc0b00d1a59e178f,SELL,2.0,2538.35,DELIVERY_T0,MARKET,-13.2,-38.1,-0.26,-0.08,49961.90000000001,-0.08
4,NSE_EQ:RELIANCE,2023-01-16 09:15:00+05:30,3eaa8843a41b4d5585f3762f0108c02b,BUY,2,2449.95,DELIVERY_T2,LIMIT,2023-01-16 10:15:00+05:30,866c44e1391e4521aeca3e0072ae3ce3,SELL,2.0,2459.0,DELIVERY_T0,MARKET,18.1,-20.0,0.37,-0.04,49980.00000000001,-0.04
5,NSE_EQ:RELIANCE,2023-01-17 10:15:00+05:30,5764bc62178b49bba675beb39b250916,BUY,2,2464.6,DELIVERY_T0,MARKET,2023-01-17 11:15:00+05:30,b0ece09d151f43799a563c9cc23ee7f4,SELL,2.0,2458.3,DELIVERY_T0,MARKET,-12.6,-32.6,-0.26,-0.07,49967.40000000001,-0.07
6,NSE_EQ:RELIANCE,2023-01-20 09:15:00+05:30,1e882e8b0c494cbe8b5cbd962775d7dc,BUY,2,2475.2,DELIVERY_T1,LIMIT,2023-01-20 12:15:00+05:30,b14f5424253047918ee70acfd776a5c7,SELL,2.0,2459.9,DELIVERY_T0,MARKET,-30.6,-63.2,-0.62,-0.13,49936.80000000001,-0.13
7,NSE_EQ:RELIANCE,2023-01-20 12:15:00+05:30,e4660f5b94654c71905928e00366e2a1,BUY,2,2459.9,DELIVERY_T0,MARKET,2023-01-20 14:15:00+05:30,6fa3dfafd5a943e6ad0effbf79a7a811,SELL,2.0,2452.95,DELIVERY_T0,MARKET,-13.9,-77.1,-0.28,-0.15,49922.90000000001,-0.15
8,NSE_EQ:RELIANCE,2023-01-23 10:15:00+05:30,8429faa634224eaa8400ce8da67b4b3b,BUY,2,2456.05,DELIVERY_T0,MARKET,2023-01-23 11:15:00+05:30,15669c0b6ea2409e9cee9a6fadb233af,SELL,2.0,2443.3,DELIVERY_T0,MARKET,-25.5,-102.6,-0.52,-0.21,49897.40000000001,-0.21
9,NSE_EQ:RELIANCE,2023-01-24 11:15:00+05:30,a0e1fed9ec3a4f54b2a7d1d3ff34ae93,BUY,2,2428.1,DELIVERY_T0,MARKET,2023-01-24 14:15:00+05:30,2095552da41249d0af21498ab47812c9,SELL,2.0,2415.85,DELIVERY_T0,MARKET,-24.5,-127.1,-0.5,-0.25,49872.90000000001,-0.25
