,INST,EN_TIME,EN_ID,EN_TT,EN_Q,EN_PRICE,EN_CODE,EN_VAR,EX_TIME,EX_ID,EX_TT,EX_Q,EX_PRICE,EX_CODE,EX_VAR,P&L,ROI,P&L %,ROI %,Equity Curve,Drawdown %
0,NSE_EQ:RELIANCE,2023-01-02 10:15:00+05:30,60f024c9b0674e989280e41da694d6c2,BUY,2,2562.0,INTRADAY,MARKET,2023-01-02 15:30:00+05:30,389459868d7b42fbb42b98cfcfa2b8e1,SELL,2,2575.2,INTRADAY,MARKET,26.4,26.4,0.52,0.05,50026.4,0.0
1,NSE_EQ:RELIANCE,2023-01-03 12:15:00+05:30,fc09cd9a762c41f59488678665c6f883,SELL,2,2553.15,INTRADAY,MARKET,2023-01-03 15:30:00+05:30,0696223e1890481d897bed417775d591,BUY,2,2558.0,INTRADAY,MARKET,-9.7,16.7,-0.19,0.03,50016.700000000004,-0.02
2,NSE_EQ:RELIANCE,2023-01-05 10:15:00+05:30,79e3317de3044c4bac507e2c41f0b20c,BUY,2,2532.9,INTRADAY,MARKET,2023-01-05 11:15:00+05:30,41b0064a358840cfbb16568cb27ed204,SELL,2,2521.35,INTRADAY,MARKET,-23.1,-6.4,-0.46,-0.01,49993.600000000006,-0.07
3,NSE_EQ:RELIANCE,2023-01-05 11:15:00+05:30,66e582225d34436fbcd733237c23da56,SELL,2,2521.35,INTRADAY,MARKET,2023-01-05 15:30:00+05:30,5bf9def9964441da89b449868eb7e76f,BUY,2,2511.25,INTRADAY,MARKET,20.2,13.8,0.4,0.03,50013.8,-0.03
4,NSE_EQ:RELIANCE,2023-01-06 09:15:00+05:30,5830019a2a0741ffbf1386d2a8475f78,BUY,2,2526.65,INTRADAY,MARKET,2023-01-06 10:15:00+05:30,1ebd4a00d5ac497aba57cd8c304c0e20,SELL,2,2534.6,INTRADAY,MARKET,15.9,29.7,0.31,0.06,50029.700000000004,0.0
5,NSE_EQ:RELIANCE,2023-01-06 10:15:00+05:30,1b6f62de63c341f9b78d2175e70489d9,SELL,2,2534.6,INTRADAY,MARKET,2023-01-06 12:15:00+05:30,e0bdcdf8f9864b4dbba2eac9bd59240e,BUY,2,2539.35,INTRADAY,MARKET,-9.5,20.2,-0.19,0.04,50020.200000000004,-0.02
6,NSE_EQ:RELIANCE,2023-01-06 12:15:00+05:30,05b2f2c136cd45229a561fceb2d424a4,BUY,2,2539.35,INTRADAY,MARKET,2023-01-06 13:15:00+05:30,0e785fba4e3c4b5db697c5361c82f13b,SELL,2,2527.1,INTRADAY,MARKET,-24.5,-4.3,-0.48,-0.01,49995.700000000004,-0.07
7,NSE_EQ:RELIANCE,2023-01-06 13:15:00+05:30,c9da3ca912e94b0d81d3210a4c0afbd0,SELL,2,2527.1,INTRADAY,MARKET,2023-01-06 15:15:00+05:30,9c3dce8134a54ed69ed5250bca7693bd,BUY,2,2536.0,INTRADAY,MARKET,-17.8,-22.1,-0.35,-0.04,49977.9,-0.1
8,NSE_EQ:RELIANCE,2023-01-06 15:15:00+05:30,552449f39e714cd1b7321dee6d0a9f38,BUY,2,2536.0,INTRADAY,MARKET,2023-01-06 15:30:00+05:30,43de082e6311433bbad159032ec87f64,SELL,2,2536.0,INTRADAY,MARKET,0.0,-22.1,0.0,-0.04,49977.9,-0.1
9,NSE_EQ:RELIANCE,2023-01-10 10:15:00+05:30,31666fff905e4c13a6424670b4fe11db,SELL,2,2583.55,INTRADAY,MARKET,2023-01-10 15:30:00+05:30,dc83fb297c7f4e8794dea768c57a5984,BUY,2,2559.45,INTRADAY,MARKET,48.2,26.1,0.93,0.05,50026.1,-0.01
10,NSE_EQ:RELIANCE,2023-01-11 10:15:00+05:30,f63f1cd33589413cb922154b2d3d2b6e,BUY,2,2544.95,INTRADAY,MARKET,2023-01-11 11:15:00+05:30,67cae8a961c74c2ea087b14d021511e9,SELL,2,2538.35,INTRADAY,MARKET,-13.2,12.9,-0.26,0.03,50012.9,-0.03
11,NSE_EQ:RELIANCE,2023-01-11 11:15:00+05:30,f45d85d28d284b9e8905e63e3b86c142,SELL,2,2538.35,INTRADAY,MARKET,2023-01-11 15:30:00+05:30,8098ea6086184863b45a29734bca11bf,BUY,2,2523.75,INTRADAY,MARKET,29.2,42.1,0.58,0.08,50042.1,0.0
12,NSE_EQ:RELIANCE,2023-01-13 11:15:00+05:30,90dd0578e82e4009bbe36bcc58ffdb04,BUY,2,2449.95,INTRADAY,MARKET,2023-01-13 15:30:00+05:30,1a106bac5870433f987dc7f15ed6959e,SELL,2,2467.0,INTRADAY,MARKET,34.1,76.2,0.7,0.15,50076.2,0.0
13,NSE_EQ:RELIANCE,2023-01-16 10:15:00+05:30,0c4acf1cda744eb9b09d678d5553e484,SELL,2,2459.0,INTRADAY,MARKET,2023-01-16 15:30:00+05:30,9048d23ed294458787ae58c60da92f9e,BUY,2,2444.45,INTRADAY,MARKET,29.1,105.3,0.59,0.21,50105.299999999996,0.0
14,NSE_EQ:RELIANCE,2023-01-17 10:15:00+05:30,7d0bcb3ef1a04e4d91670420b2bc9ba6,BUY,2,2464.6,INTRADAY,MARKET,2023-01-17 11:15:00+05:30,3f21fa521dc24808a7dd35f7b0e906f1,SELL,2,2458.3,INTRADAY,MARKET,-12.6,92.7,-0.26,0.19,50092.7,-0.03
15,NSE_EQ:RELIANCE,2023-01-17 11:15:00+05:30,c975258c0d404b9f94da6a3714c6b3cc,SELL,2,2458.3,INTRADAY,MARKET,2023-01-17 12:15:00+05:30,1015c11b980a44a0b3e9716838084df9,BUY,2,2469.7,INTRADAY,MARKET,-22.8,69.9,-0.46,0.14,50069.899999999994,-0.07
