,INST,EN_TIME,EN_ID,EN_TT,EN_Q,EN_PRICE,EN_CODE,EN_VAR,EX_TIME,EX_ID,EX_TT,EX_Q,EX_PRICE,EX_CODE,EX_VAR,P&L,ROI,P&L %,ROI %,Equity Curve,Drawdown %
0,NSE_EQ:TATAPOWER,2023-01-04 15:15:00+05:30,afa822d44e254e3ca7e10f7564fc5560,BUY,2,207.95,INTRADAY,MARKET,2023-01-04 15:30:00+05:30,b267aee370064bca9d05c4a641e02503,SELL,2,207.95,INTRADAY,MARKET,0.0,0.0,0.0,0.0,50000.0,0.0
1,NSE_EQ:TATAPOWER,2023-01-05 09:15:00+05:30,b6cb8e28ec86428d98dd39c373549222,BUY,2,209.6,INTRADAY,MARKET,2023-01-05 10:15:00+05:30,23b422385e924cbc93d871477ede5042,SELL,2,208.45,INTRADAY,MARKET,-2.3,-2.3,-0.55,-0.0,49997.7,-0.0
2,NSE_EQ:TATAPOWER,2023-01-05 10:15:00+05:30,c628027ce01b45568d8597e3b0cec40d,SELL,2,208.45,INTRADAY,MARKET,2023-01-05 15:15:00+05:30,f9417e318cfa414c816af18417ac4d52,BUY,2,207.8,INTRADAY,MARKET,1.3,-1.0,0.31,-0.0,49999.0,-0.0
3,NSE_EQ:TATAPOWER,2023-01-05 15:15:00+05:30,6003cb133901482abc5e305ffc9b7850,BUY,2,207.8,INTRADAY,MARKET,2023-01-05 15:30:00+05:30,3b641ace9b9a4d1b814a41784c153113,SELL,2,207.8,INTRADAY,MARKET,0.0,-1.0,0.0,-0.0,49999.0,-0.0
4,NSE_EQ:TATAPOWER,2023-01-06 09:15:00+05:30,bf3ba21529a64a798df7ff653324ea80,SELL,2,207.6,INTRADAY,MARKET,2023-01-06 15:30:00+05:30,2638f4b7c9814504b8e66690e1edf74d,BUY,2,205.55,INTRADAY,MARKET,4.1,3.1,0.99,0.01,50003.1,0.0
5,NSE_EQ:TATAPOWER,2023-01-09 09:15:00+05:30,8073d383f39a45e3bebd485645ed0ec6,SELL,2,206.45,INTRADAY,MARKET,2023-01-09 15:30:00+05:30,843bbdd99fe54f89aa06c226a232e8b6,BUY,2,206.2,INTRADAY,MARKET,0.5,3.6,0.12,0.01,50003.6,0.0
6,NSE_EQ:TATAPOWER,2023-01-10 09:15:00+05:30,24460d5b9921445fac431b34ea9e6d19,SELL,2,206.65,INTRADAY,MARKET,2023-01-10 15:30:00+05:30,de5b9c39908d4965b56243502c1b75f2,BUY,2,206.15,INTRADAY,MARKET,1.0,4.6,0.24,0.01,50004.6,0.0
7,NSE_EQ:TATAPOWER,2023-01-11 09:15:00+05:30,c27df235063d4a8490851a403ca1ad58,SELL,2,206.85,INTRADAY,MARKET,2023-01-11 15:30:00+05:30,8f7328b33a98463eb9d4728ee9c53c78,BUY,2,205.6,INTRADAY,MARKET,2.5,7.1,0.6,0.01,50007.1,0.0
8,NSE_EQ:TATAPOWER,2023-01-12 09:15:00+05:30,5068e0773f23447e8beb88ae090ed664,SELL,2,206.4,INTRADAY,MARKET,2023-01-12 15:30:00+05:30,552664087ac3458a81c919302542ac67,BUY,2,205.7,INTRADAY,MARKET,1.4,8.5,0.34,0.02,50008.5,0.0
9,NSE_EQ:TATAPOWER,2023-01-13 09:15:00+05:30,4064feea6e6f43be91b5652b6014496a,SELL,2,205.7,INTRADAY,MARKET,2023-01-13 15:30:00+05:30,5d6591b5eb504e4099d44607b2f9cd68,BUY,2,206.35,INTRADAY,MARKET,-1.3,7.2,-0.32,0.01,50007.2,-0.0
10,NSE_EQ:TATAPOWER,2023-01-16 09:15:00+05:30,57134d32052b43d58ae5b2b4076923a2,SELL,2,207.3,INTRADAY,MARKET,2023-01-16 15:30:00+05:30,efbb4cf9c1eb482cab5a04d55908b120,BUY,2,207.0,INTRADAY,MARKET,0.6,7.8,0.14,0.02,50007.799999999996,-0.0
11,NSE_EQ:TATAPOWER,2023-01-17 09:15:00+05:30,a3f67b109b1f40d18f85a604c8f3133c,SELL,2,206.9,INTRADAY,MARKET,2023-01-17 15:30:00+05:30,e0d61833262f4d898fc1702001a79eb8,BUY,2,207.75,INTRADAY,MARKET,-1.7,6.1,-0.41,0.01,50006.1,-0.0
12,NSE_EQ:TATAPOWER,2023-01-18 09:15:00+05:30,02e00ea2a75c43699b095dc41b92e3d1,SELL,2,207.65,INTRADAY,MARKET,2023-01-18 15:30:00+05:30,7e61709316254707a9d3fe60de0ec868,BUY,2,207.5,INTRADAY,MARKET,0.3,6.4,0.07,0.01,50006.4,-0.0
13,NSE_EQ:TATAPOWER,2023-01-19 09:15:00+05:30,28aa25dc1248424b9ca1be7de035c748,SELL,2,206.95,INTRADAY,MARKET,2023-01-19 15:30:00+05:30,5737904fcb8e484684ab81e5e2e27f9a,BUY,2,205.3,INTRADAY,MARKET,3.3,9.7,0.8,0.02,50009.700000000004,0.0
14,NSE_EQ:TATAPOWER,2023-01-20 09:15:00+05:30,9a212ef554d0414db0ff2394f70e6297,SELL,2,205.35,INTRADAY,MARKET,2023-01-20 15:30:00+05:30,a4b04e5781c94748a16ff645b4b64724,BUY,2,207.35,INTRADAY,MARKET,-4.0,5.7,-0.97,0.01,50005.700000000004,-0.01
15,NSE_EQ:TATAPOWER,2023-01-23 09:15:00+05:30,9d1e67723c674b2fb4f868b21b00ee5b,SELL,2,207.75,INTRADAY,MARKET,2023-01-23 15:30:00+05:30,a8ceab0c7f9647b781c0954f36219513,BUY,2,206.95,INTRADAY,MARKET,1.6,7.3,0.39,0.01,50007.3,-0.0
16,NSE_EQ:TATAPOWER,2023-01-24 09:15:00+05:30,c43c17d41701492e855fc81b25fdf7d9,SELL,2,207.05,INTRADAY,MARKET,2023-01-24 15:30:00+05:30,0bb8af910f3b401b98acdd4ad65e9f93,BUY,2,205.7,INTRADAY,MARKET,2.7,10.0,0.65,0.02,50010.0,0.0
17,NSE_EQ:TATAPOWER,2023-01-25 09:15:00+05:30,c7809cd6f170470db9a26cd1fedeb1ff,SELL,2,205.85,INTRADAY,MARKET,2023-01-25 15:30:00+05:30,0eea5ddebe414fc3b37a1d87940b042a,BUY,2,201.45,INTRADAY,MARKET,8.8,18.8,2.14,0.04,50018.8,0.0
18,NSE_EQ:TATAPOWER,2023-01-27 09:15:00+05:30,3916248aef3b490d98e80cbffbe45a04,SELL,2,202.5,INTRADAY,MARKET,2023-01-27 11:15:00+05:30,f04baa3fce34483fa44cd377f8b1a8a4,BUY,2,200.3,INTRADAY,MARKET,4.4,23.2,1.09,0.05,50023.200000000004,0.0
19,NSE_EQ:TATAPOWER,2023-01-27 11:15:00+05:30,9057e2142e4141498b2d85df77006f69,BUY,2,200.3,INTRADAY,MARKET,2023-01-27 15:30:00+05:30,40b466186a0b4b1080ed74d5f9c64e00,SELL,2,202.1,INTRADAY,MARKET,3.6,26.8,0.9,0.05,50026.8,0.0
20,NSE_EQ:TATAPOWER,2023-01-30 09:15:00+05:30,0141556d17794406bf2e8b80915a52f7,BUY,2,203.45,INTRADAY,MARKET,2023-01-30 15:30:00+05:30,fb0bddd874e04f4eb9dbf71fb1f3f52e,SELL,2,204.3,INTRADAY,MARKET,1.7,28.5,0.42,0.06,50028.5,0.0
21,NSE_EQ:TATAPOWER,2023-01-31 09:15:00+05:30,11e5c05f32024050888500487437e67e,BUY,2,205.5,INTRADAY,MARKET,2023-01-31 15:30:00+05:30,c386dfc5f0e04ddcaaf5fe33e9ed6665,SELL,2,213.0,INTRADAY,MARKET,15.0,43.5,3.65,0.09,50043.5,0.0
22,NSE_EQ:TATAPOWER,2023-02-01 09:15:00+05:30,13410401a5d04417bef933149ea99ea0,BUY,2,214.9,INTRADAY,MARKET,2023-02-01 15:30:00+05:30,49663fd015cb48aeb4b816c5d82b1e8c,SELL,2,205.7,INTRADAY,MARKET,-18.4,25.1,-4.28,0.05,50025.1,-0.04
23,NSE_EQ:TATAPOWER,2023-02-02 09:15:00+05:30,34aeac1dc1fe4460ac2d5ca9a1875c6a,BUY,2,204.95,INTRADAY,MARKET,2023-02-02 15:30:00+05:30,6251f44db92941f39f373e41a5213187,SELL,2,206.0,INTRADAY,MARKET,2.1,27.2,0.51,0.05,50027.2,-0.03
24,NSE_EQ:TATAPOWER,2023-02-03 09:15:00+05:30,eb76d4e7aa8b420cac23c1fbc57fcf83,BUY,2,207.5,INTRADAY,MARKET,2023-02-03 15:30:00+05:30,7579459acbd64acd8cb15a3ad02989f1,SELL,2,205.2,INTRADAY,MARKET,-4.6,22.6,-1.11,0.05,50022.6,-0.04
25,NSE_EQ:TATAPOWER,2023-02-06 09:15:00+05:30,278304d2ca474605b7cee9b2d8be7347,BUY,2,209.0,INTRADAY,MARKET,2023-02-06 15:30:00+05:30,20eaeaec2bd043499f5467c61e2c7b61,SELL,2,208.65,INTRADAY,MARKET,-0.7,21.9,-0.17,0.04,50021.9,-0.04
26,NSE_EQ:TATAPOWER,2023-02-07 09:15:00+05:30,2808a37492ad4ae986814c96ae71811c,BUY,2,209.5,INTRADAY,MARKET,2023-02-07 15:30:00+05:30,bc255e3f9933405a88edd519a96ed64e,SELL,2,206.25,INTRADAY,MARKET,-6.5,15.4,-1.55,0.03,50015.4,-0.06
27,NSE_EQ:TATAPOWER,2023-02-08 09:15:00+05:30,63c267b6799143158685de4c8cc420b9,BUY,2,206.3,INTRADAY,MARKET,2023-02-08 15:30:00+05:30,618110e4a3bd49ddb1a5710c51714274,SELL,2,207.05,INTRADAY,MARKET,1.5,16.9,0.36,0.03,50016.9,-0.05
28,NSE_EQ:TATAPOWER,2023-02-09 09:15:00+05:30,15dfe886cbb640679cd75ca29caf547a,BUY,2,207.2,INTRADAY,MARKET,2023-02-09 15:30:00+05:30,bae656cb5cc64483940e52dd4085aa34,SELL,2,205.6,INTRADAY,MARKET,-3.2,13.7,-0.77,0.03,50013.700000000004,-0.06
29,NSE_EQ:TATAPOWER,2023-02-10 09:15:00+05:30,ec09133825ea48cd85a85974665e531d,BUY,2,205.5,INTRADAY,MARKET,2023-02-10 14:15:00+05:30,da406c88cc8b43568d0147145c6a5da1,SELL,2,205.05,INTRADAY,MARKET,-0.9,12.8,-0.22,0.03,50012.8,-0.06
30,NSE_EQ:TATAPOWER,2023-02-10 14:15:00+05:30,818289410dcc42178ce7f0d2e820b3ef,SELL,2,205.05,INTRADAY,MARKET,2023-02-10 15:30:00+05:30,8f9f34806fac40f1a5eaf7edfeca4cf6,BUY,2,204.9,INTRADAY,MARKET,0.3,13.1,0.07,0.03,50013.100000000006,-0.06
31,NSE_EQ:TATAPOWER,2023-02-13 09:15:00+05:30,98c737e7e2884d709363d832d0d24c50,SELL,2,205.3,INTRADAY,MARKET,2023-02-13 15:30:00+05:30,d40ad50a9d244e1887b676e8ab7146f8,BUY,2,203.6,INTRADAY,MARKET,3.4,16.5,0.83,0.03,50016.50000000001,-0.05
32,NSE_EQ:TATAPOWER,2023-02-14 09:15:00+05:30,739e28cc13c9432db8db1c23829f1eb0,SELL,2,203.7,INTRADAY,MARKET,2023-02-14 15:30:00+05:30,66329b681d57443689458c828d76e7f7,BUY,2,203.1,INTRADAY,MARKET,1.2,17.7,0.29,0.04,50017.700000000004,-0.05
33,NSE_EQ:TATAPOWER,2023-02-15 09:15:00+05:30,7047a97db4e7485a8747b11d74136703,SELL,2,202.65,INTRADAY,MARKET,2023-02-15 15:30:00+05:30,a43c880f832b4573b0b51eabd0460243,BUY,2,205.1,INTRADAY,MARKET,-4.9,12.8,-1.21,0.03,50012.8,-0.06
34,NSE_EQ:TATAPOWER,2023-02-16 09:15:00+05:30,79fdb4affa2341529ff77e7b1f5ac8a6,SELL,2,205.6,INTRADAY,MARKET,2023-02-16 15:30:00+05:30,59eb9897f5a849869642d97f26f504ce,BUY,2,205.25,INTRADAY,MARKET,0.7,13.5,0.17,0.03,50013.5,-0.06
35,NSE_EQ:TATAPOWER,2023-02-17 09:15:00+05:30,cb2a6e45903149a694835880ebeaaf83,SELL,2,204.5,INTRADAY,MARKET,2023-02-17 15:30:00+05:30,cbe8b5ddcef44f729a0c0fb6c65e618b,BUY,2,204.7,INTRADAY,MARKET,-0.4,13.1,-0.1,0.03,50013.1,-0.06
36,NSE_EQ:TATAPOWER,2023-02-20 09:15:00+05:30,2e8039c688c54d9eb85a1eda700c681e,SELL,2,204.8,INTRADAY,MARKET,2023-02-20 15:30:00+05:30,1963ad0499fe4c74bff0f24b1fb05de0,BUY,2,203.9,INTRADAY,MARKET,1.8,14.9,0.44,0.03,50014.9,-0.06
37,NSE_EQ:TATAPOWER,2023-02-21 09:15:00+05:30,b20a3c55c50641fe9b5f128de3883796,SELL,2,204.85,INTRADAY,MARKET,2023-02-21 15:30:00+05:30,b124c5843d1e456fad43f5a91769d867,BUY,2,208.2,INTRADAY,MARKET,-6.7,8.2,-1.64,0.02,50008.200000000004,-0.07
38,NSE_EQ:TATAPOWER,2023-02-22 09:15:00+05:30,46c0e8c3cda84e7cb99b30fda431c41b,SELL,2,207.55,INTRADAY,MARKET,2023-02-22 15:30:00+05:30,9ad1a2e60ce640bbabfe9f17443bed7a,BUY,2,202.3,INTRADAY,MARKET,10.5,18.7,2.53,0.04,50018.700000000004,-0.05
39,NSE_EQ:TATAPOWER,2023-02-23 09:15:00+05:30,02c6d58f4181418689b8a6e4e6d2e71a,SELL,2,202.8,INTRADAY,MARKET,2023-02-23 15:30:00+05:30,8bfb38d55a414f6396b6cd910527d501,BUY,2,201.15,INTRADAY,MARKET,3.3,22.0,0.81,0.04,50022.00000000001,-0.04
40,NSE_EQ:TATAPOWER,2023-02-24 09:15:00+05:30,993efedd12424cf08af86a417e0bb3fd,SELL,2,201.9,INTRADAY,MARKET,2023-02-24 15:30:00+05:30,d4817bcc231f434c8dd05a2c48e65e6e,BUY,2,202.35,INTRADAY,MARKET,-0.9,21.1,-0.22,0.04,50021.100000000006,-0.04
