,INST,EN_TIME,EN_ID,EN_TT,EN_Q,EN_PRICE,EN_CODE,EN_VAR,EX_TIME,EX_ID,EX_TT,EX_Q,EX_PRICE,EX_CODE,EX_VAR,P&L,ROI,P&L %,ROI %,Equity Curve,Drawdown %
0,NSE_EQ:TATAPOWER,2023-01-05 09:15:00+05:30,a98fe2c5840e462496d7dc88058ff8ed,BUY,2,207.95,DELIVERY_T1,LIMIT,2023-01-05 09:15:00+05:30,b03a5f0121674fbdb625ac28b84593c8,SELL,2.0,209.6,DELIVERY_T0,MARKET,3.3,3.3,0.79,0.01,50003.3,0.0
1,NSE_EQ:TATAPOWER,2023-01-05 09:15:00+05:30,858c90a7c080474280898a0aae0d16cb,BUY,2,209.6,DELIVERY_T0,MARKET,2023-01-05 10:15:00+05:30,be57949c37cf4d0e825e066802e526a2,SELL,2.0,208.45,DELIVERY_T0,MARKET,-2.3,1.0,-0.55,0.0,50001.0,-0.0
2,NSE_EQ:TATAPOWER,2023-01-31 09:15:00+05:30,ef2aef77dfb44298aaadc20be1055683,BUY,2,203.45,DELIVERY_T1,LIMIT,2023-01-31 09:15:00+05:30,f10900c0bd1c499bb904c8b6c5d34cce,SELL,2.0,205.5,DELIVERY_T0,MARKET,4.1,5.1,1.01,0.01,50005.1,0.0
3,NSE_EQ:TATAPOWER,2023-02-01 09:15:00+05:30,0ef8f3ca161b4a9faadeb4b27186339e,BUY,2,205.5,DELIVERY_T1,LIMIT,2023-02-01 09:15:00+05:30,cec82eb39fc04678b86b7781a1b3a572,SELL,2.0,214.9,DELIVERY_T0,MARKET,18.8,23.9,4.57,0.05,50023.9,0.0
4,NSE_EQ:TATAPOWER,2023-02-02 09:15:00+05:30,02154cca9f3c4224b05be5c6c10c8149,BUY,2,214.9,DELIVERY_T1,LIMIT,2023-02-02 09:15:00+05:30,23e52b233a334a8aa2110ea504963616,SELL,2.0,204.95,DELIVERY_T0,MARKET,-19.9,4.0,-4.63,0.01,50004.0,-0.04
5,NSE_EQ:TATAPOWER,2023-02-03 09:15:00+05:30,b074c3f479984ce7b680a6f8d96c934d,BUY,2,204.95,DELIVERY_T1,LIMIT,2023-02-03 09:15:00+05:30,cf3069146a2b4ae1974a2d5d5e69e965,SELL,2.0,207.5,DELIVERY_T0,MARKET,5.1,9.1,1.24,0.02,50009.1,-0.03
6,NSE_EQ:TATAPOWER,2023-02-06 09:15:00+05:30,42f3ff321dbf4913991b53832cd99651,BUY,2,207.5,DELIVERY_T2,LIMIT,2023-02-06 09:15:00+05:30,d71ae939653842ac910a513b947f0463,SELL,2.0,209.0,DELIVERY_T0,MARKET,3.0,12.1,0.72,0.02,50012.1,-0.02
7,NSE_EQ:TATAPOWER,2023-02-07 09:15:00+05:30,41314e047a2b41308312652b0d61448e,BUY,2,209.0,DELIVERY_T1,LIMIT,2023-02-07 09:15:00+05:30,79d4040ce54d46c4b662eed7e1c0233d,SELL,2.0,209.5,DELIVERY_T0,MARKET,1.0,13.1,0.24,0.03,50013.1,-0.02
8,NSE_EQ:TATAPOWER,2023-02-08 09:15:00+05:30,fc89a60e4ab34212a822a6234cca2af0,BUY,2,209.5,DELIVERY_T1,LIMIT,2023-02-08 09:15:00+05:30,2fa7ef41abd145a885c8a6899b264edd,SELL,2.0,206.3,DELIVERY_T0,MARKET,-6.4,6.7,-1.53,0.01,50006.7,-0.03
9,NSE_EQ:TATAPOWER,2023-02-09 09:15:00+05:30,8deaba41de814c139f6cd8db5fbf2b3d,BUY,2,206.3,DELIVERY_T1,LIMIT,2023-02-09 09:15:00+05:30,16a8965bfbab43afae7659cf09017b20,SELL,2.0,207.2,DELIVERY_T0,MARKET,1.8,8.5,0.44,0.02,50008.5,-0.03
10,NSE_EQ:TATAPOWER,2023-02-10 09:15:00+05:30,bd87e83f169641e68e641a2d060e68d0,BUY,2,207.2,DELIVERY_T1,LIMIT,2023-02-10 09:15:00+05:30,07189e0065fe4684958036e0bd1ac2aa,SELL,2.0,205.5,DELIVERY_T0,MARKET,-3.4,5.1,-0.82,0.01,50005.1,-0.04
11,NSE_EQ:TATAPOWER,2023-02-10 09:15:00+05:30,4c330629e55041f3bb3b8c4595ce9d54,BUY,2,205.5,DELIVERY_T0,MARKET,2023-02-10 14:15:00+05:30,f758440a0ca74bc79e47a97a52553adc,SELL,2.0,205.05,DELIVERY_T0,MARKET,-0.9,4.2,-0.22,0.01,50004.2,-0.04
12,NSE_EQ:TATAPOWER,2023-01-04 15:15:00+05:30,8b6b5434dd3c4f36a8bdc08f2d6c1ebb,BUY,2,207.95,DELIVERY_T0,MARKET,,,,,,,,,,,,,
13,NSE_EQ:TATAPOWER,2023-01-30 09:15:00+05:30,f1d8b88857b24431a5d88fbe9a46a574,BUY,2,203.45,DELIVERY_T0,MARKET,,,,,,,,,,,,,
14,NSE_EQ:TATAPOWER,2023-01-31 09:15:00+05:30,dc8547536c9448e3b0a367695c0f05f4,BUY,2,205.5,DELIVERY_T0,MARKET,,,,,,,,,,,,,
15,NSE_EQ:TATAPOWER,2023-02-01 09:15:00+05:30,9bd68c78541c4d0f9d1411f3c99fbe94,BUY,2,214.9,DELIVERY_T0,MARKET,,,,,,,,,,,,,
