,INST,EN_TIME,EN_ID,EN_TT,EN_Q,EN_PRICE,EN_CODE,EN_VAR,EX_TIME,EX_ID,EX_TT,EX_Q,EX_PRICE,EX_CODE,EX_VAR,P&L,ROI,P&L %,ROI %,Equity Curve,Drawdown %
0,NSE_EQ:TATAPOWER,2023-01-04 15:15:00+05:30,8837cd60adf74f208201c5feaed4cd66,BUY,2,207.95,INTRADAY,MARKET,2023-01-04 15:30:00+05:30,cce136688d764ca5bf2e4b67aff70796,SELL,2,207.95,INTRADAY,MARKET,0.0,0.0,0.0,0.0,50000.0,0.0
1,NSE_EQ:TATAPOWER,2023-01-05 09:15:00+05:30,3bec7da0a1864eee9239266b2c0a6421,BUY,2,209.6,INTRADAY,MARKET,2023-01-05 10:15:00+05:30,63312646f29d4f048103cb0d2d9981b3,SELL,2,208.45,INTRADAY,MARKET,-2.3,-2.3,-0.55,-0.0,49997.7,-0.0
2,NSE_EQ:TATAPOWER,2023-01-05 10:15:00+05:30,a0cf7a5b9350412ebc35c71f7f76abc3,SELL,2,208.45,INTRADAY,MARKET,2023-01-05 15:15:00+05:30,ce094b4b04b64938baba9b5e5a8da212,BUY,2,207.8,INTRADAY,MARKET,1.3,-1.0,0.31,-0.0,49999.0,-0.0
3,NSE_EQ:TATAPOWER,2023-01-05 15:15:00+05:30,c92d34ded9474aaeab9377523f575a99,BUY,2,207.8,INTRADAY,MARKET,2023-01-05 15:30:00+05:30,8bd2cc18a3904107849a3371a946987b,SELL,2,207.8,INTRADAY,MARKET,0.0,-1.0,0.0,-0.0,49999.0,-0.0
4,NSE_EQ:TATAPOWER,2023-01-06 09:15:00+05:30,35d0c0f4d699489bad70805a2f92e8ae,SELL,2,207.6,INTRADAY,MARKET,2023-01-06 15:30:00+05:30,e36bd4624a62433ebbfe2b2e874be29e,BUY,2,205.55,INTRADAY,MARKET,4.1,3.1,0.99,0.01,50003.1,0.0
5,NSE_EQ:TATAPOWER,2023-01-09 09:15:00+05:30,aad50298054a4546835f00929919a888,SELL,2,206.45,INTRADAY,MARKET,2023-01-09 15:30:00+05:30,54a0d7cbfcd84b7a83feaa0372b5dbbc,BUY,2,206.2,INTRADAY,MARKET,0.5,3.6,0.12,0.01,50003.6,0.0
6,NSE_EQ:TATAPOWER,2023-01-10 09:15:00+05:30,bd9bdc894caa4a6a8538a9192a85168a,SELL,2,206.65,INTRADAY,MARKET,2023-01-10 15:30:00+05:30,c4b4072301cb419b85162102810c6dd0,BUY,2,206.15,INTRADAY,MARKET,1.0,4.6,0.24,0.01,50004.6,0.0
7,NSE_EQ:TATAPOWER,2023-01-11 09:15:00+05:30,4ea9a6b228f549c487d28e2f510bc495,SELL,2,206.85,INTRADAY,MARKET,2023-01-11 15:30:00+05:30,3fc9711ab6474b689c440ea97bed6a15,BUY,2,205.6,INTRADAY,MARKET,2.5,7.1,0.6,0.01,50007.1,0.0
8,NSE_EQ:TATAPOWER,2023-01-12 09:15:00+05:30,bdf4ab8e7b7a41839d4cd97a97ff0bcb,SELL,2,206.4,INTRADAY,MARKET,2023-01-12 15:30:00+05:30,7005e32af8f94fe49da237ab75400049,BUY,2,205.7,INTRADAY,MARKET,1.4,8.5,0.34,0.02,50008.5,0.0
9,NSE_EQ:TATAPOWER,2023-01-13 09:15:00+05:30,392465e307a0412586b166260dd196ce,SELL,2,205.7,INTRADAY,MARKET,2023-01-13 15:30:00+05:30,b2060cdd278843df864a715a2b53a1a0,BUY,2,206.35,INTRADAY,MARKET,-1.3,7.2,-0.32,0.01,50007.2,-0.0
10,NSE_EQ:TATAPOWER,2023-01-16 09:15:00+05:30,9e4a8101a465451690b8089b8fc5ef29,SELL,2,207.3,INTRADAY,MARKET,2023-01-16 15:30:00+05:30,f319a0877cab451eb81bee89e4196712,BUY,2,207.0,INTRADAY,MARKET,0.6,7.8,0.14,0.02,50007.799999999996,-0.0
11,NSE_EQ:TATAPOWER,2023-01-17 09:15:00+05:30,32d3a1cb84b140cfbf2d42ac89f4142b,SELL,2,206.9,INTRADAY,MARKET,2023-01-17 15:30:00+05:30,0548560911354a1f8792a418d15a1eda,BUY,2,207.75,INTRADAY,MARKET,-1.7,6.1,-0.41,0.01,50006.1,-0.0
12,NSE_EQ:TATAPOWER,2023-01-18 09:15:00+05:30,b312fd1d29314401a780d4b0af4d241a,SELL,2,207.65,INTRADAY,MARKET,2023-01-18 15:30:00+05:30,0fa893f960884f328fe0e73de29a8a8b,BUY,2,207.5,INTRADAY,MARKET,0.3,6.4,0.07,0.01,50006.4,-0.0
13,NSE_EQ:TATAPOWER,2023-01-19 09:15:00+05:30,655fe051ac874422b389ce08adec8d9a,SELL,2,206.95,INTRADAY,MARKET,2023-01-19 15:30:00+05:30,3cd1b369cb3b4a4dae9689b91f16e3e6,BUY,2,205.3,INTRADAY,MARKET,3.3,9.7,0.8,0.02,50009.700000000004,0.0
14,NSE_EQ:TATAPOWER,2023-01-20 09:15:00+05:30,cf3560e92cac436e9ef969f2a96b72bb,SELL,2,205.35,INTRADAY,MARKET,2023-01-20 15:30:00+05:30,13d55e8c9dc643f483c3f63b8e38e601,BUY,2,207.35,INTRADAY,MARKET,-4.0,5.7,-0.97,0.01,50005.700000000004,-0.01
15,NSE_EQ:TATAPOWER,2023-01-23 09:15:00+05:30,caeefb38775c4e1fba536bc9bda8c098,SELL,2,207.75,INTRADAY,MARKET,2023-01-23 15:30:00+05:30,1a4a077b20e74b649620d880adee94cc,BUY,2,206.95,INTRADAY,MARKET,1.6,7.3,0.39,0.01,50007.3,-0.0
16,NSE_EQ:TATAPOWER,2023-01-24 09:15:00+05:30,29097ac82eac4bd5b810da3293ff4433,SELL,2,207.05,INTRADAY,MARKET,2023-01-24 15:30:00+05:30,311b690288cf49249da367416c159699,BUY,2,205.7,INTRADAY,MARKET,2.7,10.0,0.65,0.02,50010.0,0.0
17,NSE_EQ:TATAPOWER,2023-01-25 09:15:00+05:30,85cb922d199a4347a8d8aa310714e3c4,SELL,2,205.85,INTRADAY,MARKET,2023-01-25 15:30:00+05:30,3a63e58b95594f39a76f7bbc4bf8f4e3,BUY,2,201.45,INTRADAY,MARKET,8.8,18.8,2.14,0.04,50018.8,0.0
18,NSE_EQ:TATAPOWER,2023-01-27 09:15:00+05:30,c6901077ffb5441d8c1c1c2d380e6bbb,SELL,2,202.5,INTRADAY,MARKET,2023-01-27 11:15:00+05:30,8cdd4810f9554452af508f1cf219ef50,BUY,2,200.3,INTRADAY,MARKET,4.4,23.2,1.09,0.05,50023.200000000004,0.0
19,NSE_EQ:TATAPOWER,2023-01-27 11:15:00+05:30,cf0af924fe7c41328102f14ec4482264,BUY,2,200.3,INTRADAY,MARKET,2023-01-27 15:30:00+05:30,486adafba3db42518f3c7c4ffb15d1c0,SELL,2,202.1,INTRADAY,MARKET,3.6,26.8,0.9,0.05,50026.8,0.0
20,NSE_EQ:TATAPOWER,2023-01-30 09:15:00+05:30,520b19c4b27e4cceb3067b8bcfed6908,BUY,2,203.45,INTRADAY,MARKET,2023-01-30 15:30:00+05:30,dc894658f1484acc9f7d35d4861acfcc,SELL,2,204.3,INTRADAY,MARKET,1.7,28.5,0.42,0.06,50028.5,0.0
21,NSE_EQ:TATAPOWER,2023-01-31 09:15:00+05:30,d393a6bcd52549e89d1377f5bb46069d,BUY,2,205.5,INTRADAY,MARKET,2023-01-31 15:30:00+05:30,cf0b034f90094a08b3f32fc4736901ca,SELL,2,213.0,INTRADAY,MARKET,15.0,43.5,3.65,0.09,50043.5,0.0
22,NSE_EQ:TATAPOWER,2023-02-01 09:15:00+05:30,fe98c6ed9fbe410c8d689532553a3c25,BUY,2,214.9,INTRADAY,MARKET,2023-02-01 15:30:00+05:30,e0b1494824e94d09a911d1900565430b,SELL,2,205.7,INTRADAY,MARKET,-18.4,25.1,-4.28,0.05,50025.1,-0.04
23,NSE_EQ:TATAPOWER,2023-02-02 09:15:00+05:30,445a289a38384eabae72ff205fe15b28,BUY,2,204.95,INTRADAY,MARKET,2023-02-02 15:30:00+05:30,8fe3f36e4e1d45fb8d9baa8466e5ed4c,SELL,2,206.0,INTRADAY,MARKET,2.1,27.2,0.51,0.05,50027.2,-0.03
24,NSE_EQ:TATAPOWER,2023-02-03 09:15:00+05:30,8545aa6e17a5481f82198d237595641f,BUY,2,207.5,INTRADAY,MARKET,2023-02-03 15:30:00+05:30,3dc3000d236545b5a059db61993f7958,SELL,2,205.2,INTRADAY,MARKET,-4.6,22.6,-1.11,0.05,50022.6,-0.04
25,NSE_EQ:TATAPOWER,2023-02-06 09:15:00+05:30,3128fa0d3a6c4c31bc091420df11c5b7,BUY,2,209.0,INTRADAY,MARKET,2023-02-06 15:30:00+05:30,9444f8a196ca4c52b29a0550bfffffe2,SELL,2,208.65,INTRADAY,MARKET,-0.7,21.9,-0.17,0.04,50021.9,-0.04
26,NSE_EQ:TATAPOWER,2023-02-07 09:15:00+05:30,f27df5cd0ce542d38b8113a82dcc3fbc,BUY,2,209.5,INTRADAY,MARKET,2023-02-07 15:30:00+05:30,a7e1bbede84e47b0a28b88105ab14854,SELL,2,206.25,INTRADAY,MARKET,-6.5,15.4,-1.55,0.03,50015.4,-0.06
27,NSE_EQ:TATAPOWER,2023-02-08 09:15:00+05:30,f386361b1ab242efaaf8b27ea57027b7,BUY,2,206.3,INTRADAY,MARKET,2023-02-08 15:30:00+05:30,998044654da14bdaa2c35467be2aa280,SELL,2,207.05,INTRADAY,MARKET,1.5,16.9,0.36,0.03,50016.9,-0.05
28,NSE_EQ:TATAPOWER,2023-02-09 09:15:00+05:30,79042f658dd74156a07ba95184beb04f,BUY,2,207.2,INTRADAY,MARKET,2023-02-09 15:30:00+05:30,2f2b8b9c93e14e6ca5a5f2ebdae22cdc,SELL,2,205.6,INTRADAY,MARKET,-3.2,13.7,-0.77,0.03,50013.700000000004,-0.06
29,NSE_EQ:TATAPOWER,2023-02-10 09:15:00+05:30,9674dd94c71e4d1a893018a080390251,BUY,2,205.5,INTRADAY,MARKET,2023-02-10 14:15:00+05:30,87ccaf9d7c1c49ac9e3b532bf2ef935d,SELL,2,205.05,INTRADAY,MARKET,-0.9,12.8,-0.22,0.03,50012.8,-0.06
30,NSE_EQ:TATAPOWER,2023-02-10 14:15:00+05:30,5069ad160b3e48f991ef5627c219c3f4,SELL,2,205.05,INTRADAY,MARKET,2023-02-10 15:30:00+05:30,1f5320464880441dbf83229274be4461,BUY,2,204.9,INTRADAY,MARKET,0.3,13.1,0.07,0.03,50013.100000000006,-0.06
31,NSE_EQ:TATAPOWER,2023-02-13 09:15:00+05:30,0cdeec85deff42018823f400b83686a1,SELL,2,205.3,INTRADAY,MARKET,2023-02-13 15:30:00+05:30,b0571db4cd834f4bb7b8324b394df03c,BUY,2,203.6,INTRADAY,MARKET,3.4,16.5,0.83,0.03,50016.50000000001,-0.05
32,NSE_EQ:TATAPOWER,2023-02-14 09:15:00+05:30,2fff6b81d04e4685be490af1a14c0524,SELL,2,203.7,INTRADAY,MARKET,2023-02-14 15:30:00+05:30,df10842658e24101aba6b1a648243825,BUY,2,203.1,INTRADAY,MARKET,1.2,17.7,0.29,0.04,50017.700000000004,-0.05
33,NSE_EQ:TATAPOWER,2023-02-15 09:15:00+05:30,c399fcae662a465f903417488b493a17,SELL,2,202.65,INTRADAY,MARKET,2023-02-15 15:30:00+05:30,0686571d99c34b07958b320c2c638452,BUY,2,205.1,INTRADAY,MARKET,-4.9,12.8,-1.21,0.03,50012.8,-0.06
34,NSE_EQ:TATAPOWER,2023-02-16 09:15:00+05:30,cd1de674970045fa8876e28b0d3cc739,SELL,2,205.6,INTRADAY,MARKET,2023-02-16 15:30:00+05:30,05639780823644edad2039c9e2d9d6e4,BUY,2,205.25,INTRADAY,MARKET,0.7,13.5,0.17,0.03,50013.5,-0.06
35,NSE_EQ:TATAPOWER,2023-02-17 09:15:00+05:30,fe06a2cefb0b4f62b4841571e33f796c,SELL,2,204.5,INTRADAY,MARKET,2023-02-17 15:30:00+05:30,2141a14f5e364486bda8f922429e8166,BUY,2,204.7,INTRADAY,MARKET,-0.4,13.1,-0.1,0.03,50013.1,-0.06
36,NSE_EQ:TATAPOWER,2023-02-20 09:15:00+05:30,ec50ad1be6444850b527f4e098b6f03e,SELL,2,204.8,INTRADAY,MARKET,2023-02-20 15:30:00+05:30,e54f6e8c82664de2bcb529f221be4d41,BUY,2,203.9,INTRADAY,MARKET,1.8,14.9,0.44,0.03,50014.9,-0.06
37,NSE_EQ:TATAPOWER,2023-02-21 09:15:00+05:30,4233080b41804b6f920c113efe7f5503,SELL,2,204.85,INTRADAY,MARKET,2023-02-21 15:30:00+05:30,03975c86820441529c4da07004a89471,BUY,2,208.2,INTRADAY,MARKET,-6.7,8.2,-1.64,0.02,50008.200000000004,-0.07
38,NSE_EQ:TATAPOWER,2023-02-22 09:15:00+05:30,5ac63569f1584be4b38d37f32bbe8b63,SELL,2,207.55,INTRADAY,MARKET,2023-02-22 15:30:00+05:30,4acfbd43a9034276813a5b6234a46dcc,BUY,2,202.3,INTRADAY,MARKET,10.5,18.7,2.53,0.04,50018.700000000004,-0.05
39,NSE_EQ:TATAPOWER,2023-02-23 09:15:00+05:30,5e04c3df42a143acbe0ca8262351a324,SELL,2,202.8,INTRADAY,MARKET,2023-02-23 15:30:00+05:30,0fc5126228f3453aac196222e2c34039,BUY,2,201.15,INTRADAY,MARKET,3.3,22.0,0.81,0.04,50022.00000000001,-0.04
40,NSE_EQ:TATAPOWER,2023-02-24 09:15:00+05:30,270c8edc716f47329579d3bd5ea86e39,SELL,2,201.9,INTRADAY,MARKET,2023-02-24 15:30:00+05:30,aef24572908243d9a6be852afd32a4fe,BUY,2,202.35,INTRADAY,MARKET,-0.9,21.1,-0.22,0.04,50021.100000000006,-0.04
