,INST,EN_TIME,EN_ID,EN_TT,EN_Q,EN_PRICE,EN_CODE,EN_VAR,EX_TIME,EX_ID,EX_TT,EX_Q,EX_PRICE,EX_CODE,EX_VAR,P&L,ROI,P&L %,ROI %,Equity Curve,Drawdown %
0,NSE_EQ:RELIANCE,2023-01-02 10:15:00+05:30,94aa9b10d32e49089aef93d3871b04e7,BUY,2,2562.0,INTRADAY,MARKET,2023-01-02 15:15:00+05:30,0c8c4f0e86144c67845f9df800417915,SELL,2,2575.2,INTRADAY,MARKET,26.4,26.4,0.52,0.05,50026.4,0.0
1,NSE_EQ:RELIANCE,2023-01-03 12:15:00+05:30,1c677b009a7f4b0fa7075e26168d4754,SELL,2,2553.15,INTRADAY,MARKET,2023-01-03 15:15:00+05:30,d936649bf7ec498f96e592c20a3f3673,BUY,2,2558.0,INTRADAY,MARKET,-9.7,16.7,-0.19,0.03,50016.700000000004,-0.02
2,NSE_EQ:RELIANCE,2023-01-05 10:15:00+05:30,1eb3bb68cc8c45329716974741445dc5,BUY,2,2532.9,INTRADAY,MARKET,2023-01-05 11:15:00+05:30,2c0a1a6961ff4bc5a13d16db72bd6017,SELL,2,2521.35,INTRADAY,MARKET,-23.1,-6.4,-0.46,-0.01,49993.600000000006,-0.07
3,NSE_EQ:RELIANCE,2023-01-05 11:15:00+05:30,12604b53f8b74c7cbb1e7bbb91117188,SELL,2,2521.35,INTRADAY,MARKET,2023-01-05 15:15:00+05:30,ffe2ad4c18104e6ca43456060918293a,BUY,2,2511.25,INTRADAY,MARKET,20.2,13.8,0.4,0.03,50013.8,-0.03
4,NSE_EQ:RELIANCE,2023-01-06 09:15:00+05:30,498d3b5483584962b99cc8dcaf41b7f8,BUY,2,2526.65,INTRADAY,MARKET,2023-01-06 10:15:00+05:30,ea5440e099864163a026461bdc140cc2,SELL,2,2534.6,INTRADAY,MARKET,15.9,29.7,0.31,0.06,50029.700000000004,0.0
5,NSE_EQ:RELIANCE,2023-01-06 10:15:00+05:30,18f8f4c2fa5d453d866e3866f3859c35,SELL,2,2534.6,INTRADAY,MARKET,2023-01-06 12:15:00+05:30,a7a7cef87f3b4e7caf49bfebf41353c7,BUY,2,2539.35,INTRADAY,MARKET,-9.5,20.2,-0.19,0.04,50020.200000000004,-0.02
6,NSE_EQ:RELIANCE,2023-01-06 12:15:00+05:30,679779ab23d7446ebb4b2efcd4fca48d,BUY,2,2539.35,INTRADAY,MARKET,2023-01-06 13:15:00+05:30,9f40528d813244f7baa728dbbecb4747,SELL,2,2527.1,INTRADAY,MARKET,-24.5,-4.3,-0.48,-0.01,49995.700000000004,-0.07
7,NSE_EQ:RELIANCE,2023-01-06 13:15:00+05:30,6d070a78c3c24fdabe038ec318ceebc6,SELL,2,2527.1,INTRADAY,MARKET,2023-01-06 15:15:00+05:30,59e405062f384668a5fee067f0940f0b,BUY,2,2536.0,INTRADAY,MARKET,-17.8,-22.1,-0.35,-0.04,49977.9,-0.1
8,NSE_EQ:RELIANCE,2023-01-10 10:15:00+05:30,1fd9d43a582943efa779bc12c07fc0fb,SELL,2,2583.55,INTRADAY,MARKET,2023-01-10 15:15:00+05:30,4a73775fa44d4ba69592f9c5d7cb6fa1,BUY,2,2559.45,INTRADAY,MARKET,48.2,26.1,0.93,0.05,50026.1,-0.01
9,NSE_EQ:RELIANCE,2023-01-11 10:15:00+05:30,cbe5ef7991aa461eb80e34fffd5dfccc,BUY,2,2544.95,INTRADAY,MARKET,2023-01-11 11:15:00+05:30,30eeea8cd3c348b7b29b3f5dc06342b0,SELL,2,2538.35,INTRADAY,MARKET,-13.2,12.9,-0.26,0.03,50012.9,-0.03
