,INST,EN_TIME,EN_ID,EN_TT,EN_Q,EN_PRICE,EN_CODE,EN_VAR,EX_TIME,EX_ID,EX_TT,EX_Q,EX_PRICE,EX_CODE,EX_VAR,P&L,ROI,P&L %,ROI %,Equity Curve,Drawdown %
0,NSE_EQ:RELIANCE,2023-01-03 09:15:00+05:30,327c4593c75a4813911258e21c25d72e,BUY,2,2562.0,DELIVERY_T1,LIMIT,2023-01-03 12:15:00+05:30,7a2d419ccf6a46409a6dfca884e1fe3f,SELL,2.0,2553.15,DELIVERY_T0,MARKET,-17.7,-17.7,-0.35,-0.04,49982.3,-0.04
1,NSE_EQ:RELIANCE,2023-01-05 10:15:00+05:30,f55876457f104dbbb1404bac8fad8e66,BUY,2,2532.9,DELIVERY_T0,MARKET,2023-01-05 11:15:00+05:30,bda9f867d49c45b6b3893e01989d9aae,SELL,2.0,2521.35,DELIVERY_T0,MARKET,-23.1,-40.8,-0.46,-0.08,49959.200000000004,-0.08
2,NSE_EQ:RELIANCE,2023-01-06 09:15:00+05:30,28b131725dbb40ff81a44a9d0db7f48f,BUY,2,2526.65,DELIVERY_T0,MARKET,2023-01-06 10:15:00+05:30,720203798edd4b88952f7ef4fb2e9aad,SELL,2.0,2534.6,DELIVERY_T0,MARKET,15.9,-24.9,0.31,-0.05,49975.100000000006,-0.05
3,NSE_EQ:RELIANCE,2023-01-11 10:15:00+05:30,87e993b53da34b128288df9893ab5c19,BUY,2,2544.95,DELIVERY_T0,MARKET,2023-01-11 11:15:00+05:30,763d39d2e592499b87977796d90cbb38,SELL,2.0,2538.35,DELIVERY_T0,MARKET,-13.2,-38.1,-0.26,-0.08,49961.90000000001,-0.08
4,NSE_EQ:RELIANCE,2023-01-16 09:15:00+05:30,4870d4a4e4a44c4985339e1e39e258d0,BUY,2,2449.95,DELIVERY_T2,LIMIT,2023-01-16 10:15:00+05:30,fabdb57f47164f9d93cb261796040516,SELL,2.0,2459.0,DELIVERY_T0,MARKET,18.1,-20.0,0.37,-0.04,49980.00000000001,-0.04
5,NSE_EQ:RELIANCE,2023-01-17 10:15:00+05:30,84389ce5b22e45a0bb7850b8b96c87f3,BUY,2,2464.6,DELIVERY_T0,MARKET,2023-01-17 11:15:00+05:30,302a5d89cf20490eac053af1d161c0a6,SELL,2.0,2458.3,DELIVERY_T0,MARKET,-12.6,-32.6,-0.26,-0.07,49967.40000000001,-0.07
6,NSE_EQ:RELIANCE,2023-01-20 09:15:00+05:30,9b61c95ed67d47b88a1a07ce57384f53,BUY,2,2475.2,DELIVERY_T1,LIMIT,2023-01-20 12:15:00+05:30,5f7821bd84314c6bb0b905cf192ac02e,SELL,2.0,2459.9,DELIVERY_T0,MARKET,-30.6,-63.2,-0.62,-0.13,49936.80000000001,-0.13
7,NSE_EQ:RELIANCE,2023-01-20 12:15:00+05:30,4a790b6498bc4bf1b33a34c1e708aa40,BUY,2,2459.9,DELIVERY_T0,MARKET,2023-01-20 14:15:00+05:30,8077bfbb609d45a2bc955e35d9ce01ce,SELL,2.0,2452.95,DELIVERY_T0,MARKET,-13.9,-77.1,-0.28,-0.15,49922.90000000001,-0.15
8,NSE_EQ:RELIANCE,2023-01-23 10:15:00+05:30,ad11c35315554c189f88a374c09a9d7f,BUY,2,2456.05,DELIVERY_T0,MARKET,2023-01-23 11:15:00+05:30,86093c92c4224cc39f3ab7ffef339177,SELL,2.0,2443.3,DELIVERY_T0,MARKET,-25.5,-102.6,-0.52,-0.21,49897.40000000001,-0.21
9,NSE_EQ:RELIANCE,2023-01-24 11:15:00+05:30,229c566c17414e9f80dc0bce34749bd4,BUY,2,2428.1,DELIVERY_T0,MARKET,2023-01-24 14:15:00+05:30,2a6b110ed41c4c2793db437711ecaecc,SELL,2.0,2415.85,DELIVERY_T0,MARKET,-24.5,-127.1,-0.5,-0.25,49872.90000000001,-0.25
