,INST,EN_TIME,EN_ID,EN_TT,EN_Q,EN_PRICE,EN_CODE,EN_VAR,EX_TIME,EX_ID,EX_TT,EX_Q,EX_PRICE,EX_CODE,EX_VAR,P&L,ROI,P&L %,ROI %,Equity Curve,Drawdown %
0,NSE_EQ:RELIANCE,2023-01-02 10:15:00+05:30,fdb91b78c83c48c78c203e62bbaae146,BUY,2,2562.0,INTRADAY,MARKET,2023-01-02 15:15:00+05:30,1e124c83b4fa4af9a29138c5b74d43be,SELL,2,2575.2,INTRADAY,MARKET,26.4,26.4,0.52,0.05,50026.4,0.0
1,NSE_EQ:RELIANCE,2023-01-03 12:15:00+05:30,6a44521c12cb46e2b9a82709b4c9a176,SELL,2,2553.15,INTRADAY,MARKET,2023-01-03 15:15:00+05:30,ea4be0fb953f413e8659e5c229e0524d,BUY,2,2558.0,INTRADAY,MARKET,-9.7,16.7,-0.19,0.03,50016.700000000004,-0.02
2,NSE_EQ:RELIANCE,2023-01-05 10:15:00+05:30,109b2afe80e44bc18eb6225f0a99cec5,BUY,2,2532.9,INTRADAY,MARKET,2023-01-05 11:15:00+05:30,59d5ba0f34ce4fab81fa0ef7737da0f2,SELL,2,2521.35,INTRADAY,MARKET,-23.1,-6.4,-0.46,-0.01,49993.600000000006,-0.07
3,NSE_EQ:RELIANCE,2023-01-05 11:15:00+05:30,3fc6de7bf0114770b3a9705ca3dee882,SELL,2,2521.35,INTRADAY,MARKET,2023-01-05 15:15:00+05:30,722c3a05f9cc45f0b70d8b97b580293a,BUY,2,2511.25,INTRADAY,MARKET,20.2,13.8,0.4,0.03,50013.8,-0.03
4,NSE_EQ:RELIANCE,2023-01-06 09:15:00+05:30,3b5600336a36422c8d6ef6ef44702ec8,BUY,2,2526.65,INTRADAY,MARKET,2023-01-06 10:15:00+05:30,e5e968b447804680add9f4038c55cbd6,SELL,2,2534.6,INTRADAY,MARKET,15.9,29.7,0.31,0.06,50029.700000000004,0.0
5,NSE_EQ:RELIANCE,2023-01-06 10:15:00+05:30,ec3939b6bddf43bebec31e6aee8a9ec8,SELL,2,2534.6,INTRADAY,MARKET,2023-01-06 12:15:00+05:30,28eeb124e0aa40d7b30828a575da2fba,BUY,2,2539.35,INTRADAY,MARKET,-9.5,20.2,-0.19,0.04,50020.200000000004,-0.02
6,NSE_EQ:RELIANCE,2023-01-06 12:15:00+05:30,e321b64c53724449b06e21d34c7db7ec,BUY,2,2539.35,INTRADAY,MARKET,2023-01-06 13:15:00+05:30,c17f1bbb80ea4202bcaf32835366f00b,SELL,2,2527.1,INTRADAY,MARKET,-24.5,-4.3,-0.48,-0.01,49995.700000000004,-0.07
7,NSE_EQ:RELIANCE,2023-01-06 13:15:00+05:30,5575cb6dabd7489bbcb9bfdfc2e85a93,SELL,2,2527.1,INTRADAY,MARKET,2023-01-06 15:15:00+05:30,9128891209df4484a88e0410e47e3836,BUY,2,2536.0,INTRADAY,MARKET,-17.8,-22.1,-0.35,-0.04,49977.9,-0.1
8,NSE_EQ:RELIANCE,2023-01-10 10:15:00+05:30,5416c798552c4c0784bc7436345b2292,SELL,2,2583.55,INTRADAY,MARKET,2023-01-10 15:15:00+05:30,ec941527fa3f4efe9dfafa93f894c0a4,BUY,2,2559.45,INTRADAY,MARKET,48.2,26.1,0.93,0.05,50026.1,-0.01
9,NSE_EQ:RELIANCE,2023-01-11 10:15:00+05:30,7e210195d99c4238ac93b0dc9411bb42,BUY,2,2544.95,INTRADAY,MARKET,2023-01-11 11:15:00+05:30,d5428adc514c4f76a6500e846cc01dae,SELL,2,2538.35,INTRADAY,MARKET,-13.2,12.9,-0.26,0.03,50012.9,-0.03
10,NSE_EQ:RELIANCE,2023-01-11 11:15:00+05:30,eadb296b3f6448539245e0ffc1306c47,SELL,2,2538.35,INTRADAY,MARKET,2023-01-11 15:15:00+05:30,8e377c9010b348d8b8e08a902fe54783,BUY,2,2523.75,INTRADAY,MARKET,29.2,42.1,0.58,0.08,50042.1,0.0
